step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,2542,0.9135,35215.0,730,857,860,825,17,31,27,18443,20991,24403,0,0,0
2000,2366,0.9184,39759.3,1655,779,832,755,18,33,25,20346,22305,27908,0,0,0
3000,2323,0.9165,63114.2,2560,767,803,753,17,33,25,12976,14331,20839,0,0,0
4000,1815,0.6804,38486.7,628,702,717,396,20,33,26,24048,22644,28261,0,0,0
5000,1769,0.7513,45752.4,1060,665,699,405,13,33,27,19602,20107,28121,0,0,0
6000,1812,0.8024,48519.7,1522,738,691,383,17,33,29,17788,20015,28236,0,0,0
7000,1903,0.7036,40038.7,980,754,704,445,22,23,25,21914,24140,30093,0,0,0
8000,1830,0.7377,39062.3,1076,809,608,413,28,26,22,23111,25096,29826,0,0,0
9000,1898,0.7734,36445.2,1191,769,684,445,27,48,21,24834,25812,32382,0,0,0
10000,1558,0.7497,25427.5,1093,668,555,335,21,45,21,29146,30741,35393,0,0,0
11000,1217,0.8094,14615.0,1210,611,415,191,14,24,17,32653,35833,38337,0,0,0
12000,856,0.9030,6151.9,1548,478,247,131,8,21,19,36400,38440,40542,0,0,0
13000,492,0.9187,3402.9,1700,308,119,65,0,22,10,38451,40268,40916,0,0,0
14000,260,0.9154,1532.9,1685,178,48,34,1,8,7,40303,41063,40605,0,0,0
15000,137,0.8759,1270.8,1706,115,21,1,1,12,1,41030,41209,40049,0,0,0
16000,99,0.7374,823.2,1330,93,5,1,0,4,1,41375,41023,39361,0,0,0
17000,57,0.7193,700.4,998,50,5,2,0,5,2,41191,40406,38459,0,0,0
18000,75,0.7333,983.4,776,56,10,9,3,7,4,40636,39263,37141,0,0,0
19000,199,0.6281,3047.0,533,102,61,36,2,12,11,38941,37703,35706,0,0,0
20000,650,0.5785,10868.8,450,319,184,147,16,28,25,36980,36393,34372,0,0,0
21000,1302,0.5476,32135.0,538,553,446,303,30,34,71,29244,30980,33759,0,0,0
22000,1742,0.5723,51541.9,693,670,636,436,38,51,71,22282,24351,28634,0,0,0
23000,2052,0.5750,59612.1,790,887,637,528,42,49,75,19752,20976,25308,0,0,0
