step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,869,24.28,1.37,2.77,1.65,17.56,0.02,1.42,0.006,0.232,442631.2,153992.0,18,29,4.07,1.35,1.47,27.4647,1204.66,26506.8,4.4796,1.2229,5462,26.5760,240,65.3030,393032.7,165.42,2.2103,0.0,0.0000
10000,1,663,28.87,2.07,2.54,2.62,21.12,0.02,1.41,0.009,0.215,383397.1,115395.1,24,43,4.57,1.43,1.44,21.2808,804.35,30989.6,5.4755,1.1901,5461,26.5711,241,62.1288,334680.0,81.35,19.4513,0.0,0.0000
10000,2,516,31.28,1.80,2.78,4.60,22.49,0.12,1.35,0.043,0.188,277577.1,68099.4,17,38,4.81,1.46,1.27,12.0536,303.51,31175.3,2.3826,1.1565,5461,26.5711,309,44.6554,227257.0,53.21,39.4850,0.0,0.0000
20000,0,1198,16.53,0.32,3.28,0.07,10.47,0.00,1.10,0.001,0.195,210637.5,58681.4,4,90,3.41,1.09,1.15,8.3329,514.28,28206.8,0.3709,4.1527,5462,10.8887,68,28.5169,169471.5,165.42,0.9409,0.0,0.0000
20000,1,1004,18.24,0.42,4.61,0.04,10.60,0.00,1.14,0.000,0.179,99422.7,22788.0,3,161,3.79,1.11,1.19,3.1292,512.62,34910.5,0.0372,2.7772,5461,10.8867,92,13.6669,71027.1,81.35,4.6635,0.0,0.0000
20000,2,750,18.34,0.48,5.09,0.20,10.15,0.00,1.16,0.000,0.137,58894.0,14504.5,3,179,3.81,1.14,1.22,1.7781,164.21,43846.4,0.0070,1.7421,5461,10.8867,118,8.2980,40825.7,53.21,8.5086,0.0,0.0000
30000,0,1356,21.13,1.30,3.03,0.06,10.81,0.16,1.23,0.073,0.235,448598.1,187611.7,4,86,3.42,1.22,1.22,23.9402,789.18,25447.8,12.8664,3.0490,5462,31.0090,71,58.0292,420569.7,165.42,2.6870,0.0,0.0000
30000,1,1120,20.18,1.43,3.12,0.11,10.05,0.16,1.32,0.065,0.188,414654.0,165720.5,4,148,3.49,1.28,1.38,20.6948,772.68,30283.7,13.8183,2.9453,5461,31.0033,86,54.1234,388177.1,81.35,17.7439,0.0,0.0000
30000,2,739,23.39,1.25,3.98,0.09,11.72,0.17,1.21,0.066,0.145,289308.9,99983.1,3,158,3.80,1.18,1.24,12.2676,332.98,36804.6,5.9187,3.6736,5461,31.0033,136,35.4152,254787.3,53.21,33.5102,0.0,0.0000
40000,0,1185,19.26,0.90,3.38,0.29,8.81,0.09,1.23,0.044,0.182,241172.9,87623.0,6,92,3.19,1.20,1.24,8.6400,498.21,25771.0,0.5547,4.0437,5462,12.8290,90,29.2906,202459.2,165.42,1.0165,0.0,0.0000
40000,1,1045,18.73,0.79,2.77,0.31,9.22,0.08,1.20,0.039,0.156,122911.2,44123.8,8,152,3.26,1.15,1.25,3.9788,441.71,31394.9,0.0329,3.0086,5461,12.8267,92,13.7928,92894.5,81.35,4.1514,0.0,0.0000
40000,2,631,19.75,1.16,3.17,0.19,9.23,0.12,1.27,0.049,0.100,74730.3,24013.7,6,177,3.29,1.24,1.26,1.8028,167.42,40483.8,0.0045,2.9749,5461,12.8267,45,6.6248,45196.6,53.21,7.7097,0.0,0.0000
50000,0,1522,13.14,0.78,1.73,0.16,5.48,0.03,1.27,0.013,0.142,426184.2,239326.9,3,135,2.43,1.26,1.33,24.5914,557.15,27849.3,8.3587,1.4960,5462,28.8715,125,61.3894,413254.4,165.42,2.7547,0.0,0.0000
50000,1,1499,13.17,0.70,1.80,0.15,5.38,0.02,1.25,0.009,0.138,430568.2,233882.2,2,190,2.43,1.18,1.31,22.8167,364.84,30931.5,11.8528,2.0070,5461,28.8662,122,62.5674,411958.9,81.35,19.8757,0.0,0.0000
50000,2,958,16.39,1.14,1.90,0.15,6.81,0.03,1.38,0.014,0.110,279097.0,140983.4,2,159,2.70,1.26,1.46,13.3337,341.33,35755.2,5.3044,2.9782,5461,28.8662,111,36.2792,251943.2,53.21,32.3234,0.0,0.0000
60000,0,1091,21.26,0.50,4.01,0.09,7.61,0.01,1.19,0.008,0.152,242266.4,141534.0,3,94,2.55,1.12,1.27,10.4540,992.24,28531.7,0.0877,2.7525,5462,12.2835,126,32.6760,216454.8,165.42,0.9135,0.0,0.0000
60000,1,855,20.25,0.47,3.58,0.03,8.35,0.03,1.20,0.013,0.121,115434.4,62525.0,3,95,2.60,1.19,1.25,3.8485,660.37,33192.3,0.0311,2.8289,5461,12.2813,115,13.4661,87482.4,81.35,4.0613,0.0,0.0000
60000,2,655,21.13,0.48,3.76,0.03,8.59,0.02,1.17,0.011,0.097,74176.9,37839.1,3,134,2.64,1.10,1.22,2.0933,252.22,39351.0,0.0001,2.6951,5461,12.2813,158,7.2620,47874.9,53.21,7.6585,0.0,0.0000
70000,0,1064,22.57,0.60,4.46,0.02,6.64,0.02,1.27,0.011,0.142,406652.1,351943.0,12,87,2.09,1.20,1.33,32.0869,1472.86,31179.9,2.6900,1.2718,5462,22.1359,168,70.4345,396837.2,165.42,1.8586,0.0,0.0000
70000,1,859,23.68,0.58,4.58,0.01,7.39,0.04,1.23,0.021,0.123,397219.8,327669.4,10,104,2.25,1.15,1.28,28.5718,958.76,31795.8,3.7169,1.4937,5461,22.1318,272,69.7740,386628.2,81.35,18.3866,0.0,0.0000
70000,2,658,22.44,0.57,4.70,0.13,6.54,0.02,1.23,0.008,0.090,265374.9,211215.8,10,108,2.28,1.16,1.27,16.9071,478.82,33611.7,1.3269,1.7923,5461,22.1318,329,43.8698,250277.4,53.21,33.1524,0.0,0.0000
80000,0,1082,21.23,0.52,4.09,0.07,7.10,0.00,1.21,0.003,0.146,224575.2,177560.0,2,103,2.29,1.15,1.28,12.7978,1388.08,32540.0,0.0037,2.8147,5462,10.2464,82,32.0296,197107.9,165.42,0.7935,0.0,0.0000
80000,1,900,17.81,0.34,3.00,0.06,7.60,0.01,1.13,0.003,0.113,104099.2,71960.7,2,94,2.41,1.10,1.15,4.2831,551.61,34837.5,0.0025,2.6256,5461,10.2446,148,13.9007,77399.5,81.35,4.2475,0.0,0.0000
