step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,1663,0.716,1.083,7.71,21085,16024,3368,439,1052,62612,987828.7,267744.3,0.329,0.399,0.146,0.126,66,35.33,24.45,2.07,6.68,4.45,9.76,3.95,10.23,25.21,18.28,0.01,0.17,0.093,0.187,865,0.032,0.070,0.917,0.000,0.013,127647,122898,30,0.185,0.254,0.222,4764805,0.243,3.293,0.096,3.60,38334,655,4.276,0.278,0.189,8634942,1.48,6.86,0.227,0.245,0.003,6.3,31.3,71.2,132.8,59333,0.226,0.00,0.0024,0.026,315,0.971,0.000,0.591,0.836,5.07,6.25,6.37,0.12,0.027,1.52,1.44,1.48,0.973,0.00033,2.53,48.8212,2278.54,94371.6,140234.7,9.481,121.7828,164.355,0.000,1.000,0.244,53.0,74.917,240.110,1535,8029.2,77.26,26.985,7.84,183.663,7067.2,85.497,0.136,2.00,15.4534,25699.1,0.5873,0.4038,35.68,0.971,0.178,1.5131,0.0000,0.462,0.121,0.365,0.0000,8.00,1.20,7,32,64,121,72.9634,1.4079,0.7198,0.0000,0.0000,48.6256,100.00,58.0331,396.6022,0.0,0.0000,0.0000
20000,2958,0.809,0.530,8.36,36282,28911,1010,3786,1280,168060,325299.3,142391.0,0.113,0.637,0.047,0.204,126,15.22,14.89,1.00,3.64,2.76,6.07,0.52,2.75,8.23,7.38,0.14,0.72,0.116,0.192,1680,0.029,0.101,0.873,0.003,0.023,65335,58648,2,0.604,0.013,0.078,1931244,0.211,2.270,0.045,4.69,22011,420,0.847,0.222,0.291,7264559,1.36,12.28,0.004,0.503,0.042,3.1,10.0,35.1,123.1,36983,0.141,0.00,0.0013,0.066,788,0.801,0.000,0.843,0.457,3.02,3.96,4.59,0.14,0.044,1.39,1.29,1.42,0.811,0.00052,0.73,10.7539,1424.26,108821.4,140234.7,1.457,38.3096,63.194,0.000,1.000,0.386,59.8,28.527,76.217,585,2618.8,45.32,8.142,4.61,60.704,4434.8,27.478,0.134,2.00,6.5508,19377.4,0.9069,0.4902,12.50,1.150,0.432,0.4869,0.0000,0.377,0.123,0.221,0.0000,7.09,0.88,3,10,26,81,26.3842,0.5978,0.5128,0.0000,0.0000,12.1957,100.00,100.7332,318.6945,0.0,0.0000,0.0000
30000,3303,0.876,0.587,12.61,186400,131230,264,45663,8898,1300843,1134246.4,1165143.1,0.060,0.657,0.053,0.230,86,15.89,15.48,1.19,3.19,2.60,4.90,0.32,2.43,7.21,7.89,0.24,0.80,0.103,0.164,2020,0.018,0.070,0.901,0.001,0.028,493360,415657,7,0.556,0.300,0.052,2646322,0.197,2.688,0.045,4.72,194032,323,0.896,0.210,0.362,26529151,1.52,11.07,0.072,0.594,0.097,2.5,11.1,32.0,162.0,37356,0.143,0.00,0.0048,0.066,1001,0.801,0.000,0.922,0.624,2.76,3.50,4.17,0.25,0.101,1.57,1.35,1.63,0.820,0.00230,1.95,86.9392,2749.01,104166.8,140234.7,5.321,118.5994,209.344,0.000,1.000,0.091,68.9,78.896,244.519,440,1677.5,122.14,10.841,3.62,193.242,4972.1,115.583,0.135,2.00,6.7913,22431.7,1.1230,0.5834,11.31,1.237,0.495,1.5131,0.0000,0.280,0.141,0.033,0.0000,6.46,1.37,3,9,23,81,65.5892,5.7182,0.4883,0.0000,0.0000,42.6693,100.00,78.3268,534.1397,0.0,0.0000,0.0000
40000,2872,1.048,0.481,17.13,62046,51220,274,9153,1830,424282,474689.1,339080.3,0.040,0.694,0.034,0.232,163,16.43,11.92,0.99,3.55,2.47,4.07,0.17,1.63,8.34,7.50,0.01,0.14,0.111,0.167,1613,0.021,0.088,0.895,0.000,0.017,126518,101738,5,0.547,0.342,0.023,690044,0.193,2.324,0.038,9.40,53991,413,0.799,0.176,0.370,9488995,1.35,9.23,0.154,0.577,0.003,3.4,14.0,32.0,112.3,34374,0.131,0.00,0.0020,0.059,887,0.679,0.000,0.867,0.519,2.80,3.25,4.74,0.01,0.003,1.25,1.32,1.50,0.694,0.00145,1.87,20.7524,2494.56,107514.5,140234.7,0.727,27.6771,92.205,0.000,1.000,0.339,55.2,39.293,69.926,257,1006.6,46.62,6.874,3.62,57.234,4201.7,38.237,0.135,2.00,7.2501,20822.2,1.0543,0.5151,11.97,1.335,0.571,0.4869,0.0000,0.451,0.186,0.314,0.0000,6.23,1.93,3,11,19,86,34.0592,1.0674,0.4318,0.0000,0.0000,10.5477,100.00,103.6895,304.0526,0.0,0.0000,0.0000
50000,2858,0.841,0.587,22.82,133339,98538,1216,27528,6071,799171,1127244.6,966605.7,0.026,0.629,0.064,0.281,71,21.65,11.87,0.86,3.16,4.78,5.21,0.19,1.40,7.51,6.17,0.03,0.26,0.166,0.177,1243,0.046,0.082,0.905,0.000,0.013,404229,343554,12,0.293,0.390,0.029,1092530,0.201,2.667,0.048,4.85,200527,382,1.210,0.212,0.293,24002870,1.32,6.13,0.368,0.413,0.010,4.7,26.0,32.0,98.0,38112,0.145,0.00,0.0053,0.053,810,0.837,0.000,0.849,0.671,2.69,3.53,4.45,0.03,0.014,1.25,1.31,1.40,0.849,0.00176,2.20,83.3340,2016.73,83555.3,140234.7,14.137,110.3365,197.979,0.000,1.000,0.043,65.9,77.265,243.721,438,1707.0,77.00,9.064,3.39,185.150,5640.7,113.636,0.134,2.00,15.1667,43346.5,1.3880,0.6875,13.34,1.535,0.585,1.5131,0.0000,0.699,0.274,0.626,0.0000,5.48,1.89,5,15,18,81,66.3180,5.9304,0.5861,0.0000,0.0000,41.5645,100.00,66.5769,512.9758,0.0,0.0000,0.0000
60000,2799,1.025,0.384,19.88,46368,37711,1190,6014,1512,221474,459863.6,238528.9,0.024,0.645,0.053,0.277,153,20.21,13.15,1.01,3.43,3.48,4.58,0.21,2.11,8.41,5.89,0.01,0.17,0.117,0.150,1168,0.132,0.116,0.865,0.001,0.018,95544,81086,10,0.387,0.079,0.021,539278,0.177,1.930,0.031,8.09,47713,353,1.077,0.251,0.276,9006117,1.35,7.69,0.328,0.375,0.007,4.6,18.9,32.0,102.9,36702,0.140,0.00,0.0020,0.057,829,0.741,0.000,0.756,0.526,2.75,3.28,4.87,0.02,0.009,1.24,1.33,1.53,0.749,0.00089,1.70,19.0648,1356.48,92206.7,140234.7,1.279,28.8727,87.030,0.000,1.000,0.223,61.7,38.191,71.444,283,1032.3,33.51,6.278,3.49,58.109,3540.0,38.096,0.135,2.00,13.4607,37676.5,1.3116,0.6059,13.11,1.419,0.579,0.4869,0.0000,0.656,0.258,0.529,0.0000,5.95,1.91,4,14,18,97,34.4880,1.2161,0.4952,0.0000,0.0000,10.5975,100.00,97.8757,313.6507,0.0,0.0000,0.0000
70000,2735,1.108,0.609,26.43,79576,63419,2914,11391,1916,428375,1101688.4,713903.6,0.016,0.690,0.077,0.217,70,25.92,11.31,0.80,2.80,4.81,4.34,0.19,1.52,8.88,5.37,0.02,0.19,0.160,0.141,990,0.158,0.081,0.902,0.001,0.016,300491,259853,15,0.237,0.339,0.034,800062,0.239,2.724,0.049,6.13,179233,348,1.667,0.256,0.286,22937899,1.28,3.75,0.547,0.338,0.008,8.0,32.0,32.0,94.0,40125,0.153,0.00,0.0045,0.052,881,0.885,0.000,0.636,0.737,2.76,3.69,4.52,0.02,0.009,1.21,1.28,1.38,0.892,0.00116,2.18,82.4325,2689.31,72016.0,140234.7,27.379,100.2639,184.443,0.000,1.000,0.026,67.5,73.323,242.962,535,2112.1,72.42,11.949,3.56,169.476,4892.2,107.694,0.135,2.00,19.6419,53720.5,1.5349,0.6643,14.67,1.718,0.522,1.5131,0.0000,0.774,0.213,0.768,0.0000,5.00,1.73,7,16,17,100,67.7191,2.4361,0.5408,0.0000,0.0000,42.7380,100.00,49.0523,451.4606,0.0,0.0000,0.0000
80000,2371,1.366,0.389,27.21,34464,27997,1492,4718,621,199198,461481.8,233163.1,0.013,0.682,0.081,0.224,147,27.28,11.16,0.32,2.06,5.28,4.36,0.01,0.27,9.23,5.25,0.00,0.00,0.170,0.138,682,0.186,0.109,0.881,0.000,0.010,82966,68702,14,0.491,0.191,0.002,480787,0.181,2.079,0.029,8.19,49840,329,1.171,0.275,0.228,9060089,1.13,3.24,0.639,0.265,0.000,8.0,32.0,32.0,112.0,35174,0.134,0.00,0.0021,0.071,684,0.788,0.000,0.523,0.593,3.01,3.70,4.37,0.00,0.001,1.11,1.11,1.19,0.795,0.00110,1.47,22.2585,1729.36,80260.4,140234.7,1.678,29.9803,85.456,0.000,1.000,0.094,53.7,36.763,71.967,282,994.3,73.08,7.072,3.72,57.729,3096.5,38.168,0.134,2.00,20.6733,49016.3,1.5581,0.5642,14.84,1.780,0.462,0.4869,0.0000,0.737,0.188,0.804,0.0000,4.83,1.57,8,16,17,56,33.6932,0.4577,0.4534,0.0000,0.0000,10.7099,100.00,92.8900,314.0555,0.0,0.0000,0.0000
90000,2496,1.391,0.377,31.99,52376,38403,4534,9200,114,355458,1084870.4,673165.8,0.006,0.806,0.075,0.112,78,30.92,6.68,0.00,0.07,5.78,3.56,0.00,0.10,9.67,4.22,0.00,0.04,0.185,0.114,374,0.355,0.058,0.935,0.000,0.006,240716,195040,17,0.578,0.133,0.001,39402,0.234,2.563,0.023,13.67,161100,264,1.894,0.278,0.266,22171528,1.00,0.43,0.881,0.119,0.000,30.0,32.0,32.0,92.0,38587,0.147,0.00,0.0045,0.108,837,0.841,0.000,0.239,0.783,3.34,3.94,3.96,0.00,0.000,1.00,1.00,1.00,0.846,0.00220,7.02,88.3722,3350.89,57862.5,140234.7,50.763,77.0390,181.141,0.000,1.000,0.000,66.4,69.627,228.749,68,197.8,90.29,8.290,4.03,135.239,2081.4,96.644,0.135,2.00,28.4898,71110.6,1.9587,0.5057,15.46,2.000,0.000,1.5131,0.0000,0.823,0.103,0.980,0.0000,4.05,0.25,15,16,16,46,63.3358,0.7995,0.4315,0.0000,0.0000,41.2150,100.00,39.8748,376.9364,0.0,0.0000,0.0000
100000,2203,1.473,0.317,31.95,21440,15286,2689,3758,0,139359,497572.2,253996.6,0.005,0.861,0.044,0.091,159,30.42,5.95,0.02,0.39,5.32,3.46,0.00,0.00,9.86,3.84,0.00,0.02,0.174,0.114,324,0.301,0.074,0.915,0.000,0.011,78474,60151,15,0.381,0.169,0.000,1838,0.251,2.312,0.021,18.53,53378,217,1.823,0.297,0.196,7786406,1.01,0.40,0.862,0.138,0.000,26.0,32.0,32.0,71.9,33468,0.128,0.00,0.0023,0.110,665,0.602,0.000,0.149,0.728,3.27,3.91,3.93,0.00,0.000,1.01,1.01,1.01,0.606,0.00272,5.67,33.1188,2493.00,75950.6,140234.7,4.582,23.0697,88.181,0.000,1.000,0.099,52.7,37.779,53.167,30,83.9,120.77,1.223,4.01,40.505,2179.2,31.339,0.133,2.00,24.7192,54456.4,1.7504,0.4395,15.19,2.000,0.000,0.4869,0.0000,0.847,0.095,0.990,0.0000,4.02,0.14,13,16,16,36,31.7410,0.0550,0.4212,0.0000,0.0000,10.4852,100.00,85.2954,287.7111,0.0,0.0000,0.0000
