step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,1543,0.618,1.133,6.56,21051,13922,3510,2519,1018,300139,925345.1,345283.6,0.308,0.444,0.141,0.107,70,39.11,24.94,1.09,3.89,6.97,13.30,6.36,9.89,21.47,14.83,0.01,0.15,0.126,0.191,816,0.095,0.066,0.926,0.001,0.007,132176,123510,17,0.638,0.102,0.538,7908809,0.235,3.423,0.096,3.62,36590,627,1.150,0.145,0.180,9877894,1.25,4.69,0.197,0.337,0.005,12.7,30.8,75.7,144.7,55380,0.211,0.00,0.0028,0.037,317,0.967,0.000,0.664,0.842,5.22,6.69,6.31,0.09,0.029,1.35,1.16,1.26,0.973,0.00095,1.95,51.3470,1942.17,97875.8,140234.7,3.448,140.8675,150.035,0.000,1.000,0.193,45.3,65.691,243.642,1569,7782.6,94.97,23.854,7.98,193.154,8434.7,79.340,0.135,2.00,13.9911,21588.3,0.5124,0.3767,35.89,1.137,0.229,1.5131,0.0000,0.495,0.089,0.401,0.0000,7.62,1.17,12,34,64,117,62.4079,1.8156,0.7835,0.0000,0.0000,45.7344,100.00,63.4329,381.7099,0.0,0.0000,0.0000
20000,1675,1.003,0.763,8.27,9485,6867,1310,963,213,91728,210119.9,71000.9,0.251,0.521,0.154,0.074,115,28.71,19.06,1.20,4.47,6.99,10.45,1.78,4.96,17.46,12.14,0.13,0.63,0.199,0.248,1132,0.019,0.096,0.896,0.000,0.008,29413,27742,5,0.921,0.051,0.240,3521039,0.239,2.834,0.061,2.92,9443,458,0.774,0.228,0.252,3705114,1.36,3.70,0.196,0.502,0.045,6.8,25.4,55.0,148.3,45934,0.175,0.00,0.0007,0.045,452,0.918,0.000,0.801,0.686,4.33,5.74,5.59,0.16,0.056,1.37,1.29,1.40,0.924,0.00047,0.29,8.1453,1823.60,107992.9,140234.7,0.127,51.3866,37.474,0.000,1.000,0.189,45.4,17.365,77.021,869,4323.7,41.63,5.914,6.47,64.820,6109.6,17.793,0.135,2.00,10.1851,17060.0,0.5872,0.3350,27.42,1.011,0.098,0.4869,0.0000,0.336,0.090,0.043,0.0000,6.55,1.02,8,26,49,97,16.4094,0.1695,0.5922,0.0000,0.0000,11.6213,100.00,98.5054,211.9455,0.0,0.0000,0.0000
30000,2469,1.078,0.812,17.58,59434,42029,702,14978,931,994753,989505.8,896776.7,0.155,0.709,0.073,0.063,105,26.32,15.34,0.52,2.57,5.30,4.49,0.01,0.17,7.40,6.35,0.02,0.24,0.201,0.137,1393,0.032,0.049,0.938,0.000,0.013,290157,253129,7,0.797,0.186,0.004,1734785,0.202,2.951,0.066,4.53,112800,493,0.902,0.169,0.483,19179515,1.21,3.37,0.265,0.726,0.010,7.6,26.0,48.3,130.0,32667,0.125,0.00,0.0054,0.074,711,0.908,0.000,0.826,0.796,2.90,3.71,3.81,0.08,0.033,1.24,1.15,1.25,0.923,0.00229,1.27,83.2312,2739.15,105162.6,140234.7,3.916,139.4082,152.459,0.000,1.000,0.144,49.7,57.554,245.628,801,3268.2,46.47,13.245,5.58,192.719,7054.5,96.865,0.134,2.00,7.1927,17758.7,0.9016,0.5132,13.23,1.939,0.170,1.5131,0.0000,0.716,0.128,0.928,0.0000,4.58,0.84,4,13,24,64,50.5720,1.3275,0.5435,0.0000,0.0000,45.4723,100.00,73.1785,419.7386,0.0,0.0000,0.0000
40000,1775,1.083,0.752,16.07,22060,17906,239,4565,44,306057,269725.3,205777.9,0.268,0.673,0.025,0.034,155,28.42,17.91,0.74,3.62,5.39,6.63,0.42,2.84,12.04,12.03,0.01,0.16,0.162,0.163,1297,0.027,0.069,0.908,0.000,0.023,58598,47652,4,0.595,0.089,0.054,192620,0.137,2.807,0.060,4.17,26060,476,0.672,0.147,0.407,5289359,1.24,4.19,0.246,0.683,0.007,6.3,29.0,50.0,157.7,32981,0.126,0.00,0.0013,0.082,483,0.803,0.000,0.737,0.629,3.55,4.48,4.60,0.06,0.020,1.21,1.25,1.26,0.821,0.00168,0.36,13.2576,2135.10,111855.3,140234.7,0.003,46.5760,50.947,0.000,1.000,0.246,40.4,21.988,77.596,802,3185.9,46.56,7.507,5.81,63.729,6706.3,22.887,0.137,1.99,7.3761,13092.6,0.6997,0.4238,18.58,1.604,0.552,0.4869,0.0000,0.569,0.176,0.621,0.0000,5.52,1.18,5,16,36,81,18.9111,0.0968,0.5301,0.0000,0.0000,11.5158,100.00,103.6429,191.6046,0.0,0.0000,0.0000
50000,2303,0.982,0.786,23.99,79857,57049,523,21024,733,953067,1019063.6,991911.6,0.257,0.662,0.040,0.041,81,33.11,20.39,0.51,2.66,5.53,6.00,0.05,0.92,11.38,7.85,0.00,0.08,0.152,0.138,1319,0.027,0.061,0.930,0.000,0.008,340777,283913,8,0.606,0.248,0.007,586908,0.193,2.824,0.065,5.02,171722,464,1.041,0.190,0.340,20955139,1.18,3.37,0.353,0.568,0.002,8.0,32.0,50.0,242.0,40250,0.154,0.00,0.0039,0.054,669,0.890,0.000,0.829,0.767,3.40,4.44,4.34,0.02,0.011,1.15,1.21,1.18,0.906,0.00264,1.43,87.0513,1623.53,96324.5,140234.7,4.918,133.9155,163.836,0.000,1.000,0.064,48.5,61.914,245.373,928,3904.1,36.90,14.708,4.96,192.360,7082.7,99.833,0.135,2.00,11.8091,27196.5,1.0575,0.5731,17.48,1.832,0.400,1.5131,0.0000,0.875,0.192,0.880,0.0000,5.19,1.19,5,16,25,121,54.0211,1.8045,0.6279,0.0000,0.0000,44.1743,100.00,72.4925,447.3464,0.0,0.0000,0.0000
60000,2741,0.975,0.652,19.78,36045,28453,511,6254,389,265085,328758.9,233249.2,0.189,0.641,0.115,0.055,152,19.48,12.76,0.33,1.47,4.33,5.43,0.19,1.64,7.34,5.68,0.01,0.16,0.162,0.180,1395,0.034,0.077,0.903,0.000,0.020,85492,71023,4,0.451,0.225,0.047,330979,0.205,2.657,0.053,4.51,38132,426,0.880,0.177,0.387,7421449,1.12,5.82,0.244,0.544,0.011,4.4,17.0,32.0,88.0,33403,0.127,0.00,0.0016,0.079,741,0.808,0.000,0.841,0.585,3.03,4.33,3.61,0.09,0.039,1.11,1.13,1.12,0.820,0.00091,0.59,16.2466,2363.66,111535.1,140234.7,0.088,41.5731,62.871,0.000,1.000,0.367,54.0,27.374,77.887,623,2473.5,73.22,8.841,5.43,62.917,5609.6,28.412,0.133,2.00,5.1869,14217.2,0.7273,0.5325,12.19,1.521,0.525,0.4869,0.0000,0.740,0.269,0.628,0.0000,5.35,1.38,4,12,18,81,24.4797,0.3880,0.4940,0.0000,0.0000,11.6767,100.00,102.8015,252.3706,0.0,0.0000,0.0000
70000,2642,0.876,0.751,23.41,84878,67795,2031,13812,1339,479315,1053279.9,694446.7,0.162,0.679,0.090,0.070,79,24.53,14.54,0.43,1.99,5.03,5.28,0.19,1.42,8.52,6.41,0.02,0.20,0.167,0.160,1301,0.075,0.068,0.923,0.000,0.009,313820,263680,15,0.342,0.340,0.042,1310197,0.155,3.436,0.057,5.01,150842,481,1.449,0.186,0.282,24266139,1.15,4.36,0.386,0.444,0.015,5.9,28.0,36.0,150.0,37438,0.143,0.00,0.0047,0.054,736,0.897,0.000,0.893,0.731,3.22,4.39,3.91,0.09,0.036,1.15,1.18,1.15,0.904,0.00140,1.84,74.0135,2767.35,85064.2,140234.7,11.719,120.0965,172.208,0.000,1.000,0.030,57.2,68.742,244.892,678,2728.8,115.87,12.999,5.22,186.475,6570.9,103.451,0.135,2.00,14.8353,39194.8,1.3470,0.7101,14.17,1.648,0.491,1.5131,0.0000,0.782,0.244,0.788,0.0000,5.18,1.50,5,16,24,81,61.4542,3.6024,0.6170,0.0000,0.0000,42.8617,100.00,61.2927,465.5083,0.0,0.0000,0.0000
80000,2211,1.062,0.533,20.57,32887,28194,867,4074,183,202883,392448.6,232013.4,0.159,0.639,0.105,0.098,154,22.66,12.91,1.46,4.01,3.66,4.57,0.26,1.53,10.66,7.92,0.01,0.20,0.132,0.156,1226,0.062,0.072,0.918,0.000,0.009,95098,80319,6,0.416,0.084,0.062,698715,0.178,2.481,0.041,4.97,43228,462,1.144,0.198,0.324,8235359,1.44,3.12,0.285,0.513,0.004,6.0,22.6,32.0,128.0,35478,0.135,0.00,0.0017,0.061,613,0.832,0.000,0.740,0.659,3.48,4.46,4.49,0.02,0.013,1.30,1.43,1.51,0.841,0.00093,0.77,20.4074,2033.90,95629.6,140234.7,0.331,37.6274,71.569,0.000,1.000,0.195,47.7,31.086,77.132,442,1772.3,57.19,7.947,5.19,62.691,4664.9,34.412,0.135,2.00,14.6910,32481.8,1.2366,0.5867,16.05,1.411,0.618,0.4869,0.0000,0.670,0.301,0.528,0.0000,5.19,1.25,6,16,25,74,28.3550,0.6735,0.5323,0.0000,0.0000,11.0206,100.00,99.7386,281.5111,0.0,0.0000,0.0000
90000,2209,1.171,0.766,27.79,59931,47860,2469,9463,141,423433,1074472.9,721511.0,0.182,0.639,0.087,0.092,78,29.41,12.27,0.67,3.39,5.91,4.10,0.04,0.40,9.29,6.05,0.00,0.06,0.190,0.117,762,0.297,0.057,0.936,0.000,0.006,310781,265618,6,0.341,0.539,0.014,987569,0.211,3.230,0.060,4.54,162140,453,1.704,0.227,0.287,19334442,1.21,1.38,0.634,0.327,0.003,12.0,32.0,34.0,152.0,35155,0.134,0.00,0.0052,0.062,643,0.903,0.000,0.719,0.808,3.32,4.08,4.11,0.02,0.010,1.15,1.20,1.24,0.911,0.00148,1.71,85.9734,2674.27,76486.9,140234.7,15.175,120.7640,167.379,0.000,1.000,0.003,52.6,65.827,245.109,747,3079.2,83.23,11.804,4.89,183.970,6579.8,105.857,0.135,2.00,21.3945,47260.5,1.5848,0.7074,15.91,1.847,0.411,1.5131,0.0000,0.909,0.208,0.880,0.0000,4.43,0.87,8,16,24,76,59.4602,3.0997,0.5618,0.0000,0.0000,42.5072,100.00,52.4594,436.8181,0.0,0.0000,0.0000
100000,2371,1.141,0.446,17.28,28270,24826,1015,2237,30,143153,411606.3,208901.3,0.170,0.608,0.121,0.101,160,21.48,11.44,2.06,4.58,2.35,3.56,0.42,2.31,12.30,7.87,0.00,0.12,0.086,0.132,1285,0.045,0.085,0.898,0.000,0.017,93365,81955,4,0.593,0.100,0.078,626029,0.223,2.241,0.034,5.80,40859,425,1.459,0.219,0.301,6731162,1.58,2.72,0.230,0.483,0.002,7.7,19.7,32.0,118.0,40637,0.155,0.00,0.0014,0.061,664,0.790,0.000,0.656,0.701,3.57,4.69,4.73,0.02,0.010,1.35,1.52,1.73,0.797,0.00083,0.82,21.6528,2249.09,92823.4,140234.7,1.085,35.1497,74.178,0.000,1.000,0.248,57.3,33.137,76.400,364,1392.1,42.16,8.008,5.21,60.852,3383.1,35.372,0.134,2.00,15.3196,36322.8,1.1368,0.5984,17.14,1.251,0.622,0.4869,0.0000,0.622,0.304,0.416,0.0000,5.36,1.14,7,16,25,64,30.6044,0.5764,0.4888,0.0000,0.0000,11.2188,100.00,97.7364,306.2946,0.0,0.0000,0.0000
