step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,1822,0.999,0.679,6.09,23344,18346,3385,98,1110,25219,1101319.6,315080.5,0.277,0.446,0.153,0.124,75,36.13,20.04,1.03,4.22,2.73,6.61,3.38,8.11,28.29,17.75,0.04,0.39,0.076,0.164,732,0.212,0.061,0.929,0.000,0.010,153680,149685,22,0.600,0.085,0.274,4999455,0.235,3.215,0.050,3.30,39467,348,12.494,0.612,0.205,9731720,1.22,4.50,0.406,0.163,0.013,8.1,39.7,58.1,124.3,64549,0.246,0.00,0.0021,0.047,490,0.950,0.000,0.509,0.849,5.20,6.68,6.44,0.07,0.021,1.33,1.16,1.20,0.951,0.00044,2.61,60.4628,4176.33,72611.0,139882.8,12.650,110.2738,174.662,0.000,1.000,0.018,68.7,78.096,236.476,533,2544.5,70.58,27.768,7.82,177.811,4217.7,96.694,0.136,2.00,29.0589,52945.3,0.9415,0.4156,35.43,1.027,0.129,1.5005,0.0000,0.487,0.086,0.333,0.0000,7.56,1.05,9,40,49,121,74.9687,2.3320,0.6690,0.0000,0.0000,49.4709,100.00,52.0501,404.7181,0.0,0.0000,0.0000
20000,1450,1.131,0.514,6.75,11848,10298,1599,37,286,10064,394089.9,113346.5,0.155,0.642,0.118,0.085,163,36.61,17.83,0.11,1.02,1.71,4.88,4.92,8.33,32.17,16.96,0.00,0.13,0.039,0.110,461,0.265,0.122,0.872,0.000,0.006,53851,52777,2,0.981,0.018,0.385,3446487,0.196,2.703,0.037,3.43,12841,431,11.263,0.622,0.139,5811900,1.02,1.79,0.489,0.145,0.001,9.5,41.6,56.3,85.3,56420,0.215,0.00,0.0008,0.072,362,0.913,0.000,0.455,0.783,5.68,6.69,6.76,0.02,0.006,1.02,1.03,1.02,0.913,0.00055,0.48,21.2145,2305.07,89323.6,139882.8,0.391,40.0171,65.932,0.000,1.000,0.096,51.1,30.550,79.932,512,2359.9,64.45,6.289,6.91,65.467,3479.9,36.099,0.134,2.00,27.1678,39393.4,0.7737,0.5100,38.91,0.967,0.130,0.4995,0.0000,0.472,0.070,0.308,0.0000,7.08,0.46,12,47,49,64,29.0901,0.6651,0.6276,0.0000,0.0000,12.0724,100.00,101.4603,268.9539,0.0,0.0000,0.0000
30000,2058,0.910,0.625,7.63,33734,28149,3121,705,1151,79730,1204040.1,536537.9,0.110,0.694,0.118,0.078,110,33.22,19.30,0.86,3.64,6.06,9.41,3.59,7.47,20.96,15.04,0.03,0.28,0.160,0.228,1251,0.053,0.068,0.924,0.000,0.008,265247,253814,4,0.615,0.344,0.334,8500455,0.214,3.190,0.045,4.00,70582,659,6.729,0.252,0.211,16603693,1.19,3.48,0.336,0.383,0.014,5.7,34.9,56.2,132.3,64765,0.247,0.00,0.0028,0.050,567,0.932,0.000,0.412,0.873,5.00,6.29,6.03,0.14,0.037,1.22,1.20,1.17,0.934,0.00062,1.85,95.5759,3841.85,75171.5,139882.8,21.245,98.9715,172.121,0.000,1.000,0.002,67.9,74.739,242.052,372,1637.1,72.69,8.335,6.62,171.126,4566.8,119.765,0.135,2.00,24.8595,51160.9,0.9594,0.7487,31.47,1.055,0.161,1.5005,0.0000,0.471,0.092,0.376,0.0000,6.86,0.85,7,35,49,100,68.6829,4.7751,0.6822,0.0000,0.0000,47.6157,100.00,52.7001,459.5663,0.0,0.0000,0.0000
40000,1370,1.158,0.825,9.65,10477,8461,1642,958,104,103161,325664.9,141090.8,0.130,0.630,0.129,0.110,152,40.34,16.33,1.35,3.81,6.88,7.90,3.95,6.87,22.53,13.01,0.03,0.31,0.167,0.176,955,0.026,0.102,0.884,0.000,0.014,48265,44194,10,0.428,0.088,0.413,3310406,0.208,2.915,0.068,3.55,16241,861,1.368,0.172,0.161,6145723,1.36,1.50,0.374,0.499,0.018,17.5,41.8,57.9,112.1,47547,0.181,0.00,0.0011,0.079,292,0.927,0.000,0.542,0.786,5.06,6.10,6.08,0.32,0.118,1.40,1.46,1.30,0.932,0.00066,0.50,18.0587,1699.31,100303.1,139882.8,0.136,45.7542,57.235,0.000,1.000,0.172,37.5,26.015,79.824,1089,5373.1,58.70,5.589,6.37,65.709,6116.6,29.592,0.132,2.01,17.0278,23328.2,0.6319,0.5464,34.71,1.198,0.230,0.4995,0.0000,0.509,0.111,0.564,0.0000,6.44,0.78,16,36,49,80,24.4036,0.6983,0.6153,0.0000,0.0000,11.9499,100.00,102.5763,235.4493,0.0,0.0000,0.0000
50000,2303,0.958,0.790,14.15,28968,21278,2882,3537,338,382497,1008670.2,579294.4,0.076,0.734,0.085,0.106,103,37.15,19.40,1.41,3.28,8.34,7.88,0.92,4.10,11.63,8.72,0.05,0.35,0.210,0.151,1979,0.012,0.047,0.948,0.000,0.005,209779,187789,6,0.364,0.525,0.110,4273667,0.215,3.005,0.064,3.84,83189,818,1.515,0.140,0.347,19439932,1.44,3.05,0.173,0.736,0.022,10.9,37.0,61.8,116.4,51340,0.196,0.00,0.0038,0.079,669,0.953,0.000,0.777,0.862,3.81,5.02,5.07,0.44,0.173,1.39,1.50,1.45,0.958,0.00099,1.34,75.7891,2922.37,84844.5,139882.8,6.681,131.0547,149.699,0.000,1.000,0.000,51.8,58.427,243.544,807,3622.3,69.83,11.752,5.78,187.183,6170.0,99.953,0.135,2.00,16.5544,38124.8,1.0749,0.6896,22.29,1.607,0.227,1.5005,0.0000,0.513,0.102,0.557,0.0000,5.76,0.81,7,22,36,80,54.0736,2.0809,0.6800,0.0000,0.0000,46.7886,100.00,58.9948,407.8791,0.0,0.0000,0.0000
60000,1732,1.438,0.575,12.27,12417,10353,1433,1143,59,119003,321761.0,143708.8,0.095,0.726,0.111,0.068,150,36.62,19.17,0.70,2.94,7.09,7.85,0.60,2.77,16.69,13.50,0.13,0.69,0.183,0.171,1214,0.040,0.075,0.916,0.000,0.009,45598,40520,8,0.513,0.038,0.073,887951,0.181,2.817,0.043,3.23,18020,664,1.208,0.198,0.329,6775264,1.21,2.86,0.290,0.635,0.043,10.2,37.5,60.5,191.1,43437,0.166,0.00,0.0011,0.089,522,0.889,0.000,0.780,0.732,4.06,5.20,5.21,0.27,0.089,1.26,1.21,1.18,0.893,0.00094,0.44,15.2523,2956.88,97568.4,139882.8,0.037,44.7318,56.571,0.000,1.000,0.059,48.9,25.369,79.833,374,1564.1,65.35,6.717,5.88,65.594,4738.5,28.859,0.132,2.01,16.7909,29081.9,0.9429,0.5869,25.08,1.481,0.337,0.4995,0.0000,0.455,0.091,0.247,0.0000,5.88,0.76,7,25,39,100,23.5486,0.1908,0.5121,0.0000,0.0000,12.5368,100.00,102.1377,220.0600,0.0,0.0000,0.0000
70000,2179,0.880,0.782,19.20,33409,24612,2189,6097,64,464697,936232.0,651183.3,0.057,0.741,0.101,0.100,101,36.72,20.91,1.20,3.28,7.54,6.65,0.57,3.06,10.26,10.74,0.11,0.56,0.207,0.144,1814,0.006,0.049,0.947,0.000,0.004,203404,176585,13,0.278,0.308,0.107,2521428,0.174,2.968,0.065,3.79,96606,741,1.401,0.146,0.315,19095946,1.32,2.60,0.215,0.772,0.045,11.8,35.7,58.5,281.5,42653,0.163,0.00,0.0042,0.084,615,0.934,0.000,0.846,0.836,3.48,4.65,4.77,0.49,0.184,1.40,1.24,1.34,0.941,0.00146,1.36,71.9058,1967.68,90380.0,139882.8,5.223,138.4775,143.345,0.000,1.000,0.004,52.2,53.574,243.509,832,3660.0,100.84,10.526,5.34,188.978,6921.7,93.019,0.134,2.00,15.2020,33125.2,1.1771,0.7874,19.57,1.854,0.295,1.5005,0.0000,0.489,0.158,0.458,0.0000,5.32,0.87,6,18,36,100,48.5712,1.8242,0.6999,0.0000,0.0000,46.4841,100.00,60.8403,397.5746,0.0,0.0000,0.0000
80000,2027,1.235,0.644,21.29,18335,14529,1209,2738,11,207661,372303.8,210304.1,0.057,0.716,0.140,0.087,157,33.92,22.66,0.77,3.00,6.74,7.36,1.21,3.22,10.45,8.31,0.04,0.29,0.177,0.146,1607,0.014,0.076,0.919,0.000,0.004,59569,50185,8,0.508,0.153,0.278,2633647,0.157,2.531,0.054,4.13,29892,560,1.013,0.175,0.358,7621073,1.21,2.97,0.245,0.732,0.018,8.0,30.0,58.9,167.6,38862,0.148,0.00,0.0018,0.080,582,0.850,0.000,0.671,0.697,3.45,4.54,4.66,0.19,0.074,1.27,1.14,1.22,0.858,0.00114,0.53,18.2026,1876.87,101068.1,139882.8,0.170,41.0937,66.703,0.000,1.000,0.153,48.3,28.762,79.840,668,2806.1,52.62,7.262,5.30,64.652,5647.4,33.192,0.134,2.00,12.0029,24330.0,0.9638,0.5947,19.17,1.742,0.393,0.4995,0.0000,0.435,0.186,0.312,0.0000,5.31,0.77,5,20,33,94,26.1760,0.2685,0.5506,0.0000,0.0000,12.3559,100.00,103.2559,255.1802,0.0,0.0000,0.0000
90000,2119,0.963,0.811,26.65,40850,28985,1284,10421,68,657711,917898.6,720574.1,0.043,0.727,0.138,0.092,80,46.67,34.45,1.38,4.59,9.34,10.61,0.69,3.52,12.14,12.43,0.08,0.53,0.196,0.156,1775,0.017,0.042,0.956,0.000,0.002,211205,174194,15,0.057,0.723,0.134,5096625,0.160,2.915,0.066,4.40,118625,642,1.096,0.145,0.333,18768005,1.41,2.98,0.201,0.757,0.033,12.0,40.0,90.0,341.9,49912,0.190,0.00,0.0036,0.086,596,0.915,0.000,0.774,0.807,4.02,5.05,5.25,0.26,0.104,1.53,1.32,1.41,0.926,0.00203,1.37,68.3059,1899.92,90158.6,139882.8,2.593,140.2021,144.395,0.000,1.000,0.005,52.5,54.177,243.492,953,4167.0,61.83,13.397,5.28,191.068,6943.8,90.115,0.134,2.00,15.2749,32367.5,1.0596,0.6697,23.55,1.896,0.266,1.5005,0.0000,0.547,0.230,0.604,0.0000,5.83,1.33,6,22,45,183,48.5652,1.3093,0.7202,0.0000,0.0000,46.4066,100.00,69.5090,399.8342,0.0,0.0000,0.0000
100000,2070,1.292,0.545,19.74,16077,13123,1306,1686,11,152183,377137.0,177753.4,0.091,0.665,0.147,0.097,150,34.00,21.53,0.71,3.08,5.77,8.45,1.11,3.69,14.15,13.30,0.06,0.39,0.154,0.180,1351,0.063,0.092,0.895,0.000,0.012,55190,46749,11,0.271,0.293,0.166,1971782,0.176,2.731,0.040,4.83,26987,731,1.168,0.172,0.346,6661375,1.20,2.87,0.367,0.576,0.027,8.7,32.0,55.4,340.0,45017,0.172,0.00,0.0013,0.091,617,0.842,0.000,0.576,0.713,3.60,4.70,4.85,0.13,0.058,1.24,1.15,1.21,0.848,0.00102,0.82,17.6952,3283.78,92339.4,139882.8,0.382,40.4455,65.483,0.000,1.000,0.061,54.7,28.494,78.319,281,1175.9,68.38,7.118,5.47,63.887,4250.1,32.733,0.134,1.99,16.6599,34486.0,1.1223,0.6078,21.75,1.620,0.420,0.4995,0.0000,0.375,0.206,0.216,0.0000,5.46,1.03,6,21,36,121,26.1187,0.2724,0.5285,0.0000,0.0000,11.9155,100.00,102.5283,236.4910,0.0,0.0000,0.0000
