step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,668,33.93,2.93,4.08,1.50,23.07,0.09,1.68,0.021,0.242,378502.4,110873.9,23,21,4.83,1.73,1.77,20.9597,583.41,29145.7,2.7287,1.1997,5462,23.7949,519,67.5253,332320.7,165.42,2.3235,0.0,0.0000
10000,1,555,36.10,2.22,4.58,1.99,26.23,0.10,1.54,0.031,0.223,353016.1,90969.4,27,45,5.06,1.52,1.50,17.5955,457.25,30740.6,3.4410,1.3091,5461,23.7905,559,64.6905,305964.1,81.35,19.7693,0.0,0.0000
10000,2,335,31.99,1.52,1.58,1.97,25.74,0.02,1.34,0.012,0.117,223323.9,45570.1,16,21,4.81,1.27,1.39,8.5632,285.45,35392.7,1.1477,1.0869,5461,23.7905,540,45.8117,174378.7,53.21,38.1378,0.0,0.0000
20000,0,319,45.42,0.55,0.42,1.64,42.82,0.00,1.10,0.000,0.167,74796.2,17170.2,3,16,6.50,1.07,1.10,2.7441,199.14,36979.6,0.1338,1.2288,5462,3.9650,775,32.4312,64652.7,165.42,0.8405,0.0,0.0000
20000,1,184,48.04,1.14,0.09,0.77,44.78,0.00,1.14,0.000,0.099,32348.7,6520.1,1,28,6.73,1.11,1.19,1.2852,190.90,36393.3,0.0157,0.6949,5461,3.9643,601,16.0204,26246.0,81.35,4.9531,0.0,0.0000
20000,2,147,47.63,0.79,0.12,1.04,43.90,0.02,1.04,0.007,0.076,20030.3,3342.1,1,25,6.96,1.01,1.08,0.6968,185.79,34371.8,0.0140,0.5112,5461,3.9643,532,10.4534,15266.5,53.21,8.7686,0.0,0.0000
30000,0,1160,19.66,0.86,0.79,1.28,16.54,0.01,1.22,0.005,0.259,476144.4,199605.8,2,84,4.05,1.17,1.28,33.6019,732.05,22273.3,10.1239,1.7786,5462,27.2124,159,64.2391,460071.0,165.42,2.8215,0.0,0.0000
30000,1,910,17.81,0.93,0.66,0.83,14.94,0.00,1.22,0.003,0.182,394704.5,151608.2,2,73,3.80,1.16,1.34,25.3996,732.77,27176.0,11.5324,1.7835,5461,27.2074,125,52.9582,378425.1,81.35,18.4962,0.0,0.0000
30000,2,673,20.15,1.07,0.77,0.93,16.82,0.00,1.24,0.000,0.150,286894.4,98512.8,1,81,4.03,1.20,1.31,16.4797,385.12,34686.7,5.3628,1.9222,5461,27.2074,202,40.4222,268087.3,53.21,37.9019,0.0,0.0000
40000,0,871,20.13,1.15,0.12,1.51,16.53,0.01,1.28,0.002,0.192,223088.2,63106.8,1,53,4.35,1.19,1.41,10.1434,822.36,22660.1,0.4839,2.1059,5462,10.7478,103,31.9126,203760.1,165.42,1.1342,0.0,0.0000
40000,1,618,20.41,0.98,0.04,0.30,17.73,0.00,1.22,0.000,0.135,92053.3,21725.6,1,103,4.26,1.16,1.33,3.3612,535.18,30852.4,0.0676,1.4467,5461,10.7458,186,14.4570,78238.1,81.35,4.1779,0.0,0.0000
40000,2,474,22.92,0.95,0.34,0.18,19.98,0.01,1.19,0.002,0.117,55166.6,9029.7,1,117,4.30,1.11,1.29,1.6174,153.45,41297.8,0.0185,1.0772,5461,10.7458,249,10.1195,44984.8,53.21,8.4833,0.0,0.0000
50000,0,1289,19.75,1.05,3.89,0.06,12.06,0.00,1.29,0.000,0.251,466687.2,185765.6,1,101,3.81,1.19,1.39,27.1575,1052.50,24059.3,13.0866,1.9322,5462,32.3248,91,59.3052,452084.9,165.42,2.8741,0.0,0.0000
50000,1,1117,19.47,1.10,4.33,0.23,11.25,0.00,1.31,0.002,0.216,430034.6,160434.7,2,147,3.81,1.22,1.41,22.9933,455.91,28988.3,14.6715,2.1487,5461,32.3189,141,52.7817,412503.3,81.35,18.8556,0.0,0.0000
50000,2,863,21.36,1.20,4.86,0.24,12.16,0.01,1.32,0.010,0.183,318941.9,119955.3,1,122,4.06,1.26,1.40,17.2896,298.30,36936.6,5.0748,2.1759,5461,32.3189,154,40.1105,300212.5,53.21,34.9562,0.0,0.0000
60000,0,996,22.49,0.79,3.44,0.05,14.39,0.00,1.23,0.000,0.212,188721.1,63723.8,3,74,3.95,1.13,1.29,7.8526,951.91,24526.5,0.1302,1.6647,5462,9.1669,148,31.9534,173953.9,165.42,1.0657,0.0,0.0000
60000,1,793,22.75,0.89,3.47,0.06,14.45,0.00,1.25,0.000,0.172,84410.7,25003.0,2,107,4.06,1.16,1.33,2.8272,410.31,32140.5,0.0536,0.9697,5461,9.1652,245,16.2560,75639.5,81.35,4.8620,0.0,0.0000
60000,2,487,25.42,0.95,1.92,0.00,18.39,0.00,1.23,0.000,0.118,45755.3,13976.9,2,127,4.46,1.15,1.35,1.4756,196.30,39460.5,0.0068,0.7011,5461,9.1652,274,9.8153,39587.6,53.21,8.1118,0.0,0.0000
70000,0,1342,20.92,0.71,6.03,0.11,8.32,0.00,1.20,0.001,0.233,420186.4,210003.6,3,86,3.42,1.14,1.27,24.9518,1361.56,24019.5,7.4799,1.0688,5462,26.6381,144,64.4442,415348.4,165.42,2.4606,0.0,0.0000
70000,1,1092,22.25,0.96,5.18,0.17,10.14,0.01,1.28,0.005,0.206,405612.2,198938.3,4,104,3.66,1.15,1.36,23.6928,839.91,27678.3,7.7848,1.1059,5461,26.6333,143,64.8074,400248.3,81.35,19.1185,0.0,0.0000
70000,2,863,24.34,1.20,6.19,0.05,10.10,0.00,1.35,0.002,0.173,281521.0,144114.9,3,101,3.72,1.31,1.48,15.5981,745.91,32204.4,2.9512,1.2012,5461,26.6333,167,42.2254,273180.3,53.21,34.7030,0.0,0.0000
80000,0,1089,21.76,1.06,4.88,0.28,10.22,0.00,1.32,0.001,0.204,187966.8,83581.0,8,79,3.62,1.22,1.40,8.3385,968.07,27501.9,0.0977,1.6931,5462,9.2626,221,31.4394,173037.3,165.42,0.7885,0.0,0.0000
80000,1,721,20.90,1.03,4.84,0.22,9.68,0.00,1.31,0.000,0.130,83018.6,34364.9,8,121,3.65,1.18,1.39,3.1395,381.32,33927.0,0.0210,1.0775,5461,9.2609,348,16.3619,73705.4,81.35,5.1473,0.0,0.0000
80000,2,522,23.89,0.95,6.54,0.16,9.77,0.00,1.27,0.000,0.104,46398.1,20067.5,4,136,3.79,1.16,1.36,1.7523,114.51,41844.6,0.0005,0.7655,5461,9.2609,339,9.8827,39875.1,53.21,8.2657,0.0,0.0000
90000,0,1035,25.83,0.84,3.34,0.09,10.71,0.06,1.27,0.030,0.177,420812.9,405949.0,6,82,3.16,1.22,1.30,33.1690,744.55,29489.8,2.1308,1.3517,5462,23.1270,243,70.1622,412976.9,165.42,2.4267,0.0,0.0000
90000,1,855,24.21,0.85,3.64,0.06,10.04,0.03,1.27,0.016,0.142,406895.2,369921.8,7,119,3.25,1.22,1.33,29.4978,334.17,31041.8,2.1020,1.4394,5461,23.1228,234,70.4815,398087.5,81.35,18.0411,0.0,0.0000
90000,2,663,26.61,1.20,4.58,0.09,10.04,0.03,1.43,0.014,0.122,246024.6,226190.0,8,161,3.34,1.38,1.47,15.6058,294.81,36020.4,0.9367,1.6376,5461,23.1228,282,43.4157,231988.3,53.21,35.5060,0.0,0.0000
100000,0,1070,25.13,0.86,4.06,0.23,10.66,0.02,1.31,0.010,0.193,215327.2,126995.5,11,108,3.25,1.30,1.38,9.7598,683.94,28878.7,0.6580,2.3294,5462,10.5095,143,31.7903,193510.5,165.42,0.8616,0.0,0.0000
100000,1,914,22.50,0.77,2.94,0.30,11.13,0.02,1.25,0.010,0.160,98785.3,48122.7,9,116,3.29,1.25,1.31,3.3242,439.60,33043.6,0.0783,1.6840,5461,10.5075,187,14.1808,82088.7,81.35,4.7724,0.0,0.0000
