step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,2344,0.564,1.065,9.94,29806,20430,4120,2668,1696,246149,960575.6,337672.2,0.203,0.564,0.078,0.156,76,32.96,27.41,1.39,5.20,7.68,11.03,0.72,3.36,12.32,11.60,0.06,0.53,0.203,0.209,1547,0.020,0.049,0.935,0.001,0.015,138798,129846,9,0.858,0.122,0.086,4509490,0.244,3.015,0.095,3.35,40881,648,1.372,0.248,0.270,16487472,1.36,16.44,0.021,0.522,0.016,6.7,25.4,65.7,246.3,51831,0.198,0.00,0.0033,0.045,573,0.978,0.000,0.641,0.786,4.31,5.88,5.91,0.19,0.073,1.35,1.39,1.35,0.982,0.00050,1.96,51.2958,1647.03,97308.6,140196.6,7.050,132.7774,160.337,0.000,1.000,0.090,44.9,70.412,245.983,1463,7360.2,35.40,24.093,7.67,190.104,8079.3,84.227,0.134,2.00,9.6094,22524.5,0.6823,0.4235,22.11,1.464,0.199,1.5288,0.0000,0.491,0.067,0.436,0.0000,9.54,1.30,4,17,46,110,67.2488,1.9887,0.7526,0.0000,0.0000,48.0071,100.00,61.0270,412.9347,0.0,0.0000,0.0000
20000,903,1.648,1.171,9.61,6454,5669,1604,403,219,37865,149913.0,34959.7,0.182,0.718,0.028,0.072,111,57.25,36.00,0.63,4.07,1.56,5.22,1.06,4.63,36.78,22.69,0.00,0.00,0.029,0.098,342,0.039,0.190,0.802,0.000,0.008,12688,11594,2,0.965,0.024,0.111,869130,0.246,3.217,0.101,2.67,4421,957,0.923,0.127,0.064,5435479,1.12,8.67,0.104,0.064,0.000,17.3,52.5,107.7,268.3,36148,0.138,0.00,0.0005,0.054,256,0.963,0.000,0.796,0.510,6.25,7.71,7.17,0.04,0.011,1.09,1.17,1.12,0.966,0.00070,0.21,4.4817,643.87,108751.5,140196.6,0.002,52.2150,28.339,0.000,1.000,0.088,33.1,13.839,73.925,1739,9720.2,42.56,3.974,8.09,62.243,8433.0,12.585,0.132,2.02,10.7483,9705.7,0.4499,0.3985,40.03,1.405,0.123,0.4712,0.0000,0.475,0.067,0.299,0.0000,9.55,0.99,12,39,78,120,13.1207,0.0844,0.5548,0.0000,0.0000,12.0835,100.00,101.1388,159.5475,0.0,0.0000,0.0000
30000,2671,0.764,0.776,21.99,141057,105102,723,24394,9070,931366,918124.7,694899.2,0.108,0.692,0.054,0.145,77,22.94,20.74,0.49,2.46,3.00,5.64,0.77,5.78,8.04,8.36,0.04,0.49,0.128,0.168,1903,0.017,0.058,0.909,0.003,0.030,253809,223626,3,0.586,0.358,0.052,1775260,0.145,2.664,0.066,5.98,100850,336,0.746,0.243,0.376,25781926,1.16,34.42,0.000,0.599,0.007,4.0,16.0,51.8,189.9,32873,0.125,0.00,0.0043,0.052,605,0.885,0.000,0.881,0.447,3.49,8.56,3.70,0.05,0.011,1.21,1.22,1.15,0.909,0.00206,1.48,48.4123,695.32,107256.4,140196.6,11.473,116.9299,182.736,0.000,1.000,0.259,56.0,73.877,247.525,991,4129.0,35.40,16.160,7.62,184.972,7612.3,90.252,0.134,2.00,6.3281,16902.3,0.9954,0.4733,12.31,1.885,0.262,1.5288,0.0000,0.456,0.144,0.410,0.0000,13.11,2.00,2,9,26,133,67.5505,0.8276,0.5867,0.0000,0.0000,46.5673,100.00,77.9337,500.7859,0.0,0.0000,0.0000
40000,615,1.103,1.538,23.42,15865,14545,740,1928,708,92456,146383.2,61340.2,0.053,0.661,0.043,0.243,108,51.78,43.85,1.30,5.81,1.36,5.30,5.39,14.47,19.65,15.69,0.01,0.20,0.022,0.068,376,0.039,0.096,0.894,0.000,0.010,20157,16479,9,0.260,0.169,0.317,1198521,0.135,3.556,0.128,3.00,11656,376,0.663,0.267,0.127,4927789,1.29,20.19,0.011,0.120,0.003,14.0,35.6,101.8,430.2,17030,0.065,0.00,0.0012,0.046,8,0.889,0.000,0.782,0.230,5.42,10.08,5.36,0.02,0.007,1.32,1.45,1.24,0.903,0.00128,0.23,3.9210,282.17,105381.4,140196.6,0.008,51.5130,30.198,0.000,1.000,0.127,14.2,13.636,74.623,2361,13494.6,32.04,3.281,10.06,62.339,10719.0,12.637,0.134,2.00,13.4687,8283.3,0.7398,0.4652,27.69,1.965,0.081,0.4712,0.0000,0.479,0.155,0.486,0.0000,12.11,1.73,7,18,56,165,12.7067,0.1354,0.6715,0.0000,0.0000,11.6276,100.00,103.1740,182.5898,0.0,0.0000,0.0000
50000,2822,0.572,0.796,27.88,157589,125629,359,20395,8999,836977,808704.6,578808.5,0.024,0.688,0.039,0.248,40,26.21,22.97,0.64,3.19,2.45,4.52,1.45,7.08,8.70,8.00,0.01,0.12,0.098,0.140,2028,0.024,0.056,0.921,0.000,0.023,210583,172850,15,0.400,0.518,0.123,3896801,0.126,2.730,0.067,5.65,124141,348,0.692,0.279,0.285,27400208,1.20,37.82,0.000,0.567,0.003,6.0,20.0,51.0,228.0,37343,0.142,0.00,0.0033,0.058,716,0.870,0.001,0.849,0.255,3.75,9.72,3.28,0.02,0.012,1.30,1.28,1.16,0.894,0.00175,1.40,27.9134,516.60,101090.3,140196.6,5.946,126.8037,171.235,0.000,1.000,0.167,58.3,69.259,247.308,1031,4299.1,29.54,16.435,10.11,190.845,7947.3,75.929,0.136,2.00,8.1174,22907.4,1.1173,0.5036,13.23,1.994,0.029,1.5288,0.0000,0.787,0.175,0.905,0.0000,14.46,1.73,3,10,26,158,63.7679,0.5488,0.7147,0.0000,0.0000,46.6353,100.00,82.9403,499.7047,0.0,0.0000,0.0000
60000,284,0.698,1.798,21.50,9057,10000,1048,221,326,31738,131653.7,31167.6,0.066,0.543,0.094,0.297,108,40.53,36.93,0.04,0.59,1.73,5.86,4.39,11.21,16.75,15.18,0.00,0.00,0.026,0.075,158,0.060,0.095,0.870,0.000,0.035,12144,9692,5,0.268,0.426,0.342,1491847,0.220,3.784,0.149,2.85,7676,732,0.982,0.222,0.144,3995907,1.00,31.45,0.000,0.067,0.000,13.3,28.2,76.7,248.0,6503,0.025,0.00,0.0028,0.018,0,0.939,0.000,0.838,0.274,4.62,8.06,5.61,0.01,0.004,1.00,1.01,1.00,0.945,0.00165,0.18,3.4577,46.15,106597.4,140196.6,0.010,52.4448,27.369,0.000,1.000,0.009,6.0,13.438,74.502,2792,16298.1,27.42,2.649,9.44,62.479,12162.5,11.610,0.137,1.98,13.0426,3704.1,0.8283,0.5079,22.90,1.954,0.048,0.4712,0.0000,0.628,0.185,0.764,0.0000,13.97,1.18,7,15,42,130,12.8463,0.1185,0.6479,0.0000,0.0000,11.6794,100.00,102.2664,178.3538,0.0,0.0000,0.0000
70000,3662,0.666,0.523,19.49,45139,37237,2231,110,2183,18287,706367.8,144640.1,0.073,0.375,0.105,0.446,62,32.72,25.27,0.34,2.68,1.27,4.52,3.33,9.89,13.97,10.69,0.00,0.02,0.027,0.083,1844,0.026,0.085,0.891,0.001,0.023,82477,74030,16,0.446,0.372,0.275,8013544,0.261,2.393,0.043,4.64,46402,601,7.909,0.291,0.194,10429781,1.09,30.43,0.001,0.091,0.000,11.5,25.6,61.5,259.4,69259,0.264,0.00,0.0014,0.022,1075,0.976,0.000,0.945,0.459,4.19,6.46,6.10,0.00,0.002,1.08,1.12,1.08,0.977,0.00013,1.23,26.2695,1730.68,73357.5,140196.6,18.907,126.8990,123.240,0.000,1.000,0.024,82.1,53.926,246.477,551,2545.7,66.48,13.027,7.65,179.506,4022.8,65.980,0.134,2.00,14.5698,53354.4,1.0625,0.5109,18.91,1.861,0.129,1.5288,0.0000,0.625,0.160,0.806,0.0000,13.18,1.65,6,14,37,146,52.9982,0.4723,0.6999,0.0000,0.0000,46.1930,100.00,64.3138,395.0630,0.0,0.0000,0.0000
80000,1025,0.817,1.339,19.13,12793,12650,2120,132,528,12616,233813.8,42877.6,0.092,0.327,0.126,0.454,116,37.85,25.25,0.09,1.16,1.08,4.80,7.30,16.38,16.56,11.12,0.00,0.00,0.017,0.069,512,0.037,0.132,0.854,0.001,0.014,18314,15909,15,0.338,0.163,0.456,3384342,0.255,3.306,0.110,3.29,10462,621,3.399,0.167,0.070,3837967,1.02,25.89,0.002,0.046,0.000,13.0,31.1,72.8,178.6,25649,0.098,0.00,0.0014,0.057,61,0.959,0.000,0.908,0.329,4.83,7.49,6.02,0.00,0.000,1.02,1.01,1.02,0.961,0.00032,0.31,8.3978,264.43,104783.5,140196.6,0.217,44.8921,47.528,0.000,1.000,0.292,24.8,23.164,75.148,2033,11067.0,37.38,3.785,7.42,61.619,9814.8,21.120,0.134,2.00,11.5465,11835.2,0.7550,0.5710,25.02,1.782,0.169,0.4712,0.0000,0.559,0.140,0.681,0.0000,12.88,1.24,7,20,47,162,22.6077,0.2223,0.6898,0.0000,0.0000,11.7677,100.00,99.5878,236.6323,0.0,0.0000,0.0000
90000,3793,0.667,0.511,17.67,95135,82986,3278,590,5513,49949,1082581.4,287293.8,0.091,0.451,0.101,0.357,65,25.63,19.11,0.21,1.76,2.21,6.06,2.13,7.74,11.07,7.65,0.01,0.20,0.060,0.127,1995,0.011,0.087,0.880,0.001,0.032,182333,160660,44,0.103,0.427,0.195,10908230,0.254,2.228,0.042,5.15,95377,496,5.752,0.305,0.257,19669898,1.06,30.58,0.000,0.218,0.003,7.5,20.8,50.7,195.7,59282,0.226,0.00,0.0026,0.025,1052,0.961,0.000,0.959,0.482,3.64,6.43,4.62,0.02,0.006,1.07,1.07,1.05,0.962,0.00028,2.10,46.0253,1605.40,85475.8,140196.6,28.229,82.8037,195.669,0.000,1.000,0.078,81.3,88.318,246.809,493,2089.3,48.88,12.774,6.76,167.898,4434.0,105.566,0.136,1.99,11.0197,41797.6,1.0139,0.5698,15.63,1.735,0.225,1.5288,0.0000,0.509,0.138,0.539,0.0000,12.68,1.72,5,13,30,140,85.8606,1.4157,0.6583,0.0000,0.0000,47.0919,100.00,60.5423,521.1330,0.0,0.0000,0.0000
100000,2863,0.832,0.403,17.36,27405,24833,1890,484,1128,31560,332855.7,64076.4,0.107,0.400,0.104,0.389,128,25.41,16.60,0.20,1.84,1.57,5.60,1.44,5.11,13.00,7.03,0.00,0.02,0.037,0.107,1112,0.073,0.149,0.820,0.001,0.029,38176,33692,13,0.838,0.037,0.173,2994814,0.235,1.964,0.033,4.15,20296,501,2.030,0.271,0.131,5861391,1.04,20.01,0.001,0.086,0.000,11.2,20.4,42.9,186.2,46429,0.177,0.00,0.0009,0.043,762,0.899,0.000,0.909,0.303,3.74,5.77,4.93,0.01,0.003,1.04,1.06,1.04,0.901,0.00026,0.79,9.0429,749.92,94067.9,140196.6,1.181,34.3683,63.779,0.000,1.000,0.260,66.4,29.774,74.574,512,2260.4,46.28,5.745,6.49,59.128,3277.3,29.360,0.134,2.01,12.4449,35629.8,1.0078,0.5625,16.22,1.634,0.145,0.4712,0.0000,0.311,0.096,0.065,0.0000,10.25,1.61,7,13,28,100,28.7459,0.2921,0.5760,0.0000,0.0000,11.9542,100.00,100.8821,276.0856,0.0,0.0000,0.0000
