step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,2051,0.805,0.733,7.97,28067,21854,3602,231,1759,35421,1110591.2,354213.0,0.309,0.362,0.155,0.174,84,30.86,21.35,2.26,5.50,3.06,7.73,3.35,7.18,21.84,16.04,0.04,0.37,0.090,0.204,1015,0.034,0.057,0.933,0.000,0.010,181370,175261,29,0.209,0.149,0.323,5704753,0.274,2.808,0.061,4.12,54793,410,10.000,0.433,0.185,8973311,1.53,5.38,0.193,0.174,0.016,8.8,25.3,60.0,129.1,62563,0.239,0.00,0.0025,0.033,558,0.966,0.000,0.567,0.846,4.81,6.21,6.03,0.10,0.036,1.57,1.56,1.52,0.967,0.00032,2.03,65.8107,2349.95,86237.4,140185.7,12.580,106.9386,175.547,0.000,1.000,0.130,63.3,78.923,246.104,853,4205.4,48.50,25.853,7.50,173.116,5128.5,97.408,0.133,2.00,18.9955,38959.8,0.7214,0.4499,30.50,0.978,0.124,1.5345,0.0000,0.515,0.124,0.539,0.0000,7.40,1.04,9,26,61,100,76.1036,2.1731,0.7016,0.0000,0.0000,59.5572,100.00,57.8848,430.8697,0.0,0.0000,0.0000
20000,4156,0.640,0.468,6.29,34923,26326,1397,2616,2479,97515,375370.7,162611.7,0.209,0.542,0.122,0.128,164,9.88,11.88,0.55,2.59,1.36,2.30,0.36,1.58,6.29,9.14,0.01,0.11,0.267,0.290,1692,0.182,0.052,0.882,0.010,0.056,79595,74984,6,0.811,0.010,0.097,3487548,0.271,2.161,0.036,7.39,19091,186,1.668,0.477,0.496,5429506,1.21,16.84,0.016,0.503,0.003,1.8,5.0,25.2,100.2,35546,0.136,0.00,0.0014,0.094,920,0.778,0.000,0.711,0.567,2.60,4.35,2.87,0.02,0.011,1.22,1.25,1.20,0.792,0.00039,1.62,17.6766,1904.02,108229.4,140185.7,0.157,31.6209,69.448,0.000,1.000,0.124,78.2,31.864,67.655,370,1341.3,66.19,5.729,6.67,53.896,4071.7,29.962,0.134,2.00,4.9872,20726.8,0.9590,0.6298,8.55,1.143,0.115,0.4655,0.0000,0.557,0.086,0.818,0.0000,7.37,0.64,2,4,22,64,29.7066,0.5535,0.5082,0.0000,0.0000,13.2091,100.00,102.0819,233.5482,0.0,0.0000,0.0000
30000,3227,0.830,0.608,11.36,200633,157028,405,26337,17792,894026,1059602.8,965434.9,0.111,0.616,0.190,0.083,106,16.48,13.85,0.70,3.25,2.64,3.69,0.09,1.05,7.08,8.07,0.02,0.27,0.157,0.185,1801,0.050,0.067,0.895,0.003,0.035,446078,402628,4,0.611,0.366,0.015,1519496,0.205,2.496,0.050,6.22,131290,388,1.080,0.249,0.380,24978623,1.27,11.97,0.011,0.536,0.007,3.6,13.5,31.3,218.3,33894,0.129,0.00,0.0046,0.076,670,0.802,0.000,0.921,0.552,2.51,4.25,3.01,0.03,0.013,1.31,1.33,1.25,0.823,0.00148,1.65,70.8655,2126.72,100227.9,140185.7,6.545,103.7850,209.234,0.000,1.000,0.126,67.6,82.456,248.013,659,2737.3,66.41,17.310,5.70,180.825,4862.7,105.540,0.134,2.00,8.1156,26189.1,1.2481,0.6314,10.50,1.571,0.466,1.5345,0.0000,0.670,0.094,0.957,0.0000,6.51,0.83,2,9,20,93,74.4816,3.1969,0.5234,0.0000,0.0000,56.1695,100.00,81.0132,531.7634,0.0,0.0000,0.0000
40000,3078,0.915,0.451,11.02,56229,47810,379,3658,4531,210058,432325.6,238542.2,0.097,0.500,0.262,0.140,196,15.71,11.70,0.37,2.21,2.41,3.63,0.03,0.61,8.82,9.02,0.01,0.16,0.134,0.177,1722,0.046,0.103,0.861,0.002,0.033,108160,95256,5,0.481,0.016,0.004,243232,0.237,2.016,0.037,7.76,35797,553,1.136,0.182,0.352,5521192,1.12,10.50,0.013,0.484,0.002,3.7,13.9,29.6,112.1,35777,0.136,0.00,0.0016,0.076,759,0.626,0.000,0.862,0.492,2.90,4.18,4.00,0.02,0.008,1.11,1.17,1.11,0.641,0.00079,1.21,16.5631,1340.11,101088.9,140185.7,0.143,24.0904,84.699,0.000,1.000,0.137,60.7,37.511,69.928,513,2023.1,37.33,8.338,5.36,53.757,3708.7,35.636,0.135,2.00,9.0507,27858.0,1.1946,0.6240,11.62,1.416,0.527,0.4655,0.0000,0.699,0.155,0.926,0.0000,6.51,1.20,3,9,21,81,34.1229,0.9559,0.4626,0.0000,0.0000,13.4083,100.00,107.1693,281.1285,0.0,0.0000,0.0000
50000,3512,0.740,0.505,14.52,154517,125722,1380,12358,14623,591339,1140117.4,920936.8,0.119,0.400,0.338,0.143,100,17.05,15.64,0.87,3.11,2.29,3.60,0.04,0.60,7.01,7.23,0.08,0.48,0.130,0.170,2148,0.016,0.063,0.899,0.004,0.035,412355,359632,7,0.296,0.540,0.010,355526,0.246,2.193,0.041,5.54,152441,609,1.557,0.200,0.340,16125552,1.32,11.57,0.010,0.507,0.033,3.7,12.0,36.0,178.3,35882,0.137,0.00,0.0046,0.071,891,0.776,0.000,0.913,0.627,2.66,4.25,3.42,0.11,0.044,1.34,1.34,1.33,0.796,0.00118,2.06,75.4229,1674.30,89503.0,140185.7,19.905,81.3985,222.166,0.000,1.000,0.040,75.4,91.395,247.545,507,2102.3,40.59,13.942,4.76,168.416,4234.4,116.186,0.135,2.00,10.9738,38539.9,1.5728,0.8075,10.22,1.591,0.512,1.5345,0.0000,0.738,0.175,0.898,0.0000,6.55,1.18,2,8,20,64,80.5800,6.6712,0.5774,0.0000,0.0000,55.4896,100.00,66.7972,547.3194,0.0,0.0000,0.0000
60000,2595,0.684,0.590,11.15,46345,39537,899,3039,3787,161536,381606.0,185977.7,0.198,0.453,0.247,0.103,181,18.79,16.83,0.58,3.16,5.05,7.42,0.07,1.27,9.26,9.60,0.02,0.25,0.218,0.264,1529,0.048,0.084,0.875,0.002,0.039,83347,73487,6,0.657,0.024,0.008,118088,0.261,2.428,0.047,5.32,30380,629,1.151,0.187,0.317,6259275,1.15,11.40,0.013,0.499,0.008,3.6,15.2,39.8,237.8,38813,0.148,0.00,0.0016,0.078,662,0.766,0.000,0.877,0.454,3.40,4.35,5.09,0.23,0.051,1.11,1.17,1.17,0.778,0.00054,0.80,13.8748,1129.21,104366.7,140185.7,0.179,28.2188,76.646,0.000,1.000,0.142,50.5,34.626,73.135,660,2875.5,40.01,7.761,4.37,56.036,5392.9,33.277,0.135,2.01,9.0003,23355.9,1.0087,0.6365,14.96,1.299,0.493,0.4655,0.0000,0.673,0.140,0.958,0.0000,7.43,0.97,3,10,33,100,31.7737,1.4513,0.6050,0.0000,0.0000,13.9372,100.00,104.7641,267.8660,0.0,0.0000,0.0000
70000,3594,0.697,0.568,15.69,124588,97429,1800,11905,12455,498657,1012174.1,667793.1,0.239,0.497,0.192,0.073,93,19.95,16.76,1.00,3.39,3.01,4.21,0.10,1.42,8.70,8.79,0.26,0.83,0.147,0.184,2393,0.023,0.065,0.900,0.002,0.033,298258,265258,6,0.403,0.378,0.014,497344,0.265,2.325,0.048,5.02,122758,592,1.339,0.209,0.307,21523583,1.33,11.76,0.008,0.507,0.097,4.3,16.0,39.6,171.8,46059,0.176,0.00,0.0032,0.067,854,0.902,0.000,0.944,0.584,3.00,4.85,3.69,0.30,0.110,1.41,1.21,1.36,0.914,0.00066,1.70,56.6579,1840.21,93433.6,140185.7,12.145,99.1961,193.173,0.000,1.000,0.085,72.9,80.277,248.380,629,2754.3,44.32,14.284,5.06,175.550,4467.2,101.388,0.134,2.00,9.3040,33438.4,1.1617,0.7255,12.82,1.553,0.487,1.5345,0.0000,0.696,0.179,0.815,0.0000,7.06,1.39,3,10,25,86,72.9862,4.9320,0.6313,0.0000,0.0000,56.9935,100.00,71.6248,505.6258,0.0,0.0000,0.0000
80000,2713,0.822,0.434,8.39,33304,28735,1296,2109,2045,118541,345731.6,137908.6,0.253,0.537,0.124,0.085,169,19.68,14.95,0.69,3.12,4.53,7.61,0.46,2.56,11.54,10.14,0.10,0.56,0.200,0.257,1469,0.034,0.123,0.839,0.000,0.038,64825,57729,4,0.573,0.200,0.055,413845,0.261,2.110,0.034,4.89,23876,551,1.163,0.232,0.268,7033646,1.20,12.84,0.013,0.381,0.035,4.9,16.7,37.2,120.0,46707,0.178,0.00,0.0011,0.088,630,0.832,0.000,0.870,0.496,3.63,5.29,4.67,0.18,0.061,1.21,1.17,1.22,0.839,0.00048,0.86,11.7503,1372.57,98804.2,140185.7,0.050,32.0682,66.101,0.000,1.000,0.073,61.2,30.195,72.753,371,1399.1,41.12,6.658,5.77,56.840,4070.4,29.791,0.134,2.00,11.3952,30915.2,0.9820,0.5894,17.22,1.112,0.178,0.4655,0.0000,0.559,0.061,0.855,0.0000,8.09,0.85,4,15,33,85,28.2450,0.6351,0.5511,0.0000,0.0000,13.6415,100.00,105.0534,233.2474,0.0,0.0000,0.0000
90000,2675,0.891,0.599,9.53,93420,68712,1483,14647,8616,588231,1092911.5,743399.9,0.191,0.531,0.155,0.122,115,32.74,23.55,0.76,2.60,8.09,9.80,0.18,1.79,12.49,9.31,0.18,0.73,0.186,0.192,1882,0.015,0.078,0.912,0.001,0.010,298835,266677,10,0.483,0.148,0.032,1546810,0.226,2.555,0.049,3.93,101566,543,1.264,0.178,0.304,17856698,1.22,8.82,0.167,0.549,0.064,6.0,28.0,63.0,140.8,57575,0.220,0.00,0.0033,0.079,668,0.869,0.000,0.916,0.688,3.95,5.29,4.79,0.26,0.090,1.27,1.17,1.23,0.879,0.00142,1.82,73.3189,2519.91,93763.7,140185.7,8.780,109.5147,181.945,0.000,1.000,0.014,61.3,74.598,248.259,534,2404.5,47.44,8.150,5.47,180.691,4681.5,109.233,0.136,2.00,12.1190,32418.4,0.9159,0.6811,21.52,1.399,0.269,1.5345,0.0000,0.554,0.095,0.669,0.0000,7.19,1.15,5,20,36,81,66.5068,4.2960,0.6546,0.0000,0.0000,56.1878,100.00,70.1871,488.8035,0.0,0.0000,0.0000
100000,1687,1.457,0.586,11.22,19621,15846,1195,2916,652,184304,319261.4,166368.0,0.257,0.519,0.148,0.075,172,40.76,22.12,0.73,3.25,7.82,6.99,0.32,1.84,14.07,9.06,0.02,0.20,0.177,0.138,1173,0.021,0.099,0.895,0.000,0.006,50621,44431,4,0.416,0.068,0.064,580577,0.210,2.923,0.045,3.88,18341,585,0.903,0.167,0.280,5207404,1.20,4.21,0.248,0.601,0.009,9.4,43.6,67.3,126.7,38699,0.148,0.00,0.0013,0.092,389,0.833,0.000,0.767,0.619,4.09,5.30,4.91,0.18,0.075,1.20,1.22,1.21,0.843,0.00118,0.62,14.0794,2263.28,99786.7,140185.7,0.038,37.3806,57.253,0.000,1.000,0.024,37.9,25.207,74.061,555,2192.8,185.31,5.886,6.10,58.104,4793.6,28.223,0.136,2.00,15.9648,26932.6,1.0776,0.5456,22.94,1.700,0.312,0.4655,0.0000,0.654,0.089,0.940,0.0000,6.13,1.08,6,24,36,69,22.8268,0.3837,0.5525,0.0000,0.0000,13.6317,100.00,104.2872,205.4462,0.0,0.0000,0.0000
