step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,2049,0.497,0.960,7.06,25147,19371,3299,378,1502,49072,1024517.4,315205.5,0.307,0.388,0.116,0.189,69,31.36,22.22,2.75,6.22,4.23,6.81,2.67,7.77,18.69,17.10,0.08,0.51,0.152,0.226,1053,0.096,0.046,0.948,0.000,0.006,158938,154428,17,0.477,0.208,0.189,4912728,0.270,3.145,0.082,3.58,45384,632,6.423,0.352,0.244,9075462,1.61,6.75,0.164,0.320,0.033,7.8,25.5,58.8,178.6,58061,0.221,0.00,0.0027,0.034,437,0.973,0.000,0.520,0.842,4.66,5.80,6.37,0.44,0.224,1.35,1.85,1.63,0.975,0.00024,2.49,56.8019,1735.44,91659.5,140196.6,9.271,123.8118,166.307,0.000,1.000,0.088,52.8,75.154,241.428,1237,6285.0,55.07,28.851,7.58,186.215,7375.5,89.216,0.134,2.00,14.8656,30459.7,0.6717,0.5030,28.34,1.040,0.134,1.5288,0.0000,0.456,0.098,0.351,0.0000,7.65,1.25,8,25,51,121,72.7620,1.8966,0.8106,0.0000,0.0000,48.9100,100.00,55.7446,412.3659,0.0,0.0000,0.0000
20000,1243,1.385,0.568,6.95,9146,8019,1581,182,170,20728,235089.8,55360.3,0.218,0.588,0.077,0.117,129,41.00,13.64,0.65,4.00,1.52,5.61,2.60,7.69,39.72,15.40,0.02,0.26,0.038,0.138,352,0.411,0.114,0.874,0.000,0.011,27721,26806,4,0.866,0.017,0.178,1550038,0.246,2.596,0.043,3.11,7410,871,2.671,0.209,0.134,4420061,1.14,1.75,0.660,0.125,0.006,21.0,44.1,53.4,111.1,55300,0.211,0.00,0.0005,0.053,277,0.936,0.000,0.637,0.680,5.74,6.87,6.79,0.04,0.012,1.15,1.14,1.13,0.937,0.00045,0.33,8.8867,1941.27,102519.6,140196.6,0.064,46.2045,41.217,0.000,1.000,0.134,49.5,19.756,74.620,698,3154.7,60.00,6.673,6.88,61.765,3926.2,20.113,0.135,1.98,20.5841,25586.0,0.5550,0.4255,44.49,0.941,0.080,0.4712,0.0000,0.589,0.086,0.867,0.0000,7.26,0.72,20,49,62,81,18.8965,0.2978,0.5559,0.0000,0.0000,11.9380,100.00,101.9246,192.4293,0.0,0.0000,0.0000
30000,2011,0.597,1.023,12.51,72770,51735,1213,14262,4792,723615,869293.9,561082.1,0.127,0.725,0.037,0.110,95,33.76,25.95,0.88,3.66,9.25,13.25,0.43,2.43,10.74,10.65,0.01,0.16,0.207,0.224,1507,0.015,0.074,0.913,0.000,0.012,226999,208606,1,0.774,0.226,0.061,1701548,0.168,3.001,0.090,4.55,75584,529,0.775,0.224,0.299,23772297,1.29,14.80,0.005,0.563,0.006,6.6,26.9,73.8,156.5,42821,0.163,0.00,0.0040,0.074,501,0.946,0.000,0.903,0.681,4.12,4.60,6.45,0.07,0.026,1.28,1.30,1.33,0.955,0.00153,1.21,54.5460,710.82,104114.4,140196.6,4.385,137.3893,147.659,0.000,1.000,0.205,40.6,61.517,248.049,1416,6824.8,46.76,13.002,5.32,194.200,8890.4,85.516,0.135,2.00,8.3184,16728.4,0.7025,0.4285,21.29,1.485,0.255,1.5288,0.0000,0.537,0.109,0.726,0.0000,9.13,1.35,5,18,43,98,56.4832,1.9575,0.7539,0.0000,0.0000,46.1311,100.00,76.6908,463.0609,0.0,0.0000,0.0000
40000,2107,0.925,0.690,11.09,18061,13276,1028,2500,1161,146004,253050.4,101403.6,0.111,0.669,0.126,0.094,142,34.14,27.18,0.88,3.82,7.17,12.79,0.25,1.79,14.93,11.56,0.01,0.14,0.124,0.196,1343,0.021,0.106,0.877,0.000,0.017,37922,34471,7,0.606,0.037,0.040,558149,0.177,2.612,0.057,3.70,15048,565,0.695,0.155,0.290,6527441,1.25,9.42,0.018,0.446,0.003,7.0,27.0,72.2,188.1,48949,0.187,0.00,0.0008,0.059,593,0.906,0.000,0.786,0.539,4.25,4.74,6.42,0.05,0.017,1.17,1.30,1.28,0.911,0.00061,0.45,8.8191,1351.74,107631.4,140196.6,0.170,43.6272,46.576,0.000,1.000,0.296,50.2,21.075,74.865,843,3681.2,49.75,7.396,4.47,60.650,6026.2,21.362,0.133,2.01,8.4607,17826.6,0.6256,0.3728,23.23,1.368,0.297,0.4712,0.0000,0.572,0.093,0.821,0.0000,7.89,1.03,6,21,44,98,19.6039,0.1817,0.6122,0.0000,0.0000,12.2383,100.00,105.5065,229.6283,0.0,0.0000,0.0000
50000,3263,0.704,0.575,14.74,96210,68539,1789,13572,11154,507055,1087724.6,604763.4,0.116,0.668,0.101,0.115,96,29.76,26.63,0.62,2.86,4.93,10.94,0.31,1.90,11.64,8.91,0.00,0.09,0.088,0.155,1986,0.011,0.095,0.884,0.000,0.021,279151,254132,18,0.235,0.300,0.045,1611079,0.215,2.511,0.046,5.08,114311,499,1.193,0.223,0.234,26896176,1.20,13.95,0.012,0.342,0.002,6.9,20.8,67.0,166.7,57086,0.218,0.00,0.0029,0.039,911,0.938,0.000,0.897,0.657,3.61,4.51,5.66,0.02,0.009,1.16,1.23,1.25,0.943,0.00103,1.81,65.6120,1445.69,86524.0,140196.6,12.583,109.1055,184.479,0.000,1.000,0.047,70.4,78.958,247.366,607,2557.8,60.25,15.039,4.52,185.096,5190.9,107.160,0.135,2.00,12.2379,39932.2,1.1237,0.5232,17.49,1.619,0.326,1.5288,0.0000,0.545,0.102,0.667,0.0000,8.50,1.37,5,14,36,103,73.8534,1.7392,0.6758,0.0000,0.0000,45.9047,100.00,69.5391,524.9739,0.0,0.0000,0.0000
60000,2657,0.974,0.450,14.70,29858,24386,1250,2449,2379,115829,361474.4,127261.4,0.105,0.626,0.098,0.171,161,28.52,23.68,0.30,1.90,3.49,9.71,0.51,3.00,13.40,9.88,0.00,0.08,0.061,0.142,1332,0.056,0.131,0.840,0.002,0.027,53121,47606,8,0.431,0.030,0.073,803880,0.201,2.052,0.038,4.82,23840,671,1.099,0.172,0.211,8368216,1.10,14.32,0.002,0.287,0.000,6.5,21.7,60.2,183.0,47031,0.179,0.00,0.0010,0.065,674,0.868,0.000,0.830,0.455,3.63,4.02,5.86,0.02,0.007,1.05,1.12,1.12,0.872,0.00070,0.89,12.2849,1324.92,97696.0,140196.6,0.617,33.7579,68.381,0.000,1.000,0.218,67.9,31.647,74.375,487,1955.6,30.97,7.597,4.22,59.471,3822.1,31.500,0.136,2.00,11.6495,30952.7,1.0145,0.5256,17.70,1.616,0.314,0.4712,0.0000,0.587,0.091,0.804,0.0000,8.46,0.97,4,15,35,96,29.4591,0.3304,0.5480,0.0000,0.0000,11.4111,100.00,102.4551,268.9593,0.0,0.0000,0.0000
70000,3557,0.887,0.627,20.23,125990,85077,752,28132,11129,842235,1058479.4,717723.5,0.067,0.687,0.089,0.157,75,27.33,21.33,0.42,2.06,4.28,8.67,0.34,2.46,9.85,8.27,0.00,0.09,0.099,0.166,2249,0.007,0.073,0.895,0.001,0.031,277313,241431,17,0.402,0.386,0.046,1891230,0.191,2.569,0.053,6.26,141150,375,0.852,0.250,0.283,28621571,1.13,15.17,0.007,0.379,0.002,6.0,22.0,55.9,212.2,52947,0.202,0.00,0.0030,0.040,840,0.906,0.000,0.900,0.549,3.40,4.14,5.69,0.02,0.006,1.08,1.17,1.14,0.915,0.00158,2.03,60.7680,2589.21,84936.8,140196.6,9.060,112.2951,192.559,0.000,1.000,0.105,74.9,80.109,246.797,621,2665.4,55.90,16.500,4.29,187.424,4828.2,103.847,0.136,2.00,11.1944,39818.3,1.2115,0.4872,14.89,1.816,0.279,1.5288,0.0000,0.423,0.152,0.355,0.0000,8.60,1.73,4,12,30,121,73.3345,1.1586,0.5921,0.0000,0.0000,45.7012,100.00,74.3487,532.6594,0.0,0.0000,0.0000
80000,2868,0.987,0.538,22.41,31960,24771,1133,4763,1982,213583,350857.1,165495.2,0.079,0.619,0.151,0.151,135,31.50,27.53,0.35,2.10,5.64,12.77,0.23,2.01,10.48,8.82,0.00,0.13,0.098,0.171,1920,0.007,0.093,0.881,0.001,0.025,48358,39202,7,0.285,0.240,0.031,686043,0.187,2.350,0.045,4.27,28713,529,0.775,0.223,0.272,8181603,1.13,16.85,0.003,0.448,0.002,6.0,24.5,69.4,391.4,47898,0.183,0.00,0.0012,0.051,756,0.856,0.000,0.837,0.359,3.65,3.73,6.73,0.02,0.006,1.09,1.15,1.17,0.863,0.00080,0.73,12.2835,2082.38,101279.4,140196.6,1.037,34.7346,68.726,0.000,1.000,0.272,66.2,30.457,74.643,470,2165.8,57.93,6.296,3.97,59.290,4365.4,30.987,0.135,2.01,8.8536,25392.2,0.9913,0.4973,16.70,1.831,0.179,0.4712,0.0000,0.426,0.135,0.289,0.0000,9.35,1.56,4,13,35,196,27.9012,0.2592,0.5523,0.0000,0.0000,11.8786,100.00,102.9056,297.1332,0.0,0.0000,0.0000
90000,2959,0.956,0.551,21.12,128435,88585,433,28945,10381,1062841,1133346.1,1002316.1,0.085,0.590,0.173,0.152,68,28.45,23.57,0.48,2.30,4.35,8.69,0.77,4.03,10.35,8.76,0.02,0.26,0.098,0.155,2154,0.009,0.077,0.904,0.000,0.019,316184,254787,34,0.065,0.624,0.092,2066301,0.243,2.784,0.042,5.00,181967,416,0.943,0.223,0.299,22828176,1.18,11.95,0.109,0.501,0.008,5.9,22.0,55.8,198.0,47183,0.180,0.00,0.0037,0.046,814,0.863,0.000,0.873,0.596,3.34,3.86,5.40,0.02,0.010,1.14,1.19,1.22,0.878,0.00243,1.95,77.2026,2477.06,87252.6,140196.6,9.042,115.3327,202.554,0.000,1.000,0.012,68.1,78.124,247.165,383,1571.1,97.49,11.625,3.86,189.863,4828.4,113.290,0.135,2.00,13.2942,39337.7,1.4462,0.6015,15.95,1.733,0.309,1.5288,0.0000,0.368,0.181,0.239,0.0000,7.52,2.42,3,13,31,109,69.2909,1.6483,0.5759,0.0000,0.0000,44.6207,100.00,73.0380,521.0475,0.0,0.0000,0.0000
100000,2490,1.200,0.438,21.46,38520,30168,447,7095,1279,386608,391630.3,290836.3,0.086,0.623,0.147,0.145,146,30.69,22.67,0.61,2.34,4.34,6.89,0.65,2.59,11.76,8.14,0.01,0.14,0.097,0.138,1686,0.042,0.110,0.871,0.000,0.018,74890,58559,15,0.369,0.114,0.131,1203566,0.181,2.091,0.035,4.73,44148,490,0.752,0.194,0.280,7476544,1.22,9.76,0.188,0.482,0.003,6.3,24.9,68.0,194.0,43223,0.165,0.00,0.0013,0.056,684,0.775,0.000,0.791,0.497,3.57,3.87,5.78,0.02,0.009,1.14,1.24,1.29,0.791,0.00156,0.79,17.2582,1350.27,101237.1,140196.6,0.587,33.5540,76.506,0.000,1.000,0.236,56.4,32.410,74.608,415,1663.8,39.72,7.328,3.90,59.838,3958.2,34.679,0.136,2.00,10.9297,27215.0,1.0332,0.5195,17.36,1.672,0.312,0.4712,0.0000,0.236,0.184,0.041,0.0000,7.16,1.79,4,15,36,110,28.0479,0.4884,0.5104,0.0000,0.0000,11.2590,100.00,104.4665,270.6785,0.0,0.0000,0.0000
