step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,900,29.05,2.43,3.43,1.57,20.04,0.03,1.66,0.019,0.283,444828.6,152485.9,16,32,4.54,1.78,1.62,28.3709,1107.68,26462.0,3.6035,1.2842,5462,26.3109,212,67.1150,395558.3,165.42,2.3326,0.0,0.0000
10000,1,593,34.16,2.19,3.21,4.34,24.52,0.04,1.41,0.013,0.236,396707.2,130870.2,22,35,5.09,1.37,1.52,24.2417,642.75,29394.4,5.5418,1.1690,5461,26.3061,322,62.4984,349150.8,81.35,19.6561,0.0,0.0000
10000,2,558,30.28,2.06,2.31,5.17,21.89,0.06,1.46,0.014,0.198,285658.5,70545.0,20,39,4.95,1.46,1.51,13.1981,599.52,30380.9,3.4347,1.6683,5461,26.3061,319,43.5030,229367.9,53.21,37.5685,0.0,0.0000
20000,0,1941,8.42,0.58,1.22,0.25,5.06,0.01,1.25,0.004,0.159,207972.3,99387.0,5,150,2.35,1.26,1.31,11.3492,838.83,31476.0,0.0795,2.1477,5462,10.6226,87,32.1942,187395.8,165.42,0.9675,0.0,0.0000
20000,1,1295,11.02,0.51,1.47,0.37,7.40,0.01,1.17,0.004,0.143,100479.2,40145.2,4,241,2.79,1.18,1.20,4.2828,777.28,35411.4,0.0699,2.5291,5461,10.6207,141,14.5712,74527.4,81.35,4.3238,0.0,0.0000
20000,2,920,11.33,0.55,1.48,0.59,7.31,0.00,1.18,0.000,0.105,65425.9,23162.1,3,256,2.83,1.21,1.19,2.0446,287.91,41342.0,0.0081,2.7133,5461,10.6207,142,7.1303,37695.5,53.21,7.9178,0.0,0.0000
30000,0,1359,16.24,0.77,2.57,0.05,6.93,0.02,1.31,0.008,0.160,428823.0,400663.6,3,117,2.48,1.36,1.36,28.4082,1003.38,27743.9,2.9776,1.9748,5462,27.4887,197,68.8260,413776.7,165.42,2.7180,0.0,0.0000
30000,1,1198,16.04,0.55,2.52,0.16,7.00,0.01,1.23,0.006,0.140,420645.8,365640.8,4,127,2.45,1.27,1.28,27.3864,980.54,32809.4,2.7129,2.0450,5461,27.4836,211,68.8007,404503.5,81.35,18.5218,0.0,0.0000
30000,2,670,17.76,0.82,3.00,0.04,7.51,0.04,1.27,0.009,0.087,256013.0,214776.8,3,143,2.67,1.30,1.37,15.0709,142.81,39674.5,0.8542,2.1965,5461,27.4836,251,43.1980,237118.2,53.21,34.9297,0.0,0.0000
40000,0,1377,15.76,0.58,2.49,0.05,8.18,0.00,1.19,0.001,0.179,243724.4,143350.1,5,91,2.83,1.19,1.29,10.9665,718.62,25991.4,0.1410,2.9792,5462,12.5053,103,31.3430,215713.3,165.42,0.8366,0.0,0.0000
40000,1,942,15.58,0.23,2.31,0.02,9.35,0.01,1.07,0.002,0.128,115701.9,61059.2,5,143,2.94,1.06,1.09,3.7829,367.29,32979.7,0.0010,2.5429,5461,12.5030,189,14.0475,90422.2,81.35,4.3690,0.0,0.0000
40000,2,759,15.77,0.14,2.38,0.02,9.32,0.01,1.04,0.003,0.103,72292.1,34287.5,5,141,2.96,1.03,1.06,1.8137,254.21,42117.8,0.0005,2.2368,5461,12.5030,221,8.3663,50228.0,53.21,8.2027,0.0,0.0000
50000,0,1415,16.78,0.82,2.45,0.04,6.34,0.12,1.31,0.050,0.155,463292.0,370634.6,6,138,2.55,1.35,1.30,30.8886,746.07,25623.9,6.8144,1.5881,5462,30.4687,142,66.6102,453044.9,165.42,2.2298,0.0,0.0000
50000,1,1206,17.52,0.92,2.02,0.05,7.84,0.05,1.35,0.023,0.150,445576.6,335534.0,6,113,2.74,1.36,1.37,27.1128,626.59,28602.3,10.0386,1.8952,5461,30.4631,173,62.2591,430904.6,81.35,18.2802,0.0,0.0000
50000,2,891,16.86,0.88,2.40,0.04,6.96,0.05,1.30,0.020,0.106,294775.9,229089.7,3,154,2.70,1.27,1.35,17.4215,301.63,35276.8,3.0518,2.0524,5461,30.4631,192,39.5470,277911.5,53.21,34.9797,0.0,0.0000
60000,0,1104,17.30,0.38,4.43,0.09,8.56,0.01,1.12,0.007,0.170,220385.9,107821.3,5,82,3.19,1.10,1.12,8.5333,605.68,28614.9,0.1231,2.4153,5462,11.5433,180,31.5935,198491.1,165.42,1.0798,0.0,0.0000
