step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,2678,0.9235,35106.8,930,894,914,870,21,12,9,26317,26292,31347,0,0,0,1.000,1.000,1.000,700,325,29
2000,2678,0.8973,60554.2,1831,914,912,852,20,13,9,16702,16939,23049,0,0,0,1.000,1.000,1.000,725,331,31
3000,2676,0.8942,81157.3,2701,904,895,877,23,14,9,9639,10281,17150,0,0,0,1.000,1.000,1.000,724,320,28
4000,2241,0.6386,39565.4,602,791,828,622,12,20,15,27739,23249,27734,0,0,0,1.000,1.000,1.000,663,314,20
5000,2546,0.7148,51230.2,939,958,908,680,26,25,20,23323,20632,25597,0,0,0,1.000,1.000,1.000,762,354,28
6000,2651,0.6511,55867.8,1198,892,1014,745,25,26,26,20088,18508,26295,0,0,0,1.000,1.000,1.000,721,404,15
7000,2759,0.6227,55167.1,790,919,1123,717,38,20,34,22147,19782,25544,0,0,0,1.000,1.000,1.000,711,417,20
8000,2851,0.6205,51376.7,797,1120,965,766,38,28,51,24565,21047,26293,0,0,0,1.000,1.000,1.000,920,360,13
9000,2845,0.6527,49889.5,854,1093,999,753,52,46,55,23840,23611,30311,0,0,0,1.000,1.000,1.000,891,324,31
10000,2642,0.6423,41020.9,758,977,973,692,67,65,70,26428,26675,34946,0,0,0,1.000,1.000,1.000,822,343,30
11000,2327,0.6437,34997.3,853,890,818,619,75,67,82,28753,29756,38107,0,0,0,1.000,1.000,1.000,724,318,25
12000,1914,0.6667,26871.1,850,879,611,424,77,84,106,30296,34787,43094,0,0,0,1.000,1.000,1.000,742,230,14
13000,1288,0.6211,17433.9,925,734,324,230,72,105,102,32000,39722,47041,0,0,0,1.000,1.000,1.000,643,131,7
14000,932,0.6824,11889.1,991,655,176,101,37,75,74,31290,43867,50559,0,0,0,1.000,1.000,1.000,567,62,4
15000,743,0.5868,8743.5,940,586,108,49,22,71,43,29888,46306,52951,0,0,0,1.000,1.000,1.000,496,46,2
16000,791,0.5601,8817.3,703,577,142,72,7,114,68,28731,46727,53739,0,0,0,1.000,1.000,1.000,473,73,0
17000,1109,0.5609,13302.1,754,708,252,149,22,178,132,25967,44947,52894,0,0,0,1.000,1.000,1.000,584,96,4
18000,1696,0.5377,17655.8,661,908,470,318,75,162,163,24014,42406,51158,0,0,0,1.000,1.000,1.000,745,159,17
19000,1998,0.5646,17222.3,534,868,629,501,97,79,132,25380,40754,49385,0,0,0,1.000,1.000,1.000,709,239,21
20000,2448,0.5523,29135.3,578,958,821,669,68,71,123,23075,34905,43637,0,0,0,1.000,1.000,1.000,783,350,38
21000,2787,0.5483,45467.1,745,1012,1049,726,62,104,105,18979,27687,36529,0,0,0,1.000,1.000,1.000,830,407,32
22000,3191,0.5321,53303.8,738,1027,1222,942,77,73,98,18004,23350,30676,0,0,0,1.000,1.000,1.000,867,510,31
23000,3830,0.5157,48761.8,583,1272,1371,1187,93,80,87,19747,24209,30479,0,0,0,1.000,1.000,1.000,1106,512,60
24000,3928,0.5479,55390.7,662,1337,1340,1251,115,91,117,20654,21483,27040,0,0,0,1.000,1.000,1.000,1100,485,46
25000,4303,0.5224,54229.3,606,1530,1533,1240,120,87,114,20990,20549,26145,0,0,0,1.000,1.000,1.000,1214,599,31
26000,4779,0.5250,49355.0,576,1577,1809,1393,142,104,142,21508,22748,28557,0,0,0,1.000,1.000,1.000,1194,635,19
27000,5556,0.4854,41695.9,455,2152,1837,1567,118,130,145,25451,24875,29556,0,0,0,1.000,1.000,1.000,1633,629,45
28000,5036,0.5653,31758.8,426,1910,1718,1408,130,151,148,30085,29373,34855,0,0,0,1.000,1.000,1.000,1524,619,43
29000,4700,0.5683,31926.5,518,1898,1501,1301,173,151,155,28799,29783,37494,0,0,0,1.000,1.000,1.000,1515,628,121
30000,3895,0.5928,27937.0,558,1468,1324,1103,151,113,172,30375,32544,38875,0,0,0,1.000,1.000,1.000,1191,564,83
31000,3158,0.5814,21712.0,558,1359,954,845,125,89,148,31555,36726,41667,0,0,0,1.000,1.000,1.000,1118,411,56
32000,2440,0.5959,12816.3,419,1235,695,510,120,109,118,33632,42006,45636,0,0,0,1.000,1.000,1.000,1022,300,18
33000,1626,0.6150,11242.9,548,935,406,285,89,131,129,33536,43990,47814,0,0,0,1.000,1.000,1.000,772,183,10
34000,1142,0.6103,7802.7,688,784,217,141,42,117,100,32426,46649,50786,0,0,0,1.000,1.000,1.000,623,79,3
35000,866,0.5658,6508.3,572,693,126,47,27,87,45,30437,48230,52881,0,0,0,1.000,1.000,1.000,581,61,1
36000,862,0.5522,6391.8,549,668,137,57,14,105,52,28436,48499,53825,0,0,0,1.000,1.000,1.000,551,42,1
37000,1296,0.5324,10379.8,563,786,334,176,39,195,142,26247,46967,53238,0,0,0,1.000,1.000,1.000,667,133,9
38000,2047,0.5076,12274.0,459,1070,555,422,87,186,191,24862,45019,52646,0,0,0,1.000,1.000,1.000,910,195,18
39000,2737,0.4921,15897.1,386,1194,923,620,112,174,203,24783,42173,50940,0,0,0,1.000,1.000,1.000,946,392,35
40000,3383,0.4851,23954.2,416,1386,1194,803,124,130,186,23860,36793,46645,0,0,0,1.000,1.000,1.000,1149,437,51
41000,3875,0.5012,33961.6,509,1473,1405,997,107,131,157,21763,31431,41614,0,0,0,1.000,1.000,1.000,1198,599,65
42000,4950,0.4663,39719.1,471,1659,1829,1462,151,133,187,20809,27867,37860,0,0,0,1.000,1.000,1.000,1299,778,133
43000,5796,0.4332,40738.7,410,2080,2207,1509,184,171,214,21327,25445,35884,0,0,0,1.000,1.000,1.000,1607,888,81
44000,6677,0.4791,38906.6,355,2251,2557,1869,181,159,201,22924,26407,35816,0,0,0,1.000,1.000,1.000,1796,1050,100
45000,7263,0.4648,36166.7,335,2540,2714,2009,226,234,232,24389,27092,36664,0,0,0,1.000,1.000,1.000,2071,1151,78
46000,7277,0.5167,33288.6,309,2658,2492,2127,281,239,294,26011,28109,37192,0,0,0,1.000,1.000,1.000,2082,930,37
47000,6033,0.5294,29680.4,329,2197,2211,1625,229,246,219,28085,29544,37576,0,0,0,1.000,1.000,1.000,1843,816,41
48000,5981,0.5210,32596.0,369,2288,2089,1604,199,248,215,27522,29310,37429,0,0,0,1.000,1.000,1.000,1844,849,61
