step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,1014,0.6785,37317.8,735,377,404,233,15,14,3,25553,25864,31998,0,0,0,1.000,1.000,1.000,287,164,14
2000,1230,0.5268,55326.6,840,446,456,328,21,17,9,19392,18740,25693,0,0,0,1.000,1.000,1.000,382,174,38
3000,1695,0.5174,63756.2,802,569,680,446,25,21,30,17920,17022,23248,0,0,0,1.000,1.000,1.000,475,231,23
4000,2811,0.4465,47012.1,428,1016,1040,755,58,61,73,23571,22267,29629,0,0,0,1.000,1.000,1.000,783,343,34
5000,3434,0.4575,51100.1,439,1396,1083,955,74,68,80,22353,22182,27984,0,0,0,1.000,1.000,1.000,1076,456,53
6000,4538,0.4451,44060.3,348,1632,1632,1274,114,112,120,23690,23231,29220,0,0,0,1.000,1.000,1.000,1263,669,64
7000,4738,0.4833,25358.3,254,1615,1707,1416,128,92,118,28800,30434,36087,0,0,0,1.000,1.000,1.000,1198,768,56
8000,3425,0.5320,13789.9,202,1122,1258,1045,83,92,95,34083,33843,39851,0,0,0,1.000,1.000,1.000,968,538,36
9000,2983,0.4237,11301.5,179,1131,1086,766,95,139,137,36134,34987,39270,0,0,0,1.000,1.000,1.000,863,488,94
10000,2854,0.4222,10723.1,172,1271,872,711,68,111,77,36458,37598,42041,0,0,0,1.000,1.000,1.000,1093,425,44
11000,2517,0.4478,11023.5,211,1131,752,634,95,124,123,36739,39360,44010,0,0,0,1.000,1.000,1.000,940,332,35
12000,1763,0.4906,8869.7,270,903,531,329,78,105,103,35675,42012,46973,0,0,0,1.000,1.000,1.000,755,213,26
13000,1201,0.4854,6747.1,327,686,327,188,59,103,97,34141,44881,49943,0,0,0,1.000,1.000,1.000,559,137,11
14000,713,0.5330,4856.5,471,492,142,79,36,90,63,32608,47054,52034,0,0,0,1.000,1.000,1.000,408,64,6
15000,699,0.4993,4717.7,411,535,106,58,12,78,54,30419,48607,53912,0,0,0,1.000,1.000,1.000,440,47,1
16000,808,0.4431,4774.7,353,595,129,84,14,95,83,28495,49044,55060,0,0,0,1.000,1.000,1.000,531,57,2
17000,1226,0.4029,7338.3,364,764,279,183,43,171,162,26187,47808,55035,0,0,0,1.000,1.000,1.000,642,134,2
18000,1893,0.4057,10591.5,314,978,544,371,81,169,197,24791,45652,53923,0,0,0,1.000,1.000,1.000,839,226,16
19000,2370,0.4295,10355.7,237,1006,773,591,107,137,205,25126,43580,53000,0,0,0,1.000,1.000,1.000,837,374,41
20000,3498,0.3902,15355.2,203,1275,1290,933,98,132,165,25074,38806,49898,0,0,0,1.000,1.000,1.000,1068,577,61
21000,4142,0.3310,16887.5,157,1668,1460,1014,139,171,208,25802,35154,46410,0,0,0,1.000,1.000,1.000,1400,492,22
22000,4366,0.3752,16758.3,163,1587,1605,1174,124,146,146,26576,35248,43975,0,0,0,1.000,1.000,1.000,1271,690,46
23000,5012,0.4230,27417.6,231,1656,1957,1399,124,145,162,25390,30643,40328,0,0,0,1.000,1.000,1.000,1329,779,30
24000,5334,0.3763,27196.1,217,1917,1904,1513,162,126,162,24832,29418,37570,0,0,0,1.000,1.000,1.000,1497,886,113
25000,3966,0.4186,15841.2,173,1249,1479,1238,136,101,128,29769,33782,37736,0,0,0,1.000,1.000,1.000,976,549,154
26000,5234,0.4861,26136.9,275,1796,1944,1494,167,134,157,28548,31168,36456,0,0,0,1.000,1.000,1.000,1448,728,99
27000,5165,0.4561,23562.5,256,1827,1869,1469,146,134,180,30603,31713,36539,0,0,0,1.000,1.000,1.000,1503,615,63
