step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free
10000,3024,2.216,0.850,10.07,400082,319851,14,53056,25567,2225815,1374148.5,3249038.8,0.141,0.549,0.150,0.160,39,23.94,18.55,2.73,4.31,4.26,6.90,0.11,1.01,11.17,7.87,0.95,1.59,0.100,0.152,2005,0.031,0.022,0.964,0.000,0.014,882548,719562,13,0.395,0.191,0.024,2397248,0.203,2.644,0.058,13.61,294820,152,1.460,0.352,0.754,26405445,1.87,9.81,0.140,0.508,0.293,4.8,16.6,51.1,118.8,55259,0.211,0.00,0.0041,0.073,656,0.822,0.000,0.852,0.554,3.60,4.58,4.85,0.97,0.297,2.03,1.23,2.21,0.849,0.00512,2.06,389.4097,9279.52,94915.3,140185.7,3.945,186.1035,333.336,0.000,1.000,0.000,24.6,15.478,248.231,358,1180.6,56.93,28.296,6.80,178.483,3078.4,130.319,0.134,2.00,7.6605,23165.4,0.9641,0.5514,18.27,1.135,0.180,1.5345,0.0000,0.486,0.077,0.445,0.0000,7.10,1.45,4,14,36,68,0.0000,0.0000,0.0000,0.0000,0.0000,53.3160,100.00,54.7047,342.0952,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0064,0.0028,0.000027
20000,2856,2.294,0.828,8.78,154940,138330,0,12084,4694,809814,501880.8,1163683.1,0.045,0.704,0.159,0.092,106,24.82,16.47,0.08,0.85,5.85,7.29,0.28,1.33,10.19,6.95,0.01,0.19,0.179,0.195,1710,0.054,0.032,0.935,0.000,0.033,232333,187032,5,0.546,0.159,0.103,3298353,0.134,2.733,0.058,12.07,79983,143,1.437,0.315,0.762,8857588,1.03,5.99,0.150,0.502,0.005,5.7,20.3,46.7,122.3,46836,0.179,0.00,0.0017,0.071,598,0.639,0.000,0.759,0.378,3.41,4.35,4.71,0.03,0.010,1.03,1.03,1.03,0.660,0.00383,1.42,120.9389,9135.07,101153.7,140185.7,0.000,50.8862,123.476,0.000,1.000,0.014,25.0,10.928,70.880,253,695.5,61.48,7.485,4.62,49.117,3351.3,39.219,0.134,2.00,6.1175,17471.6,0.7341,0.4595,16.40,1.452,0.329,0.4655,0.0000,0.568,0.118,0.736,0.0000,5.97,0.93,5,15,25,64,0.0000,0.0000,0.0000,0.0000,0.0000,13.6633,100.00,102.5598,169.0958,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0076,0.0034,0.000031
30000,3179,2.317,0.922,23.25,249167,192274,35,51697,4838,2328318,1179707.0,2231435.5,0.093,0.768,0.090,0.049,52,24.87,10.39,0.14,1.04,4.07,4.47,0.21,1.53,10.16,6.65,0.01,0.12,0.138,0.147,1146,0.162,0.034,0.940,0.000,0.026,556942,420630,5,0.632,0.092,0.048,1405033,0.168,4.038,0.060,13.80,274245,144,0.958,0.347,0.709,19222049,1.07,2.87,0.506,0.310,0.005,8.0,32.0,32.0,124.0,46370,0.177,0.00,0.0037,0.073,813,0.712,0.000,0.708,0.563,3.09,3.90,4.32,0.02,0.011,1.07,1.05,1.07,0.749,0.00729,1.63,216.8432,10425.84,67740.8,140185.7,1.066,169.8727,208.122,0.000,1.000,0.000,16.2,23.184,248.508,333,1005.8,140.80,12.613,4.60,182.599,3331.0,110.674,0.134,2.00,15.2196,48383.3,1.3253,0.5159,14.59,1.708,0.451,1.5345,0.0000,0.812,0.211,0.879,0.0000,4.79,1.25,7,16,18,70,0.0000,0.0000,0.0000,0.0000,0.0000,52.3174,100.00,72.7355,342.5815,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0059,0.0025,0.000044
40000,3153,2.073,0.646,21.21,149112,134189,80,11635,3234,620768,492962.1,992919.1,0.109,0.740,0.089,0.062,110,22.17,11.08,0.08,0.82,3.71,4.31,0.22,1.37,9.38,5.33,0.00,0.08,0.127,0.143,1117,0.152,0.044,0.924,0.000,0.031,211480,155657,6,0.566,0.183,0.044,1398924,0.154,2.060,0.044,11.54,101624,124,1.600,0.376,0.638,9157173,1.04,3.84,0.456,0.328,0.002,6.0,26.0,32.0,64.0,42215,0.161,0.00,0.0017,0.079,765,0.622,0.000,0.661,0.346,3.02,3.61,4.24,0.01,0.004,1.04,1.03,1.04,0.642,0.00337,1.10,112.2093,6286.91,97158.6,140185.7,0.001,53.6244,113.436,0.000,1.000,0.000,21.8,10.622,72.235,419,1319.7,95.49,7.895,4.14,49.762,2549.4,38.781,0.135,2.00,7.7651,24483.4,0.8617,0.4764,13.39,1.608,0.508,0.4655,0.0000,0.782,0.246,0.749,0.0000,4.85,1.13,5,16,16,48,0.0000,0.0000,0.0000,0.0000,0.0000,13.8638,100.00,99.2334,164.9922,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0071,0.0032,0.000028
50000,4389,2.394,0.825,25.48,324612,283458,269,32088,7561,1601600,1279051.0,2853398.8,0.110,0.804,0.027,0.059,38,26.20,9.84,0.14,0.98,2.82,3.91,0.06,0.79,11.24,5.38,0.00,0.07,0.094,0.128,1146,0.259,0.029,0.947,0.000,0.024,704852,506547,23,0.415,0.287,0.012,788410,0.189,2.960,0.056,13.10,386113,128,1.782,0.379,0.807,37856446,1.06,2.55,0.593,0.253,0.003,9.9,32.0,32.0,72.0,62598,0.239,0.00,0.0026,0.056,994,0.831,0.000,0.690,0.548,3.10,3.70,4.17,0.01,0.007,1.07,1.04,1.06,0.847,0.00415,1.87,356.7994,10780.13,53905.6,140185.7,19.693,152.6151,310.678,0.000,1.000,0.000,17.2,18.222,248.637,230,625.9,90.88,11.379,3.96,162.059,1825.3,129.903,0.134,2.00,13.6550,59931.9,1.2429,0.5024,14.26,1.811,0.384,1.5345,0.0000,0.827,0.224,0.797,0.0000,4.55,1.10,7,16,16,49,0.0000,0.0000,0.0000,0.0000,0.0000,54.6841,100.00,35.0836,280.8836,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0055,0.0024,0.000021
60000,3256,2.116,0.607,20.35,163027,149011,40,10770,4339,609608,513416.6,1140212.9,0.074,0.768,0.072,0.087,103,22.40,11.09,0.17,1.15,3.55,4.32,0.20,1.49,10.01,6.35,0.04,0.34,0.121,0.145,1284,0.117,0.042,0.928,0.000,0.029,227485,160771,8,0.505,0.021,0.042,932932,0.163,1.793,0.042,11.54,114494,123,1.870,0.378,0.658,11076622,1.08,4.71,0.409,0.364,0.019,6.5,24.7,32.0,69.7,45362,0.173,0.00,0.0016,0.085,781,0.645,0.000,0.616,0.335,3.11,3.60,4.50,0.06,0.027,1.10,1.06,1.08,0.661,0.00365,1.15,130.2809,6078.98,95968.6,140185.7,0.026,53.6001,129.007,0.000,1.000,0.018,20.8,11.874,72.235,369,1111.9,36.36,7.691,3.56,49.725,2339.9,40.991,0.135,2.00,7.9554,25902.8,0.8585,0.4795,13.93,1.575,0.495,0.4655,0.0000,0.732,0.256,0.644,0.0000,5.18,1.40,6,16,18,64,0.0000,0.0000,0.0000,0.0000,0.0000,13.8281,100.00,97.7494,187.5027,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0070,0.0031,0.000030
70000,4102,2.411,0.825,24.93,313333,274381,398,28474,9234,1487819,1261885.1,2734799.2,0.094,0.768,0.043,0.095,40,25.72,9.88,0.16,0.97,2.31,3.67,0.05,0.69,12.14,5.51,0.03,0.26,0.077,0.121,1238,0.263,0.030,0.949,0.000,0.020,682932,486919,32,0.172,0.284,0.012,577360,0.199,3.581,0.052,11.94,373163,132,1.838,0.375,0.799,33838746,1.06,2.98,0.550,0.230,0.014,10.3,32.0,32.0,72.0,60136,0.229,0.00,0.0025,0.051,857,0.812,0.000,0.550,0.550,3.17,3.71,4.48,0.04,0.019,1.07,1.05,1.06,0.828,0.00434,1.84,344.4708,10873.82,49909.9,140185.7,21.638,150.9195,298.669,0.000,1.000,0.000,15.0,17.809,248.723,169,486.3,146.45,9.859,3.74,161.393,1902.0,128.207,0.134,2.00,15.7842,64746.8,1.3954,0.5065,14.66,1.733,0.448,1.5345,0.0000,0.729,0.229,0.733,0.0000,4.82,1.37,8,16,17,49,0.0000,0.0000,0.0000,0.0000,0.0000,54.5934,100.00,35.0863,281.3001,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0056,0.0024,0.000025
80000,3380,2.169,0.603,20.03,143530,132794,92,5924,5442,366682,511614.4,1070941.0,0.066,0.746,0.081,0.107,106,22.23,11.83,0.15,1.21,3.18,4.43,0.06,0.85,10.83,5.95,0.01,0.19,0.103,0.140,1167,0.073,0.047,0.936,0.000,0.017,219590,170209,9,0.459,0.096,0.011,266489,0.205,2.118,0.041,9.58,109516,144,2.921,0.391,0.687,11262232,1.07,4.93,0.387,0.288,0.007,7.9,22.0,32.0,98.0,48057,0.183,0.00,0.0014,0.056,794,0.697,0.000,0.524,0.390,3.23,3.52,5.11,0.02,0.010,1.06,1.07,1.07,0.707,0.00254,1.11,134.0061,6915.95,82231.1,140185.7,0.105,56.1268,122.652,0.000,1.000,0.000,13.2,8.573,72.289,194,542.1,61.69,5.800,3.48,51.883,2101.7,42.683,0.135,2.00,11.6079,39234.8,1.0859,0.5465,14.22,1.507,0.514,0.4655,0.0000,0.627,0.183,0.570,0.0000,5.49,1.52,7,16,16,64,0.0000,0.0000,0.0000,0.0000,0.0000,13.5896,100.00,92.8533,175.7702,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0065,0.0030,0.000021
90000,3949,2.505,0.786,25.60,271525,248018,533,13662,8743,899372,1225725.0,2543569.5,0.045,0.744,0.062,0.149,43,27.78,13.75,0.30,1.90,3.28,4.59,0.03,0.57,11.77,5.35,0.03,0.29,0.096,0.124,1220,0.170,0.028,0.954,0.000,0.018,619436,488337,30,0.276,0.253,0.006,287897,0.231,3.463,0.049,7.74,323825,174,2.828,0.326,0.802,32356669,1.11,2.99,0.570,0.232,0.011,10.6,32.0,44.0,220.0,60740,0.232,0.00,0.0026,0.048,878,0.836,0.000,0.457,0.570,3.31,3.77,4.70,0.04,0.017,1.08,1.14,1.12,0.845,0.00324,1.85,345.3453,10461.92,41069.2,140185.7,31.062,147.9244,287.818,0.000,1.000,0.000,11.3,12.799,248.855,107,271.6,97.61,5.178,3.55,157.097,1922.6,127.270,0.134,2.00,18.7747,74141.4,1.4879,0.5821,15.38,1.722,0.449,1.5345,0.0000,0.679,0.182,0.724,0.0000,4.96,1.34,9,16,22,81,0.0000,0.0000,0.0000,0.0000,0.0000,53.6512,100.00,25.8418,235.2501,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0053,0.0024,0.000021
100000,3179,2.385,0.624,23.09,130624,122581,97,5325,3391,354055,509146.5,1053143.4,0.046,0.760,0.075,0.119,102,25.84,12.42,0.25,1.47,4.23,4.89,0.06,0.78,10.18,5.80,0.03,0.27,0.133,0.140,860,0.135,0.039,0.942,0.000,0.019,206273,162576,9,0.291,0.078,0.010,169572,0.201,2.164,0.041,8.78,105694,139,2.975,0.369,0.677,11796868,1.10,3.24,0.549,0.234,0.015,8.8,32.0,32.0,162.0,46821,0.179,0.00,0.0016,0.062,681,0.732,0.000,0.473,0.403,3.26,3.76,4.70,0.05,0.023,1.08,1.12,1.11,0.740,0.00256,1.09,134.6520,7122.27,82830.1,140185.7,0.039,57.7849,121.332,0.000,1.000,0.000,13.8,8.153,71.942,185,478.3,44.31,4.805,3.47,52.981,2243.4,43.286,0.134,2.00,11.9196,37892.5,1.0603,0.5271,14.73,1.681,0.455,0.4655,0.0000,0.637,0.164,0.683,0.0000,4.99,1.35,8,16,16,81,0.0000,0.0000,0.0000,0.0000,0.0000,13.3807,100.00,90.2857,159.1205,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0061,0.0028,0.000020
