step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,1020,0.6863,36356.8,747,374,398,248,16,9,8,25321,27338,32345,0,0,0,1.000,1.000,1.000,294,136,12
2000,845,0.6320,50201.7,1186,306,318,221,14,12,5,18032,21047,26571,0,0,0,1.000,1.000,1.000,256,121,7
3000,1023,0.6129,55743.5,1253,378,404,241,18,21,15,16556,18425,23142,0,0,0,1.000,1.000,1.000,295,151,20
4000,1746,0.4914,42309.2,470,649,650,447,22,32,29,26944,23511,27182,0,0,0,1.000,1.000,1.000,508,164,12
5000,2313,0.4851,59468.1,552,881,772,660,52,44,54,20171,20486,25278,0,0,0,1.000,1.000,1.000,674,228,29
6000,2279,0.4853,66720.5,700,744,878,657,46,50,45,17678,17736,23712,0,0,0,1.000,1.000,1.000,590,197,21
7000,2678,0.4750,58143.1,593,964,997,717,57,35,82,20652,22190,24713,0,0,0,1.000,1.000,1.000,819,231,28
8000,2882,0.4837,53936.4,562,1213,1051,618,84,60,75,22063,23214,27857,0,0,0,1.000,1.000,1.000,1014,310,15
9000,3158,0.5123,48965.2,514,1326,1026,806,78,134,122,23788,25710,30282,0,0,0,1.000,1.000,1.000,1078,301,36
10000,2787,0.4815,38200.5,497,1224,944,619,89,151,137,26205,29633,35109,0,0,0,1.000,1.000,1.000,998,297,28
11000,2330,0.5459,31366.3,538,1048,714,568,109,129,158,29225,33384,38666,0,0,0,1.000,1.000,1.000,841,222,16
12000,1928,0.5233,22764.6,558,965,583,380,125,138,189,32237,37391,41970,0,0,0,1.000,1.000,1.000,789,176,12
13000,1448,0.5753,12994.7,507,794,373,281,68,141,185,35224,42175,45770,0,0,0,1.000,1.000,1.000,657,79,5
14000,787,0.5413,7679.9,589,571,141,75,53,103,63,36560,44478,48181,0,0,0,1.000,1.000,1.000,497,30,1
15000,605,0.5818,6923.1,584,442,98,65,27,79,64,36146,45379,49418,0,0,0,1.000,1.000,1.000,363,12,0
16000,714,0.5028,7848.9,484,510,119,85,16,97,85,34941,45012,49597,0,0,0,1.000,1.000,1.000,439,28,1
17000,1009,0.4311,11078.9,485,603,245,161,41,138,125,33275,43182,48549,0,0,0,1.000,1.000,1.000,499,74,6
18000,1427,0.4387,14132.5,420,698,408,321,92,99,144,33068,40443,46400,0,0,0,1.000,1.000,1.000,576,101,16
19000,1907,0.4216,22961.2,451,872,621,414,102,127,123,30124,36678,42721,0,0,0,1.000,1.000,1.000,709,161,30
20000,2305,0.4156,34551.4,541,917,763,625,89,84,108,26088,31640,37999,0,0,0,1.000,1.000,1.000,748,214,35
21000,2793,0.4343,44742.9,610,1017,1038,738,123,122,146,24040,26093,32491,0,0,0,1.000,1.000,1.000,837,267,64
22000,3390,0.3982,52906.9,608,1245,1223,922,123,115,143,21147,22522,29108,0,0,0,1.000,1.000,1.000,1027,346,87
23000,5020,0.4110,50562.3,471,1741,1933,1346,176,170,187,21710,21897,28556,0,0,0,1.000,1.000,1.000,1465,475,117
24000,6039,0.4223,42761.6,383,1947,2663,1429,203,255,225,24520,23322,30066,0,0,0,1.000,1.000,1.000,1635,677,40
25000,6105,0.4560,41773.2,396,2092,2586,1427,256,227,220,25312,24857,30289,0,0,0,1.000,1.000,1.000,1681,808,16
26000,6870,0.4774,39458.1,345,2382,2822,1666,282,272,286,26036,25548,31951,0,0,0,1.000,1.000,1.000,1929,834,54
27000,5835,0.4723,35664.7,364,2125,2319,1391,226,231,245,26716,27749,33785,0,0,0,1.000,1.000,1.000,1702,617,8
28000,5842,0.5091,34103.4,361,2175,2293,1374,277,246,243,27321,28815,35036,0,0,0,1.000,1.000,1.000,1682,699,57
29000,5586,0.4585,29159.2,340,2159,2158,1269,274,296,261,28853,31194,37124,0,0,0,1.000,1.000,1.000,1682,656,130
30000,4247,0.4952,22536.4,345,1764,1434,1049,189,224,256,31868,35783,38715,0,0,0,1.000,1.000,1.000,1431,564,88
31000,3043,0.4995,16014.8,325,1440,997,606,165,164,165,34697,38910,41837,0,0,0,1.000,1.000,1.000,1185,343,31
32000,1941,0.4750,12044.0,358,992,586,363,98,109,137,36471,41587,43524,0,0,0,1.000,1.000,1.000,868,148,15
33000,1139,0.4759,9566.9,449,657,282,200,60,105,107,37220,43104,44958,0,0,0,1.000,1.000,1.000,568,81,7
34000,768,0.5208,6156.5,470,559,135,74,29,86,58,38438,44934,46903,0,0,0,1.000,1.000,1.000,507,29,1
35000,549,0.4171,4942.6,468,469,48,32,21,43,31,38383,45777,47948,0,0,0,1.000,1.000,1.000,422,9,0
36000,688,0.4360,7106.7,493,510,121,57,12,108,53,36480,45291,48312,0,0,0,1.000,1.000,1.000,453,27,2
37000,1064,0.4154,9357.8,461,659,242,163,40,152,141,35379,43800,47632,0,0,0,1.000,1.000,1.000,589,52,4
38000,1460,0.3705,12989.0,437,727,387,346,68,124,150,34203,41187,45687,0,0,0,1.000,1.000,1.000,621,117,24
39000,1991,0.4068,20196.7,428,952,633,406,105,104,126,31723,37371,42024,0,0,0,1.000,1.000,1.000,753,213,29
40000,2452,0.3707,29469.6,475,1110,804,538,114,84,95,28298,32905,37276,0,0,0,1.000,1.000,1.000,928,240,21
41000,2739,0.3969,39428.4,559,1138,904,697,107,76,122,25596,28162,32120,0,0,0,1.000,1.000,1.000,943,295,32
42000,3214,0.3693,44930.7,544,1269,1165,780,112,100,108,22382,24074,29446,0,0,0,1.000,1.000,1.000,1020,315,27
43000,3426,0.3897,53285.4,590,1292,1305,829,106,111,112,20171,20522,25665,0,0,0,1.000,1.000,1.000,1069,322,40
44000,3726,0.3881,59227.4,619,1513,1256,957,152,92,143,18024,18731,23961,0,0,0,1.000,1.000,1.000,1205,386,54
45000,3692,0.3830,57358.8,618,1434,1272,986,167,99,142,18209,18941,24278,0,0,0,1.000,1.000,1.000,1138,354,39
46000,3543,0.4180,59653.6,647,1303,1289,951,129,128,134,18338,18342,23088,0,0,0,1.000,1.000,1.000,1056,316,55
47000,3486,0.3732,58003.6,616,1290,1225,971,125,109,138,18310,19364,24260,0,0,0,1.000,1.000,1.000,1043,292,55
48000,3166,0.3844,52799.3,610,1248,1054,864,113,87,121,21182,21712,25032,0,0,0,1.000,1.000,1.000,977,284,44
49000,2971,0.3982,51892.2,628,1145,1057,769,100,91,125,22011,23021,26021,0,0,0,1.000,1.000,1.000,909,269,47
50000,2476,0.4216,39208.5,572,951,915,610,105,110,118,26786,28336,30925,0,0,0,1.000,1.000,1.000,747,233,38
51000,2072,0.4542,31487.8,555,909,695,468,80,77,83,31755,32751,33937,0,0,0,1.000,1.000,1.000,700,218,51
52000,1664,0.4736,22573.0,599,802,532,330,87,122,104,35402,37072,37486,0,0,0,1.000,1.000,1.000,668,176,23
53000,1240,0.4984,13274.3,585,708,347,185,79,122,110,37563,41813,42574,0,0,0,1.000,1.000,1.000,568,98,2
54000,905,0.5061,10721.0,667,631,167,107,52,108,97,37197,43987,45343,0,0,0,1.000,1.000,1.000,543,39,4
55000,698,0.4599,8317.8,638,544,111,43,11,90,40,37060,44898,47371,0,0,0,1.000,1.000,1.000,488,18,1
56000,754,0.4735,8060.7,578,517,166,71,15,151,70,36129,44981,48510,0,0,0,1.000,1.000,1.000,448,35,4
57000,1154,0.4315,13349.9,663,690,269,195,31,222,185,32945,42912,47793,0,0,0,1.000,1.000,1.000,587,61,5
58000,1667,0.4055,17634.7,583,826,478,363,80,213,256,31893,39992,45508,0,0,0,1.000,1.000,1.000,670,124,8
59000,2067,0.3619,21560.6,465,881,665,521,102,129,186,30887,37099,42526,0,0,0,1.000,1.000,1.000,707,146,15
60000,2550,0.3824,29956.8,419,981,974,595,94,125,146,29578,32053,37935,0,0,0,1.000,1.000,1.000,806,282,18
61000,2581,0.3929,44939.8,555,1011,943,627,129,93,139,24309,25390,30497,0,0,0,1.000,1.000,1.000,799,222,27
