step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free
10000,2642,0.706,0.497,7.79,51547,41757,3606,572,4422,55329,1151650.1,397924.2,0.321,0.333,0.191,0.156,64,21.95,17.67,1.09,4.83,2.95,7.78,1.84,6.47,15.62,11.89,0.02,0.32,0.088,0.204,1154,0.044,0.109,0.874,0.000,0.017,239125,230428,30,0.388,0.047,0.165,6110439,0.269,2.572,0.036,4.55,72051,384,7.192,0.416,0.212,9548699,1.25,14.44,0.061,0.174,0.004,5.4,15.8,45.0,118.0,56802,0.217,0.00,0.0028,0.050,692,0.930,0.000,0.748,0.786,3.96,6.33,4.49,0.04,0.012,1.29,1.25,1.25,0.932,0.00024,1.86,71.9309,2138.26,88049.5,140307.6,16.056,110.7036,177.779,0.000,1.000,0.065,76.4,80.026,246.649,403,1552.1,68.60,24.888,7.20,177.375,4125.6,101.002,0.136,2.00,15.5265,41020.9,0.9357,0.5123,21.50,1.027,0.167,1.5299,0.0000,0.463,0.105,0.292,0.0000,8.93,1.69,5,17,45,114,75.8904,3.5164,0.6423,0.0000,0.0000,50.8223,100.00,58.3630,466.7897,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.3482,0.3214,0.000299
20000,2448,0.876,0.378,8.43,38815,32732,1210,2842,2225,136750,472224.6,166275.1,0.077,0.593,0.141,0.189,145,23.89,20.85,1.00,4.55,4.87,10.23,0.86,3.45,11.21,7.99,0.02,0.25,0.108,0.201,1362,0.036,0.117,0.861,0.000,0.022,80221,72475,4,0.540,0.000,0.121,1606752,0.222,2.212,0.026,15.09,24544,553,1.216,0.213,0.263,6061583,1.28,14.82,0.056,0.410,0.007,4.8,16.0,56.0,151.2,43932,0.168,0.00,0.0017,0.057,669,0.595,0.000,0.736,0.526,3.64,5.24,4.49,0.05,0.019,1.29,1.32,1.27,0.600,0.00122,3.93,17.4497,1529.49,101616.1,140307.6,1.222,21.3798,85.955,0.000,1.000,0.210,54.5,40.556,57.930,145,467.4,55.69,3.706,6.09,45.486,3782.6,32.152,0.136,2.00,11.9017,29135.3,1.0736,0.5222,17.95,1.264,0.205,0.4701,0.0000,0.480,0.052,0.246,0.0000,8.52,1.40,4,14,40,86,36.0483,1.5216,0.5523,0.0000,0.0000,11.2802,100.00,100.9520,299.5499,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.1768,0.2052,0.001799
30000,3895,0.590,0.440,11.55,149113,116007,1228,20461,9970,517287,1064321.4,694679.9,0.066,0.599,0.158,0.177,77,12.77,12.96,0.43,2.71,2.24,4.57,0.72,3.03,4.86,5.42,0.00,0.02,0.148,0.183,1712,0.033,0.071,0.888,0.002,0.040,327406,293104,3,0.476,0.087,0.177,4645004,0.191,2.302,0.032,7.30,107433,483,1.343,0.244,0.315,23975887,1.15,17.46,0.004,0.522,0.000,3.6,9.2,27.5,105.4,32134,0.123,0.00,0.0056,0.068,1103,0.821,0.000,0.853,0.547,2.35,3.73,2.87,0.01,0.005,1.15,1.18,1.15,0.831,0.00093,4.34,62.4949,1391.49,101794.4,140307.6,18.632,97.1461,200.679,0.000,1.000,0.098,76.7,84.231,239.731,166,571.7,69.32,5.066,5.16,174.061,4876.3,107.446,0.135,2.00,7.1725,27937.0,1.6295,0.7705,8.25,1.615,0.356,1.5299,0.0000,0.537,0.101,0.464,0.0000,7.56,1.72,2,5,17,64,74.4670,6.1476,0.5928,0.0000,0.0000,46.3309,100.00,69.3287,539.3109,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.1292,0.1523,0.001014
40000,3383,0.794,0.318,11.26,65421,53984,347,9420,2182,309202,467274.9,272691.4,0.043,0.632,0.163,0.162,171,16.10,12.70,0.50,2.92,2.38,4.55,0.33,1.67,6.94,6.34,0.00,0.00,0.110,0.173,1651,0.038,0.100,0.862,0.001,0.036,97570,80486,4,0.647,0.007,0.115,3231154,0.129,1.793,0.023,14.41,35108,573,0.882,0.169,0.295,8271974,1.18,15.86,0.007,0.548,0.000,4.0,14.7,29.9,202.5,34344,0.131,0.00,0.0020,0.075,803,0.576,0.000,0.725,0.343,2.67,3.33,4.22,0.03,0.016,1.14,1.22,1.19,0.589,0.00123,3.79,13.6478,1193.87,107298.5,140307.6,0.759,21.1267,94.718,0.000,1.000,0.303,68.6,41.059,58.443,128,423.8,44.85,3.652,4.44,47.222,3247.1,32.212,0.135,2.00,7.0808,23954.2,1.2421,0.6365,10.15,1.544,0.324,0.4701,0.0000,0.549,0.122,0.391,0.0000,7.65,1.88,3,9,18,100,35.5502,1.3379,0.4851,0.0000,0.0000,10.8353,100.00,105.7547,293.7685,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.1118,0.1083,0.001431
50000,5105,0.527,0.341,20.81,260873,197606,330,49072,12143,780453,1073428.4,924196.9,0.060,0.574,0.213,0.152,65,8.13,7.87,0.31,2.01,0.79,1.11,0.26,1.47,3.75,4.58,0.00,0.13,0.133,0.156,1683,0.168,0.073,0.870,0.003,0.053,416044,339801,3,0.538,0.068,0.076,3535764,0.148,1.709,0.027,8.27,181288,396,1.184,0.218,0.308,27618413,1.14,15.08,0.000,0.544,0.000,2.1,6.0,15.9,114.7,26101,0.100,0.00,0.0056,0.091,1371,0.709,0.000,0.798,0.377,1.92,2.77,2.59,0.01,0.006,1.11,1.17,1.14,0.727,0.00119,4.88,51.3664,755.78,107334.3,140307.6,16.375,83.1283,251.592,0.000,1.000,0.187,92.3,100.391,238.354,232,734.1,28.60,6.014,3.21,175.243,3748.4,113.914,0.135,2.00,4.6560,23769.0,1.6757,0.8831,5.11,1.709,0.346,1.5299,0.0000,0.501,0.137,0.264,0.0000,6.26,2.35,2,3,11,62,88.4696,5.8672,0.5551,0.0000,0.0000,45.8910,100.00,79.6114,617.8727,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0482,0.0476,0.000999
60000,4277,0.618,0.274,20.52,87408,75356,335,9245,3300,222678,490422.8,230079.2,0.021,0.626,0.188,0.165,141,9.09,8.40,0.21,2.14,0.98,1.34,0.18,1.08,4.45,5.15,0.00,0.04,0.137,0.153,1322,0.140,0.090,0.871,0.003,0.036,104458,74597,7,0.463,0.053,0.083,1306019,0.100,1.491,0.021,16.12,52349,438,1.033,0.285,0.303,8666144,1.07,14.32,0.001,0.464,0.001,3.9,7.9,14.7,123.8,24924,0.095,0.00,0.0026,0.090,1066,0.506,0.000,0.656,0.181,2.10,2.87,3.29,0.00,0.001,1.05,1.08,1.08,0.520,0.00075,4.24,7.8467,653.41,104209.7,140307.6,1.632,13.9706,104.104,0.000,1.000,0.309,72.6,45.743,56.909,222,765.7,28.08,4.764,2.87,43.904,2691.4,32.608,0.136,2.00,6.5728,28111.7,1.7594,0.8011,5.83,1.684,0.342,0.4701,0.0000,0.517,0.128,0.328,0.0000,6.41,2.41,2,4,11,72,41.5354,0.9916,0.4877,0.0000,0.0000,11.1148,100.00,107.1667,340.1517,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0405,0.0405,0.000812
70000,4473,0.588,0.334,22.42,183638,155713,3419,15147,9163,387721,1111111.1,530074.1,0.026,0.622,0.222,0.131,81,9.70,8.73,0.26,2.37,1.06,1.21,0.21,1.15,4.48,5.11,0.00,0.01,0.134,0.136,1392,0.208,0.082,0.888,0.001,0.028,267246,208944,8,0.387,0.104,0.095,4717058,0.088,1.936,0.025,11.14,121846,463,1.367,0.259,0.252,29706314,1.09,12.70,0.001,0.393,0.000,4.0,8.0,16.0,123.4,26844,0.102,0.00,0.0055,0.087,1179,0.770,0.000,0.829,0.317,2.12,3.17,3.21,0.00,0.001,1.06,1.11,1.12,0.780,0.00078,6.68,32.6518,1458.88,86110.5,140307.6,34.992,57.0951,237.754,0.000,1.000,0.060,87.3,104.985,233.240,135,424.8,56.77,7.655,2.85,152.750,3319.3,108.502,0.135,2.00,10.0902,45133.5,2.6067,0.8948,6.00,1.735,0.335,1.5299,0.0000,0.537,0.143,0.450,0.0000,6.12,2.33,2,4,12,63,92.1929,9.2998,0.5540,0.0000,0.0000,45.1058,100.00,70.1972,605.4744,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0368,0.0374,0.001006
80000,3854,0.649,0.268,20.02,62746,54652,1800,4065,2848,147428,475841.7,184223.8,0.022,0.621,0.213,0.143,161,11.31,10.04,0.34,2.59,1.12,1.90,0.30,1.45,5.50,5.47,0.00,0.02,0.117,0.137,1443,0.133,0.115,0.858,0.001,0.026,79544,57066,10,0.496,0.014,0.145,2476357,0.088,1.478,0.020,14.19,38085,526,1.250,0.261,0.278,9341971,1.11,13.76,0.001,0.432,0.000,4.0,8.5,18.5,159.8,27952,0.107,0.00,0.0022,0.093,956,0.607,0.000,0.707,0.225,2.42,3.16,4.33,0.01,0.003,1.07,1.12,1.14,0.617,0.00070,4.08,10.3213,648.05,99420.5,140307.6,1.772,16.7672,97.972,0.000,1.000,0.233,72.5,44.575,58.506,204,678.3,29.34,3.593,2.94,45.824,2693.2,33.699,0.137,1.99,8.5738,33043.3,1.9058,0.8600,7.25,1.654,0.351,0.4701,0.0000,0.530,0.134,0.363,0.0000,6.84,2.39,2,5,13,67,39.2575,2.6236,0.5189,0.0000,0.0000,11.1481,100.00,101.6220,328.2437,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0464,0.0489,0.000814
90000,4127,0.776,0.323,23.97,156136,133398,3403,9778,9284,352152,1112968.1,514241.1,0.024,0.665,0.195,0.115,76,14.58,12.74,0.43,2.75,1.84,3.21,0.17,1.25,5.88,5.43,0.00,0.04,0.118,0.129,1768,0.054,0.072,0.905,0.001,0.022,255368,194854,14,0.345,0.257,0.052,5538228,0.085,1.768,0.026,9.70,123521,546,1.460,0.233,0.228,31495390,1.14,13.04,0.003,0.390,0.001,4.9,10.6,26.0,141.8,34307,0.131,0.00,0.0046,0.078,1114,0.821,0.000,0.844,0.392,2.55,3.98,3.70,0.04,0.015,1.11,1.18,1.16,0.829,0.00088,5.73,38.2728,1316.80,83210.1,140307.6,36.871,60.4514,225.221,0.000,1.000,0.033,83.1,99.553,236.386,174,635.5,42.90,7.127,3.16,151.921,3093.2,107.209,0.135,2.00,11.4630,47307.8,2.1901,0.8522,8.31,1.756,0.337,1.5299,0.0000,0.592,0.170,0.552,0.0000,6.87,2.16,3,6,15,67,87.5806,8.3534,0.5224,0.0000,0.0000,46.4418,100.00,65.4793,577.2245,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0591,0.0632,0.000950
100000,3364,0.740,0.338,21.70,57626,50038,1453,3877,3021,173261,475408.8,195669.5,0.017,0.671,0.173,0.140,148,14.92,11.71,0.27,2.11,2.49,4.38,0.20,1.70,6.05,5.57,0.00,0.07,0.135,0.155,1451,0.103,0.096,0.876,0.001,0.026,81605,59605,8,0.445,0.095,0.038,957719,0.104,1.828,0.026,13.18,40821,566,1.129,0.211,0.269,10972123,1.09,12.81,0.011,0.425,0.001,4.0,13.8,26.0,128.0,30274,0.115,0.00,0.0023,0.083,908,0.690,0.000,0.713,0.306,2.71,3.55,4.52,0.02,0.008,1.07,1.12,1.11,0.698,0.00096,3.88,12.0403,770.82,100131.5,140307.6,1.456,17.9110,97.126,0.000,1.000,0.244,60.4,44.294,59.617,227,787.0,38.64,3.660,3.19,47.335,3644.8,34.521,0.134,2.00,9.2407,31085.7,1.6503,0.7325,9.00,1.678,0.361,0.4701,0.0000,0.510,0.117,0.372,0.0000,6.99,2.25,3,7,16,64,39.6891,1.3695,0.5190,0.0000,0.0000,11.1688,100.00,101.5957,323.3304,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0994,0.1058,0.000947
