step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2999,1.83,76.45,47.89,551,0,0,0,1.00,1.00,1.00,2,5,2,25.7,32.766,7,2.000,0.507,5,1.000
100000,48.00,24,0,21,0,3,0,1.00,0,0.438,2998,0.00,123.35,66.79,779,0,0,0,1.00,1.00,1.00,4,5,5,17.8,90.906,24,2.000,0.736,5,1.000
100000,28.00,14,0,12,0,2,0,1.00,0,0.429,2956,0.00,1.18,10.06,797,1,1,0,1.00,1.00,1.00,2,4,4,26.4,0.000,14,2.000,0.585,4,1.000
100000,1.32,13,0,0,0,1,0,1.00,32,0.000,2936,0.00,109.32,7.75,3,2,0,0,1.00,1.00,1.00,1,1,1,52.8,6.622,1,1.324,0.493,9,1.000
100000,48.00,24,0,21,0,3,0,1.00,0,0.438,2936,1.24,47.60,16.44,779,0,0,0,1.00,1.00,1.00,4,5,5,18.0,16.284,24,2.000,0.737,5,1.000
100000,10.00,5,0,2,0,3,0,1.00,8,0.200,2915,0.00,71.33,76.46,803,0,0,0,1.00,1.00,1.00,2,5,1,14.3,30.531,5,2.000,0.461,5,1.000
100000,28.00,14,0,12,0,2,0,1.00,0,0.429,2915,0.00,7.96,0.18,797,1,1,0,1.00,1.00,1.00,2,4,4,26.4,0.000,14,2.000,0.585,4,1.000
100000,14.00,25,0,1,0,6,0,1.00,4,0.071,2905,1.86,259.80,14.74,779,0,0,0,1.00,1.00,1.00,3,4,4,19.1,60.918,7,2.000,0.808,5,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2901,0.00,68.61,19.48,551,2,1,0,1.00,1.00,1.00,3,5,2,47.4,0.006,7,2.000,0.487,5,1.000
100000,10.00,5,0,2,0,3,0,1.00,8,0.200,2896,2.42,57.16,61.78,551,1,0,0,1.00,1.00,1.00,2,5,1,32.7,24.625,5,2.000,0.538,5,1.000
100000,4.00,11,0,0,0,2,0,1.00,14,0.000,2894,2.29,121.80,40.66,795,0,0,0,1.00,1.00,1.00,1,1,2,24.2,19.998,2,2.000,0.130,5,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2893,0.00,75.13,102.95,551,2,1,0,1.00,1.00,1.00,2,5,2,43.9,56.298,7,2.000,0.487,5,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2889,0.00,97.19,26.03,551,1,1,0,1.00,1.00,1.00,2,5,2,28.7,63.831,7,2.000,0.487,5,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2885,3.11,74.62,151.02,551,1,1,0,1.00,1.00,1.00,4,5,2,27.6,59.908,7,2.000,0.487,5,1.000
100000,2.54,27,0,0,0,2,0,1.00,30,0.000,2869,1.93,99.01,28.02,3,0,0,0,1.00,1.00,1.00,1,2,1,16.3,12.678,2,1.268,0.458,9,1.000
100000,1.32,10,0,0,0,1,0,1.00,32,0.000,2868,0.00,82.06,4.60,3,1,1,0,1.00,1.00,1.00,1,1,1,28.0,0.741,1,1.324,0.493,9,1.000
100000,6.00,21,0,0,0,3,0,1.00,16,0.000,2864,1.81,100.49,7.17,795,0,0,0,1.00,1.00,1.00,2,2,2,24.0,29.999,3,2.000,0.153,6,1.000
100000,22.00,14,0,9,0,2,0,1.00,0,0.409,2847,0.00,58.53,15.69,797,1,1,0,1.00,1.00,1.00,4,4,4,26.5,0.000,11,2.000,0.585,4,1.000
100000,4.00,21,0,0,0,2,0,1.00,18,0.000,2845,0.00,80.41,6.86,795,0,0,0,1.00,1.00,1.00,1,1,2,24.5,6.178,2,1.999,0.442,6,1.000
100000,16.00,8,0,4,0,4,0,1.00,10,0.250,2841,2.89,70.59,74.10,593,0,0,0,1.00,1.00,1.00,2,5,2,8.1,20.350,8,2.000,0.689,6,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2827,0.00,78.72,40.87,551,2,1,0,1.00,1.00,1.00,4,5,2,40.8,48.508,7,2.000,0.508,5,1.000
100000,18.00,9,0,5,0,4,0,1.00,8,0.278,2815,0.00,53.97,73.71,551,1,0,0,1.00,1.00,1.00,3,6,2,28.8,16.039,9,2.000,0.465,6,1.000
100000,18.00,9,0,6,0,3,0,1.00,8,0.333,2811,2.12,126.43,27.83,551,0,0,0,1.00,1.00,1.00,2,6,2,25.7,90.000,9,2.000,0.466,6,1.000
100000,4.87,16,0,0,0,4,0,1.00,32,0.000,2797,-0.00,154.77,12.31,3,2,2,0,1.00,1.00,1.00,1,2,2,52.7,10.292,4,1.218,0.421,10,1.000
100000,2.62,12,0,0,0,2,0,1.00,30,0.000,2792,-0.00,78.89,5.09,3,0,0,0,1.00,1.00,1.00,1,1,2,20.7,4.219,2,1.310,0.479,9,1.000
100000,12.00,6,0,4,0,2,0,1.00,4,0.333,2782,0.00,17.30,45.15,797,0,0,0,1.00,1.00,1.00,4,4,2,18.9,0.001,6,2.000,0.535,4,1.000
100000,26.00,13,0,11,0,2,0,1.00,0,0.423,2779,0.00,39.34,57.52,797,0,0,0,1.00,1.00,1.00,2,4,4,18.5,12.376,13,2.000,0.593,4,1.000
100000,2.44,16,0,0,0,2,0,1.00,34,0.000,2771,0.77,104.49,10.48,3,1,2,0,1.00,1.00,1.00,2,1,4,35.4,3.317,2,1.218,0.421,10,1.000
100000,26.00,13,0,11,0,2,0,1.00,0,0.423,2769,0.00,84.72,88.23,797,1,0,0,1.00,1.00,1.00,2,4,4,27.1,59.302,13,2.000,0.593,4,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2766,0.00,64.49,80.98,551,2,0,0,1.00,1.00,1.00,3,5,2,47.9,47.260,7,2.000,0.487,5,1.000
100000,2.51,9,0,0,0,2,0,1.00,34,0.000,2758,1.44,126.07,5.35,3,1,1,0,1.00,1.00,1.00,1,1,2,26.0,12.562,2,1.256,0.389,10,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2750,0.00,77.28,69.78,551,0,0,0,1.00,1.00,1.00,3,5,2,24.0,67.247,7,2.000,0.511,5,1.000
100000,18.00,10,0,5,0,4,0,1.00,6,0.278,2729,0.00,35.47,35.64,797,1,2,0,1.00,1.00,1.00,2,5,2,28.3,0.000,9,2.000,0.485,5,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2720,1.79,105.26,61.12,551,2,1,0,1.00,1.00,1.00,2,5,2,41.3,70.000,7,2.000,0.525,5,1.000
100000,14.00,7,0,4,0,3,0,1.00,6,0.286,2708,2.07,68.10,85.48,551,1,1,0,1.00,1.00,1.00,2,5,2,32.0,48.171,7,2.000,0.504,5,1.000
100000,2.65,13,0,0,0,2,0,1.00,30,0.000,2707,1.41,87.43,2.55,3,0,0,0,1.00,1.00,1.00,1,1,2,17.0,13.245,2,1.324,0.493,9,1.000
100000,10.00,5,0,2,0,3,0,1.00,8,0.200,2694,2.17,82.78,37.68,487,0,0,0,1.00,1.00,1.00,2,5,1,18.0,41.231,5,2.000,0.820,5,1.000
