step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,32.00,16,0,0,0,16,0,1.00,0,0.000,2949,2.86,303.11,252.16,745,0,0,0,1.00,1.00,1.00,4,4,4,4.7,145.310,16,2.000,0.137,4,1.000
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,2927,4.66,252.46,59.72,465,0,0,0,1.00,1.00,1.00,2,4,4,13.0,94.605,16,2.000,0.261,4,1.000
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2917,2.06,167.74,38.96,767,0,0,0,1.00,1.00,1.00,2,4,4,14.5,154.548,16,2.000,0.470,4,1.000
100000,3.72,12,0,0,0,4,0,1.00,22,0.000,2908,2.30,140.34,11.57,118,0,0,0,1.00,1.00,1.00,2,1,4,18.8,18.623,4,0.931,0.427,8,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2899,3.84,316.81,22.71,767,0,0,0,1.00,1.00,1.00,2,4,4,14.7,160.000,16,2.000,0.465,4,1.000
100000,7.45,12,0,0,0,8,0,1.00,16,0.000,2890,0.73,136.51,5.79,118,2,0,0,1.00,1.00,1.00,2,2,6,39.5,37.079,8,0.931,0.427,8,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2886,4.18,269.07,111.76,715,0,0,0,1.00,1.00,1.00,1,4,4,18.6,160.000,16,2.000,0.166,4,1.000
100000,4.00,16,0,1,0,1,0,1.00,10,0.250,2879,0.00,120.82,35.41,731,0,0,0,1.00,1.00,1.00,1,1,2,5.2,18.651,2,2.000,0.247,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2849,3.89,231.95,84.55,715,0,0,0,1.00,1.00,1.00,1,4,4,18.1,160.000,16,2.000,0.166,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2844,5.09,217.36,125.16,715,0,0,0,1.00,1.00,1.00,4,4,4,18.7,160.000,16,2.000,0.249,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2840,2.88,181.62,160.42,749,0,2,0,1.00,1.00,1.00,2,4,4,21.1,141.410,16,2.000,0.567,4,1.000
100000,32.00,16,0,13,0,3,0,1.00,0,0.406,2834,0.00,153.41,16.78,688,0,0,0,1.00,1.00,1.00,1,4,4,18.7,157.128,16,2.000,0.278,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2805,0.00,116.16,174.09,465,0,0,0,1.00,1.00,1.00,4,4,4,19.4,64.833,16,2.000,0.342,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2802,4.20,219.04,84.48,715,0,0,0,1.00,1.00,1.00,1,4,4,18.2,160.000,16,2.000,0.166,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2757,3.31,103.26,131.26,465,0,0,0,1.00,1.00,1.00,2,4,4,5.1,46.864,16,2.000,0.342,4,1.000
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,2746,-0.00,181.59,92.76,465,1,0,0,1.00,1.00,1.00,4,4,4,34.2,83.530,16,2.000,0.361,4,1.000
100000,0.93,12,0,0,0,1,0,1.00,28,0.000,2744,0.00,136.09,4.18,118,2,1,0,1.00,1.00,1.00,1,1,1,47.2,4.511,1,0.931,0.427,8,1.000
100000,0.93,12,0,0,0,1,0,1.00,28,0.000,2724,-0.00,118.50,2.44,118,0,0,0,1.00,1.00,1.00,1,1,1,13.1,1.010,1,0.931,0.427,8,1.000
100000,1.84,14,0,0,0,2,0,1.00,26,0.000,2707,2.04,140.24,3.69,118,1,1,0,1.00,1.00,1.00,1,2,1,26.7,9.204,2,0.920,0.418,8,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2699,2.86,207.36,46.50,749,0,0,0,1.00,1.00,1.00,2,4,4,15.0,141.923,16,2.000,0.566,4,1.000
100000,6.52,12,0,0,0,7,0,1.00,16,0.000,2690,-0.00,102.55,2.55,118,1,0,0,1.00,1.00,1.00,2,2,6,27.3,16.485,7,0.931,0.427,8,1.000
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2689,3.49,111.78,91.33,688,1,0,0,1.00,1.00,1.00,2,4,4,30.8,57.079,16,2.000,0.294,4,1.000
