step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,4184,0.0000,45605.1,134,1721,1412,1051,56,47,54,18840,20830,25517,0,0,0,1.000,1.000,1.000,1302,330,32
2000,5386,0.0000,56957.6,160,2123,1960,1303,79,79,54,17541,15774,19283,0,0,0,1.000,1.000,1.000,1733,542,51
3000,5646,0.0000,44181.4,147,1815,2309,1522,96,110,92,22067,18521,18618,0,0,0,1.000,1.000,1.000,1468,800,56
4000,5124,0.0000,40177.8,149,1837,2053,1234,124,112,113,23563,21164,20238,0,0,0,1.000,1.000,1.000,1502,648,83
5000,4930,0.0000,46535.4,178,1874,1906,1150,109,133,85,21682,18655,18672,0,0,0,1.000,1.000,1.000,1500,597,60
6000,5272,0.0000,47355.6,177,1855,2024,1393,116,143,120,20933,18487,17220,0,0,0,1.000,1.000,1.000,1462,620,68
7000,5358,0.0000,40731.2,158,1988,1947,1423,144,147,122,22640,22467,20886,0,0,0,1.000,1.000,1.000,1496,507,27
8000,4619,0.0000,37837.2,170,1803,1669,1147,155,133,88,25188,24551,21916,0,0,0,1.000,1.000,1.000,1372,479,54
9000,3739,0.0000,31894.5,165,1399,1515,825,120,108,108,29603,27240,25798,0,0,0,1.000,1.000,1.000,1084,494,13
10000,3024,0.0000,23165.4,142,1228,1140,656,120,101,91,33652,31992,29272,0,0,0,1.000,1.000,1.000,967,334,18
11000,2338,0.0000,17526.4,137,1061,798,479,98,102,79,36295,36694,33320,0,0,0,1.000,1.000,1.000,847,272,16
12000,1809,0.0000,11174.2,106,925,542,342,66,87,64,38483,40097,37987,0,0,0,1.000,1.000,1.000,775,151,11
13000,1201,0.0000,6777.8,96,723,300,178,47,64,42,39671,43447,42258,0,0,0,1.000,1.000,1.000,613,93,10
14000,741,0.0000,4659.8,107,540,160,41,29,52,17,39232,45462,44993,0,0,0,1.000,1.000,1.000,455,50,0
15000,684,0.0000,4612.1,116,616,62,6,14,35,4,39654,46050,45564,0,0,0,1.000,1.000,1.000,530,19,0
16000,836,0.0000,6860.5,134,744,80,12,13,43,10,38714,45076,44635,0,0,0,1.000,1.000,1.000,672,15,0
17000,1338,0.0000,9863.6,121,968,255,115,31,71,35,37432,42859,43087,0,0,0,1.000,1.000,1.000,824,47,1
18000,2025,0.0000,15907.7,125,1242,480,303,59,74,45,35394,39127,39983,0,0,0,1.000,1.000,1.000,1024,147,6
