step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,2169,1.630,0.280,8.16,114086,94768,1655,1,16976,1670,1599103.8,123.1,0.303,0.210,0.297,0.190,352,8.41,5.18,0.07,0.49,0.01,0.17,0.05,0.56,8.27,5.01,0.00,0.02,0.001,0.032,346,0.065,0.913,0.000,0.000,0.087,397508,380617,5,0.450,0.394,0.014,1021719,0.140,1.181,0.030,154.09,121794,0,0.074,1.000,0.000,4227018,1.03,17.48,0.000,0.000,0.000,2,7,14,64,18232,0.070,9.11,0.0089,0.016,9,0.850,0.000,0.865,0.718,2.80,3.19,4.28,0.00,0.000,1.02,1.03,1.04,0.850,0.00034
20000,2288,1.586,0.200,7.83,159512,135410,2575,0,21408,9,1547062.0,0.8,0.264,0.207,0.402,0.126,272,8.07,4.59,0.05,0.52,0.01,0.20,0.02,0.32,7.99,4.47,0.00,0.00,0.001,0.013,319,0.063,0.909,0.000,0.000,0.091,430025,411640,5,0.452,0.228,0.007,217612,0.099,0.993,0.020,159.29,146172,0,0.091,0.000,0.000,6250808,1.02,17.64,0.000,0.000,0.000,3,7,14,38,18465,0.070,3.91,0.0085,0.004,6,0.867,0.000,0.868,0.635,2.81,3.17,4.44,0.00,0.000,1.01,1.02,1.02,0.867,0.00027
30000,2301,1.594,0.202,7.58,161472,132352,2795,0,26312,7,1511915.6,1.8,0.200,0.181,0.493,0.125,288,7.64,5.52,0.05,0.70,0.06,0.63,0.03,0.35,7.52,5.38,0.00,0.00,0.006,0.064,312,0.123,0.907,0.000,0.000,0.093,426899,411744,2,0.715,0.282,0.007,162058,0.099,1.017,0.021,159.51,146970,0,0.259,0.000,0.000,5734987,1.02,18.35,0.000,0.000,0.000,3,6,13,56,17589,0.067,3.69,0.0087,0.001,4,0.869,0.000,0.884,0.628,2.66,2.72,4.42,0.00,0.000,1.01,1.02,1.02,0.869,0.00026
40000,2169,1.647,0.153,7.59,143561,117890,2575,0,23228,8,1525465.1,0.6,0.109,0.248,0.471,0.172,305,8.77,5.13,0.04,0.63,0.07,0.78,0.02,0.27,8.65,4.97,0.00,0.02,0.005,0.056,310,0.069,0.919,0.000,0.000,0.081,410148,396446,3,0.718,0.135,0.006,145651,0.146,0.841,0.014,158.75,131405,0,0.076,0.000,0.000,7743293,1.01,16.70,0.000,0.000,0.000,3,8,16,47,19018,0.073,4.45,0.0081,0.002,2,0.903,0.000,0.875,0.655,2.91,2.91,5.03,0.00,0.001,1.00,1.01,1.01,0.903,0.00027
50000,2378,1.579,0.134,7.23,144494,121629,2747,0,19909,16,1504545.5,3.4,0.037,0.257,0.517,0.190,307,7.01,4.45,0.02,0.30,0.04,0.53,0.01,0.26,6.94,4.35,0.00,0.00,0.003,0.035,296,0.108,0.930,0.000,0.000,0.070,415601,403115,2,0.858,0.048,0.003,99662,0.120,0.796,0.013,159.00,128144,0,0.213,0.000,0.000,8736768,1.01,18.76,0.000,0.000,0.000,2,6,12,42,16674,0.064,4.20,0.0091,0.053,0,0.914,0.000,0.900,0.657,2.63,3.08,4.29,0.00,0.000,1.01,1.01,1.01,0.914,0.00024
60000,2433,1.569,0.131,7.33,157399,133385,3340,0,20619,6,1532314.8,0.6,0.032,0.269,0.514,0.185,299,7.03,4.88,0.03,0.46,0.05,0.61,0.01,0.11,6.94,4.73,0.00,0.00,0.004,0.046,325,0.104,0.912,0.000,0.000,0.088,427365,410312,3,0.730,0.035,0.007,100275,0.099,0.790,0.013,158.22,129193,0,0.101,0.000,0.000,9709473,1.01,18.85,0.000,0.000,0.000,2,6,12,43,17094,0.065,4.98,0.0091,0.084,2,0.928,0.000,0.913,0.636,2.66,2.79,4.68,0.00,0.000,1.00,1.01,1.01,0.928,0.00020
70000,2410,1.574,0.119,7.57,155716,134781,2918,0,18040,11,1519755.9,1.7,0.027,0.170,0.555,0.249,303,7.02,4.53,0.03,0.56,0.04,0.47,0.01,0.25,6.94,4.42,0.00,0.00,0.004,0.055,347,0.100,0.910,0.000,0.000,0.090,434819,416265,3,0.656,0.098,0.004,78271,0.146,0.748,0.011,159.27,126218,0,0.152,0.000,0.000,5806573,1.01,18.54,0.000,0.000,0.000,2,6,13,35,16922,0.065,3.93,0.0091,0.029,3,0.887,0.000,0.918,0.646,2.78,2.89,4.97,0.00,0.000,1.01,1.01,1.01,0.887,0.00019
80000,2524,1.516,0.102,8.01,163178,142712,2631,0,17721,20,1546194.5,1.4,0.034,0.204,0.547,0.216,294,6.50,3.84,0.03,0.52,0.03,0.42,0.00,0.06,6.44,3.69,0.00,0.00,0.003,0.041,246,0.131,0.913,0.000,0.000,0.087,449299,432902,4,0.568,0.071,0.001,90416,0.089,0.670,0.009,159.26,125327,0,0.071,0.000,0.000,7189158,1.01,18.78,0.000,0.000,0.000,2,6,11,46,16406,0.063,3.94,0.0095,0.018,1,0.876,0.000,0.916,0.641,2.78,2.42,5.73,0.00,0.000,1.01,1.01,1.01,0.876,0.00022
90000,2380,1.517,0.104,10.07,168116,147741,2631,0,17888,13,1524760.4,1.4,0.015,0.217,0.627,0.141,252,7.01,3.83,0.04,0.53,0.05,0.50,0.04,0.96,6.88,3.67,0.00,0.00,0.008,0.065,240,0.226,0.908,0.000,0.000,0.092,460454,446955,3,0.799,0.023,0.005,108457,0.092,0.689,0.010,159.27,149996,0,0.108,0.000,0.000,7665207,1.02,17.96,0.000,0.000,0.000,2,7,11,49,16680,0.064,3.93,0.0093,0.012,1,0.864,0.000,0.921,0.639,2.97,2.44,6.36,0.00,0.000,1.01,1.03,1.02,0.864,0.00025
100000,2454,1.519,0.102,9.95,174276,154242,2651,0,17309,9,1522103.4,1.0,0.014,0.238,0.612,0.137,235,6.97,3.70,0.01,0.20,0.06,0.60,0.01,0.17,6.89,3.59,0.00,0.00,0.009,0.075,248,0.178,0.903,0.000,0.000,0.097,458126,442538,4,0.804,0.000,0.004,146983,0.113,0.673,0.009,159.30,157990,0,0.112,0.000,0.000,8994627,1.01,17.63,0.000,0.000,0.000,2,7,11,53,17113,0.065,3.90,0.0090,0.004,4,0.877,0.000,0.916,0.624,3.01,2.76,6.62,0.00,0.000,1.00,1.01,1.01,0.877,0.00025
110000,2626,1.527,0.099,9.62,174473,154561,2858,0,16882,20,1521445.2,2.2,0.025,0.248,0.608,0.118,235,6.43,3.71,0.03,0.41,0.04,0.48,0.02,0.47,6.34,3.57,0.00,0.00,0.005,0.048,246,0.111,0.913,0.000,0.000,0.087,448205,436638,3,0.744,0.006,0.004,92881,0.115,0.658,0.009,159.46,157206,0,0.108,0.000,0.000,9410702,1.01,18.79,0.000,0.000,0.000,2,6,11,39,16897,0.064,3.74,0.0091,0.005,3,0.876,0.000,0.912,0.616,2.91,2.77,6.16,0.00,0.000,1.00,1.01,1.02,0.876,0.00025
120000,2498,1.520,0.111,10.64,175825,156556,2742,0,16655,20,1515181.1,2.2,0.029,0.254,0.619,0.099,222,6.66,3.80,0.03,0.25,0.04,0.45,0.03,0.46,6.56,3.71,0.00,0.00,0.005,0.051,254,0.127,0.919,0.000,0.000,0.081,444249,425135,2,0.990,0.005,0.014,145242,0.100,0.696,0.009,159.30,168876,0,0.108,0.000,0.000,9496601,1.01,18.54,0.000,0.000,0.000,2,6,11,38,16634,0.063,3.90,0.0092,0.002,1,0.883,0.000,0.912,0.609,2.98,2.38,6.31,0.00,0.000,1.00,1.01,1.01,0.883,0.00025
130000,2623,1.494,0.095,10.49,179480,160556,2937,0,15862,20,1495496.8,2.8,0.037,0.254,0.609,0.100,209,6.37,3.93,0.06,0.65,0.04,0.59,0.02,0.59,6.24,3.67,0.00,0.00,0.005,0.055,280,0.151,0.905,0.000,0.000,0.094,437149,414536,2,0.976,0.002,0.006,247236,0.080,0.643,0.008,159.36,173626,0,0.139,0.000,0.000,9263268,1.02,19.02,0.000,0.000,0.000,2,6,11,57,16705,0.064,3.84,0.0091,0.004,6,0.883,0.000,0.910,0.594,2.86,2.64,5.75,0.00,0.000,1.00,1.02,1.02,0.883,0.00024
140000,2576,1.525,0.088,10.64,176742,156975,2979,0,16835,22,1510073.8,1.6,0.037,0.271,0.572,0.120,214,6.33,3.66,0.04,0.49,0.03,0.64,0.00,0.11,6.25,3.54,0.00,0.00,0.004,0.046,258,0.146,0.912,0.000,0.000,0.088,447807,423526,2,0.776,0.199,0.002,122556,0.114,0.623,0.008,159.52,168115,0,0.073,0.000,0.000,10339324,1.01,19.05,0.000,0.000,0.000,2,6,11,36,16299,0.062,3.68,0.0094,0.014,2,0.911,0.000,0.903,0.609,2.87,2.52,5.87,0.00,0.001,1.00,1.02,1.02,0.911,0.00020
