step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1510,1.789,0.545,11.02,72639,61072,833,2,10659,1772,1265653.8,102.8,0.389,0.344,0.217,0.050,402,10.25,12.17,0.34,2.05,0.11,1.11,0.35,1.52,9.46,11.08,0.00,0.04,0.006,0.058,386,0.050,0.905,0.001,0.000,0.094,255647,243077,11,0.195,0.272,0.087,1722533,0.131,1.603,0.055,115.86,93457,96,0.058,0.500,0.000,4798265,1.11,17.10,0.028,0.001,0.001,2,6,20,64,15480,0.059,47.46,0.0089,0.028,13,0.910,0.000,0.783,0.720,3.17,5.16,3.69,0.00,0.001,1.12,1.12,1.10,0.911,0.00106
20000,1872,1.567,0.392,9.83,129212,111810,1686,1,15353,675,1203612.5,75.2,0.435,0.278,0.263,0.024,298,7.86,6.60,0.16,1.14,0.03,0.75,0.07,0.62,7.60,6.28,0.00,0.09,0.002,0.031,357,0.110,0.891,0.001,0.000,0.108,320745,311142,7,0.343,0.050,0.021,629382,0.111,1.393,0.041,120.22,120372,348,0.111,0.000,0.000,7161605,1.06,17.81,0.002,0.001,0.001,2,6,15,64,14707,0.056,43.09,0.0085,0.000,20,0.935,0.000,0.914,0.602,3.46,6.28,4.44,0.00,0.002,1.07,1.08,1.06,0.935,0.00030
30000,1798,1.559,0.331,9.53,142893,125750,1779,0,15438,169,1205171.2,15.4,0.400,0.261,0.291,0.048,302,7.64,4.75,0.07,0.59,0.10,0.78,0.09,0.62,7.39,4.56,0.00,0.02,0.008,0.049,320,0.110,0.888,0.000,0.000,0.112,333259,323635,9,0.261,0.078,0.026,421972,0.095,1.326,0.037,121.05,118281,0,0.091,0.000,0.000,6755399,1.04,18.09,0.000,0.002,0.001,3,6,14,48,13739,0.052,42.26,0.0091,0.000,19,0.904,0.000,0.878,0.578,3.08,5.35,4.01,0.00,0.002,1.04,1.04,1.04,0.904,0.00031
40000,1991,1.508,0.298,9.26,133698,117790,2075,0,13640,104,1192354.1,10.8,0.286,0.219,0.388,0.107,317,7.16,4.52,0.06,0.56,0.25,1.93,0.06,0.51,6.80,3.93,0.00,0.10,0.018,0.081,294,0.070,0.893,0.001,0.000,0.106,341336,326287,9,0.439,0.012,0.023,403777,0.076,1.251,0.033,121.29,119509,0,0.104,0.000,0.000,5968314,1.03,18.83,0.001,0.003,0.002,3,6,12,64,14265,0.054,42.02,0.0088,0.000,23,0.914,0.000,0.886,0.613,2.75,4.62,3.54,0.00,0.002,1.03,1.03,1.03,0.914,0.00018
50000,1984,1.550,0.248,8.64,142365,126601,2093,1,13677,226,1196744.9,15.8,0.239,0.179,0.465,0.117,354,7.32,4.61,0.08,0.67,0.18,0.66,0.05,0.72,7.01,4.42,0.00,0.10,0.017,0.067,264,0.064,0.909,0.001,0.000,0.091,318924,308415,5,0.434,0.000,0.012,361858,0.081,1.141,0.027,121.51,103997,441,0.070,0.000,0.000,4883451,1.05,18.89,0.000,0.003,0.002,2,7,13,44,14524,0.055,41.80,0.0086,0.000,13,0.881,0.000,0.883,0.560,2.93,4.73,3.56,0.00,0.002,1.06,1.06,1.04,0.881,0.00021
60000,1974,1.523,0.214,8.01,145335,129118,1936,0,14291,94,1182069.9,6.0,0.268,0.210,0.401,0.121,356,6.71,4.05,0.06,0.70,0.03,0.48,0.06,0.77,6.57,3.79,0.00,0.00,0.004,0.050,217,0.110,0.882,0.000,0.000,0.118,328166,319664,5,0.481,0.002,0.011,258374,0.095,1.044,0.023,121.17,100163,0,0.064,0.000,0.000,5630179,1.02,19.63,0.000,0.000,0.000,2,6,11,46,13255,0.051,42.15,0.0091,0.000,13,0.884,0.000,0.861,0.563,3.50,5.35,4.61,0.00,0.001,1.01,1.03,1.03,0.884,0.00022
70000,2008,1.523,0.213,8.05,161075,142854,2115,0,16072,24,1195104.8,2.0,0.356,0.321,0.283,0.041,353,6.81,4.23,0.04,0.52,0.07,1.17,0.09,0.91,6.61,3.94,0.00,0.00,0.005,0.058,221,0.119,0.882,0.000,0.000,0.118,357421,352293,4,0.475,0.000,0.020,270730,0.100,1.030,0.022,120.82,98291,0,0.082,0.000,0.000,8893329,1.02,19.78,0.000,0.000,0.000,2,7,12,42,13678,0.052,42.49,0.0090,0.000,8,0.919,0.000,0.879,0.554,3.49,5.09,4.76,0.01,0.001,1.02,1.02,1.02,0.919,0.00022
80000,1873,1.535,0.195,8.58,152598,136651,2063,0,14019,26,1200298.9,2.4,0.255,0.381,0.293,0.071,324,7.16,4.27,0.07,0.64,0.05,0.79,0.06,0.81,6.97,4.11,0.00,0.00,0.005,0.056,259,0.107,0.889,0.001,0.000,0.110,342921,336932,4,0.487,0.010,0.020,399765,0.100,0.962,0.019,120.79,102414,0,0.091,0.000,0.000,10731326,1.03,19.11,0.000,0.000,0.000,2,7,12,59,13404,0.051,42.52,0.0092,0.000,16,0.928,0.000,0.861,0.561,3.63,5.39,5.15,0.00,0.001,1.03,1.03,1.04,0.928,0.00025
90000,1876,1.523,0.176,8.53,157675,139043,1967,0,16662,30,1194046.5,2.9,0.191,0.486,0.252,0.071,311,7.27,4.22,0.04,0.59,0.03,0.44,0.07,0.75,7.13,4.09,0.00,0.00,0.005,0.065,253,0.133,0.889,0.000,0.000,0.111,342117,333900,4,0.543,0.124,0.018,309340,0.091,0.908,0.017,121.38,106238,0,0.095,0.000,0.000,13942101,1.01,19.10,0.000,0.001,0.000,2,8,12,36,13641,0.052,41.93,0.0089,0.000,13,0.939,0.000,0.825,0.546,3.80,5.77,5.36,0.00,0.000,1.01,1.02,1.01,0.939,0.00027
100000,1920,1.490,0.175,8.87,161982,142949,1851,0,17138,28,1194265.0,4.1,0.256,0.484,0.183,0.076,303,7.08,4.26,0.09,0.70,0.04,0.34,0.03,0.41,6.93,4.14,0.00,0.04,0.005,0.055,262,0.108,0.880,0.000,0.000,0.120,355473,349756,6,0.522,0.143,0.009,200805,0.108,0.888,0.016,121.21,107003,0,0.146,0.000,0.000,13592101,1.03,19.25,0.000,0.002,0.002,2,7,12,43,13596,0.052,42.10,0.0090,0.000,19,0.938,0.000,0.827,0.550,3.75,5.60,5.44,0.00,0.004,1.03,1.04,1.03,0.938,0.00027
