step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1496,1.747,0.440,9.04,68414,61690,890,3,5831,1900,1233641.8,134.1,0.134,0.323,0.259,0.284,480,10.55,9.28,0.04,0.59,0.08,0.82,0.10,0.87,10.33,8.96,0.00,0.00,0.005,0.042,413,0.046,0.901,0.001,0.000,0.098,231075,219315,11,0.391,0.058,0.028,949718,0.111,1.504,0.048,112.31,76622,231,0.071,0.667,0.000,3855217,1.01,15.72,0.006,0.001,0.000,3,8,18,64,15783,0.060,51.01,0.0080,0.006,10,0.872,0.000,0.879,0.711,3.21,4.13,5.18,0.00,0.000,1.01,1.01,1.01,0.872,0.00062
20000,1903,1.577,0.340,10.60,123942,108360,1756,0,13419,4,1209641.5,0.6,0.090,0.273,0.366,0.271,312,7.71,5.24,0.04,0.61,0.06,0.52,0.08,0.79,7.52,5.02,0.00,0.00,0.008,0.073,405,0.077,0.899,0.000,0.000,0.101,305647,288153,9,0.264,0.158,0.022,516590,0.085,1.365,0.038,121.07,111500,0,0.144,0.000,0.000,5628829,1.02,17.70,0.001,0.000,0.000,2,7,14,64,14667,0.056,42.24,0.0085,0.002,24,0.844,0.000,0.919,0.602,2.89,3.67,5.27,0.00,0.000,1.02,1.02,1.02,0.844,0.00041
30000,1829,1.556,0.309,10.05,135653,121967,1726,0,12034,6,1205480.8,1.6,0.098,0.342,0.405,0.155,295,7.83,5.30,0.06,0.71,0.04,0.35,0.07,0.60,7.65,5.22,0.00,0.00,0.006,0.045,340,0.139,0.888,0.000,0.000,0.112,316325,297938,14,0.281,0.011,0.024,391240,0.086,1.299,0.034,120.95,112077,0,0.271,0.000,0.000,7326254,1.03,17.27,0.000,0.000,0.000,3,6,13,60,14315,0.055,42.37,0.0086,0.000,30,0.858,0.000,0.895,0.579,3.04,3.98,6.03,0.00,0.000,1.04,1.04,1.03,0.858,0.00044
40000,1838,1.552,0.248,11.87,133545,119807,1766,0,11963,16,1203326.4,1.6,0.092,0.326,0.379,0.203,279,7.69,4.61,0.01,0.14,0.07,0.60,0.10,0.78,7.51,4.52,0.00,0.00,0.007,0.057,352,0.047,0.902,0.001,0.000,0.098,322515,301115,7,0.258,0.116,0.039,691423,0.076,1.150,0.026,121.09,122891,0,0.101,0.000,0.000,6882201,1.00,17.45,0.000,0.000,0.000,3,6,13,35,14131,0.054,42.22,0.0087,0.000,22,0.857,0.000,0.892,0.593,2.76,2.87,5.85,0.00,0.000,1.00,1.00,1.01,0.857,0.00042
50000,1807,1.575,0.233,12.03,136180,122218,1719,0,12274,4,1204801.4,0.3,0.097,0.268,0.404,0.232,268,7.99,4.91,0.03,0.43,0.10,0.75,0.12,1.07,7.74,4.68,0.00,0.02,0.010,0.070,342,0.069,0.890,0.000,0.000,0.110,323821,304176,9,0.245,0.033,0.033,547235,0.091,1.117,0.025,120.86,125615,0,0.063,0.000,0.000,5647634,1.01,17.10,0.000,0.000,0.001,3,7,14,47,14436,0.055,42.46,0.0086,0.000,15,0.833,0.000,0.901,0.586,2.94,2.83,6.13,0.00,0.001,1.01,1.01,1.02,0.833,0.00039
60000,1833,1.560,0.189,12.65,134148,121184,1556,0,11382,15,1200575.2,2.6,0.080,0.212,0.428,0.280,251,7.96,5.02,0.04,0.42,0.10,0.77,0.08,0.92,7.74,4.78,0.00,0.03,0.013,0.083,360,0.056,0.889,0.000,0.000,0.111,325122,303118,9,0.315,0.069,0.020,577706,0.078,0.989,0.019,121.23,133231,0,0.171,0.000,0.000,4124443,1.01,17.23,0.000,0.000,0.001,3,7,14,58,14590,0.056,42.08,0.0085,0.000,27,0.788,0.000,0.894,0.595,2.74,2.12,5.92,0.00,0.003,1.01,1.01,1.02,0.788,0.00037
70000,1868,1.544,0.163,12.01,138829,122274,1730,0,14790,23,1196483.9,2.8,0.110,0.198,0.414,0.279,274,7.89,4.99,0.03,0.43,0.12,0.97,0.07,0.87,7.67,4.61,0.00,0.00,0.012,0.080,344,0.054,0.899,0.000,0.000,0.101,323040,300505,15,0.324,0.095,0.017,450852,0.083,0.912,0.016,120.81,129028,0,0.121,0.000,0.000,4052461,1.01,17.30,0.001,0.000,0.000,3,7,14,64,14739,0.056,42.50,0.0084,0.000,17,0.808,0.000,0.886,0.578,2.72,2.30,5.81,0.00,0.001,1.01,1.01,1.02,0.808,0.00032
80000,1843,1.562,0.136,11.31,140195,124917,1765,1,13537,8,1208628.6,0.6,0.112,0.203,0.447,0.238,289,7.86,4.70,0.02,0.39,0.07,0.49,0.06,0.58,7.71,4.58,0.00,0.00,0.011,0.080,342,0.066,0.883,0.000,0.000,0.117,323751,299549,15,0.253,0.014,0.020,308241,0.096,0.833,0.013,121.10,120932,30,0.076,1.000,0.000,4238153,1.01,17.52,0.000,0.000,0.000,3,7,14,40,14494,0.055,42.22,0.0085,0.000,20,0.812,0.000,0.884,0.574,2.86,2.72,5.85,0.00,0.000,1.01,1.01,1.01,0.812,0.00033
90000,1811,1.534,0.125,11.12,141890,124808,1775,0,15339,10,1200433.0,0.7,0.070,0.180,0.503,0.248,298,7.67,4.11,0.00,0.10,0.04,0.46,0.06,0.75,7.56,4.00,0.00,0.00,0.005,0.049,337,0.080,0.901,0.000,0.000,0.099,332935,315104,17,0.220,0.087,0.022,351633,0.099,0.803,0.012,120.92,117129,0,0.069,0.000,0.000,3459319,1.00,17.67,0.000,0.000,0.000,3,7,12,40,13892,0.053,42.39,0.0088,0.000,19,0.794,0.000,0.895,0.581,2.97,3.11,6.14,0.00,0.000,1.00,1.00,1.00,0.794,0.00032
100000,1771,1.549,0.126,11.02,140101,123664,1692,0,14785,6,1199554.4,1.1,0.064,0.183,0.509,0.243,300,8.10,4.81,0.02,0.52,0.09,0.74,0.11,0.55,7.87,4.75,0.00,0.00,0.012,0.086,375,0.069,0.893,0.000,0.000,0.107,333441,317070,12,0.279,0.035,0.059,567090,0.094,0.810,0.012,121.02,113329,0,0.191,0.000,0.000,3546687,1.01,17.33,0.000,0.000,0.000,3,7,15,41,14346,0.055,42.30,0.0086,0.000,12,0.781,0.000,0.872,0.586,3.20,3.33,6.31,0.00,0.001,1.01,1.01,1.01,0.781,0.00031
