step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1370,1.631,0.476,7.79,68901,60153,936,51,7896,1429,1058198.9,175.9,0.143,0.148,0.304,0.405,613,7.82,5.77,0.05,1.00,0.05,1.19,0.04,0.38,7.68,5.44,0.00,0.00,0.003,0.036,232,0.119,0.882,0.000,0.000,0.118,232238,222447,10,0.226,0.076,0.022,1009964,0.116,1.600,0.055,92.40,62831,65,0.123,0.863,0.000,1541814,1.02,17.48,0.000,0.000,0.000,3,6,16,63,10709,0.041,71.03,0.0101,0.000,62,0.874,0.000,0.888,0.707,2.58,4.76,2.76,0.00,0.001,1.02,1.02,1.02,0.874,0.00036
20000,1431,1.579,0.463,8.11,116682,103601,1756,0,11264,5,966960.1,0.3,0.146,0.102,0.385,0.367,506,8.82,6.08,0.04,0.37,0.07,0.60,0.08,1.01,8.62,5.99,0.00,0.00,0.008,0.061,260,0.063,0.834,0.000,0.000,0.166,271008,257849,10,0.469,0.027,0.033,507424,0.076,1.561,0.052,96.21,76543,0,0.066,0.000,0.000,1565892,1.02,15.99,0.000,0.001,0.000,4,7,17,45,12620,0.048,67.23,0.0078,0.019,13,0.870,0.000,0.914,0.573,2.94,5.54,3.02,0.00,0.000,1.01,1.02,1.02,0.870,0.00022
30000,1410,1.526,0.428,7.64,110290,100313,1699,0,8299,89,956397.5,4.8,0.184,0.131,0.354,0.331,481,7.88,5.32,0.05,0.65,0.01,0.19,0.07,0.60,7.74,5.24,0.00,0.00,0.002,0.035,239,0.059,0.852,0.000,0.000,0.148,264840,249026,6,0.330,0.294,0.026,380728,0.077,1.523,0.050,95.27,78838,0,0.054,0.000,0.000,1868600,1.02,17.11,0.000,0.000,0.000,3,6,16,50,11108,0.042,68.17,0.0088,0.001,40,0.860,0.000,0.924,0.588,3.20,5.77,3.77,0.00,0.000,1.03,1.03,1.02,0.860,0.00029
40000,1367,1.660,0.361,8.25,115117,105432,1589,0,8139,3,966743.4,0.0,0.111,0.178,0.381,0.330,457,9.33,5.02,0.11,0.73,0.02,0.37,0.11,0.73,9.09,4.85,0.00,0.00,0.003,0.044,291,0.055,0.897,0.000,0.000,0.103,259192,247645,6,0.679,0.000,0.039,309312,0.094,1.392,0.040,95.85,75134,0,0.000,0.000,0.000,2388223,1.04,15.39,0.000,0.000,0.000,5,8,15,53,12753,0.049,67.59,0.0078,0.002,47,0.770,0.000,0.907,0.564,3.24,5.53,4.02,0.00,0.000,1.04,1.05,1.04,0.770,0.00044
50000,1440,1.562,0.305,8.19,106871,97885,1337,0,7576,24,962713.6,0.0,0.093,0.226,0.526,0.155,456,8.82,4.42,0.06,0.70,0.05,0.82,0.13,0.86,8.59,4.24,0.00,0.00,0.002,0.041,286,0.063,0.880,0.000,0.000,0.120,242205,227064,6,0.529,0.062,0.042,525170,0.078,1.284,0.034,96.12,76614,0,0.000,0.000,0.000,2820399,1.02,16.07,0.000,0.000,0.000,4,8,14,37,12707,0.048,67.32,0.0078,0.013,30,0.750,0.000,0.883,0.570,3.35,5.85,3.88,0.00,0.000,1.02,1.02,1.02,0.750,0.00055
60000,1324,1.578,0.287,8.09,110668,101786,1375,0,7623,66,963107.0,0.0,0.145,0.196,0.496,0.163,448,9.52,5.66,0.06,0.65,0.10,1.86,0.15,1.08,9.20,5.23,0.00,0.00,0.005,0.055,288,0.083,0.887,0.000,0.000,0.113,249710,233933,8,0.390,0.055,0.039,620335,0.078,1.245,0.032,96.25,72743,0,0.000,0.000,0.000,2625137,1.02,15.02,0.001,0.000,0.000,4,9,14,64,12599,0.048,67.19,0.0079,0.000,39,0.753,0.000,0.866,0.566,3.76,6.49,4.58,0.00,0.000,1.02,1.03,1.02,0.753,0.00055
70000,1339,1.598,0.250,7.58,108919,100966,1467,0,6471,3,969519.3,0.2,0.141,0.174,0.424,0.261,460,9.53,7.52,0.04,0.39,0.01,0.14,0.06,0.56,9.41,7.49,0.00,0.00,0.003,0.046,227,0.140,0.896,0.001,0.000,0.103,250189,239919,9,0.401,0.014,0.019,486981,0.085,1.146,0.027,96.76,68541,0,0.075,0.000,0.000,2318157,1.01,14.95,0.013,0.000,0.000,4,9,12,64,12754,0.049,66.67,0.0077,0.003,15,0.757,0.000,0.866,0.573,3.89,6.86,4.85,0.00,0.000,1.01,1.01,1.01,0.757,0.00049
80000,1411,1.522,0.243,7.56,112612,105281,1605,0,5654,26,957356.6,2.0,0.119,0.170,0.384,0.327,434,8.92,7.20,0.23,1.55,0.02,0.34,0.39,2.68,8.28,4.26,0.00,0.00,0.003,0.050,267,0.089,0.886,0.000,0.000,0.114,250307,245054,6,0.369,0.012,0.047,430756,0.124,1.140,0.027,96.17,69408,0,0.077,0.000,0.000,2314265,1.06,16.06,0.007,0.000,0.000,4,8,12,64,12582,0.048,67.27,0.0082,0.000,23,0.761,0.000,0.829,0.558,4.21,6.95,5.75,0.00,0.001,1.02,1.08,1.07,0.761,0.00040
90000,1342,1.572,0.233,7.30,121206,114238,1570,0,5467,19,949988.6,1.4,0.105,0.170,0.430,0.296,411,9.46,7.48,0.12,0.98,0.14,1.38,0.11,0.72,9.09,6.02,0.00,0.00,0.004,0.040,249,0.219,0.875,0.001,0.000,0.124,253983,249410,5,0.522,0.000,0.063,619241,0.119,1.122,0.026,94.90,70167,0,0.076,0.000,0.000,2386799,1.03,15.94,0.011,0.003,0.000,4,8,13,64,12701,0.048,68.54,0.0078,0.000,36,0.760,0.000,0.773,0.529,4.69,7.27,6.85,0.04,0.010,1.02,1.04,1.02,0.760,0.00045
100000,1361,1.516,0.145,7.59,124579,117287,1547,0,5726,141,941294.1,13.2,0.094,0.147,0.456,0.303,391,9.29,7.56,0.09,0.88,0.11,1.48,0.09,0.72,9.00,6.61,0.00,0.00,0.004,0.052,297,0.100,0.882,0.000,0.000,0.118,259191,257969,4,0.520,0.000,0.042,1003447,0.053,0.850,0.014,94.12,69020,0,0.094,0.000,0.000,2004673,1.02,16.60,0.013,0.001,0.000,4,8,12,64,12650,0.048,69.32,0.0077,0.000,29,0.737,0.000,0.719,0.526,4.79,7.23,6.75,0.00,0.000,1.03,1.04,1.02,0.737,0.00040
