step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1553,1.712,0.339,7.63,80296,69099,966,0,10161,1803,1291935.9,120.6,0.504,0.151,0.194,0.151,486,10.04,7.34,0.13,0.85,0.02,0.34,0.02,0.30,9.87,7.27,0.00,0.00,0.005,0.062,278,0.069,0.915,0.000,0.000,0.085,279610,268959,6,0.264,0.041,0.010,626595,0.142,1.338,0.038,117.35,80903,0,0.067,0.000,0.000,1780364,1.06,16.73,0.001,0.000,0.000,3,9,18,64,15597,0.059,45.97,0.0084,0.009,18,0.758,0.000,0.796,0.718,3.01,3.30,4.50,0.00,0.000,1.05,1.06,1.06,0.758,0.00063
20000,1683,1.649,0.278,7.58,120897,103515,1577,0,15675,6,1204474.5,1.1,0.415,0.076,0.346,0.163,427,8.98,4.94,0.05,0.88,0.05,0.64,0.04,0.70,8.84,4.68,0.00,0.00,0.005,0.064,327,0.067,0.888,0.000,0.000,0.112,317567,308454,9,0.358,0.017,0.009,133078,0.089,1.208,0.031,120.95,93872,0,0.181,0.000,0.000,797563,1.02,17.06,0.000,0.000,0.000,3,8,15,52,15110,0.058,42.36,0.0081,0.007,15,0.515,0.000,0.857,0.626,2.92,3.13,4.62,0.00,0.001,1.01,1.02,1.02,0.515,0.00038
30000,1755,1.600,0.253,7.71,132011,111818,1692,0,18429,0,1206894.1,0.0,0.309,0.085,0.469,0.136,397,8.59,4.92,0.05,0.45,0.04,0.43,0.01,0.19,8.49,4.81,0.00,0.00,0.004,0.049,292,0.061,0.905,0.000,0.000,0.095,328904,315559,8,0.532,0.003,0.004,85276,0.106,1.154,0.028,121.42,99822,0,0.000,0.000,0.000,1030142,1.02,17.15,0.000,0.000,0.000,3,7,15,42,15074,0.058,41.89,0.0081,0.000,13,0.571,0.000,0.883,0.605,2.95,3.21,4.58,0.00,0.000,1.01,1.02,1.02,0.571,0.00038
40000,1666,1.628,0.188,7.71,125642,107822,1518,1,16390,17,1206225.2,0.1,0.326,0.095,0.459,0.121,398,8.86,4.97,0.06,0.62,0.04,0.48,0.02,0.44,8.74,4.86,0.00,0.00,0.006,0.067,263,0.070,0.914,0.000,0.000,0.086,325560,309797,6,0.361,0.002,0.004,162255,0.085,0.981,0.019,121.27,103083,21,0.006,1.000,0.000,1281781,1.02,16.45,0.000,0.001,0.000,4,8,16,44,14756,0.056,42.04,0.0083,0.001,16,0.627,0.000,0.876,0.620,3.05,2.85,5.41,0.00,0.000,1.01,1.03,1.03,0.627,0.00038
50000,1732,1.599,0.170,7.23,125583,106209,1643,0,17665,7,1193874.4,0.4,0.285,0.097,0.514,0.104,406,7.97,4.57,0.02,0.22,0.03,0.65,0.03,0.31,7.89,4.38,0.00,0.00,0.003,0.046,279,0.147,0.914,0.000,0.000,0.086,329441,320055,5,0.393,0.320,0.014,86126,0.119,0.932,0.017,120.34,97307,0,0.060,0.000,0.000,1517680,1.01,17.15,0.000,0.001,0.000,3,7,13,47,13805,0.053,42.97,0.0087,0.048,7,0.679,0.000,0.882,0.624,3.03,2.82,5.58,0.00,0.000,1.01,1.01,1.01,0.679,0.00031
60000,1734,1.548,0.162,6.67,133375,114405,1917,0,17051,1,1182935.6,0.4,0.245,0.101,0.529,0.124,408,7.85,4.19,0.01,0.22,0.01,0.26,0.03,0.41,7.80,4.15,0.00,0.00,0.002,0.036,238,0.164,0.892,0.000,0.000,0.108,335730,322533,5,0.518,0.310,0.007,147799,0.106,0.902,0.016,119.67,97777,0,0.396,0.000,0.000,2072955,1.01,17.36,0.000,0.000,0.000,3,7,13,34,13620,0.052,43.64,0.0087,0.058,7,0.751,0.000,0.878,0.608,3.09,3.01,5.57,0.00,0.000,1.01,1.01,1.01,0.751,0.00024
70000,1790,1.543,0.158,6.09,131269,114599,1687,0,14927,11,1183363.5,2.4,0.231,0.098,0.551,0.120,416,7.61,4.08,0.05,0.66,0.02,0.31,0.02,0.25,7.52,3.89,0.00,0.00,0.001,0.025,233,0.295,0.908,0.000,0.000,0.092,340056,329698,5,0.542,0.218,0.006,123203,0.106,0.894,0.016,120.18,90038,0,0.222,0.000,0.000,1897458,1.01,17.45,0.000,0.000,0.000,3,7,12,36,13618,0.052,43.14,0.0088,0.022,7,0.764,0.000,0.882,0.619,3.18,2.90,6.05,0.00,0.000,1.01,1.02,1.02,0.764,0.00021
80000,1804,1.554,0.145,5.84,136237,120191,1636,0,14396,3,1186156.5,1.1,0.149,0.175,0.572,0.104,411,7.62,4.26,0.01,0.19,0.01,0.20,0.02,0.27,7.58,4.24,0.00,0.00,0.002,0.030,193,0.308,0.902,0.000,0.000,0.098,344023,335105,5,0.844,0.110,0.006,103326,0.125,0.856,0.015,120.56,85222,0,0.356,0.000,0.000,4548197,1.00,17.59,0.000,0.000,0.000,3,7,12,45,13745,0.052,42.75,0.0087,0.022,3,0.850,0.000,0.868,0.609,3.28,2.81,6.43,0.00,0.000,1.00,1.00,1.01,0.850,0.00023
90000,1852,1.520,0.133,5.97,133694,118393,1606,0,13647,5,1198077.4,0.6,0.079,0.239,0.624,0.058,421,7.49,3.69,0.01,0.17,0.01,0.24,0.01,0.15,7.46,3.69,0.00,0.00,0.001,0.025,171,0.422,0.909,0.000,0.000,0.091,348271,344689,4,0.704,0.000,0.002,42566,0.141,0.818,0.013,121.20,80880,0,0.116,0.000,0.000,5939660,1.00,17.82,0.000,0.001,0.000,4,7,11,42,13871,0.053,42.12,0.0087,0.005,10,0.875,0.000,0.853,0.621,3.31,2.56,6.65,0.00,0.000,1.00,1.00,1.01,0.875,0.00024
100000,1725,1.573,0.136,5.91,137083,120732,1604,0,14874,9,1194040.8,0.2,0.117,0.249,0.570,0.065,411,8.10,4.69,0.06,0.71,0.05,0.88,0.04,0.68,7.95,4.39,0.00,0.00,0.003,0.042,201,0.265,0.906,0.000,0.000,0.094,351399,350486,3,0.711,0.000,0.008,48867,0.153,0.808,0.013,120.80,79109,0,0.021,0.000,0.000,6208236,1.02,17.59,0.001,0.000,0.000,4,7,12,64,13973,0.053,42.51,0.0087,0.001,14,0.891,0.000,0.791,0.615,3.73,3.79,6.49,0.00,0.001,1.02,1.04,1.02,0.891,0.00023
