step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1232,1.779,0.349,10.08,70199,64622,782,0,5000,1776,1057800.5,109.0,0.213,0.407,0.238,0.143,468,11.56,6.41,0.07,0.60,0.10,0.61,0.12,0.67,11.27,6.34,0.00,0.00,0.013,0.085,315,0.069,0.906,0.001,0.000,0.093,201055,185436,13,0.166,0.294,0.045,1222510,0.132,1.369,0.041,93.09,73189,0,0.061,0.000,0.000,4241224,1.02,14.96,0.000,0.001,0.000,4,11,19,45,14244,0.054,70.35,0.0076,0.024,26,0.826,0.000,0.850,0.660,3.34,5.37,3.95,0.00,0.001,1.02,1.02,1.02,0.827,0.00125
20000,1408,1.612,0.287,10.64,94960,87159,1223,0,6402,77,959125.8,6.7,0.119,0.351,0.295,0.236,396,9.35,5.21,0.06,0.85,0.08,0.60,0.20,1.29,9.00,5.00,0.00,0.08,0.013,0.094,278,0.146,0.874,0.000,0.000,0.126,216071,195082,9,0.281,0.110,0.045,414735,0.113,1.241,0.033,95.24,80310,0,0.087,0.000,0.000,5214155,1.03,16.23,0.000,0.001,0.001,4,8,16,36,13169,0.050,68.20,0.0076,0.000,38,0.848,0.000,0.867,0.571,3.30,5.84,3.70,0.00,0.002,1.04,1.04,1.02,0.848,0.00062
30000,1380,1.567,0.268,11.35,110851,101820,1333,0,7726,4,957338.6,0.4,0.169,0.309,0.318,0.205,355,8.90,4.62,0.05,0.51,0.10,0.65,0.11,1.12,8.64,4.43,0.00,0.03,0.019,0.113,266,0.106,0.869,0.000,0.000,0.131,232405,216146,12,0.325,0.044,0.025,412359,0.132,1.209,0.031,95.06,90008,0,0.101,0.000,0.000,5392718,1.02,16.13,0.000,0.000,0.001,4,8,14,45,12276,0.047,68.37,0.0080,0.000,40,0.862,0.000,0.868,0.532,3.41,4.56,5.47,0.00,0.001,1.02,1.02,1.02,0.862,0.00049
40000,1532,1.553,0.232,12.09,113091,102422,1564,0,8953,9,963962.2,0.7,0.149,0.242,0.325,0.284,326,8.20,4.81,0.01,0.18,0.08,0.61,0.09,0.67,8.01,4.74,0.00,0.00,0.018,0.120,315,0.053,0.865,0.000,0.000,0.135,264673,244251,12,0.464,0.069,0.029,353983,0.105,1.119,0.027,95.96,105852,0,0.082,0.000,0.000,4626744,1.01,17.16,0.000,0.000,0.000,3,7,14,60,12558,0.048,67.48,0.0079,0.000,52,0.880,0.000,0.911,0.578,3.18,4.11,5.34,0.00,0.000,1.01,1.01,1.01,0.880,0.00029
50000,1432,1.581,0.198,11.02,115798,105072,1553,0,9273,5,964957.8,0.3,0.153,0.280,0.243,0.325,338,8.90,4.76,0.03,0.26,0.09,0.67,0.09,0.69,8.70,4.76,0.00,0.03,0.012,0.092,283,0.078,0.879,0.000,0.000,0.121,251087,232282,7,0.313,0.218,0.034,389394,0.099,1.020,0.022,96.09,96399,0,0.051,0.000,0.000,5476844,1.01,16.52,0.000,0.000,0.001,3,8,14,45,12740,0.049,67.35,0.0077,0.000,48,0.893,0.000,0.892,0.545,3.83,5.20,6.03,0.00,0.001,1.01,1.01,1.02,0.893,0.00036
60000,1409,1.578,0.175,9.78,123347,112548,1590,0,9232,21,965804.6,2.9,0.238,0.291,0.175,0.297,354,8.40,4.29,0.01,0.29,0.10,0.78,0.06,0.75,8.23,4.27,0.00,0.00,0.013,0.087,274,0.124,0.877,0.000,0.000,0.123,250871,236456,8,0.346,0.094,0.014,332137,0.097,0.942,0.018,96.11,88646,0,0.139,0.000,0.000,5976834,1.01,16.75,0.000,0.000,0.000,3,8,13,56,11838,0.045,67.33,0.0083,0.000,44,0.878,0.000,0.876,0.516,4.04,5.75,6.16,0.00,0.000,1.01,1.01,1.01,0.878,0.00039
70000,1449,1.542,0.163,9.41,132633,120191,1787,0,10615,2,964477.8,0.1,0.285,0.324,0.141,0.250,349,8.24,4.24,0.02,0.61,0.06,0.60,0.02,0.33,8.14,4.21,0.00,0.00,0.008,0.075,213,0.115,0.868,0.000,0.000,0.132,271064,262812,9,0.378,0.012,0.005,181664,0.090,0.911,0.017,96.18,94152,0,0.067,0.000,0.000,7191052,1.01,17.17,0.000,0.000,0.000,4,8,12,34,11944,0.046,67.26,0.0082,0.000,36,0.901,0.000,0.884,0.517,4.10,5.97,6.15,0.00,0.000,1.01,1.01,1.01,0.901,0.00033
80000,1320,1.642,0.145,10.29,123507,111307,1588,0,10741,4,964676.6,0.4,0.253,0.320,0.252,0.175,353,9.49,5.19,0.00,0.08,0.06,0.79,0.04,0.24,9.39,5.15,0.00,0.00,0.005,0.060,275,0.080,0.886,0.000,0.000,0.114,259962,252595,8,0.224,0.366,0.037,280254,0.054,0.868,0.015,96.06,91860,0,0.091,0.000,0.000,6853363,1.00,16.05,0.000,0.000,0.000,4,9,16,38,12533,0.048,67.38,0.0078,0.000,28,0.888,0.000,0.839,0.532,4.17,6.09,5.86,0.00,0.001,1.00,1.00,1.00,0.888,0.00042
90000,1441,1.499,0.135,9.35,126489,113584,1552,0,11232,2,963241.5,0.0,0.205,0.310,0.375,0.109,348,8.61,4.32,0.00,0.06,0.03,0.74,0.09,0.88,8.49,4.15,0.00,0.00,0.001,0.024,227,0.269,0.871,0.000,0.000,0.129,261147,251104,8,0.357,0.098,0.023,317330,0.036,0.823,0.014,95.94,86001,0,0.000,0.000,0.000,6670579,1.00,17.35,0.001,0.000,0.000,4,8,14,64,12403,0.047,67.50,0.0079,0.002,31,0.892,0.000,0.779,0.522,4.84,7.42,6.54,0.00,0.000,1.00,1.00,1.00,0.892,0.00037
100000,1440,1.504,0.120,9.41,135914,121442,1593,0,12880,2,959956.5,0.2,0.225,0.312,0.342,0.120,343,8.65,4.77,0.00,0.10,0.05,1.07,0.01,0.18,8.59,4.52,0.00,0.00,0.002,0.032,162,0.342,0.882,0.000,0.000,0.118,273733,270624,6,0.437,0.008,0.003,159908,0.068,0.769,0.012,95.75,82430,0,0.078,0.000,0.000,6839542,1.00,17.38,0.001,0.000,0.000,4,8,12,64,12460,0.048,67.69,0.0078,0.000,49,0.904,0.000,0.630,0.510,5.11,7.56,6.86,0.00,0.000,1.00,1.00,1.00,0.904,0.00031
