step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,1118,8.55,0.05,0.05,0.05,8.39,0.00,1.02,0.000,0.222,787253.8,125.7,8,0,2.75,1.03,1.02
10000,1,190,4.48,0.00,0.00,0.00,4.48,0.00,1.00,0.000,0.562,143333.8,0.3,2,0,1.76,1.00,1.00
10000,0,62,4.82,0.02,0.16,0.00,4.65,0.00,1.01,0.000,0.001,96484.5,49.8,2,41,1.92,1.01,1.01
20000,8,1269,9.03,0.03,0.03,0.09,8.88,0.00,1.01,0.000,0.203,778018.3,0.1,9,12,3.03,1.01,1.02
20000,1,149,6.32,0.05,0.46,0.01,5.80,0.00,1.04,0.000,0.604,148389.7,0.2,3,15,2.07,1.03,1.03
20000,0,13,16.54,0.46,0.31,0.00,15.77,0.00,1.07,0.000,0.001,675.9,0.0,3,5,3.92,1.00,1.14
30000,8,1263,7.74,0.04,0.01,0.08,7.61,0.00,1.02,0.000,0.182,775139.2,0.0,4,0,3.32,1.02,1.02
30000,1,107,8.86,0.07,0.01,0.01,8.77,0.00,1.03,0.000,0.615,137727.2,2.9,2,2,2.13,1.07,1.00
30000,0,40,9.57,0.35,0.00,0.00,9.23,0.00,1.16,0.000,0.002,1029.7,2.0,3,18,2.33,1.15,1.14
40000,8,1139,10.07,0.11,0.02,0.14,9.80,0.00,1.04,0.000,0.150,767505.5,0.0,4,0,3.50,1.03,1.05
40000,1,181,5.50,0.04,0.02,0.00,5.44,0.00,1.05,0.000,0.638,144084.9,0.0,2,3,1.87,1.09,1.09
40000,0,47,6.04,0.19,0.04,0.00,5.81,0.00,1.09,0.000,0.002,1227.3,0.0,3,20,2.02,1.12,1.12
50000,8,1231,9.32,0.07,0.02,0.14,9.09,0.00,1.02,0.000,0.151,766996.8,0.0,5,8,3.56,1.02,1.03
50000,1,179,5.63,0.02,0.04,0.04,5.52,0.00,1.02,0.000,0.657,146172.4,0.0,2,10,2.06,1.02,1.01
50000,0,30,7.47,0.00,1.07,0.00,6.40,0.00,1.00,0.000,0.001,1192.4,0.0,3,11,2.23,1.00,1.00
60000,8,1178,9.42,0.06,0.02,0.10,9.25,0.00,1.02,0.000,0.144,758594.3,0.0,6,0,3.90,1.02,1.03
60000,1,107,9.79,0.01,0.29,0.41,9.07,0.00,1.00,0.000,0.675,148207.5,0.0,2,0,2.47,1.00,1.00
60000,0,39,11.62,0.26,1.92,1.18,8.26,0.00,1.07,0.000,0.002,819.0,0.0,3,16,2.95,1.06,1.08
70000,8,1220,9.51,0.04,0.01,0.07,9.39,0.00,1.01,0.000,0.151,750301.9,0.1,8,1,4.06,1.01,1.02
70000,1,104,10.12,0.00,0.02,0.00,10.10,0.00,1.00,0.000,0.770,152655.9,0.2,2,3,2.23,1.00,1.00
70000,0,15,6.73,0.00,0.00,0.00,6.73,0.00,1.00,0.000,0.001,1156.8,0.0,1,8,2.27,1.00,1.00
80000,8,1240,8.67,0.07,0.02,0.12,8.46,0.00,1.03,0.000,0.140,736938.0,0.2,4,0,4.43,1.03,1.03
80000,1,148,9.67,1.16,0.00,1.99,6.51,0.00,1.21,0.000,0.780,145706.8,1.4,2,0,2.53,1.00,1.37
80000,0,23,17.43,2.78,0.09,4.74,9.83,0.00,1.49,0.000,0.003,1002.5,0.4,2,9,3.00,1.00,1.89
90000,8,1224,8.84,0.03,0.01,0.12,8.68,0.00,1.01,0.000,0.141,725935.6,0.0,3,0,4.86,1.02,1.01
90000,1,82,13.22,0.74,1.02,0.15,11.30,0.00,1.11,0.000,0.738,132606.2,1.2,2,0,2.67,1.00,1.22
90000,0,36,22.28,1.61,2.58,0.00,18.08,0.00,1.28,0.000,0.004,1338.1,0.2,3,16,3.47,1.08,1.53
100000,8,1243,8.70,0.06,0.02,0.10,8.52,0.00,1.02,0.000,0.141,710691.9,0.5,2,0,4.98,1.03,1.04
100000,1,89,12.72,0.43,0.28,0.00,12.01,0.00,1.02,0.000,0.766,124514.6,10.8,2,0,2.54,1.00,1.04
100000,0,29,24.28,0.41,3.72,0.00,20.14,0.00,1.00,0.000,0.004,2322.7,1.9,3,13,3.52,1.00,1.00
110000,8,1238,8.95,0.03,0.04,0.07,8.81,0.00,1.02,0.000,0.145,718725.4,0.0,3,9,4.85,1.06,1.05
110000,1,142,6.46,0.01,0.38,0.04,6.04,0.00,1.00,0.000,0.593,134795.5,0.0,2,5,2.12,1.00,1.00
110000,0,21,9.24,0.14,0.67,0.10,8.33,0.00,1.05,0.000,0.001,1471.7,0.0,2,7,2.62,1.00,1.07
120000,8,1265,8.76,0.03,0.01,0.08,8.65,0.00,1.02,0.000,0.147,721808.2,0.0,5,14,4.66,1.03,1.03
120000,1,195,4.98,0.01,0.08,0.03,4.87,0.00,1.01,0.000,0.630,149344.8,0.0,4,18,2.13,1.01,1.01
120000,0,10,10.70,0.00,1.70,0.00,9.00,0.00,1.00,0.000,0.001,526.9,0.0,3,8,3.80,1.00,1.00
130000,8,1175,9.44,0.07,0.01,0.13,9.24,0.00,1.04,0.000,0.151,714232.7,0.0,3,5,4.88,1.07,1.07
130000,1,180,5.52,0.01,0.00,0.05,5.47,0.00,1.01,0.000,0.649,142584.4,0.0,2,15,2.51,1.01,1.01
130000,0,20,6.80,0.00,0.00,0.05,6.75,0.00,1.00,0.000,0.001,528.1,0.0,1,13,2.00,1.00,1.00
140000,8,1222,8.90,0.03,0.00,0.09,8.78,0.00,1.02,0.000,0.143,717366.1,0.0,3,18,4.93,1.06,1.06
140000,1,166,5.96,0.12,0.00,0.10,5.73,0.00,1.05,0.000,0.688,148530.6,0.0,2,26,2.76,1.03,1.08
140000,0,12,12.17,0.33,0.00,4.08,7.75,0.00,1.01,0.000,0.001,503.8,0.0,1,4,3.00,1.00,1.00
150000,8,1221,8.99,0.09,0.00,0.09,8.82,0.00,1.04,0.000,0.144,720528.2,0.7,3,18,4.77,1.07,1.06
150000,1,121,7.26,0.03,0.00,0.26,6.97,0.00,1.03,0.000,0.611,142451.9,0.0,2,23,3.15,1.03,1.02
150000,0,18,11.72,0.00,0.00,2.17,9.56,0.00,1.00,0.000,0.001,602.5,0.0,1,10,2.94,1.00,1.00
160000,8,1300,8.16,0.03,0.01,0.12,8.01,0.00,1.02,0.000,0.141,714273.6,0.0,3,9,4.65,1.02,1.02
160000,1,165,5.88,0.14,0.13,0.01,5.61,0.00,1.08,0.000,0.609,144854.3,0.0,2,24,3.01,1.11,1.11
160000,0,13,7.08,0.46,0.00,0.00,6.62,0.00,1.33,0.000,0.001,549.9,0.0,3,5,2.69,1.41,1.41
170000,8,1315,8.28,0.07,0.00,0.16,8.05,0.00,1.01,0.000,0.141,701104.4,0.0,3,0,4.91,1.01,1.02
170000,1,195,5.15,0.12,0.07,0.12,4.85,0.00,1.06,0.000,0.636,143440.0,0.0,2,0,2.23,1.07,1.07
170000,0,32,8.16,0.44,0.06,0.81,6.84,0.00,1.14,0.000,0.002,610.6,0.0,2,15,2.56,1.10,1.21
180000,8,1324,8.04,0.06,0.00,0.15,7.83,0.00,1.02,0.000,0.140,699038.9,0.4,5,8,4.84,1.02,1.03
180000,1,185,4.97,0.18,0.00,0.09,4.70,0.00,1.03,0.000,0.603,144889.4,0.0,3,23,2.41,1.01,1.06
180000,0,17,7.53,0.47,0.00,0.53,6.53,0.00,1.11,0.000,0.001,583.7,0.0,2,8,2.82,1.15,1.00
190000,8,1294,8.27,0.04,0.00,0.11,8.11,0.00,1.02,0.000,0.146,705730.9,0.0,4,28,4.91,1.03,1.02
190000,1,240,4.22,0.02,0.00,0.00,4.20,0.00,1.01,0.000,0.657,147510.3,0.0,3,29,2.10,1.01,1.00
190000,0,3,11.67,3.00,0.00,0.00,8.67,0.00,1.52,0.000,0.000,587.2,0.0,2,1,4.00,2.00,2.00
200000,8,1279,8.35,0.03,0.00,0.10,8.22,0.00,1.01,0.000,0.146,702469.1,0.0,2,36,5.04,1.01,1.01
200000,1,165,5.39,0.01,0.01,0.02,5.36,0.00,1.01,0.000,0.614,147620.4,0.0,1,29,3.42,1.01,1.01
200000,0,1,12.00,0.00,0.00,0.00,12.00,0.00,1.00,0.000,0.000,524.6,0.0,1,1,6.00,1.00,1.00
210000,8,1211,9.07,0.08,0.00,0.13,8.86,0.00,1.02,0.000,0.146,710346.5,0.0,2,10,5.23,1.03,1.02
210000,1,173,5.39,0.02,0.00,0.01,5.36,0.00,1.01,0.000,0.671,138750.9,0.0,1,39,3.38,1.01,1.01
210000,0,12,6.08,0.00,0.00,0.00,6.08,0.00,1.00,0.000,0.000,727.0,0.0,1,8,4.00,1.00,1.00
220000,8,1205,8.93,0.03,0.00,0.07,8.82,0.00,1.02,0.000,0.162,705839.6,0.0,2,0,5.20,1.01,1.02
220000,1,240,4.18,0.00,0.00,0.02,4.17,0.00,1.00,0.000,0.611,144788.3,0.0,1,0,2.87,1.00,1.00
220000,0,44,4.89,0.00,0.00,0.11,4.77,0.00,1.00,0.000,0.001,767.2,0.0,2,30,3.36,1.00,1.00
230000,8,1226,8.86,0.05,0.00,0.14,8.66,0.00,1.02,0.000,0.163,712883.8,0.0,3,14,5.13,1.02,1.02
230000,1,189,5.11,0.00,0.00,0.02,5.08,0.00,1.00,0.000,0.619,144401.9,0.0,1,21,2.94,1.00,1.00
230000,0,17,6.18,0.00,0.00,0.00,6.18,0.00,1.00,0.000,0.001,588.2,0.0,1,10,3.53,1.00,1.00
240000,8,1258,8.31,0.03,0.00,0.12,8.16,0.00,1.01,0.000,0.165,718394.2,0.0,2,0,5.04,1.01,1.01
240000,1,209,4.74,0.05,0.00,0.03,4.65,0.00,1.01,0.005,0.611,145093.2,0.0,1,0,2.52,1.02,1.01
240000,0,40,6.18,0.15,0.00,0.05,5.97,0.00,1.03,0.000,0.001,535.2,0.0,1,26,3.10,1.00,1.05
250000,8,1348,7.99,0.04,0.00,0.06,7.89,0.00,1.01,0.000,0.161,704303.0,0.2,3,0,5.02,1.01,1.01
