step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1268,1.717,0.352,8.33,76364,67892,752,1,7934,1832,1069250.5,125.0,0.287,0.233,0.339,0.140,571,11.13,8.06,0.06,0.60,0.06,0.52,0.04,0.47,10.97,7.87,0.00,0.00,0.005,0.057,308,0.080,0.886,0.000,0.000,0.114,206393,196574,4,0.607,0.191,0.012,573803,0.130,1.350,0.040,94.30,65274,70,0.068,0.000,0.000,2521638,1.03,14.82,0.004,0.001,0.000,5,10,18,64,14113,0.054,69.14,0.0077,0.022,19,0.812,0.000,0.819,0.641,3.43,3.55,5.63,0.00,0.001,1.02,1.03,1.04,0.812,0.00068
20000,1474,1.577,0.284,8.49,116157,103757,1423,0,10771,4,962615.2,1.1,0.149,0.130,0.645,0.077,449,8.87,4.72,0.03,0.57,0.05,0.64,0.01,0.25,8.78,4.47,0.00,0.00,0.003,0.037,334,0.051,0.866,0.000,0.000,0.134,236874,223987,6,0.713,0.023,0.005,142356,0.070,1.220,0.033,96.12,82995,0,0.287,0.000,0.000,1988109,1.01,16.55,0.000,0.000,0.000,4,8,15,45,13078,0.050,67.32,0.0074,0.011,25,0.734,0.000,0.859,0.522,3.29,3.53,5.51,0.00,0.001,1.01,1.01,1.01,0.734,0.00033
30000,1484,1.522,0.265,8.25,121545,108857,1601,0,11077,26,963351.4,1.3,0.085,0.108,0.743,0.063,399,8.59,4.67,0.06,0.58,0.07,0.75,0.05,0.60,8.41,4.44,0.00,0.00,0.004,0.044,305,0.059,0.863,0.000,0.000,0.137,244904,231036,7,0.778,0.022,0.009,154780,0.073,1.179,0.030,96.26,88351,0,0.051,0.000,0.000,1576082,1.02,16.37,0.000,0.000,0.000,4,7,14,41,12747,0.049,67.18,0.0077,0.000,32,0.688,0.000,0.868,0.515,3.24,3.23,5.80,0.00,0.001,1.02,1.02,1.02,0.688,0.00029
40000,1488,1.520,0.210,8.27,122324,110792,1386,0,10142,10,960446.2,0.7,0.080,0.072,0.756,0.093,436,8.23,4.46,0.05,0.80,0.07,0.64,0.03,0.35,8.07,4.29,0.00,0.00,0.006,0.054,223,0.123,0.872,0.000,0.000,0.128,248050,237315,4,0.845,0.015,0.013,119732,0.080,1.055,0.024,96.11,83297,0,0.071,0.000,0.000,638955,1.02,16.25,0.000,0.000,0.000,4,7,13,39,12247,0.047,67.33,0.0080,0.000,30,0.497,0.000,0.888,0.518,3.23,2.61,6.43,0.00,0.001,1.01,1.02,1.02,0.497,0.00031
50000,1528,1.471,0.189,8.74,122721,110730,1472,0,10479,10,961534.0,2.1,0.058,0.093,0.748,0.101,425,7.70,4.24,0.01,0.23,0.02,0.30,0.04,0.43,7.63,4.18,0.00,0.00,0.002,0.026,222,0.118,0.880,0.000,0.000,0.120,247168,239694,3,0.926,0.000,0.015,263414,0.038,0.990,0.021,95.56,85367,0,0.213,0.000,0.000,1185888,1.01,16.99,0.000,0.000,0.000,3,7,12,55,11769,0.045,67.88,0.0083,0.051,0,0.624,0.000,0.881,0.514,3.18,2.64,6.38,0.00,0.000,1.01,1.01,1.01,0.624,0.00027
60000,1471,1.541,0.175,8.78,124316,112372,1746,0,10255,18,957375.4,0.7,0.022,0.113,0.746,0.120,403,8.04,4.61,0.06,0.86,0.04,0.38,0.03,0.29,7.91,4.38,0.00,0.00,0.003,0.032,270,0.090,0.886,0.000,0.000,0.114,248398,237295,2,0.807,0.121,0.012,184192,0.059,0.945,0.019,95.40,91465,0,0.041,0.000,0.000,2028281,1.02,16.75,0.000,0.001,0.000,3,7,14,42,11820,0.045,68.04,0.0082,0.046,10,0.720,0.000,0.878,0.510,3.42,3.32,6.26,0.00,0.000,1.01,1.02,1.03,0.720,0.00028
70000,1438,1.539,0.173,8.69,122971,110451,1570,0,10983,12,964592.2,1.0,0.028,0.105,0.752,0.114,397,8.46,4.88,0.04,0.51,0.02,0.36,0.02,0.30,8.38,4.80,0.00,0.00,0.002,0.031,248,0.066,0.878,0.000,0.000,0.122,250748,239323,3,0.879,0.017,0.008,248504,0.078,0.935,0.018,96.04,91666,0,0.085,0.000,0.000,1685561,1.01,15.96,0.000,0.000,0.000,4,8,14,63,12166,0.046,67.40,0.0080,0.040,1,0.710,0.000,0.858,0.518,3.44,3.39,6.42,0.00,0.001,1.01,1.01,1.01,0.710,0.00027
80000,1493,1.495,0.151,8.84,127684,114488,1559,1,11581,22,963680.9,4.0,0.027,0.137,0.749,0.087,386,7.86,3.83,0.06,0.74,0.03,0.40,0.02,0.23,7.76,3.64,0.00,0.00,0.004,0.050,234,0.078,0.885,0.000,0.000,0.115,252524,242078,3,0.532,0.314,0.007,120449,0.059,0.873,0.016,96.05,91352,243,0.180,0.000,0.000,2498392,1.02,16.82,0.000,0.000,0.000,4,8,12,46,11737,0.045,67.39,0.0083,0.033,6,0.770,0.000,0.862,0.504,3.57,3.68,6.57,0.00,0.002,1.01,1.02,1.02,0.770,0.00029
90000,1577,1.485,0.129,8.65,129774,117684,1531,0,10475,1,960339.7,0.2,0.022,0.132,0.729,0.117,410,7.58,3.76,0.01,0.16,0.03,0.42,0.02,0.27,7.53,3.67,0.00,0.00,0.002,0.036,206,0.135,0.883,0.000,0.000,0.117,261191,256048,5,0.417,0.491,0.006,98383,0.120,0.798,0.013,96.07,84057,0,0.232,0.000,0.000,2160703,1.00,17.36,0.000,0.000,0.000,4,7,12,34,11958,0.046,67.37,0.0081,0.018,18,0.749,0.000,0.827,0.512,3.30,2.90,6.44,0.00,0.001,1.00,1.01,1.00,0.749,0.00027
100000,1495,1.520,0.130,8.38,132348,119838,1530,0,11062,4,962061.3,0.9,0.026,0.106,0.721,0.147,385,8.03,4.20,0.02,0.40,0.04,0.62,0.03,0.47,7.93,4.11,0.00,0.00,0.004,0.053,263,0.134,0.871,0.000,0.000,0.129,258806,253065,5,0.903,0.000,0.011,209913,0.066,0.783,0.013,96.35,87133,0,0.223,0.000,0.000,1704533,1.01,17.03,0.000,0.001,0.000,4,7,12,33,11999,0.046,67.09,0.0081,0.000,49,0.701,0.000,0.778,0.498,3.83,3.84,6.83,0.00,0.001,1.01,1.01,1.01,0.701,0.00028
