step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
100000,9,9,0,0,0,9,0,1.00,16,0.000,2586,2.36,270.77,0.00,148,8,8,0,1.00,1.00,1.00,4,3,5
100000,15,15,0,0,0,15,0,1.00,12,0.000,2552,2.46,318.78,0.00,89,8,8,0,1.00,1.00,1.00,3,6,4
100000,14,14,0,0,0,14,0,1.00,10,0.000,2530,2.90,226.61,0.00,139,8,8,0,1.00,1.00,1.00,2,3,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,2527,1.62,218.57,0.00,171,8,8,0,1.00,1.00,1.00,2,1,8
100000,12,12,0,0,0,12,0,1.00,12,0.000,2498,2.76,472.06,0.00,148,8,8,0,1.00,1.00,1.00,5,2,8
100000,12,12,0,0,0,12,0,1.00,12,0.000,2490,2.43,184.66,0.00,89,8,8,0,1.00,1.00,1.00,3,2,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2478,1.18,201.03,0.00,139,8,8,0,1.00,1.00,1.00,2,3,2
100000,9,9,0,0,0,9,0,1.00,14,0.000,2460,0.35,157.94,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2455,2.19,174.91,0.00,89,8,8,0,1.00,1.00,1.00,3,2,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,2453,1.42,213.75,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,2453,1.81,157.29,0.00,171,8,8,0,1.00,1.00,1.00,3,1,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2450,2.12,264.36,0.00,171,8,8,0,1.00,1.00,1.00,3,2,8
100000,11,11,0,0,0,11,0,1.00,12,0.000,2448,1.75,381.82,0.00,89,8,8,0,1.00,1.00,1.00,5,2,8
100000,10,10,0,0,0,10,0,1.00,12,0.000,2426,2.40,249.04,0.00,164,8,8,0,1.00,1.00,1.00,5,8,2
100000,9,9,0,0,0,9,0,1.00,12,0.000,2401,1.40,227.98,0.00,171,8,8,0,1.00,1.00,1.00,3,2,8
100000,13,13,0,0,0,13,0,1.00,12,0.000,2385,3.00,374.51,0.00,89,8,8,0,1.00,1.00,1.00,4,4,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2378,2.16,274.61,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,14,14,0,0,0,14,0,1.00,10,0.000,2360,2.90,271.26,0.00,89,8,8,0,1.00,1.00,1.00,3,4,8
100000,15,15,0,0,0,15,0,1.00,10,0.000,2342,1.83,367.95,0.00,89,8,8,0,1.00,1.00,1.00,6,3,8
100000,17,17,0,0,0,17,0,1.00,8,0.000,2342,2.40,363.58,0.00,89,8,8,0,1.00,1.00,1.00,3,4,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2335,1.65,288.24,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,2305,1.29,203.14,0.00,164,8,8,0,1.00,1.00,1.00,3,8,2
100000,9,9,0,0,0,9,0,1.00,14,0.000,2274,1.66,169.04,0.00,89,8,8,0,1.00,1.00,1.00,4,3,8
100000,10,10,0,0,0,10,0,1.00,14,0.000,2263,2.58,188.95,0.00,89,8,8,0,1.00,1.00,1.00,5,3,8
100000,30,30,0,0,0,30,0,1.00,6,0.000,2262,2.64,344.79,0.00,89,8,8,0,1.00,1.00,1.00,6,5,8
100000,13,13,0,0,0,13,0,1.00,12,0.000,2250,3.12,328.52,0.00,148,8,8,0,1.00,1.00,1.00,6,2,8
100000,27,27,0,0,0,27,0,1.00,8,0.000,2248,2.78,495.47,0.00,139,8,8,0,1.00,1.00,1.00,5,4,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2247,1.25,127.21,0.00,89,8,8,0,1.00,1.00,1.00,3,2,2
100000,9,9,0,0,0,9,0,1.00,14,0.000,2246,1.59,306.72,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,13,13,0,0,0,13,0,1.00,12,0.000,2243,2.10,331.06,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2240,1.60,352.75,0.00,89,8,8,0,1.00,1.00,1.00,4,3,8
100000,12,12,0,0,0,12,0,1.00,12,0.000,2238,1.99,252.99,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2221,2.32,199.42,0.00,148,8,8,0,1.00,1.00,1.00,3,1,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2202,2.21,301.83,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2188,2.27,161.75,0.00,89,8,8,0,1.00,1.00,1.00,4,3,8
100000,13,13,0,0,0,13,0,1.00,12,0.000,2135,3.20,280.71,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,9,9,0,0,0,9,0,1.00,16,0.000,2130,2.07,233.46,0.00,110,8,8,0,1.00,1.00,1.00,5,2,6
100000,8,8,0,0,0,8,0,1.00,16,0.000,2127,1.47,166.19,0.00,89,8,8,0,1.00,1.00,1.00,3,2,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,2124,2.04,180.27,0.00,139,8,8,0,1.00,1.00,1.00,3,3,8
100000,9,9,2,0,0,7,0,1.78,14,0.000,2116,1.92,209.72,0.00,171,8,8,0,1.00,1.57,3.50,2,2,8
