step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,1030,12.18,0.13,0.04,0.03,11.98,0.00,1.05,0.000,0.168,787371.1,57.8,5,8,3.46,1.05,1.05
10000,2,505,5.75,0.12,0.00,0.02,5.62,0.00,1.07,0.000,0.566,385633.0,3.1,2,6,2.10,1.07,1.08
10000,0,18,8.44,0.28,0.00,0.00,8.17,0.00,1.06,0.000,0.001,86082.9,59.7,3,14,2.44,1.00,1.11
20000,8,1220,9.95,0.05,0.06,0.05,9.78,0.00,1.02,0.000,0.161,770458.9,0.0,8,6,3.18,1.01,1.02
20000,2,448,6.40,0.04,0.01,0.01,6.33,0.00,1.02,0.000,0.529,402002.9,1.1,3,5,2.24,1.01,1.03
20000,0,15,7.47,0.00,0.00,0.00,7.47,0.00,1.00,0.000,0.001,1444.1,0.0,4,12,2.80,1.00,1.00
30000,8,1222,10.08,0.03,0.05,0.01,9.99,0.00,1.01,0.000,0.160,770294.4,0.0,5,0,3.35,1.01,1.01
30000,2,520,5.05,0.09,0.02,0.00,4.94,0.00,1.04,0.000,0.572,406860.5,0.0,3,0,1.99,1.03,1.05
30000,0,13,10.31,0.23,0.00,0.00,10.08,0.00,1.07,0.000,0.001,902.1,0.0,3,10,3.31,1.03,1.11
40000,8,1133,10.39,0.08,0.02,0.02,10.27,0.00,1.03,0.000,0.164,766617.1,0.0,5,0,3.50,1.02,1.04
40000,2,517,5.58,0.01,0.07,0.04,5.46,0.00,1.00,0.000,0.531,404475.9,0.1,3,1,2.11,1.00,1.00
40000,0,16,5.88,0.00,0.00,0.00,5.88,0.00,1.00,0.000,0.001,1357.9,0.0,4,15,2.00,1.00,1.00
50000,8,1215,9.01,0.02,0.03,0.02,8.94,0.00,1.01,0.000,0.153,750929.3,0.0,4,26,3.40,1.01,1.02
50000,2,510,5.50,0.01,0.05,0.05,5.39,0.00,1.00,0.000,0.649,411752.0,0.1,3,58,2.14,1.00,1.00
50000,0,7,7.14,0.00,0.00,0.00,7.14,0.00,1.00,0.000,0.000,783.0,0.3,2,4,2.71,1.00,1.00
60000,8,1238,8.84,0.01,0.01,0.04,8.78,0.00,1.01,0.000,0.148,740064.4,0.4,5,20,3.49,1.01,1.01
60000,2,489,5.35,0.00,0.02,0.01,5.31,0.00,1.00,0.000,0.602,414707.1,0.0,3,81,2.08,1.00,1.00
60000,0,7,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,620.8,0.0,2,7,3.00,1.00,1.00
70000,8,1264,8.64,0.07,0.01,0.02,8.53,0.00,1.02,0.000,0.150,752034.5,0.0,5,9,3.60,1.01,1.02
70000,2,519,5.12,0.02,0.02,0.01,5.07,0.00,1.01,0.000,0.589,403683.2,2.4,4,31,2.18,1.01,1.01
70000,0,7,6.71,0.00,0.00,0.00,6.71,0.00,1.00,0.000,0.000,487.4,0.0,2,6,2.71,1.00,1.00
80000,8,1291,8.52,0.01,0.01,0.02,8.48,0.00,1.00,0.000,0.149,751659.1,0.2,5,27,3.69,1.00,1.01
80000,2,510,5.34,0.01,0.00,0.02,5.31,0.00,1.00,0.000,0.563,408668.5,0.9,2,13,2.25,1.00,1.00
80000,0,3,6.67,0.00,0.00,0.00,6.67,0.00,1.00,0.000,0.000,598.2,0.0,1,3,2.67,1.00,1.00
90000,8,1314,8.31,0.01,0.01,0.01,8.29,0.00,1.01,0.000,0.147,751789.8,0.5,3,6,3.76,1.00,1.00
