step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
110000,2211,1.678,0.086,11.20,150638,127228,2441,0,21041,15,1531071.4,0.7,0.004,0.300,0.078,0.617,224,8.51,5.35,0.03,0.39,0.12,0.99,0.09,1.05,8.27,5.18,0.00,0.00,0.011,0.077,438,0.062,0.924,0.000,0.000,0.076,418058,397479,7,0.286,0.004,0.022,433183,0.072,0.580,0.006,159.38,167960,0,0.045,0.000,0.000,7847664,1.02,17.65,0.000,0.000,0.000,3,8,16,58,18824,0.072,3.82,0.0084,0.000,3,0.862,0.000,0.932,0.645,2.72,2.71,5.02,0.00,0.000,1.01,1.02,1.02,0.862,0.00047
120000,2104,1.715,0.083,11.52,145344,121679,2096,1,21675,19,1537514.1,0.3,0.015,0.376,0.030,0.578,215,9.07,5.87,0.01,0.21,0.12,0.76,0.07,0.58,8.86,5.83,0.00,0.00,0.015,0.096,463,0.063,0.912,0.000,0.000,0.088,424746,395894,6,0.224,0.192,0.027,560065,0.075,0.560,0.006,159.43,170907,121,0.016,0.000,0.000,9746605,1.01,17.35,0.000,0.000,0.000,2,8,16,43,19073,0.073,3.77,0.0082,0.003,10,0.876,0.000,0.921,0.663,2.80,2.80,5.11,0.00,0.000,1.00,1.01,1.01,0.876,0.00053
130000,2429,1.594,0.076,11.27,149657,124825,2209,0,22298,9,1524099.4,1.0,0.016,0.375,0.044,0.565,212,7.77,5.04,0.01,0.29,0.07,0.55,0.07,0.78,7.62,4.87,0.00,0.00,0.008,0.070,433,0.083,0.913,0.000,0.000,0.087,432383,396896,11,0.245,0.144,0.019,572796,0.062,0.543,0.005,159.56,170736,0,0.113,0.000,0.000,9662353,1.01,18.50,0.000,0.000,0.000,2,7,14,44,18879,0.072,3.64,0.0082,0.006,1,0.885,0.000,0.926,0.658,2.62,2.53,4.77,0.00,0.000,1.01,1.01,1.01,0.885,0.00041
140000,2285,1.629,0.077,11.33,158079,129705,2642,0,25876,8,1537405.4,0.8,0.022,0.374,0.057,0.546,214,8.18,5.41,0.01,0.25,0.08,0.94,0.04,0.46,8.05,5.25,0.00,0.02,0.006,0.063,451,0.052,0.927,0.000,0.000,0.073,424188,395131,14,0.223,0.016,0.017,381406,0.080,0.565,0.006,159.64,165175,0,0.103,0.000,0.000,10031699,1.00,17.97,0.000,0.000,0.000,3,7,14,54,18692,0.071,3.56,0.0084,0.004,5,0.885,0.000,0.927,0.632,2.82,2.89,5.06,0.00,0.000,1.00,1.01,1.00,0.885,0.00044
150000,2102,1.667,0.084,11.17,145024,118785,2348,0,24074,25,1522767.8,1.1,0.011,0.389,0.040,0.560,212,8.84,5.69,0.02,0.40,0.10,0.72,0.09,0.81,8.62,5.47,0.00,0.00,0.009,0.074,468,0.039,0.897,0.000,0.000,0.103,433488,413245,8,0.299,0.007,0.027,518212,0.062,0.573,0.006,159.35,166409,0,0.044,0.000,0.000,9298835,1.01,17.28,0.001,0.000,0.000,3,8,15,64,18580,0.071,3.85,0.0084,0.000,5,0.877,0.000,0.914,0.670,2.92,3.09,5.28,0.00,0.000,1.00,1.01,1.01,0.877,0.00052
160000,2282,1.634,0.075,11.68,149460,122779,2412,0,24089,8,1508254.6,0.8,0.009,0.387,0.055,0.549,206,7.99,4.97,0.01,0.18,0.06,0.62,0.07,0.61,7.85,4.88,0.00,0.00,0.006,0.058,427,0.064,0.922,0.000,0.000,0.078,428344,399159,11,0.213,0.011,0.021,467242,0.065,0.536,0.005,159.38,167931,0,0.100,0.000,0.000,10230306,1.00,18.03,0.000,0.000,0.000,2,8,14,61,18225,0.070,3.82,0.0084,0.006,4,0.883,0.000,0.917,0.656,2.79,2.82,5.01,0.00,0.000,1.00,1.01,1.00,0.883,0.00047
170000,2277,1.602,0.076,11.28,149566,126195,2279,0,21097,6,1517195.9,0.5,0.008,0.340,0.053,0.599,206,7.81,5.04,0.03,0.44,0.07,0.77,0.04,0.52,7.67,4.84,0.00,0.00,0.006,0.052,421,0.074,0.909,0.000,0.000,0.091,443082,411645,11,0.161,0.059,0.012,453038,0.073,0.566,0.006,159.36,164066,0,0.089,0.000,0.000,8960086,1.01,17.92,0.000,0.000,0.000,3,7,14,44,17788,0.068,3.84,0.0087,0.005,7,0.874,0.000,0.927,0.667,2.84,2.76,5.40,0.00,0.000,1.01,1.01,1.01,0.874,0.00041
180000,2163,1.625,0.077,12.16,154861,132726,2410,0,19839,10,1528960.1,0.9,0.019,0.304,0.077,0.601,194,8.32,5.19,0.03,0.41,0.08,0.60,0.09,0.91,8.12,5.06,0.00,0.00,0.012,0.084,417,0.064,0.908,0.000,0.000,0.091,443264,410872,9,0.222,0.069,0.027,384040,0.095,0.566,0.006,159.03,175467,0,0.091,0.000,0.000,8149795,1.01,17.19,0.000,0.000,0.000,3,8,14,51,18005,0.069,4.17,0.0087,0.009,3,0.868,0.000,0.925,0.655,3.00,2.72,5.84,0.00,0.001,1.01,1.01,1.01,0.868,0.00042
190000,2287,1.632,0.073,12.37,144751,121331,2608,0,20688,11,1497162.9,0.9,0.017,0.335,0.097,0.551,191,7.96,5.20,0.03,0.40,0.05,0.48,0.08,0.69,7.80,5.11,0.00,0.00,0.006,0.060,421,0.069,0.914,0.000,0.000,0.086,436570,401021,7,0.391,0.132,0.024,676650,0.077,0.527,0.005,158.23,179215,0,0.082,0.000,0.000,9135238,1.01,17.51,0.000,0.000,0.000,3,7,14,64,18195,0.069,4.97,0.0084,0.066,2,0.891,0.000,0.927,0.673,2.72,2.69,5.23,0.00,0.000,1.01,1.02,1.02,0.891,0.00036
200000,2219,1.626,0.081,11.98,147692,123153,2538,0,22069,7,1520407.1,1.1,0.010,0.342,0.106,0.542,184,8.11,5.12,0.02,0.37,0.06,0.52,0.07,0.57,7.96,5.02,0.00,0.00,0.010,0.086,472,0.049,0.913,0.000,0.000,0.087,440894,405387,14,0.387,0.024,0.024,626717,0.082,0.567,0.006,159.01,182138,0,0.162,0.000,0.000,9464368,1.01,17.16,0.000,0.000,0.000,2,7,15,52,17990,0.069,4.19,0.0086,0.012,4,0.895,0.000,0.926,0.669,2.87,2.95,5.43,0.00,0.000,1.01,1.01,1.01,0.895,0.00037
210000,2167,1.628,0.074,11.28,145940,122307,2190,0,21495,5,1525187.4,0.2,0.019,0.335,0.063,0.582,201,8.34,5.66,0.05,0.63,0.14,1.06,0.12,1.23,8.03,5.26,0.00,0.00,0.013,0.088,408,0.068,0.907,0.000,0.000,0.093,446612,419870,6,0.459,0.019,0.036,802372,0.074,0.541,0.005,158.96,173324,0,0.043,0.000,0.000,8863931,1.02,16.88,0.000,0.000,0.000,3,8,13,57,18069,0.069,4.24,0.0088,0.009,0,0.893,0.000,0.925,0.677,2.95,2.60,5.73,0.00,0.001,1.01,1.02,1.04,0.894,0.00037
220000,2381,1.573,0.083,11.30,148275,124410,2462,0,21189,10,1492440.0,1.6,0.012,0.315,0.072,0.600,208,7.43,5.07,0.07,0.72,0.06,0.57,0.12,0.77,7.18,4.90,0.00,0.00,0.009,0.074,364,0.126,0.916,0.000,0.000,0.083,428917,410189,7,0.407,0.212,0.043,987691,0.088,0.595,0.006,159.36,157750,0,0.162,0.000,0.000,9232966,1.02,17.53,0.000,0.000,0.000,2,7,13,55,17692,0.067,3.84,0.0087,0.006,1,0.876,0.000,0.928,0.659,2.83,2.49,5.66,0.00,0.000,1.02,1.02,1.04,0.876,0.00038
230000,2180,1.629,0.073,11.18,150943,130201,2344,0,18599,29,1525837.4,3.7,0.007,0.292,0.097,0.604,209,8.21,5.04,0.04,0.38,0.07,0.49,0.11,0.67,8.01,4.98,0.00,0.00,0.009,0.068,398,0.067,0.915,0.000,0.000,0.085,431382,411822,5,0.405,0.183,0.040,730181,0.081,0.546,0.005,159.03,158220,0,0.126,0.000,0.000,8420108,1.02,16.83,0.000,0.000,0.000,3,8,14,44,17907,0.068,4.17,0.0087,0.002,4,0.873,0.000,0.929,0.655,2.97,2.93,5.58,0.00,0.000,1.02,1.01,1.03,0.873,0.00038
240000,2450,1.588,0.071,10.68,148748,126655,2574,0,19249,15,1504896.9,1.1,0.013,0.299,0.094,0.594,218,7.43,5.11,0.02,0.27,0.05,0.40,0.09,0.67,7.27,5.04,0.00,0.00,0.008,0.067,397,0.108,0.919,0.000,0.000,0.081,428938,409612,4,0.394,0.226,0.040,1027184,0.069,0.526,0.005,159.44,152987,0,0.070,0.000,0.000,8469571,1.01,17.94,0.000,0.000,0.000,2,7,13,64,18211,0.069,3.76,0.0085,0.000,8,0.876,0.000,0.926,0.658,2.79,2.57,5.32,0.00,0.000,1.01,1.01,1.02,0.876,0.00035
250000,2264,1.598,0.078,11.00,152357,130031,2382,0,20130,20,1540851.1,2.0,0.007,0.292,0.056,0.645,205,7.95,5.07,0.04,1.03,0.11,0.87,0.11,0.71,7.69,4.69,0.00,0.00,0.008,0.066,415,0.068,0.914,0.000,0.000,0.086,438566,420302,7,0.395,0.279,0.051,1162498,0.056,0.555,0.006,159.48,160084,0,0.099,0.000,0.000,8357915,1.01,17.31,0.000,0.000,0.000,3,7,13,54,17999,0.069,3.72,0.0089,0.000,3,0.868,0.000,0.927,0.657,2.96,2.80,5.61,0.00,0.000,1.01,1.02,1.02,0.868,0.00036
260000,2225,1.622,0.077,10.95,155125,131843,2409,0,20912,15,1534750.0,1.0,0.006,0.267,0.043,0.684,214,8.02,5.34,0.04,0.55,0.06,0.58,0.11,0.61,7.80,5.11,0.00,0.00,0.007,0.067,413,0.075,0.920,0.000,0.000,0.080,442190,424370,6,0.398,0.265,0.059,1090616,0.054,0.530,0.005,159.29,156744,0,0.069,0.000,0.000,7967444,1.02,17.03,0.000,0.000,0.000,3,7,13,64,17840,0.068,3.91,0.0088,0.001,2,0.869,0.000,0.925,0.654,2.98,2.75,5.72,0.00,0.000,1.01,1.02,1.02,0.869,0.00034
270000,2450,1.543,0.070,11.09,163680,138037,2542,0,22876,16,1527806.5,2.1,0.006,0.281,0.049,0.664,209,6.97,4.17,0.01,0.18,0.05,0.52,0.12,0.54,6.78,4.05,0.00,0.00,0.006,0.057,389,0.090,0.912,0.000,0.000,0.088,448817,431372,5,0.310,0.230,0.071,1618992,0.046,0.532,0.005,159.56,160571,0,0.130,0.000,0.000,8677646,1.01,18.20,0.000,0.000,0.000,3,7,12,37,17066,0.065,3.64,0.0092,0.014,1,0.894,0.000,0.929,0.640,2.86,2.53,5.72,0.00,0.000,1.01,1.01,1.01,0.894,0.00026
280000,2414,1.557,0.074,10.98,164522,138875,2699,0,22984,22,1518800.9,1.1,0.008,0.273,0.064,0.654,202,7.25,4.94,0.04,0.47,0.04,0.40,0.08,0.60,7.09,4.81,0.00,0.02,0.005,0.053,432,0.090,0.915,0.000,0.000,0.085,456187,436356,6,0.386,0.034,0.036,1376687,0.049,0.537,0.005,158.93,164329,0,0.050,0.000,0.000,8800024,1.02,18.27,0.000,0.001,0.000,2,7,12,58,17512,0.067,4.27,0.0089,0.004,3,0.902,0.000,0.921,0.643,2.88,2.67,5.41,0.00,0.001,1.01,1.02,1.03,0.902,0.00025
290000,2365,1.520,0.070,10.97,175709,146783,2982,0,25993,8,1529959.4,0.2,0.011,0.265,0.044,0.680,203,6.72,4.39,0.03,0.47,0.03,0.42,0.07,0.69,6.58,4.28,0.00,0.00,0.006,0.062,407,0.058,0.903,0.000,0.000,0.097,471170,453953,4,0.456,0.011,0.030,785675,0.050,0.543,0.005,159.31,169211,0,0.022,0.000,0.000,9017490,1.02,18.75,0.000,0.000,0.000,2,6,11,51,15893,0.061,3.89,0.0098,0.009,0,0.925,0.000,0.932,0.630,2.94,2.84,5.69,0.00,0.001,1.01,1.02,1.02,0.925,0.00018
