step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1175,1.840,0.403,9.26,59242,54596,727,2,4238,1912,1047530.4,134.0,0.121,0.295,0.332,0.253,567,13.06,9.51,0.43,3.37,0.06,0.44,0.06,0.66,12.52,7.86,0.00,0.00,0.006,0.047,314,0.050,0.904,0.000,0.000,0.096,173818,160140,12,0.414,0.049,0.014,1023652,0.155,1.473,0.046,91.99,61531,16,0.070,1.000,0.000,2462491,1.07,15.10,0.014,0.002,0.000,5,11,20,64,15351,0.059,71.45,0.0071,0.003,18,0.805,0.000,0.840,0.670,3.17,3.76,4.72,0.00,0.000,1.06,1.08,1.07,0.805,0.00117
20000,1180,1.839,0.340,9.32,88615,79440,1192,0,7978,521,960050.4,44.5,0.033,0.296,0.406,0.265,484,13.12,9.03,0.11,0.97,0.05,0.41,0.04,0.54,12.92,8.96,0.00,0.00,0.006,0.058,293,0.061,0.904,0.000,0.000,0.096,196336,178254,10,0.389,0.108,0.011,175050,0.107,1.366,0.039,95.71,73153,0,0.085,0.000,0.000,3356526,1.04,14.88,0.016,0.001,0.000,6,12,21,64,15482,0.059,67.73,0.0063,0.000,27,0.797,0.000,0.889,0.564,3.24,3.61,5.04,0.00,0.000,1.03,1.06,1.05,0.797,0.00087
30000,1278,1.719,0.280,9.39,90217,81645,1146,0,7328,40,962310.5,3.6,0.046,0.312,0.416,0.226,455,11.44,7.88,0.09,0.94,0.15,1.30,0.10,0.84,11.09,7.01,0.00,0.06,0.004,0.035,301,0.055,0.891,0.000,0.000,0.109,202182,176845,13,0.297,0.302,0.032,196711,0.107,1.239,0.032,96.02,76763,0,0.091,0.000,0.000,3771726,1.03,15.14,0.002,0.000,0.002,5,11,19,64,14615,0.056,67.42,0.0068,0.000,36,0.813,0.000,0.888,0.568,3.09,3.18,5.36,0.00,0.002,1.03,1.03,1.04,0.813,0.00072
40000,1404,1.650,0.238,8.63,101379,91237,1143,0,8873,6,964153.7,0.6,0.042,0.268,0.462,0.229,474,9.84,5.71,0.04,0.60,0.02,0.27,0.08,0.76,9.71,5.59,0.00,0.00,0.003,0.044,284,0.054,0.897,0.000,0.000,0.103,224921,210494,6,0.403,0.042,0.021,437533,0.128,1.130,0.026,96.08,77589,0,0.098,0.000,0.000,3800141,1.02,16.07,0.000,0.000,0.000,4,8,16,55,13821,0.053,67.36,0.0071,0.000,35,0.825,0.000,0.867,0.561,2.97,2.46,6.03,0.00,0.000,1.01,1.01,1.03,0.825,0.00051
50000,1418,1.614,0.225,8.25,105163,95242,1177,0,8730,27,968044.2,5.2,0.036,0.258,0.487,0.219,474,9.67,4.91,0.05,0.66,0.05,0.75,0.09,0.70,9.48,4.79,0.00,0.11,0.005,0.047,278,0.073,0.876,0.000,0.000,0.124,232443,221758,5,0.397,0.165,0.033,412110,0.126,1.100,0.025,96.42,76360,0,0.192,0.000,0.000,3779839,1.02,15.57,0.001,0.001,0.001,4,9,16,64,13718,0.052,67.02,0.0072,0.000,44,0.830,0.000,0.858,0.558,3.01,2.41,6.35,0.00,0.001,1.03,1.02,1.03,0.830,0.00046
60000,1467,1.565,0.186,8.57,103492,94826,1132,0,7485,8,964500.7,0.7,0.067,0.279,0.441,0.213,473,8.97,4.40,0.02,0.31,0.06,0.52,0.07,0.65,8.82,4.34,0.00,0.00,0.006,0.052,266,0.052,0.879,0.000,0.000,0.121,234698,223091,7,0.423,0.160,0.020,336306,0.129,0.975,0.019,96.36,76480,0,0.089,0.000,0.000,4294375,1.01,16.13,0.000,0.001,0.000,4,8,15,32,13153,0.050,67.08,0.0075,0.000,58,0.841,0.000,0.857,0.569,3.11,2.49,6.51,0.00,0.000,1.01,1.01,1.01,0.841,0.00047
70000,1471,1.578,0.134,8.87,118491,108479,1312,0,8696,8,969193.9,0.5,0.074,0.180,0.507,0.238,442,8.74,4.71,0.05,0.63,0.05,0.54,0.01,0.25,8.62,4.55,0.00,0.00,0.005,0.051,253,0.055,0.882,0.000,0.000,0.118,237109,223215,7,0.439,0.165,0.005,183465,0.122,0.820,0.013,96.69,82920,0,0.063,0.000,0.000,2763354,1.02,16.65,0.000,0.000,0.000,4,8,15,36,12852,0.049,66.75,0.0076,0.000,36,0.783,0.000,0.867,0.512,3.04,2.43,6.31,0.00,0.001,1.01,1.01,1.02,0.783,0.00041
80000,1500,1.563,0.113,8.87,112458,104283,1303,0,6843,11,961223.6,0.9,0.066,0.163,0.565,0.206,414,8.86,4.58,0.04,0.45,0.04,0.51,0.07,0.54,8.72,4.50,0.00,0.00,0.004,0.055,279,0.068,0.866,0.000,0.000,0.134,234250,221791,8,0.381,0.030,0.038,299825,0.060,0.747,0.011,96.24,88744,0,0.083,0.000,0.000,2250365,1.02,16.57,0.001,0.001,0.000,4,8,15,64,13293,0.051,67.19,0.0074,0.000,50,0.739,0.000,0.850,0.530,3.06,2.57,6.05,0.00,0.000,1.01,1.02,1.02,0.739,0.00041
90000,1422,1.585,0.111,8.61,111183,103645,1378,1,6237,73,965671.5,10.2,0.052,0.167,0.619,0.162,417,9.05,4.38,0.04,0.52,0.05,0.56,0.02,0.22,8.94,4.30,0.00,0.00,0.005,0.045,283,0.058,0.895,0.000,0.000,0.105,235628,223811,8,0.390,0.049,0.007,275239,0.067,0.733,0.010,96.32,87487,52,0.139,0.000,0.000,2242042,1.02,16.25,0.000,0.002,0.000,4,8,14,32,12874,0.049,67.11,0.0076,0.000,33,0.737,0.000,0.874,0.538,3.06,2.88,6.15,0.00,0.000,1.02,1.03,1.02,0.737,0.00046
100000,1407,1.596,0.106,8.89,111037,102640,1284,0,7128,34,965799.1,4.4,0.041,0.192,0.555,0.212,429,9.30,4.75,0.06,0.61,0.05,0.49,0.02,0.21,9.17,4.73,0.00,0.00,0.005,0.051,291,0.091,0.882,0.001,0.000,0.117,236436,222096,9,0.274,0.106,0.010,155089,0.105,0.718,0.010,96.17,87316,0,0.129,0.000,0.000,2699181,1.02,15.80,0.001,0.000,0.000,5,9,14,64,13085,0.050,67.27,0.0075,0.000,40,0.765,0.000,0.889,0.540,3.14,2.74,6.35,0.00,0.000,1.02,1.02,1.04,0.765,0.00045
