step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1852,1.824,0.444,9.16,87112,72691,1313,2,12691,1880,1601264.2,124.7,0.276,0.414,0.136,0.174,339,10.16,9.18,0.10,0.72,0.10,1.24,0.16,1.17,9.81,8.77,0.00,0.02,0.007,0.062,397,0.067,0.917,0.000,0.000,0.083,359609,341690,12,0.305,0.207,0.041,1185513,0.135,1.450,0.044,152.48,114428,5,0.066,1.000,0.000,7271293,1.03,16.44,0.008,0.000,0.001,2,8,19,64,18823,0.072,10.72,0.0088,0.037,19,0.934,0.000,0.882,0.760,3.51,4.93,4.80,0.00,0.001,1.03,1.02,1.04,0.934,0.00056
20000,2369,1.534,0.317,7.60,159448,137653,2462,0,18816,44,1512531.8,4.6,0.255,0.407,0.055,0.282,254,7.22,4.60,0.04,0.52,0.07,0.70,0.10,1.02,7.01,4.36,0.00,0.00,0.008,0.074,245,0.146,0.886,0.000,0.000,0.114,451310,437595,5,0.732,0.025,0.024,650404,0.087,1.234,0.031,158.23,144770,0,0.105,0.000,0.000,13218405,1.01,19.02,0.000,0.000,0.000,2,6,12,38,17108,0.065,4.97,0.0091,0.003,6,0.952,0.000,0.847,0.650,3.96,6.54,5.10,0.00,0.000,1.01,1.01,1.01,0.952,0.00025
30000,2237,1.557,0.294,7.18,188193,169168,2823,2,16332,63,1517603.1,9.1,0.208,0.369,0.034,0.389,252,7.43,4.37,0.04,0.53,0.06,0.72,0.06,0.57,7.26,4.32,0.00,0.00,0.007,0.059,184,0.198,0.897,0.000,0.000,0.103,473297,468576,3,0.760,0.004,0.025,712871,0.068,1.187,0.029,158.82,132233,17,0.145,1.000,0.000,13780947,1.02,19.23,0.000,0.000,0.000,2,8,12,36,16622,0.063,4.38,0.0093,0.000,9,0.952,0.000,0.598,0.605,4.38,6.61,5.64,0.00,0.001,1.02,1.02,1.02,0.952,0.00022
40000,2368,1.549,0.248,6.66,182920,162129,3211,0,17449,57,1552260.4,6.7,0.138,0.338,0.049,0.475,260,7.32,4.84,0.02,0.32,0.04,0.84,0.07,0.73,7.20,4.68,0.00,0.00,0.003,0.040,219,0.199,0.888,0.000,0.000,0.112,488420,484986,3,0.785,0.000,0.021,693245,0.054,1.068,0.024,159.39,133826,0,0.118,0.000,0.000,12782480,1.01,19.60,0.000,0.000,0.000,2,6,12,56,17345,0.066,3.81,0.0091,0.000,7,0.959,0.000,0.596,0.627,4.35,6.90,5.57,0.00,0.000,1.01,1.01,1.01,0.959,0.00016
50000,2526,1.519,0.196,6.56,193486,172695,3210,1,17422,55,1527852.5,6.8,0.115,0.325,0.114,0.446,246,6.93,4.62,0.02,0.36,0.05,0.98,0.04,0.68,6.81,4.48,0.00,0.00,0.004,0.047,206,0.222,0.892,0.000,0.000,0.108,476063,473768,2,0.459,0.259,0.014,359572,0.058,0.910,0.017,159.71,124999,51,0.123,0.000,0.000,12517176,1.01,20.21,0.000,0.000,0.000,2,6,12,52,17503,0.067,3.49,0.0089,0.000,10,0.957,0.000,0.557,0.596,4.21,6.46,5.45,0.00,0.000,1.01,1.01,1.01,0.957,0.00015
60000,2385,1.533,0.164,6.80,195408,170899,3041,1,21608,40,1520991.9,3.5,0.115,0.306,0.083,0.497,248,7.45,4.38,0.02,0.39,0.04,0.43,0.06,0.44,7.34,4.33,0.00,0.00,0.005,0.052,226,0.251,0.881,0.000,0.000,0.119,479125,477251,3,0.485,0.001,0.022,345686,0.052,0.822,0.013,159.34,131064,1,0.088,1.000,0.000,11481254,1.01,19.48,0.000,0.000,0.000,2,8,12,54,17764,0.068,3.86,0.0087,0.001,4,0.951,0.000,0.518,0.595,4.46,6.39,5.82,0.00,0.000,1.00,1.01,1.01,0.951,0.00016
70000,2455,1.510,0.152,6.98,197932,174483,2950,0,20429,25,1518815.1,2.0,0.136,0.326,0.051,0.487,248,7.15,4.70,0.04,0.25,0.09,1.14,0.06,0.67,6.96,4.44,0.00,0.00,0.006,0.060,222,0.196,0.878,0.000,0.000,0.122,494168,491941,2,0.794,0.000,0.018,391474,0.053,0.796,0.012,159.47,133416,0,0.080,0.000,0.000,13041522,1.02,19.88,0.000,0.000,0.000,2,7,12,64,17558,0.067,3.73,0.0089,0.000,7,0.954,0.000,0.499,0.602,4.45,6.62,5.90,0.00,0.001,1.03,1.02,1.02,0.954,0.00015
80000,2348,1.533,0.143,6.95,195766,175387,3213,2,17271,99,1521297.0,8.0,0.176,0.306,0.040,0.478,250,7.36,4.35,0.02,0.30,0.06,1.04,0.03,0.33,7.25,4.15,0.00,0.00,0.005,0.052,178,0.215,0.897,0.001,0.000,0.102,475893,472687,2,0.514,0.294,0.011,374970,0.057,0.756,0.011,159.56,126139,0,0.081,1.000,0.000,12574971,1.01,19.59,0.000,0.001,0.000,2,8,12,57,17292,0.066,3.64,0.0089,0.000,6,0.954,0.000,0.519,0.591,4.55,6.77,6.04,0.00,0.000,1.01,1.01,1.01,0.954,0.00016
90000,2393,1.510,0.132,6.79,191439,171588,3079,0,16727,48,1539208.8,9.9,0.181,0.319,0.057,0.442,248,7.21,4.29,0.02,0.20,0.06,0.65,0.04,0.36,7.09,4.29,0.00,0.00,0.008,0.072,200,0.206,0.893,0.001,0.000,0.107,472572,468716,2,0.544,0.322,0.017,385313,0.072,0.718,0.009,159.46,124120,0,0.206,0.000,0.000,13130267,1.01,19.77,0.000,0.001,0.000,2,7,12,34,17243,0.066,3.74,0.0091,0.003,7,0.946,0.000,0.510,0.597,4.55,7.25,6.06,0.00,0.000,1.01,1.01,1.01,0.946,0.00019
100000,2307,1.535,0.133,6.35,194559,173863,2942,0,17840,22,1573323.4,1.4,0.204,0.258,0.055,0.483,243,7.53,4.08,0.00,0.08,0.06,0.66,0.06,0.60,7.41,4.10,0.00,0.00,0.007,0.069,150,0.225,0.900,0.000,0.000,0.100,482589,479633,1,0.726,0.274,0.019,501351,0.069,0.693,0.009,159.35,126092,0,0.062,0.000,0.000,10544945,1.00,19.55,0.000,0.000,0.000,2,8,12,36,17375,0.066,3.85,0.0092,0.000,1,0.938,0.000,0.535,0.599,4.95,7.90,6.65,0.00,0.000,1.00,1.00,1.00,0.938,0.00018
