step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,1044,9.34,0.07,0.06,0.05,9.17,0.00,1.03,0.000,0.240,792530.3,47.8,3,4,2.70,1.03,1.04
10000,4,1270,4.88,0.01,0.02,0.06,4.79,0.00,1.00,0.000,0.388,732304.9,61.0,4,5,2.04,1.00,1.00
10000,0,3,8.67,0.00,0.00,0.00,8.67,0.00,1.00,0.000,0.000,92281.9,64.2,1,3,3.00,1.00,1.00
20000,8,1183,9.51,0.08,0.05,0.02,9.36,0.00,1.04,0.000,0.216,777204.0,0.0,3,8,3.07,1.04,1.04
20000,4,1141,5.34,0.03,0.03,0.03,5.25,0.00,1.01,0.000,0.432,785561.7,0.3,2,15,2.17,1.02,1.02
20000,0,3,16.00,0.00,0.00,0.00,16.00,0.00,1.00,0.000,0.000,1160.1,0.0,1,3,3.67,1.00,1.00
30000,8,1257,7.73,0.07,0.01,0.03,7.63,0.00,1.03,0.000,0.189,774839.6,12.5,2,0,3.23,1.03,1.04
30000,4,912,6.88,0.04,0.01,0.01,6.82,0.00,1.02,0.000,0.333,777480.4,1.1,2,5,2.65,1.02,1.02
30000,0,6,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,716.4,0.0,1,6,3.33,1.00,1.00
40000,8,1224,8.84,0.03,0.01,0.07,8.72,0.00,1.02,0.000,0.145,753193.2,0.0,1,1,3.69,1.02,1.02
40000,4,1179,5.21,0.01,0.00,0.07,5.12,0.00,1.01,0.000,0.312,751931.1,0.0,1,3,2.67,1.01,1.01
40000,0,5,21.60,0.60,0.00,1.60,19.40,0.00,1.04,0.000,0.001,1702.2,0.0,1,3,6.00,1.00,1.10
50000,8,1296,8.35,0.03,0.02,0.04,8.25,0.00,1.01,0.000,0.148,749252.8,0.0,1,1,3.65,1.00,1.01
50000,4,1159,5.44,0.03,0.01,0.02,5.39,0.00,1.01,0.000,0.329,745736.9,0.0,1,11,2.81,1.01,1.02
50000,0,4,14.25,0.00,0.00,0.00,14.25,0.00,1.00,0.000,0.001,1747.1,0.0,1,2,4.00,1.00,1.00
60000,8,1360,8.14,0.03,0.00,0.05,8.06,0.00,1.01,0.000,0.147,745488.1,0.0,1,2,3.67,1.01,1.02
60000,4,1085,5.63,0.03,0.00,0.06,5.54,0.00,1.01,0.000,0.310,761607.2,0.4,1,5,2.82,1.00,1.01
60000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1402.6,0.0,0,0,-0.00,-0.00,-0.00
70000,8,1346,7.86,0.03,0.00,0.03,7.79,0.00,1.01,0.000,0.149,743776.8,0.0,2,19,3.61,1.01,1.01
70000,4,1397,4.61,0.05,0.01,0.04,4.51,0.00,1.01,0.000,0.351,763223.1,0.0,1,5,2.48,1.02,1.02
70000,0,2,18.50,0.00,0.00,0.00,18.50,0.00,1.00,0.000,0.000,1116.2,0.0,1,2,5.00,1.00,1.00
80000,8,1345,8.11,0.04,0.01,0.04,8.03,0.00,1.01,0.000,0.146,744096.4,0.0,1,9,3.78,1.02,1.02
80000,4,918,7.03,0.05,0.02,0.08,6.89,0.00,1.02,0.000,0.330,763375.0,0.0,1,6,3.03,1.01,1.02
80000,0,1,23.00,0.00,0.00,2.00,21.00,0.00,1.00,0.000,0.000,1170.9,0.0,1,1,7.00,1.00,1.00
90000,8,1333,8.21,0.01,0.01,0.08,8.11,0.00,1.00,0.000,0.142,730804.8,0.3,1,2,4.05,1.01,1.01
90000,4,1297,4.81,0.03,0.01,0.06,4.70,0.00,1.01,0.000,0.311,768237.3,0.0,1,0,2.36,1.01,1.01
90000,0,3,11.67,0.00,0.00,0.00,11.67,0.00,1.00,0.000,0.000,1265.5,0.0,1,3,4.00,1.00,1.00
100000,8,1381,7.98,0.04,0.01,0.08,7.85,0.00,1.01,0.000,0.143,724809.8,0.0,1,0,4.23,1.02,1.02
100000,4,1262,4.93,0.02,0.01,0.02,4.88,0.00,1.01,0.000,0.313,765382.1,0.0,1,1,2.52,1.01,1.02
100000,0,7,20.71,0.00,0.00,0.00,20.71,0.00,1.00,0.000,0.001,1865.2,0.0,1,5,5.57,1.00,1.00
110000,8,1302,8.27,0.00,0.01,0.02,8.24,0.00,1.00,0.000,0.147,712942.2,0.0,1,10,4.42,1.00,1.00
110000,4,1340,4.48,0.00,0.01,0.05,4.42,0.00,1.00,0.000,0.343,755353.3,0.0,1,6,2.45,1.01,1.01
110000,0,2,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,1292.1,0.0,1,2,6.00,1.00,1.00
