step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea
1000,21781,20528,101570,833538,803864,712885,19083,102558,1205,2,155357,7801180,184332.913,52666.872,0.2029,50696.465,0.254,0.249,0.259,0.238,0.694,0.293,577,0.0073,0.7555,0.269,5.4,39.0,80.1,38.63,3.56,4.02,2.70,28.35,7.74,1.017,0.083,0.043,0.044,21.757,0.874,0.0027,245,670,2701,4899,115,0,0.000,10773,6655,5009,10117,2102,7419,12260,0.00,0.45,9075,31.7479,66724,8229,537925,231.8,-0.0,465345,84.684,2631002.543,1.77e-16,0.00093,30.00,239730,104.552,1.228,100.370,2.954,104.552,16556,1987,3238,0.4678,0.819,1.010,1.218,1.012,0.902,1.115,37089.066,12523.957,174244.708,37624.071,23160.599,1341.186,439.179,190.041,0.749,0.591,0.529,0.905,0.747,0.744,6626
2000,13980,7815,25847,54781,50043,28629,305,33221,426,1,97978,1967514,32719.916,5363.120,0.2298,3955.646,0.246,0.315,0.231,0.208,0.572,0.370,675,0.0182,0.6331,0.249,20.2,49.0,85.1,48.44,3.42,8.54,2.17,34.31,7.70,1.021,0.178,0.064,0.067,19.081,0.656,0.0033,515,1418,2599,2407,101,0,0.000,7511,1112,2077,10791,538,1121,12321,0.00,3.18,9106,9.0544,66825,5722,489900,393.0,-0.0,533131,41.440,2631002.543,3.49e-14,0.00068,25.34,17870,25.740,1.184,23.451,1.105,25.740,2882,4803,6295,0.4362,0.852,1.014,1.186,1.035,0.912,1.098,15262.136,12697.086,5617.458,15175.749,15882.355,247.984,886.457,273.033,0.567,0.596,0.546,0.611,0.512,0.532,6912
3000,10884,5521,20195,44785,40705,24331,259,22984,304,3,82217,1484042,26207.488,4661.190,0.2490,3381.657,0.206,0.385,0.217,0.191,0.542,0.366,482,0.0298,0.6106,0.212,18.0,47.0,80.9,46.34,3.03,9.30,2.05,31.96,7.61,1.013,0.201,0.076,0.079,20.922,0.567,0.0035,286,1712,3456,2429,290,0,0.000,6222,60,1498,9326,569,1506,8809,0.00,6.42,13183,14.1254,66748,5885,453010,449.9,-0.0,567211,25.401,2631002.543,1.49e-14,0.00102,14.43,14297,17.314,1.155,15.588,0.570,17.314,2662,4053,4169,0.4955,0.858,1.000,1.184,1.019,0.917,1.103,11540.882,10167.105,5606.121,11478.088,12504.937,214.399,703.533,361.601,0.585,0.549,0.511,0.594,0.523,0.552,5822
4000,13948,7619,28771,78512,72464,49420,321,25003,672,32,147292,2317261,36535.610,8990.989,0.2609,6588.832,0.196,0.446,0.193,0.166,0.592,0.312,767,0.0339,0.6260,0.227,21.0,46.6,76.0,46.27,1.97,10.20,2.16,31.95,7.48,1.023,0.227,0.061,0.063,19.695,0.578,0.0031,256,822,6138,4715,817,0,0.000,7794,27,1828,12093,1488,2582,9878,0.25,7.65,7582,15.3202,66790,5350,421719,576.9,-0.0,601442,27.093,2631002.543,4.42e-15,0.00039,37.93,24986,22.312,1.167,20.314,0.831,22.312,5756,4037,4155,0.4902,0.881,1.001,1.192,1.026,0.933,1.106,11858.223,9489.328,19785.713,11701.096,11637.632,1030.003,901.509,470.645,0.702,0.552,0.485,0.740,0.446,0.516,4878
5000,11120,6085,21931,46601,40618,24485,185,24093,602,64,128851,2069416,27984.476,6820.265,0.2958,4438.323,0.183,0.473,0.187,0.156,0.553,0.331,713,0.0496,0.6231,0.231,20.4,46.0,72.7,44.55,1.97,11.20,2.07,29.31,7.37,1.026,0.252,0.079,0.085,21.876,0.563,0.0033,286,974,9162,4167,1742,59,0.411,6482,80,1666,9374,608,1594,8918,1.50,12.84,7189,10.1762,66769,5020,389319,360.4,0.0,637330,26.555,2631002.543,8.85e-16,0.00099,12.68,14923,19.715,1.176,18.047,0.491,19.715,3095,3969,4056,0.4723,0.905,1.004,1.172,1.043,0.945,1.093,11727.277,9047.389,9417.338,11586.766,11418.695,744.861,1062.825,574.257,0.649,0.539,0.472,0.649,0.424,0.527,4066
6000,10734,5839,22320,45126,38977,22647,159,22013,587,106,130780,2019457,27224.922,6912.199,0.2935,4513.005,0.167,0.509,0.182,0.142,0.535,0.337,757,0.0579,0.6281,0.234,21.9,45.6,73.6,45.09,1.83,12.11,1.90,29.24,7.42,1.021,0.272,0.080,0.086,21.308,0.524,0.0032,258,1014,11379,4057,3407,62,0.614,6335,58,1236,9440,872,1494,8368,2.50,16.48,7633,12.2559,66779,4883,356394,469.6,-0.0,670370,23.966,2631002.543,2.55e-14,0.00002,23.20,13834,18.469,1.169,16.892,0.408,18.470,3466,3684,3584,0.4878,0.889,1.001,1.170,1.023,0.945,1.097,10919.317,8147.107,10362.198,10769.852,10605.877,807.786,975.315,616.093,0.636,0.526,0.431,0.573,0.390,0.553,3596
7000,10036,5841,22303,48107,41967,25622,182,22207,651,143,145800,2176931,27452.851,7568.178,0.3032,4805.163,0.159,0.527,0.175,0.139,0.540,0.327,928,0.0679,0.6320,0.240,20.7,44.9,70.2,43.53,1.75,11.99,2.23,27.56,7.38,1.028,0.278,0.070,0.074,20.888,0.567,0.0031,260,971,10982,4678,3912,70,0.652,6077,640,1316,8080,682,1497,7857,2.80,19.77,5763,11.0236,66850,4197,324201,363.5,-0.0,705387,24.474,2631002.543,1.27e-14,0.00036,24.47,14351,18.626,1.167,17.110,0.350,18.626,3392,3291,3353,0.4794,0.914,1.005,1.172,1.023,0.960,1.101,10427.588,7276.418,12266.150,10278.310,9713.554,1095.194,914.662,753.159,0.634,0.508,0.439,0.608,0.401,0.568,3219
8000,9969,5192,19903,37095,31001,17061,131,19308,536,126,126271,1865320,23496.690,5893.906,0.3075,3467.523,0.159,0.535,0.173,0.133,0.513,0.339,687,0.0683,0.6415,0.233,19.4,43.4,68.9,42.87,1.49,12.76,2.07,26.55,7.31,1.020,0.304,0.087,0.092,18.553,0.531,0.0030,264,1141,9816,5026,3106,67,0.669,6099,637,991,8341,903,1474,7592,4.03,23.10,5061,9.9306,66751,3890,298361,345.7,-0.0,733450,21.651,2631002.543,5.31e-15,0.00013,7.77,11369,16.225,1.159,14.715,0.351,16.225,3681,3341,2947,0.5090,0.907,1.000,1.154,1.016,0.960,1.094,9573.429,6093.880,9716.531,9398.809,7848.873,955.108,956.851,514.424,0.591,0.506,0.413,0.531,0.351,0.512,3244
9000,8512,4713,18174,31905,25772,13670,61,18920,607,104,127899,1857679,21348.225,5550.370,0.3267,2938.960,0.150,0.565,0.162,0.123,0.512,0.334,886,0.0841,0.6512,0.235,18.6,42.0,68.4,41.56,1.53,13.18,2.13,24.72,7.21,1.020,0.323,0.088,0.094,18.763,0.546,0.0031,263,1084,8771,4856,3109,62,0.614,5420,47,932,7533,606,1314,6592,5.00,26.00,4145,8.1227,66743,3693,275181,289.2,-0.0,758920,20.252,2631002.543,6.90e-15,0.00456,30.68,9846,15.329,1.161,13.912,0.256,15.329,2825,3069,2618,0.4999,0.918,1.000,1.151,1.017,0.962,1.093,8951.612,5612.985,8294.404,8777.049,7215.732,992.050,938.254,681.106,0.606,0.507,0.387,0.495,0.335,0.478,3010
10000,7867,4572,18253,29597,23488,11259,85,18182,644,72,119984,1750099,20356.595,4881.088,0.3203,2478.915,0.145,0.567,0.168,0.120,0.493,0.344,774,0.0942,0.6635,0.237,17.5,39.9,67.0,39.83,1.45,12.85,1.85,23.68,7.15,1.027,0.326,0.101,0.108,18.062,0.550,0.0031,250,999,7447,5152,2395,56,0.629,5029,45,908,6914,650,1362,5855,5.64,28.82,3484,7.4182,66740,3095,255463,231.9,-0.0,780177,19.175,2631002.543,1.49e-14,0.00159,11.37,9246,15.289,1.146,13.918,0.224,15.306,2793,2786,2288,0.4802,0.931,1.004,1.149,1.031,0.968,1.094,9048.549,5121.525,7567.189,8885.521,6382.801,874.300,976.007,551.866,0.575,0.490,0.388,0.465,0.299,0.401,2564
11000,7977,4418,17269,28284,22436,10957,58,16433,654,72,116742,1672922,18965.266,4671.918,0.3245,2304.114,0.137,0.577,0.165,0.120,0.491,0.344,740,0.0899,0.6746,0.230,17.2,38.0,63.5,38.34,1.28,12.52,1.98,22.55,7.04,1.029,0.329,0.108,0.118,16.476,0.527,0.0030,242,1062,7150,5620,2413,49,0.620,4983,32,979,6966,478,1306,6193,5.84,31.00,3466,7.7047,66786,3315,237074,225.5,0.0,799747,17.357,2631002.543,4.09e-14,0.00028,16.93,9262,14.773,1.150,13.398,0.225,14.774,2915,2882,2180,0.4719,0.943,1.006,1.140,1.044,0.971,1.086,8552.513,4431.418,7251.528,8376.536,5641.316,838.709,974.795,554.301,0.566,0.493,0.372,0.446,0.307,0.445,2608
12000,8220,4760,19396,29680,22868,10225,59,18320,765,68,138696,1788109,20664.248,4925.598,0.3211,2142.519,0.127,0.589,0.166,0.118,0.472,0.352,1000,0.1041,0.6803,0.228,17.4,37.7,64.2,38.23,1.28,13.19,1.93,21.84,6.97,1.031,0.346,0.105,0.110,15.421,0.551,0.0030,237,951,6340,6333,2291,40,0.615,5348,186,1004,7030,640,1182,6398,6.31,32.67,3119,8.0762,67015,2796,218249,205.8,-0.0,819357,18.691,2631002.543,2.57e-14,0.00046,31.67,9784,15.783,1.155,14.374,0.254,15.783,3141,2968,2111,0.4714,0.946,1.006,1.142,1.050,0.973,1.084,9243.959,4705.443,8011.661,9079.912,5715.194,967.114,1170.596,645.368,0.564,0.464,0.346,0.419,0.260,0.381,2301
13000,8084,4356,17585,24914,18757,7295,34,16993,682,46,122964,1686234,18837.474,4161.257,0.3416,1535.874,0.119,0.602,0.168,0.110,0.474,0.350,1182,0.0996,0.6772,0.223,17.8,36.8,63.2,37.76,1.39,13.44,2.00,20.93,6.91,1.030,0.351,0.127,0.128,14.677,0.526,0.0030,250,1059,4871,5912,1415,37,0.587,5296,207,1108,6769,679,1037,6368,7.00,34.83,2971,6.8330,67064,3076,202290,182.5,-0.0,836974,17.573,2631002.543,2.00e-14,0.00002,10.33,8403,15.327,1.154,13.914,0.260,15.328,2573,3266,2245,0.4803,0.956,1.006,1.134,1.054,0.976,1.080,8941.763,4422.828,6425.746,8772.620,5174.983,809.286,1216.463,599.634,0.541,0.493,0.343,0.330,0.251,0.336,2233
14000,7814,4288,17262,24611,18406,7308,41,16790,709,33,127516,1737465,18886.444,4217.475,0.3430,1484.059,0.115,0.616,0.167,0.103,0.469,0.351,895,0.1096,0.6823,0.227,18.5,36.4,62.4,37.10,1.35,13.39,1.84,20.52,6.86,1.032,0.354,0.127,0.127,14.476,0.542,0.0029,247,1012,4716,6034,1464,33,0.606,5161,235,1194,6385,697,728,6389,7.40,37.26,2514,6.1954,67104,2741,189675,169.0,-0.0,851010,17.586,2631002.543,5.13e-15,0.00005,33.24,8502,14.642,1.165,13.244,0.234,14.642,2560,3149,2105,0.4887,0.960,1.004,1.136,1.060,0.979,1.079,9293.105,4326.245,6186.817,9097.166,5086.520,860.472,1238.707,634.236,0.526,0.491,0.350,0.332,0.263,0.326,2064
15000,7614,4073,15806,22759,17221,6909,44,15272,711,23,122358,1666940,17463.460,3977.572,0.3452,1338.045,0.107,0.622,0.165,0.106,0.477,0.347,781,0.1030,0.6870,0.217,17.6,36.0,61.7,36.43,1.39,13.39,1.69,19.96,6.81,1.031,0.357,0.121,0.116,14.591,0.504,0.0029,247,1104,4433,6356,1149,27,0.579,5015,39,1169,6406,329,1061,6224,7.54,38.64,2495,5.2791,67123,2931,179870,167.0,-0.0,862273,16.041,2631002.543,4.44e-14,0.00012,23.67,7800,13.794,1.185,12.391,0.218,13.794,2103,3461,2050,0.5160,0.958,1.000,1.143,1.070,0.977,1.081,9178.978,4220.952,4913.944,9004.802,4882.759,656.796,1333.597,649.133,0.516,0.512,0.363,0.354,0.267,0.330,2119
16000,7941,4202,17282,24588,18378,7278,28,16104,828,23,138135,1755207,18326.237,4415.300,0.3536,1362.460,0.104,0.622,0.169,0.104,0.476,0.344,896,0.1063,0.6873,0.218,18.0,35.5,62.2,35.89,1.58,13.55,1.56,19.21,6.79,1.035,0.364,0.136,0.132,14.256,0.522,0.0029,234,1022,4382,7376,1054,25,0.582,5215,20,1207,6714,492,1064,6385,7.40,38.74,2158,4.9982,67038,2870,171260,185.7,-0.0,872202,16.560,2631002.543,7.26e-15,0.00007,15.34,8636,14.529,1.149,13.151,0.229,14.530,2366,3363,2212,0.4873,0.968,1.004,1.146,1.067,0.979,1.085,9680.610,4478.106,5007.402,9493.787,5187.509,722.503,1590.957,739.380,0.505,0.516,0.372,0.324,0.282,0.295,1978
17000,7889,4207,16554,23921,17937,7335,32,15781,799,26,134580,1676566,17786.751,4358.056,0.3527,1391.469,0.103,0.627,0.167,0.103,0.469,0.343,1162,0.1097,0.6862,0.199,18.5,36.4,61.7,36.59,1.51,14.11,1.41,19.57,6.83,1.035,0.374,0.128,0.126,14.465,0.508,0.0029,240,1045,4471,6280,1241,25,0.582,5106,61,1358,6470,386,1083,6420,7.16,38.84,2211,5.3137,67123,2944,162333,179.5,-0.0,882299,16.058,2631002.543,2.00e-14,0.00031,36.12,8469,14.252,1.172,12.837,0.242,14.252,2266,3486,2137,0.5259,0.953,1.000,1.157,1.066,0.978,1.096,9300.876,4311.910,5031.642,9123.725,5022.853,700.419,1441.989,824.179,0.506,0.492,0.385,0.348,0.280,0.321,2143
18000,7903,4240,17230,24320,17995,7064,26,16213,976,27,155021,1693749,17963.946,4782.384,0.3438,1451.152,0.098,0.637,0.159,0.105,0.456,0.349,1285,0.1184,0.6817,0.195,17.0,36.4,60.8,35.79,1.72,13.63,1.61,18.83,6.76,1.041,0.369,0.143,0.138,13.908,0.521,0.0029,233,993,4396,7123,1176,25,0.556,5294,179,908,6816,711,1067,6125,7.98,39.59,2414,5.8707,67107,2903,152345,170.7,-0.0,892954,16.569,2631002.543,1.27e-14,0.00022,9.52,8607,13.782,1.149,12.396,0.238,13.783,2589,3142,2172,0.5188,0.946,1.000,1.179,1.060,0.978,1.110,9115.257,4365.833,5322.271,8942.482,5150.345,840.653,1569.997,920.582,0.479,0.472,0.402,0.295,0.264,0.355,1993
