step,id,lineage,age,turns,mass,size,side,density,born_size,born_mass,born_hard,born_muscle,born_sensor,born_digestive,born_bite,hard,muscle,sensor,digestive,bite,bite_any,shell,speed,energy,fat,plant,meat,killed,scavenged,travel,path,worn,pace,place,born_place,temp,moist,height,medium,algae,detritus,cells
10000,693613,645,7589,3109,36.59,17,8,1.464,64,121.48,20,20,2,22,0,8,6,0,3,2,2,1.88,0.164,0.000,12.199,203.167,75.239,63.367,11.871,8.14,65.50,32,0.661,8,5,37.5,0.744,820,0,0.000,0.000,0000000000004400000202400000100000101010021101000020100000220000
10000,699311,655,6874,2561,100.01,54,8,1.042,64,117.72,49,0,0,15,0,42,0,0,12,0,0,11.78,0.000,0.000,99.730,215.751,47.619,32.294,15.326,0.00,0.00,8,0.400,6,7,48.9,0.089,311,0,0.000,0.000,1111110001111100111111111114440111104441111404411111444111111001
10000,699839,0,6835,2327,114.64,65,10,0.903,100,153.46,70,22,0,8,7,62,0,0,3,0,0,13.10,0.000,0.000,62.363,251.571,21.928,9.885,12.043,0.00,0.00,11,0.374,7,7,3.0,0.500,158,0,0.000,0.000,1111111111111111011111111111100001111111000111111100011111110001011010000441110000000041110000000111
10000,700133,645,6818,2425,93.36,40,8,1.415,64,137.92,34,5,1,24,2,26,1,0,13,0,1,4.75,0.011,0.000,31.044,173.464,53.070,34.777,18.293,10.55,11.50,9,0.414,8,8,37.6,0.713,919,0,0.000,0.000,0044444400444444001111140010111100101101001111110010100100210110
10000,709433,645,6548,2245,113.87,53,8,1.415,64,137.92,34,5,1,24,2,28,3,1,21,0,1,3.97,0.026,0.000,6.432,164.604,45.877,32.709,13.167,11.07,13.25,11,0.375,8,8,42.4,0.735,864,0,0.000,0.000,4440444444040444441111144401111140111011421010114211111130210101
10000,717325,645,6425,2530,65.86,31,8,1.464,64,118.55,17,25,0,22,2,14,8,0,9,0,2,3.61,0.121,4.354,63.411,298.352,58.495,46.316,12.179,20.51,63.50,15,0.493,8,8,31.9,0.795,1220,0,0.000,0.000,0000000044404440442020004220110002011100002010102201111000011100
10000,758374,681,5926,2569,74.00,54,8,1.370,64,87.71,0,0,0,64,0,0,0,0,54,0,0,1.00,0.000,0.000,69.141,287.219,120.817,76.714,44.103,0.00,0.00,10,0.465,7,8,38.2,0.029,58,0,0.000,0.000,4444444044444444444444440444444444044444044440040044404444444404
10000,759659,1,5903,2066,126.89,62,8,1.208,64,131.72,45,0,0,19,0,43,0,0,19,0,0,9.78,0.000,0.000,27.460,124.999,100.457,74.981,25.476,0.00,0.00,2,0.355,7,4,37.0,0.038,86,0,0.000,0.000,4444444444444441444111114111111111110111111111111111111111110111
10000,760683,1,5886,2065,125.68,60,8,1.208,64,131.72,45,0,0,19,0,44,0,0,16,0,0,10.53,0.000,0.000,96.229,251.641,28.408,20.989,7.419,0.00,0.00,4,0.357,7,5,37.8,0.033,57,0,0.000,0.000,4444404440444441440111114111111111111111111111111110111111111111
10000,771201,686,5731,2857,37.44,26,7,1.440,49,70.57,0,10,0,39,0,0,3,0,23,0,0,1.00,0.080,0.000,29.048,208.122,31.629,0.000,31.629,6.37,15.00,23,0.654,6,7,20.6,0.176,541,0,0.000,0.000,0000000444444044022404002000440004444044044044004
