year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,7,69986.3,42239.2,13842.0,241326.2,199142.6,2054903.6,-0.000,0.5213,0.3757,0.1031,1.251e-4,6.808e-6,9.305e-5,0.0307,19,599,9.947,10.014,3.73,691.7,1.92e-14,2.10e-16
2,7,67460.5,41392.8,13846.6,255055.2,181994.1,2061690.8,-0.000,0.5438,0.3505,0.1058,1.176e-4,7.608e-6,9.144e-5,0.0732,27,902,9.824,10.047,3.73,692.1,4.26e-15,5.56e-16
3,7,65969.6,43976.7,13849.4,257881.3,171307.1,2068455.8,0.000,0.5286,0.3650,0.1064,1.138e-4,8.265e-6,9.144e-5,0.0579,20,1104,9.703,10.080,3.73,692.3,8.70e-15,3.47e-16
4,7,64464.4,46299.0,13839.5,261178.8,163160.4,2072497.9,-0.000,0.5091,0.3852,0.1057,1.101e-4,8.685e-6,9.147e-5,0.0496,18,995,9.630,10.099,3.73,692.6,7.28e-15,2.61e-16
5,7,63801.2,47808.8,13871.0,260105.0,159806.7,2076047.4,-0.000,0.4957,0.3993,0.1050,1.082e-4,8.924e-6,9.152e-5,0.0482,22,1074,9.566,10.117,3.73,692.5,6.04e-15,1.04e-17
6,7,63067.6,48713.4,13837.4,258975.0,157591.6,2079255.0,-0.000,0.4870,0.4085,0.1046,1.067e-4,9.082e-6,9.153e-5,0.0442,20,754,9.509,10.132,3.73,692.9,1.23e-14,2.25e-16
7,7,62428.6,49378.8,13887.2,257864.5,156300.2,2081580.6,-0.000,0.4807,0.4148,0.1045,1.054e-4,9.189e-6,9.157e-5,0.0381,19,728,9.466,10.144,3.73,692.8,6.39e-15,1.75e-16
8,7,61970.9,49745.4,13842.0,256307.5,156252.0,2083322.3,-0.000,0.4767,0.4189,0.1044,1.046e-4,9.245e-6,9.158e-5,0.0186,27,244,9.436,10.152,3.73,693.1,9.41e-15,7.10e-17
9,7,62012.2,50139.4,13891.9,253018.5,156323.4,2086054.6,-0.000,0.4742,0.4215,0.1043,1.043e-4,9.311e-6,9.159e-5,0.0406,15,593,9.386,10.165,3.73,692.9,3.38e-15,4.99e-18
10,7,61814.8,50442.6,13852.6,252433.9,155188.9,2087707.2,-0.000,0.4719,0.4239,0.1042,1.038e-4,9.365e-6,9.159e-5,0.0261,17,429,9.357,10.173,3.73,693.1,1.81e-14,1.45e-16
