step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,348,1.819,0.718,4.42,33349,32699,0,2,1720,1833,424219.2,119224.3,0.099,0.445,0.327,0.130,1902,16.72,7.23,0.27,3.37,0.17,3.10,0.00,0.00,16.28,6.29,0.00,0.00,0.003,0.049,25,0.325,0.207,0.782,0.003,0.009,53952,49216,1,1.000,0.000,0.000,317142,0.177,2.879,0.059,29.86,18661,24,65.043,1.000,0.003,1064561,1.08,11.89,0.006,0.000,0.000,10,14,24,64,5817,0.022,47.94,0.0075,0.000,0,0.451,0.000,0.457,0.473,3.59,3.48,6.57,0.00,0.000,1.04,1.09,1.09,0.451,0.00716,85.64,12.4718,5478.65
20000,417,1.821,0.838,4.44,19727,18552,0,0,1106,12,273276.3,13163.6,0.005,0.511,0.417,0.067,3008,16.72,4.57,0.03,0.36,0.00,0.00,0.00,0.00,16.69,4.61,0.00,0.00,0.000,0.000,32,0.568,0.269,0.719,0.000,0.012,14222,11644,1,0.686,0.314,0.000,5112,0.185,3.007,0.075,27.57,5033,0,1096.969,0.000,0.002,667857,1.02,10.31,0.000,0.000,0.000,14,14,24,30,6972,0.027,81.67,0.0039,0.000,3,0.320,0.000,0.409,0.081,3.94,2.99,7.88,0.00,0.000,1.01,1.02,1.02,0.320,0.00527,54.20,1.3042,5354.40
30000,466,1.741,0.593,4.89,23431,21980,0,0,1402,47,309643.3,17494.7,0.008,0.499,0.399,0.094,2456,14.55,5.52,0.10,1.22,0.00,0.00,0.00,0.00,14.44,5.39,0.00,0.00,0.000,0.000,36,0.444,0.262,0.730,0.000,0.009,16179,13357,1,0.468,0.532,0.000,4940,0.214,2.593,0.050,30.74,6007,0,372.229,0.000,0.000,631773,1.05,12.45,0.002,0.002,0.000,9,14,24,64,6779,0.026,77.58,0.0046,0.000,3,0.252,0.000,0.417,0.098,3.74,3.02,6.76,0.00,0.000,1.03,1.06,1.06,0.252,0.00538,55.12,1.6132,3984.70
40000,502,1.513,0.330,5.32,26812,24989,0,1,1786,49,327074.8,18496.7,0.012,0.465,0.399,0.123,2364,12.94,5.31,0.14,2.69,0.12,2.59,0.01,0.13,12.68,4.28,0.00,0.04,0.002,0.040,36,0.456,0.239,0.749,0.000,0.012,20646,17904,1,0.627,0.373,0.002,9657,0.175,2.112,0.022,32.40,7286,15,377.484,1.000,0.004,704748,1.04,13.57,0.004,0.000,0.002,10,11,14,64,6494,0.025,4.90,0.0051,0.000,6,0.273,0.000,0.461,0.110,3.44,3.09,6.13,0.00,0.002,1.04,1.04,1.04,0.273,0.00481,126.14,1.7634,3109.87
50000,495,1.699,0.290,5.57,25770,23960,1,0,1816,19,306676.4,12611.5,0.010,0.394,0.391,0.205,2469,12.11,3.81,0.00,0.00,0.03,0.63,0.00,0.04,12.08,3.84,0.00,0.00,0.002,0.045,40,0.566,0.265,0.729,0.000,0.006,18191,15487,1,1.000,0.000,0.002,8345,0.157,1.947,0.019,30.65,7567,0,663.761,0.000,0.002,456487,1.00,14.44,0.000,0.002,0.000,9,11,14,31,5996,0.023,3.25,0.0051,0.000,12,0.209,0.000,0.507,0.054,3.27,2.99,5.81,0.00,0.000,1.00,1.00,1.00,0.209,0.00391,129.54,1.2285,2778.28
60000,557,1.567,0.263,5.37,26360,24586,0,0,1712,4,312437.8,12189.2,0.021,0.386,0.404,0.190,2465,12.12,5.05,0.14,1.79,0.07,1.15,0.00,0.00,11.92,4.30,0.00,0.00,0.002,0.045,47,0.345,0.241,0.745,0.002,0.013,18327,15353,3,0.594,0.000,0.000,7504,0.154,1.825,0.017,31.23,7361,0,3047.292,0.000,0.004,464735,1.04,14.14,0.004,0.000,0.000,8,11,14,64,6753,0.026,2.04,0.0047,0.000,13,0.215,0.000,0.502,0.046,3.29,3.05,5.93,0.00,0.000,1.01,1.05,1.04,0.215,0.00352,130.17,1.1892,2474.18
70000,531,1.618,0.229,5.57,27259,25638,2,0,1645,15,326829.2,12733.0,0.017,0.390,0.409,0.184,2340,11.91,4.09,0.07,1.52,0.00,0.00,0.02,0.41,11.82,3.60,0.00,0.00,0.000,0.000,42,0.456,0.254,0.742,0.000,0.004,18723,15725,3,0.716,0.000,0.004,8763,0.149,1.674,0.015,32.69,7540,0,848.867,0.000,0.000,463809,1.02,14.41,0.002,0.000,0.000,10,11,14,64,6323,0.024,2.37,0.0052,0.000,13,0.202,0.000,0.478,0.052,3.27,3.00,5.80,0.00,0.000,1.00,1.03,1.02,0.202,0.00397,128.38,1.2388,2123.35
80000,575,1.527,0.222,6.16,27584,25871,3,0,1666,18,327367.1,12915.3,0.011,0.356,0.442,0.192,2209,12.09,5.16,0.00,0.04,0.00,0.00,0.02,0.37,12.08,5.17,0.00,0.00,0.000,0.000,63,0.317,0.254,0.739,0.000,0.007,18125,15071,1,0.840,0.160,0.002,10980,0.160,1.628,0.014,32.76,8189,0,717.516,0.000,0.003,425138,1.00,14.82,0.002,0.000,0.000,10,11,14,64,6954,0.027,3.76,0.0047,0.007,10,0.199,0.000,0.466,0.053,3.15,3.12,5.49,0.00,0.000,1.00,1.00,1.00,0.199,0.00336,126.92,1.2806,2009.39
90000,569,1.515,0.205,7.33,28974,27090,2,0,1888,12,335919.8,12758.9,0.013,0.298,0.491,0.199,2126,11.37,4.36,0.09,1.55,0.00,0.00,0.01,0.23,11.27,3.77,0.00,0.00,0.000,0.000,57,0.281,0.199,0.789,0.000,0.012,17924,14867,2,0.930,0.051,0.005,20935,0.154,1.545,0.013,33.57,9243,0,1063.245,0.000,0.000,328644,1.02,16.14,0.000,0.000,0.000,8,11,13,55,6472,0.025,2.45,0.0052,0.000,6,0.174,0.000,0.449,0.048,3.03,3.17,4.77,0.00,0.000,1.00,1.04,1.03,0.174,0.00294,127.41,1.2564,1810.12
100000,603,1.531,0.111,7.39,27993,25856,3,0,2100,12,337817.2,13967.4,0.016,0.283,0.504,0.197,2009,11.06,5.23,0.11,1.92,0.01,0.16,0.06,1.31,10.88,4.46,0.00,0.00,0.000,0.010,57,0.358,0.234,0.761,0.002,0.003,17372,15762,2,0.479,0.493,0.005,30441,0.127,1.076,0.005,33.68,9429,0,1163.953,0.000,0.005,270239,1.03,16.16,0.005,0.000,0.000,8,11,12,64,6669,0.025,2.88,0.0051,0.000,7,0.145,0.000,0.417,0.057,2.94,3.26,4.67,0.00,0.000,1.01,1.04,1.03,0.145,0.00261,126.88,1.3177,1015.22
