step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,635,7.93,0.01,0.01,0.05,7.87,0.00,1.01,0.000,0.066,348983.6,97602.4,4,9,2.29,1.01,1.01,9.7635,84.37
10000,1,21,7.24,0.00,0.00,0.00,7.24,0.00,1.00,0.000,0.109,14191.2,4364.0,2,4,2.24,1.00,1.00,0.4460,24.42
10000,0,3,5.33,0.00,0.00,0.00,5.33,0.00,1.00,0.000,0.000,94902.0,106992.7,1,3,1.67,1.00,1.00,11.0521,3593.51
20000,8,618,8.32,0.00,0.05,0.00,8.27,0.00,1.00,0.000,0.075,329636.8,23340.5,3,0,2.33,1.00,1.00,2.3189,41.56
20000,1,42,8.40,0.00,0.05,0.00,8.36,0.00,1.00,0.000,0.232,26702.7,4420.5,2,0,2.26,1.00,1.00,0.4401,10.50
20000,0,10,9.30,0.00,0.10,0.00,9.20,0.00,1.00,0.000,0.001,3838.4,5394.9,2,8,2.00,1.00,1.00,0.4087,2166.51
30000,8,588,8.51,0.01,0.04,0.00,8.46,0.00,1.01,0.000,0.086,322717.7,22525.7,1,0,2.32,1.01,1.01,2.2489,34.92
30000,1,37,9.54,0.00,0.41,0.65,8.49,0.00,1.00,0.000,0.225,26837.5,5036.2,2,0,2.97,1.00,1.00,0.5070,12.01
30000,0,17,8.71,0.00,0.00,0.00,8.71,0.00,1.00,0.000,0.001,1552.7,3571.9,3,12,2.88,1.00,1.00,0.2822,1416.03
40000,8,635,8.07,0.02,0.04,0.00,8.01,0.00,1.01,0.000,0.084,288263.3,21013.3,1,0,2.21,1.02,1.02,2.0948,37.84
40000,1,43,9.44,0.00,0.00,0.00,9.44,0.00,1.00,0.000,0.262,25277.8,5456.5,1,0,2.47,1.00,1.00,0.5522,15.14
40000,0,17,10.12,0.00,0.00,0.00,10.12,0.00,1.00,0.000,0.001,1746.9,3125.1,2,8,2.59,1.00,1.00,0.2839,1127.94
50000,8,657,7.70,0.03,0.10,0.01,7.56,0.01,1.01,0.002,0.078,310198.2,21425.9,1,0,2.22,1.01,1.01,2.1305,28.76
50000,1,46,11.89,0.00,0.57,0.85,10.48,0.00,1.00,0.000,0.340,25656.2,5773.3,1,0,3.02,1.00,1.00,0.5787,14.00
50000,0,7,12.86,0.00,0.00,0.86,12.00,0.00,1.00,0.000,0.001,1569.1,2610.3,2,4,2.43,1.00,1.00,0.2595,1011.31
60000,8,634,7.78,0.00,0.01,0.00,7.77,0.00,1.00,0.000,0.077,320063.8,20930.0,1,0,2.17,1.00,1.00,2.0905,45.62
60000,1,21,14.86,0.00,0.33,0.62,13.90,0.00,1.00,0.000,0.179,25939.6,6826.7,2,0,3.62,1.00,1.00,0.6907,39.61
60000,0,12,14.25,0.00,0.08,0.00,14.17,0.00,1.00,0.000,0.001,1483.5,3137.5,3,10,3.08,1.00,1.00,0.3092,977.00
70000,8,623,8.09,0.01,0.06,0.01,8.00,0.00,1.01,0.000,0.077,305839.6,20409.1,1,0,2.29,1.01,1.01,2.0371,53.47
70000,1,15,10.87,0.20,0.00,0.13,10.53,0.00,1.23,0.000,0.101,13646.5,3071.4,1,0,2.93,1.13,1.13,0.3140,14.72
70000,0,6,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,1124.6,1730.5,2,6,2.50,1.00,1.00,0.1753,1044.37
80000,8,657,7.80,0.01,0.04,0.01,7.74,0.00,1.00,0.000,0.076,320550.6,21165.4,1,0,2.21,1.00,1.01,2.1098,49.15
80000,1,25,9.32,0.36,0.28,0.00,8.68,0.00,1.11,0.000,0.145,12605.0,2966.1,1,0,2.72,1.09,1.16,0.3002,11.78
80000,0,3,10.33,0.00,0.00,0.00,10.33,0.00,1.00,0.000,0.000,757.9,1384.7,1,1,1.67,1.00,1.00,0.1260,891.87
90000,8,655,7.85,0.00,0.05,0.00,7.80,0.00,1.00,0.000,0.076,325958.6,20768.3,1,1,2.26,1.00,1.00,2.0717,36.39
90000,1,37,10.86,0.00,0.97,0.00,9.89,0.00,1.00,0.000,0.248,23928.1,5010.3,2,0,2.89,1.00,1.00,0.5041,10.68
90000,0,8,11.00,0.00,1.38,0.00,9.62,0.00,1.00,0.000,0.001,4874.1,4665.6,2,8,2.38,1.00,1.00,0.4560,780.40
100000,8,676,7.69,0.03,0.06,0.00,7.60,0.00,1.02,0.000,0.069,326523.0,20684.3,1,0,2.29,1.02,1.03,2.0628,30.63
100000,1,37,11.81,0.00,0.00,0.05,11.76,0.00,1.00,0.000,0.268,26274.0,4340.2,2,0,3.14,1.00,1.00,0.4379,10.01
100000,0,14,9.21,0.29,0.00,0.00,8.93,0.00,1.12,0.000,0.001,991.8,1779.4,2,9,2.43,1.14,1.14,0.1761,747.19
110000,8,686,7.52,0.00,0.06,0.00,7.46,0.00,1.00,0.000,0.070,329092.8,20744.1,1,0,2.23,1.00,1.00,2.0690,31.59
110000,1,38,9.34,0.00,0.16,0.00,9.18,0.00,1.00,0.000,0.218,26312.5,5454.4,2,0,2.87,1.00,1.00,0.5466,12.31
110000,0,15,8.87,0.00,0.60,0.00,8.27,0.00,1.00,0.000,0.001,1508.7,2872.3,3,11,2.33,1.00,1.00,0.2859,684.28
120000,8,660,7.65,0.01,0.05,0.00,7.59,0.00,1.00,0.000,0.066,329171.9,20595.2,1,0,2.29,1.00,1.00,2.0569,52.93
120000,1,32,10.88,0.00,0.00,0.66,10.22,0.00,1.00,0.000,0.223,19037.7,4724.5,1,0,3.50,1.00,1.00,0.4801,13.20
120000,0,6,14.50,0.00,0.00,0.00,14.50,0.00,1.00,0.000,0.001,2549.1,2999.4,1,3,3.83,1.00,1.00,0.2950,659.44
130000,8,662,7.72,0.00,0.04,0.00,7.68,0.00,1.00,0.000,0.067,328456.6,21034.0,1,0,2.20,1.00,1.00,2.0951,47.01
130000,1,39,11.00,0.00,0.00,0.85,10.15,0.00,1.00,0.000,0.267,24620.6,5557.7,0,0,2.54,1.00,1.00,0.5619,12.12
130000,0,12,11.50,0.00,0.00,0.00,11.50,0.00,1.00,0.000,0.001,1417.1,2032.8,1,10,2.83,1.00,1.00,0.2015,623.80
140000,8,685,7.83,0.02,0.07,0.01,7.72,0.00,1.01,0.000,0.070,328066.8,21022.6,1,0,2.27,1.02,1.02,2.0966,45.52
140000,1,37,13.38,0.00,1.16,0.03,12.19,0.00,1.00,0.000,0.309,26353.8,5864.0,2,0,2.89,1.00,1.00,0.5957,12.92
