step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,179,63.78,1.01,2.36,0.34,60.07,0.07,1.20,0.017,0.150,386797.6,52694.6,1,5,7.58,1.12,1.21,5.2632,191.54
10000,1,6,64.00,0.83,0.83,0.00,62.33,0.00,1.12,0.000,0.234,14988.8,4213.2,1,2,8.00,1.27,1.00,0.4337,35.72
10000,0,1,64.00,0.00,16.00,0.00,48.00,0.00,1.00,0.000,0.000,92010.4,64371.7,1,1,9.00,1.00,1.00,6.9570,5028.02
20000,8,395,15.86,0.83,0.21,0.46,14.38,0.00,1.20,0.000,0.092,325698.3,21140.1,1,0,4.41,1.07,1.24,2.0689,68.76
20000,1,12,56.92,0.00,4.67,2.00,50.25,0.00,1.00,0.000,0.425,29846.5,6331.6,1,0,7.50,1.00,1.00,0.6316,5.93
20000,0,4,30.00,8.25,0.00,2.50,19.25,0.00,2.69,0.000,0.001,5167.6,5547.1,2,3,4.25,1.84,2.75,0.4452,3697.62
30000,8,560,8.73,0.03,0.01,0.06,8.63,0.00,1.01,0.000,0.084,297016.5,8218.2,2,0,2.67,1.01,1.01,0.8069,17.71
30000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,13170.7,2460.6,0,0,-0.00,-0.00,-0.00,0.2474,13.34
30000,0,2,10.50,0.00,0.00,0.00,10.50,0.00,1.00,0.000,0.000,1310.5,969.9,1,2,3.50,1.00,1.00,0.0765,3419.08
40000,8,544,10.31,0.00,0.01,0.05,10.25,0.00,1.00,0.000,0.092,271202.0,5435.9,3,0,2.67,1.00,1.00,0.5198,33.25
40000,1,11,16.64,0.00,0.00,2.00,14.64,0.00,1.00,0.000,0.126,943.9,558.3,1,0,4.73,1.00,1.00,0.0569,7.77
40000,0,2,17.00,0.00,0.00,2.00,15.00,0.00,1.00,0.000,0.000,2872.6,2263.2,1,2,6.00,1.00,1.00,0.1824,2743.03
50000,8,559,10.39,0.00,0.00,0.08,10.31,0.00,1.00,0.000,0.090,293852.5,5558.6,2,0,2.72,1.00,1.00,0.5374,8.15
50000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,2695.6,406.9,0,0,-0.00,-0.00,-0.00,0.0427,19.30
