step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,458,1.564,0.592,10.50,35696,35673,0,3,1067,1125,399240.3,110046.9,0.103,0.509,0.192,0.196,694,11.98,7.67,0.18,1.02,0.07,1.09,0.40,2.15,11.33,5.94,0.00,0.00,0.002,0.036,76,0.343,0.186,0.795,0.002,0.017,56299,48473,1,0.723,0.277,0.041,593801,0.160,2.800,0.038,27.11,21935,10,97.819,1.000,0.004,1745204,1.05,15.58,0.002,0.000,0.000,8,11,15,64,5485,0.021,27.34,0.0077,0.000,11,0.570,0.000,0.430,0.451,2.95,3.26,4.99,0.00,0.000,1.03,1.07,1.06,0.570,0.00362,108.99,11.6189,6028.63
20000,534,1.464,0.482,11.31,25170,24353,3,0,738,4,291235.0,13265.6,0.033,0.410,0.258,0.299,966,10.66,3.37,0.20,1.54,0.00,0.00,0.07,0.86,10.39,2.71,0.00,0.00,0.000,0.000,68,0.434,0.180,0.813,0.000,0.007,19161,16513,2,0.757,0.107,0.013,145381,0.140,2.504,0.031,29.05,10592,0,3316.410,0.000,0.000,829132,1.06,15.85,0.000,0.000,0.000,8,11,12,43,5692,0.022,3.03,0.0052,0.007,7,0.367,0.000,0.355,0.083,2.75,3.16,4.96,0.00,0.000,1.03,1.07,1.07,0.367,0.00268,131.36,1.2164,4921.86
30000,483,1.559,0.463,11.01,23610,22987,3,0,671,2,294905.2,11862.3,0.029,0.391,0.293,0.288,936,12.76,8.21,0.42,2.38,0.00,0.00,0.03,0.26,12.31,7.17,0.00,0.00,0.000,0.000,89,0.466,0.170,0.822,0.000,0.008,18286,14951,6,0.609,0.000,0.017,103377,0.142,2.474,0.030,29.46,10483,0,5931.135,0.000,0.010,727539,1.10,14.48,0.008,0.000,0.000,8,11,16,64,6165,0.024,11.33,0.0050,0.004,10,0.333,0.000,0.341,0.092,3.15,3.44,5.34,0.00,0.000,1.08,1.13,1.11,0.333,0.00295,122.65,1.1701,4757.29
40000,552,1.557,0.386,11.11,22733,22036,9,0,619,41,312799.9,13039.8,0.020,0.346,0.348,0.285,867,12.68,6.15,0.06,0.50,0.03,0.36,0.11,0.88,12.47,5.93,0.00,0.00,0.002,0.018,117,0.163,0.196,0.797,0.002,0.005,15482,12195,6,0.426,0.024,0.027,134794,0.120,2.227,0.024,31.24,9312,0,318.044,0.000,0.007,499246,1.02,13.70,0.000,0.000,0.000,6,12,17,50,6999,0.027,3.79,0.0045,0.000,6,0.257,0.000,0.298,0.077,3.20,3.78,5.43,0.00,0.000,1.01,1.03,1.02,0.257,0.00265,128.41,1.2241,3956.60
50000,548,1.572,0.350,11.27,23714,22957,2,0,759,9,330621.7,13598.2,0.018,0.345,0.359,0.279,803,12.54,6.33,0.15,1.57,0.00,0.00,0.01,0.20,12.38,5.95,0.00,0.00,0.000,0.000,90,0.193,0.164,0.814,0.004,0.018,15980,12728,5,0.502,0.033,0.005,55914,0.147,2.118,0.022,33.02,10220,0,1510.913,0.000,0.009,447516,1.04,13.75,0.000,0.000,0.000,6,13,17,59,6872,0.026,4.20,0.0049,0.005,12,0.219,0.000,0.284,0.093,3.15,3.92,5.23,0.00,0.000,1.01,1.06,1.05,0.219,0.00282,126.21,1.3171,3524.95
60000,595,1.542,0.337,11.52,23041,22284,21,0,689,1,333104.8,12168.2,0.011,0.307,0.387,0.296,806,11.32,5.15,0.11,1.06,0.00,0.00,0.00,0.04,11.21,4.93,0.00,0.00,0.000,0.000,84,0.254,0.195,0.797,0.002,0.007,15341,13672,3,0.652,0.000,0.002,38545,0.151,2.085,0.021,33.27,9756,0,12168.208,0.000,0.005,374821,1.03,14.69,0.000,0.000,0.000,6,10,16,49,6734,0.026,3.53,0.0050,0.000,11,0.199,0.000,0.254,0.072,2.93,3.85,4.89,0.00,0.000,1.01,1.04,1.03,0.199,0.00238,126.64,1.1997,3349.13
70000,599,1.505,0.320,11.34,22934,22208,63,0,659,0,336127.6,11028.0,0.008,0.276,0.386,0.329,793,11.43,5.82,0.05,0.36,0.00,0.00,0.04,0.68,11.34,5.59,0.00,0.00,0.000,0.000,81,0.175,0.194,0.800,0.003,0.003,15260,13698,3,0.384,0.294,0.008,21753,0.167,2.042,0.020,33.53,9519,0,11028.042,0.000,0.008,323290,1.02,14.96,0.000,0.000,0.000,6,10,16,56,6845,0.026,3.70,0.0049,0.007,8,0.183,0.000,0.244,0.065,2.96,3.83,4.69,0.00,0.000,1.01,1.02,1.02,0.183,0.00220,126.21,1.0889,3207.05
80000,600,1.487,0.418,11.40,23168,22412,68,0,687,1,335462.8,10391.2,0.009,0.285,0.381,0.326,794,10.67,4.73,0.10,0.93,0.00,0.00,0.02,0.45,10.55,4.31,0.00,0.00,0.000,0.000,76,0.270,0.173,0.818,0.000,0.008,15129,13387,5,0.422,0.003,0.005,51866,0.141,2.181,0.033,33.67,9921,0,10391.168,0.000,0.000,315721,1.03,15.54,0.000,0.000,0.000,7,9,16,54,6403,0.024,18.83,0.0053,0.000,1,0.173,0.000,0.240,0.061,2.71,3.69,4.57,0.00,0.000,1.01,1.04,1.04,0.173,0.00228,110.94,1.0191,3004.39
90000,588,1.439,0.289,11.23,22548,21771,83,0,706,0,339152.3,11875.5,0.011,0.282,0.372,0.335,799,11.49,6.59,0.14,1.77,0.23,2.05,0.01,0.29,11.12,5.20,0.00,0.00,0.005,0.041,86,0.182,0.194,0.799,0.002,0.005,14828,13606,5,0.400,0.000,0.002,75963,0.196,1.939,0.018,33.66,9313,0,11875.450,0.000,0.007,261366,1.04,15.36,0.002,0.000,0.000,6,9,18,64,6758,0.026,16.45,0.0052,0.000,5,0.149,0.000,0.230,0.073,2.87,3.61,4.73,0.00,0.000,1.04,1.06,1.04,0.149,0.00241,113.33,1.1796,2921.89
100000,620,1.484,0.205,11.25,25210,24156,46,0,976,54,348921.4,12666.3,0.021,0.287,0.353,0.339,782,11.20,4.61,0.11,1.26,0.03,0.35,0.05,0.89,11.01,4.39,0.00,0.00,0.002,0.024,85,0.248,0.195,0.789,0.003,0.013,16863,15256,5,0.397,0.029,0.006,60322,0.162,1.573,0.012,34.80,10721,0,234.560,0.000,0.005,313380,1.03,15.66,0.000,0.000,0.000,7,10,16,43,6942,0.026,3.62,0.0051,0.000,8,0.169,0.000,0.261,0.061,2.64,3.68,4.52,0.00,0.000,1.03,1.05,1.03,0.169,0.00229,125.02,1.1687,1944.37
