step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,493,8.98,0.06,0.01,0.03,8.88,0.00,1.02,0.000,0.085,325039.0,111203.4,1,0,2.55,1.00,1.03,11.0777,47.62
10000,1,13,14.85,0.08,0.77,0.00,14.00,0.00,1.01,0.000,0.123,15367.5,5241.3,1,0,3.62,1.00,1.02,0.5291,36.24
10000,0,8,21.62,0.00,0.00,0.00,21.62,0.00,1.00,0.000,0.001,94513.4,132288.7,2,4,4.12,1.00,1.00,13.7173,4696.96
20000,8,643,8.41,0.01,0.01,0.07,8.33,0.00,1.00,0.000,0.076,293431.5,27253.4,1,0,2.43,1.00,1.00,2.7155,66.24
20000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,8075.0,1990.5,0,0,-0.00,-0.00,-0.00,0.2118,31.15
20000,0,6,7.83,0.00,0.00,0.00,7.83,0.00,1.00,0.000,0.000,1055.6,2185.6,1,5,3.17,1.00,1.00,0.1689,4208.62
30000,8,666,7.97,0.04,0.00,0.10,7.82,0.00,1.02,0.000,0.069,327768.1,28139.7,1,0,2.41,1.01,1.01,2.7839,122.88
30000,1,25,7.76,0.00,0.00,0.00,7.76,0.00,1.00,0.000,0.112,8611.9,2017.8,0,0,2.24,1.00,1.00,0.2007,28.33
30000,0,10,6.80,0.00,0.00,0.00,6.80,0.00,1.00,0.000,0.000,2368.2,3624.9,0,9,2.80,1.00,1.00,0.2989,3197.60
40000,8,636,7.68,0.02,0.00,0.00,7.67,0.00,1.01,0.000,0.076,318989.8,23338.4,1,0,2.38,1.01,1.01,2.3066,32.78
40000,1,41,9.32,0.00,0.00,0.98,8.34,0.00,1.00,0.000,0.238,23698.5,5157.0,1,0,2.54,1.00,1.00,0.5206,12.73
40000,0,12,6.50,0.00,0.00,0.00,6.50,0.00,1.00,0.000,0.000,4022.4,4755.7,1,11,3.08,1.00,1.00,0.4030,2346.22
50000,8,594,7.69,0.16,0.00,0.02,7.51,0.00,1.05,0.000,0.080,293573.7,21076.9,1,0,2.46,1.03,1.07,2.1080,30.15
50000,1,21,9.86,0.33,0.00,0.14,9.38,0.00,1.11,0.000,0.132,19004.9,4405.9,0,0,2.29,1.00,1.30,0.4510,13.56
50000,0,4,16.50,0.00,0.00,0.75,15.75,0.00,1.00,0.000,0.000,1116.7,1793.3,0,3,2.75,1.00,1.00,0.1792,2446.07
60000,8,646,8.01,0.03,0.02,0.02,7.94,0.00,1.01,0.000,0.077,299513.6,21265.5,1,0,2.45,1.01,1.02,2.1243,51.17
60000,1,39,10.26,0.00,0.00,0.00,10.26,0.00,1.00,0.000,0.255,17884.6,3508.6,2,0,2.82,1.00,1.00,0.3547,2.78
60000,0,6,9.67,0.00,0.00,0.00,9.67,0.00,1.00,0.000,0.000,2915.7,3246.1,2,4,2.17,1.00,1.00,0.3028,2229.38
70000,8,638,7.83,0.11,0.01,0.00,7.71,0.00,1.03,0.000,0.077,316263.8,22539.4,1,0,2.41,1.00,1.04,2.2507,47.56
70000,1,29,11.21,0.34,0.00,0.34,10.52,0.00,1.12,0.000,0.206,24369.9,5691.6,2,0,3.07,1.09,1.09,0.5743,11.41
70000,0,16,12.06,0.00,0.00,0.00,12.06,0.00,1.00,0.000,0.001,1767.2,2856.3,2,10,3.31,1.00,1.00,0.2690,2073.01
80000,8,673,7.82,0.05,0.00,0.01,7.75,0.00,1.02,0.000,0.072,318047.2,22663.1,1,4,2.43,1.02,1.03,2.2621,56.63
80000,1,32,10.41,0.00,0.00,0.00,10.41,0.00,1.00,0.000,0.217,22341.6,6889.2,1,1,2.81,1.00,1.00,0.7103,9.57
80000,0,18,11.89,0.00,0.06,0.00,11.83,0.00,1.00,0.000,0.001,1841.6,3632.5,1,13,3.22,1.00,1.00,0.3316,1922.50
90000,8,638,8.06,0.00,0.01,0.01,8.04,0.00,1.00,0.000,0.075,321326.2,22988.7,1,0,2.51,1.00,1.00,2.2937,45.98
90000,1,40,11.20,0.40,0.05,0.00,10.75,0.00,1.03,0.000,0.260,24526.9,5971.6,1,0,3.12,1.00,1.06,0.6034,13.13
90000,0,5,14.00,0.00,1.60,0.00,12.40,0.00,1.00,0.000,0.001,1217.7,2196.7,1,3,3.20,1.00,1.00,0.2039,1777.06
100000,8,652,8.04,0.02,0.01,0.01,8.01,0.00,1.00,0.000,0.068,321604.1,23175.4,1,0,2.46,1.00,1.00,2.3077,44.53
100000,1,36,15.89,1.83,0.17,1.06,12.83,0.00,1.61,0.000,0.385,24234.9,5952.4,1,0,3.83,2.01,1.38,0.6075,50.31
100000,0,15,22.07,3.87,0.33,1.27,16.60,0.00,1.90,0.000,0.002,1479.6,2956.4,2,7,5.60,2.37,2.18,0.2462,1264.09
