step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,554,1.562,0.620,6.15,34938,34945,0,3,941,1065,407929.9,122970.1,0.119,0.417,0.203,0.262,670,11.27,4.14,0.02,0.35,0.01,0.09,0.05,0.67,11.19,4.18,0.00,0.00,0.001,0.009,85,0.233,0.208,0.776,0.004,0.013,62533,57530,2,0.894,0.000,0.011,578845,0.152,2.838,0.042,28.03,21997,10,115.465,1.000,0.011,1360919,1.01,14.95,0.000,0.000,0.000,8,11,15,55,6242,0.024,4.53,0.0066,0.002,6,0.587,0.000,0.552,0.500,3.03,4.00,4.59,0.00,0.000,1.01,1.01,1.01,0.587,0.00282,130.75,12.9260,6120.26
20000,584,1.550,0.518,7.51,26692,25953,7,0,702,1,314321.9,12391.0,0.043,0.321,0.325,0.311,950,11.72,4.16,0.16,1.22,0.04,0.52,0.06,0.62,11.47,3.85,0.00,0.00,0.003,0.043,88,0.212,0.193,0.779,0.003,0.024,20839,18166,2,0.971,0.000,0.010,32271,0.130,2.609,0.033,31.31,9207,0,12390.956,0.000,0.003,697614,1.05,15.41,0.000,0.000,0.000,7,11,16,54,6847,0.026,1.08,0.0047,0.024,0,0.364,0.000,0.434,0.083,3.02,3.77,4.56,0.00,0.002,1.02,1.08,1.05,0.364,0.00219,130.92,1.1519,5241.76
30000,612,1.581,0.490,8.02,26343,25574,25,0,716,7,334624.0,12612.4,0.043,0.247,0.346,0.364,889,10.96,4.00,0.06,0.88,0.11,1.50,0.00,0.00,10.79,3.47,0.00,0.00,0.003,0.036,66,0.306,0.170,0.812,0.002,0.016,21016,17383,1,0.685,0.315,0.000,13295,0.181,2.539,0.031,33.38,9893,0,1801.769,0.000,0.002,494910,1.03,16.54,0.000,0.000,0.000,7,11,15,51,6706,0.026,0.95,0.0051,0.000,5,0.319,0.000,0.347,0.091,2.49,3.78,3.96,0.00,0.000,1.04,1.04,1.03,0.319,0.00180,128.98,1.2332,4956.25
40000,720,1.531,0.406,8.18,29246,28162,71,0,905,2,377067.6,14075.0,0.028,0.211,0.394,0.367,801,10.93,3.66,0.09,1.21,0.00,0.04,0.00,0.00,10.84,3.18,0.00,0.00,0.000,0.003,72,0.237,0.218,0.768,0.000,0.014,22749,18862,3,0.739,0.004,0.000,12746,0.161,2.305,0.026,37.64,10788,0,7037.504,0.000,0.001,382251,1.03,16.47,0.000,0.000,0.000,7,10,14,57,7873,0.030,0.64,0.0048,0.001,4,0.252,0.000,0.297,0.082,2.52,3.76,4.02,0.00,0.000,1.02,1.04,1.03,0.252,0.00153,125.04,1.3162,4037.84
50000,749,1.479,0.344,8.17,30865,29808,87,1,940,24,397588.8,13479.0,0.023,0.215,0.414,0.348,741,10.29,3.46,0.08,0.73,0.00,0.04,0.03,0.71,10.18,3.27,0.00,0.00,0.001,0.037,95,0.204,0.198,0.784,0.004,0.015,22443,19812,4,0.497,0.000,0.004,15137,0.155,2.160,0.021,39.69,11651,26,561.624,1.000,0.007,371557,1.03,17.18,0.000,0.000,0.000,6,10,14,33,7706,0.029,0.55,0.0052,0.001,1,0.225,0.000,0.267,0.070,2.45,3.51,3.93,0.00,0.000,1.03,1.04,1.03,0.225,0.00153,123.08,1.2887,3443.83
60000,739,1.457,0.331,7.62,31465,30299,111,0,1065,8,395210.0,12868.7,0.026,0.208,0.422,0.343,754,10.35,4.84,0.05,0.61,0.09,1.39,0.05,0.67,10.16,4.12,0.00,0.00,0.002,0.034,79,0.189,0.206,0.783,0.001,0.009,22652,19817,3,0.396,0.411,0.009,22474,0.170,2.103,0.020,39.49,11387,0,1608.582,0.000,0.005,374840,1.02,17.09,0.000,0.000,0.000,6,10,13,48,7649,0.029,0.56,0.0053,0.001,6,0.228,0.000,0.267,0.065,2.45,3.51,3.95,0.00,0.000,1.01,1.02,1.02,0.228,0.00144,123.26,1.2697,3268.55
70000,753,1.477,0.288,7.70,31870,30798,129,0,929,2,396940.4,13557.8,0.009,0.205,0.429,0.358,751,10.11,3.77,0.05,0.63,0.00,0.11,0.03,0.88,10.02,3.35,0.00,0.00,0.000,0.003,87,0.198,0.211,0.772,0.003,0.015,23305,20693,4,0.340,0.344,0.004,28708,0.166,1.902,0.018,39.65,11060,0,6778.922,0.000,0.011,372224,1.02,16.89,0.000,0.000,0.000,6,10,13,54,7615,0.029,0.43,0.0053,0.003,8,0.228,0.000,0.281,0.070,2.39,3.49,4.07,0.00,0.000,1.01,1.03,1.02,0.228,0.00141,123.24,1.3028,2734.32
80000,768,1.467,0.263,7.58,32235,31138,126,0,956,10,398035.1,13784.2,0.018,0.200,0.442,0.341,749,9.78,3.11,0.04,0.63,0.00,0.04,0.01,0.18,9.74,2.99,0.00,0.00,0.000,0.004,68,0.195,0.225,0.766,0.000,0.009,24001,21696,5,0.397,0.057,0.003,64619,0.148,1.821,0.016,39.80,11234,0,1378.420,0.000,0.000,358627,1.01,17.41,0.000,0.000,0.000,7,10,13,45,7512,0.029,0.66,0.0053,0.001,3,0.224,0.000,0.277,0.075,2.38,3.39,3.92,0.00,0.000,1.01,1.02,1.01,0.224,0.00134,122.85,1.3511,2455.32
90000,756,1.432,0.258,7.72,32054,30865,128,0,1073,10,399690.4,11773.6,0.021,0.206,0.436,0.337,746,9.37,3.42,0.04,0.48,0.07,1.31,0.03,0.44,9.24,3.04,0.00,0.00,0.002,0.033,81,0.179,0.184,0.812,0.000,0.004,22406,19719,5,0.351,0.099,0.005,31592,0.180,1.794,0.016,39.97,11367,0,1177.357,0.000,0.001,372392,1.01,17.66,0.000,0.000,0.000,6,9,12,46,7086,0.027,0.39,0.0057,0.000,7,0.224,0.000,0.270,0.050,2.46,3.39,3.81,0.00,0.003,1.01,1.02,1.01,0.224,0.00141,122.95,1.1721,2398.31
100000,789,1.441,0.175,7.49,33313,32137,115,0,1028,2,399057.3,13035.3,0.029,0.203,0.437,0.332,744,9.70,3.37,0.09,1.30,0.02,0.33,0.11,1.30,9.48,3.01,0.00,0.00,0.001,0.014,81,0.196,0.208,0.779,0.000,0.013,23019,19820,4,0.337,0.343,0.014,43593,0.167,1.381,0.010,39.85,11461,0,6517.642,0.000,0.004,333967,1.03,17.49,0.000,0.000,0.000,7,10,12,47,7651,0.029,0.37,0.0053,0.000,3,0.205,0.000,0.281,0.052,2.34,3.41,3.85,0.00,0.000,1.03,1.04,1.04,0.205,0.00134,123.09,1.2059,1415.91
