step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,463,14.57,0.04,0.14,0.13,14.26,0.00,1.01,0.000,0.090,335354.3,48470.6,1,10,3.86,1.00,1.01,4.8564,113.98
10000,2,79,12.19,0.01,0.09,0.73,11.35,0.00,1.00,0.000,0.206,59312.5,17976.2,0,8,3.61,1.00,1.01,1.7924,26.30
10000,0,5,12.20,0.00,0.00,0.40,11.80,0.00,1.00,0.000,0.000,91087.0,63791.7,0,5,3.20,1.00,1.00,6.8083,3973.82
20000,8,436,15.14,0.03,0.01,0.10,15.01,0.00,1.00,0.000,0.097,298625.1,10826.7,3,0,3.80,1.00,1.01,1.0529,110.02
20000,2,69,17.80,0.00,0.28,0.19,17.33,0.00,1.00,0.000,0.223,57861.6,10001.1,2,0,4.10,1.00,1.00,1.0003,31.53
20000,0,4,14.75,0.00,0.00,0.00,14.75,0.00,1.00,0.000,0.000,1940.4,1361.0,2,3,3.50,1.00,1.00,0.0690,3000.70
30000,8,432,14.00,0.00,0.05,0.04,13.91,0.00,1.00,0.000,0.104,299015.9,8792.3,5,0,3.41,1.00,1.00,0.8675,37.58
30000,2,81,16.99,0.31,1.35,0.19,15.15,0.00,1.06,0.000,0.254,63167.1,9126.9,2,0,3.54,1.08,1.05,0.9051,20.65
30000,0,3,9.33,0.00,0.00,0.00,9.33,0.00,1.00,0.000,0.000,1672.4,1013.5,2,3,3.33,1.00,1.00,0.0606,2484.90
40000,8,544,10.36,0.01,0.00,0.00,10.35,0.00,1.00,0.000,0.092,273216.3,6801.4,3,0,2.80,1.00,1.01,0.6587,55.56
40000,2,92,13.47,0.17,0.01,0.00,13.28,0.00,1.04,0.000,0.230,60038.5,9117.9,2,0,3.30,1.02,1.07,0.9060,8.12
40000,0,10,10.10,0.10,1.10,0.00,8.90,0.00,1.04,0.000,0.000,1425.7,555.7,3,10,3.80,1.04,1.04,0.0470,2121.42
50000,8,538,10.49,0.08,0.03,0.00,10.37,0.00,1.03,0.000,0.087,294553.3,6522.1,3,0,2.82,1.03,1.03,0.6245,29.33
50000,2,122,10.42,0.00,0.11,0.00,10.30,0.00,1.00,0.000,0.233,62314.8,7933.7,2,0,2.83,1.00,1.00,0.7930,12.80
50000,0,4,11.00,0.00,0.00,0.00,11.00,0.00,1.00,0.000,0.000,1266.2,521.0,1,4,3.00,1.00,1.00,0.0383,1730.96
60000,8,531,11.28,0.04,0.01,0.10,11.13,0.00,1.01,0.000,0.094,307903.1,6551.1,2,0,2.94,1.01,1.01,0.6467,43.07
60000,2,98,12.37,0.15,0.18,0.27,11.77,0.03,1.04,0.031,0.228,62761.8,6589.9,2,0,3.13,1.04,1.04,0.6534,11.10
60000,0,7,11.14,0.00,0.00,1.00,10.14,0.00,1.00,0.000,0.000,1250.8,426.1,3,5,3.14,1.00,1.00,0.0348,1504.70
70000,8,541,12.13,0.01,0.00,0.10,12.02,0.00,1.01,0.000,0.101,297422.3,6574.3,2,0,2.89,1.01,1.01,0.6539,34.22
70000,2,108,10.47,0.01,0.19,0.05,10.22,0.00,1.00,0.000,0.208,61496.4,5925.7,1,0,2.90,1.00,1.00,0.5883,4.66
70000,0,7,10.57,0.00,0.00,0.00,10.57,0.00,1.00,0.000,0.000,1045.5,251.2,1,7,3.00,1.00,1.00,0.0271,1466.20
80000,8,539,12.52,0.05,0.03,0.00,12.43,0.00,1.02,0.000,0.100,319158.0,7024.2,2,0,2.91,1.02,1.02,0.6964,93.73
80000,2,113,9.34,0.13,0.00,0.00,9.20,0.00,1.04,0.000,0.193,60187.4,4592.7,2,0,2.73,1.03,1.05,0.4504,4.35
80000,0,3,11.00,0.00,1.33,0.00,9.67,0.00,1.00,0.000,0.000,1037.0,419.9,1,3,3.00,1.00,1.00,0.0247,1089.71
90000,8,554,11.51,0.02,0.07,0.03,11.40,0.01,1.01,0.004,0.095,326229.1,7085.7,3,1,2.75,1.01,1.01,0.7011,13.21
90000,2,106,12.61,0.02,0.32,0.25,12.03,0.00,1.00,0.000,0.249,62948.1,5871.6,3,2,2.83,1.00,1.01,0.5850,5.13
90000,0,6,14.00,0.00,0.00,0.00,14.00,0.00,1.00,0.000,0.000,1195.8,548.7,2,4,3.33,1.00,1.00,0.0283,811.64
100000,8,554,11.77,0.03,0.06,0.06,11.62,0.00,1.01,0.000,0.086,323248.9,6943.1,6,0,2.76,1.01,1.01,0.6904,12.08
100000,2,110,10.66,0.25,0.25,0.00,10.17,0.00,1.11,0.000,0.216,61579.8,5172.4,2,0,2.57,1.10,1.12,0.5159,4.10
100000,0,7,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,755.6,224.4,3,7,3.00,1.00,1.00,0.0242,784.58
110000,8,579,11.41,0.04,0.08,0.02,11.27,0.00,1.01,0.000,0.090,327401.5,7331.3,4,0,2.74,1.00,1.01,0.7270,8.53
110000,2,104,10.90,0.00,0.56,0.00,10.35,0.00,1.00,0.000,0.209,62585.3,4442.1,2,0,2.62,1.00,1.00,0.4412,2.61
110000,0,6,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,1037.2,431.5,2,4,2.50,1.00,1.00,0.0375,644.82
120000,8,573,11.43,0.02,0.01,0.04,11.36,0.00,1.01,0.000,0.085,327114.5,7226.8,5,0,2.73,1.00,1.01,0.7177,21.03
120000,2,102,12.02,0.06,0.19,0.00,11.77,0.00,1.01,0.000,0.225,61601.2,3951.7,1,0,2.98,1.01,1.02,0.3929,6.81
120000,0,4,10.75,0.00,0.00,0.00,10.75,0.00,1.00,0.000,0.000,843.2,357.1,2,4,3.00,1.00,1.00,0.0366,570.67
130000,8,579,10.85,0.03,0.01,0.03,10.79,0.00,1.02,0.000,0.082,327407.6,7041.5,5,0,2.72,1.02,1.02,0.7000,12.30
130000,2,98,10.67,0.00,0.35,0.00,10.33,0.00,1.00,0.000,0.219,53291.4,2822.1,1,0,2.92,1.00,1.00,0.2808,3.91
130000,0,3,9.33,0.00,0.00,0.00,9.33,0.00,1.00,0.000,0.000,708.8,266.3,2,3,3.00,1.00,1.00,0.0267,531.07
140000,8,575,10.96,0.03,0.07,0.00,10.86,0.00,1.01,0.000,0.082,329690.2,7124.8,4,0,2.60,1.01,1.01,0.7109,15.32
140000,2,89,10.80,0.04,0.74,0.00,10.01,0.00,1.01,0.000,0.180,59009.1,2869.5,1,0,2.76,1.00,1.02,0.2850,3.61
140000,0,4,24.50,1.50,4.50,0.00,18.50,0.00,1.13,0.000,0.000,894.8,320.5,2,3,3.50,1.00,1.00,0.0325,501.39
150000,8,585,11.50,0.02,0.04,0.04,11.40,0.00,1.01,0.000,0.088,330168.6,7160.8,4,0,2.69,1.00,1.01,0.7137,9.07
150000,2,111,10.28,0.00,0.49,0.00,9.79,0.00,1.00,0.000,0.207,59737.3,3148.8,1,0,2.75,1.00,1.00,0.3124,3.29
150000,0,2,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,918.0,378.5,2,2,3.50,1.00,1.00,0.0416,501.74
160000,8,593,11.22,0.01,0.06,0.06,11.09,0.00,1.00,0.000,0.088,328950.3,7117.0,4,8,2.70,1.00,1.00,0.7098,12.15
160000,2,106,9.49,0.35,0.09,0.00,9.05,0.00,1.11,0.000,0.192,59835.8,2759.5,1,3,2.75,1.11,1.15,0.2747,4.06
160000,0,2,10.00,0.00,0.50,0.00,9.50,0.00,1.00,0.000,0.000,849.5,274.7,1,2,3.50,1.00,1.00,0.0291,486.30
170000,8,594,11.44,0.12,0.03,0.06,11.22,0.00,1.04,0.000,0.090,327332.7,7412.8,4,3,2.70,1.02,1.05,0.7397,10.78
170000,2,114,9.62,0.29,0.10,0.00,9.24,0.00,1.08,0.000,0.202,60246.9,2804.5,3,1,2.67,1.07,1.10,0.2786,3.03
170000,0,4,9.50,0.00,0.00,0.00,9.50,0.00,1.00,0.000,0.000,714.9,206.3,1,4,1.50,1.00,1.00,0.0235,488.20
180000,8,583,11.05,0.01,0.05,0.02,10.98,0.00,1.00,0.000,0.084,330736.8,7267.0,5,0,2.59,1.00,1.01,0.7250,16.57
180000,2,113,9.88,0.01,0.09,0.00,9.79,0.00,1.00,0.000,0.201,59373.2,3011.9,1,0,2.87,1.00,1.00,0.2989,2.43
