step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,533,6.90,0.08,0.00,0.04,6.78,0.00,1.02,0.000,0.085,281860.6,91036.8,1,0,2.12,1.01,1.02,9.0491,49.22
10000,1,43,12.09,0.00,0.00,0.00,12.09,0.00,1.00,0.000,0.328,26109.9,7724.2,0,0,2.95,1.00,1.00,0.7700,16.98
10000,0,12,13.75,0.00,0.00,0.00,13.75,0.00,1.00,0.000,0.001,103180.8,137657.6,1,8,3.08,1.00,1.00,14.7046,8769.87
20000,8,623,7.58,0.03,0.03,0.06,7.46,0.00,1.01,0.000,0.083,276303.6,24531.3,1,7,2.25,1.00,1.01,2.4309,96.99
20000,1,59,6.61,0.20,0.00,0.00,6.41,0.00,1.06,0.000,0.248,27886.4,5667.7,1,2,2.02,1.05,1.07,0.5615,14.03
20000,0,13,6.08,0.00,0.00,0.00,6.08,0.00,1.00,0.000,0.000,1206.0,3141.6,1,12,2.08,1.00,1.00,0.2256,7552.85
30000,8,570,8.08,0.04,0.00,0.14,7.90,0.00,1.01,0.000,0.085,283318.6,25453.4,1,0,2.35,1.00,1.01,2.5402,98.63
30000,1,40,11.70,0.22,0.03,0.00,11.45,0.03,1.10,0.025,0.291,29774.8,6334.6,1,0,3.28,1.09,1.16,0.6308,17.00
30000,0,14,16.50,0.64,0.00,0.00,15.86,0.00,1.20,0.000,0.001,1640.5,4287.0,1,9,3.86,1.00,1.43,0.3615,6786.63
40000,8,661,7.99,0.03,0.03,0.00,7.92,0.00,1.01,0.000,0.069,308940.7,28265.6,1,0,2.43,1.00,1.01,2.7818,112.49
40000,1,20,17.75,0.20,0.00,0.00,17.55,0.00,1.07,0.000,0.239,25129.3,8591.2,2,1,3.60,1.00,1.11,0.8647,38.25
40000,0,7,18.57,0.14,0.00,0.00,18.43,0.00,1.05,0.000,0.000,1893.1,7819.5,1,3,3.71,1.05,1.05,0.4860,3415.77
50000,8,705,6.96,0.10,0.00,0.01,6.85,0.00,1.03,0.000,0.064,328592.3,29944.7,1,2,2.25,1.02,1.03,2.9782,81.87
50000,1,50,12.50,0.50,0.00,0.00,12.00,0.00,1.43,0.000,0.403,26030.2,9072.8,2,4,2.94,1.30,1.30,0.9072,20.98
50000,0,15,10.13,0.00,0.00,0.00,10.13,0.00,1.00,0.000,0.001,1547.6,4112.4,2,6,2.87,1.00,1.00,0.3800,2976.52
60000,8,711,7.10,0.03,0.00,0.00,7.07,0.00,1.01,0.000,0.066,329668.0,28177.6,1,0,2.31,1.00,1.01,2.8034,67.32
60000,1,25,9.84,0.00,0.00,0.00,9.84,0.00,1.00,0.000,0.159,23763.1,7917.1,1,0,2.60,1.00,1.00,0.8095,31.30
60000,0,16,9.50,1.44,0.00,0.00,8.06,0.00,1.72,0.000,0.001,1371.0,2797.5,1,14,2.56,1.80,1.80,0.2588,2794.49
70000,8,678,7.38,0.09,0.00,0.00,7.30,0.00,1.03,0.000,0.066,331352.5,28401.5,1,2,2.25,1.04,1.05,2.8296,74.44
70000,1,18,11.56,2.06,0.00,0.00,9.50,0.00,1.71,0.000,0.125,13267.2,2148.5,1,6,3.17,1.14,1.93,0.2182,109.09
70000,0,2,11.50,0.50,0.00,0.00,11.00,0.00,1.15,0.000,0.000,570.9,806.5,1,2,4.00,1.00,1.14,0.0767,2583.57
80000,8,710,7.00,0.08,0.00,0.00,6.93,0.00,1.03,0.000,0.065,330685.8,27628.1,1,1,2.24,1.01,1.03,2.7584,65.06
80000,1,16,8.50,0.75,0.00,0.00,7.75,0.00,1.55,0.000,0.082,13224.3,2067.8,1,0,2.62,1.36,1.44,0.2052,4.24
80000,0,4,11.50,0.25,0.00,0.00,11.25,0.00,1.08,0.000,0.000,819.9,1144.6,1,4,4.00,1.00,1.10,0.1096,2575.46
