step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,666,1.429,0.292,8.43,71007,68845,0,3,2976,2065,456120.2,223940.7,0.124,0.340,0.322,0.214,1100,9.05,4.28,0.10,1.01,0.04,0.46,0.03,0.64,8.88,3.96,0.00,0.00,0.003,0.038,121,0.263,0.143,0.841,0.000,0.017,88381,68791,2,0.503,0.428,0.005,368994,0.147,1.539,0.016,32.53,38881,34,108.446,0.667,0.026,1420683,1.03,17.23,0.000,0.000,0.000,6,9,13,38,6030,0.023,12.68,0.0077,0.011,16,0.439,0.000,0.501,0.347,2.79,3.34,4.46,0.01,0.002,1.03,1.04,1.03,0.439,0.00253,118.23,22.7720,3486.49
20000,672,1.393,0.223,9.33,32342,30651,3,0,1682,15,333576.3,37096.9,0.015,0.220,0.514,0.251,1766,8.25,3.61,0.03,0.35,0.04,0.39,0.03,0.81,8.15,3.42,0.00,0.00,0.003,0.036,100,0.192,0.153,0.842,0.000,0.004,19365,15340,4,0.469,0.077,0.001,32182,0.154,1.322,0.012,33.30,12775,0,2473.127,0.000,0.022,289867,1.01,18.24,0.000,0.000,0.000,6,7,11,35,5541,0.021,4.56,0.0061,0.003,12,0.181,0.000,0.363,0.028,2.63,3.02,3.92,0.00,0.000,1.01,1.01,1.01,0.181,0.00153,125.58,3.6314,2675.80
30000,690,1.346,0.212,9.14,31328,29390,4,0,1916,26,337801.7,34660.9,0.018,0.211,0.508,0.262,1771,8.16,4.25,0.11,1.24,0.01,0.15,0.03,0.62,8.01,3.58,0.00,0.00,0.000,0.003,80,0.343,0.161,0.825,0.000,0.014,18843,14468,4,0.464,0.051,0.006,31916,0.137,1.257,0.010,33.76,12195,0,1333.111,0.000,0.020,253456,1.03,18.63,0.000,0.000,0.000,6,7,11,53,5627,0.021,2.49,0.0061,0.000,10,0.163,0.000,0.341,0.030,2.59,2.75,3.95,0.00,0.000,1.01,1.05,1.03,0.163,0.00140,127.19,3.4510,2501.85
40000,657,1.382,0.189,9.46,30726,28799,7,0,1953,24,336216.3,36299.3,0.016,0.206,0.523,0.255,1753,8.44,4.21,0.19,1.80,0.00,0.08,0.06,0.65,8.19,3.49,0.00,0.08,0.000,0.003,99,0.212,0.135,0.848,0.000,0.017,18549,14513,6,0.470,0.110,0.012,44198,0.141,1.176,0.009,33.58,11862,0,1512.469,0.000,0.020,273807,1.05,18.18,0.000,0.000,0.002,5,7,12,41,5548,0.021,5.50,0.0062,0.000,5,0.177,0.000,0.330,0.040,2.67,2.83,4.09,0.00,0.002,1.04,1.05,1.06,0.177,0.00145,124.36,3.5995,2174.27
50000,683,1.303,0.163,10.08,30033,28010,9,0,1988,12,333173.0,32020.6,0.025,0.206,0.502,0.267,1751,7.63,2.96,0.02,0.30,0.00,0.11,0.01,0.13,7.59,2.90,0.00,0.00,0.000,0.005,79,0.249,0.160,0.832,0.000,0.009,17830,12933,3,0.647,0.045,0.004,37948,0.147,1.057,0.007,33.22,11776,0,2668.387,0.000,0.006,264741,1.01,18.85,0.000,0.000,0.000,6,7,9,31,5209,0.020,3.94,0.0064,0.031,4,0.175,0.000,0.332,0.024,2.60,2.54,4.05,0.00,0.000,1.01,1.01,1.01,0.175,0.00136,126.27,3.1728,1861.18
60000,687,1.279,0.153,10.50,29037,26986,9,0,2038,27,330859.6,28480.5,0.021,0.209,0.490,0.280,1641,7.42,3.03,0.02,0.40,0.03,0.72,0.04,0.49,7.33,2.81,0.00,0.00,0.001,0.024,69,0.304,0.170,0.827,0.000,0.003,16809,12449,2,0.803,0.009,0.009,33199,0.150,1.014,0.006,33.01,11885,0,1054.833,0.000,0.007,257791,1.01,19.14,0.000,0.001,0.000,6,7,10,35,5095,0.019,0.82,0.0066,0.019,1,0.168,0.000,0.330,0.014,2.51,2.46,4.00,0.00,0.000,1.00,1.01,1.01,0.168,0.00130,129.61,2.8360,1725.14
70000,703,1.367,0.149,10.96,31066,28701,14,0,2335,16,336571.0,28780.1,0.008,0.177,0.492,0.322,1627,7.38,3.28,0.02,0.28,0.01,0.12,0.02,0.30,7.33,3.15,0.00,0.00,0.000,0.006,74,0.259,0.139,0.849,0.000,0.011,18286,14112,1,1.000,0.000,0.007,36966,0.131,1.000,0.006,33.57,12907,0,1798.757,0.000,0.010,276089,1.01,19.63,0.000,0.000,0.000,5,7,9,34,5190,0.020,2.23,0.0065,0.034,9,0.201,0.000,0.319,0.013,2.50,2.47,3.74,0.00,0.001,1.01,1.01,1.01,0.201,0.00101,127.63,2.8784,1710.35
80000,729,1.261,0.136,10.98,31660,29270,8,0,2356,4,340021.4,29777.2,0.003,0.182,0.488,0.328,1615,7.19,3.28,0.05,0.74,0.00,0.04,0.02,0.29,7.11,3.15,0.00,0.00,0.000,0.002,73,0.228,0.166,0.823,0.003,0.008,18609,15162,2,0.879,0.040,0.007,34061,0.131,0.917,0.005,33.89,12904,0,7444.308,0.000,0.021,275665,1.02,19.62,0.000,0.000,0.000,5,6,10,37,5238,0.020,2.25,0.0066,0.038,5,0.194,0.000,0.320,0.016,2.48,2.48,3.74,0.00,0.001,1.02,1.03,1.02,0.194,0.00100,127.30,2.9638,1546.78
90000,709,1.352,0.126,10.93,31604,29047,11,0,2566,8,341714.8,30882.0,0.003,0.183,0.498,0.316,1577,7.26,3.82,0.06,0.83,0.00,0.00,0.05,0.63,7.15,3.43,0.00,0.00,0.000,0.000,72,0.305,0.127,0.862,0.001,0.010,18917,16371,2,0.980,0.000,0.008,33447,0.146,0.856,0.005,34.06,13017,0,3860.256,0.000,0.016,249747,1.02,19.71,0.000,0.000,0.000,6,6,9,39,5147,0.020,3.06,0.0067,0.008,3,0.174,0.000,0.316,0.022,2.49,2.47,3.69,0.00,0.000,1.01,1.03,1.02,0.174,0.00105,126.32,3.0672,1316.88
100000,750,1.262,0.128,10.89,31261,28561,20,0,2639,6,341192.2,30477.0,0.005,0.180,0.501,0.314,1621,7.32,4.16,0.03,0.43,0.02,0.51,0.07,0.98,7.20,3.77,0.00,0.00,0.001,0.025,81,0.299,0.163,0.832,0.003,0.003,18703,16194,1,0.969,0.031,0.008,33944,0.132,0.857,0.005,34.00,12668,0,5079.507,0.000,0.013,237927,1.01,19.63,0.000,0.000,0.000,6,6,9,49,5492,0.021,7.56,0.0063,0.000,14,0.167,0.000,0.309,0.026,2.44,2.38,3.83,0.00,0.001,1.00,1.01,1.01,0.167,0.00098,121.88,3.0509,1328.59
