step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,518,10.77,0.00,0.11,0.08,10.57,0.00,1.00,0.000,0.079,335554.4,42002.2,1,19,3.13,1.00,1.00,4.2059,63.12
10000,4,283,9.48,0.05,0.43,0.02,8.98,0.00,1.01,0.000,0.157,153660.5,27522.0,1,5,2.87,1.00,1.02,2.7295,14.27
10000,0,8,20.25,0.00,8.12,0.00,12.12,0.00,1.00,0.000,0.001,86244.2,61029.0,1,4,3.88,1.00,1.00,6.3981,2514.19
20000,8,541,10.69,0.01,0.07,0.01,10.60,0.00,1.01,0.000,0.085,299905.6,7166.4,1,0,3.00,1.01,1.01,0.6934,52.26
20000,4,299,8.15,0.00,0.00,0.09,8.06,0.00,1.00,0.000,0.123,149290.5,5281.5,1,1,2.57,1.00,1.00,0.5176,5.26
20000,0,5,12.60,0.00,0.40,0.00,12.20,0.00,1.00,0.000,0.000,1170.5,556.9,1,5,3.40,1.00,1.00,0.0177,1819.16
30000,8,497,11.24,0.00,0.00,0.12,11.11,0.00,1.00,0.000,0.096,306269.1,6480.5,1,0,3.16,1.00,1.00,0.6421,11.63
30000,4,294,8.90,0.00,0.00,0.03,8.87,0.00,1.00,0.000,0.131,151046.1,4358.6,1,0,2.57,1.00,1.00,0.4297,7.71
30000,0,3,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,968.9,285.1,1,3,3.33,1.00,1.00,0.0167,1619.43
40000,8,549,10.01,0.06,0.03,0.06,9.86,0.01,1.03,0.002,0.090,269058.6,6159.5,2,0,2.72,1.03,1.03,0.5954,78.70
40000,4,298,8.81,0.07,0.00,0.03,8.70,0.00,1.01,0.000,0.131,151301.3,4655.0,2,0,2.45,1.00,1.02,0.4634,5.34
40000,0,5,7.20,0.00,0.80,0.00,6.40,0.00,1.00,0.000,0.000,864.5,185.7,2,5,2.20,1.00,1.00,0.0132,1275.52
50000,8,562,10.18,0.01,0.02,0.03,10.13,0.00,1.00,0.000,0.088,298015.1,6264.7,2,0,2.79,1.00,1.00,0.6024,22.86
50000,4,296,8.51,0.00,0.08,0.01,8.42,0.00,1.00,0.000,0.126,152028.2,4827.0,2,0,2.45,1.00,1.00,0.4797,4.98
50000,0,5,10.00,0.00,0.00,1.60,8.40,0.00,1.00,0.000,0.000,894.3,239.4,2,5,3.80,1.00,1.00,0.0173,995.84
60000,8,577,10.10,0.02,0.11,0.05,9.92,0.00,1.00,0.000,0.093,309626.5,6348.7,1,0,2.74,1.00,1.00,0.6253,14.47
60000,4,303,8.35,0.00,0.01,0.08,8.26,0.00,1.00,0.000,0.127,150472.8,4475.6,1,0,2.52,1.00,1.00,0.4366,9.06
60000,0,3,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,999.1,269.1,0,3,3.00,1.00,1.00,0.0165,691.07
70000,8,571,9.93,0.02,0.06,0.04,9.81,0.00,1.01,0.000,0.088,294147.7,6194.0,2,0,2.78,1.01,1.01,0.6179,13.41
70000,4,297,8.84,0.03,0.02,0.00,8.78,0.00,1.01,0.000,0.132,151050.5,4128.4,2,0,2.47,1.01,1.01,0.4095,8.29
70000,0,2,8.50,0.00,0.00,0.00,8.50,0.00,1.00,0.000,0.000,827.3,108.7,1,2,3.00,1.00,1.00,0.0141,678.13
80000,8,578,9.70,0.02,0.03,0.06,9.60,0.00,1.00,0.000,0.083,308851.9,6568.7,2,0,2.68,1.00,1.01,0.6490,25.71
80000,4,312,8.92,0.00,0.00,0.00,8.92,0.00,1.00,0.000,0.139,152766.4,4383.2,2,1,2.51,1.00,1.00,0.4362,8.42
80000,0,1,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,773.2,121.0,1,1,2.00,1.00,1.00,0.0114,561.08
90000,8,566,9.82,0.00,0.01,0.04,9.77,0.00,1.00,0.000,0.085,314208.9,6676.7,3,5,2.70,1.00,1.00,0.6659,14.95
90000,4,288,9.48,0.01,0.09,0.08,9.30,0.00,1.00,0.000,0.141,152693.9,4211.4,2,1,2.64,1.00,1.00,0.4187,7.48
90000,0,2,8.50,0.00,0.00,0.00,8.50,0.00,1.00,0.000,0.000,794.3,139.1,2,2,2.50,1.00,1.00,0.0137,529.18
100000,8,603,9.89,0.00,0.13,0.06,9.70,0.00,1.00,0.000,0.079,310437.9,6611.9,3,1,2.56,1.00,1.00,0.6602,19.94
100000,4,302,9.25,0.00,0.01,0.05,9.19,0.00,1.00,0.000,0.140,151494.3,4164.8,2,0,2.42,1.00,1.00,0.4153,21.11
100000,0,2,25.00,0.00,6.00,0.00,19.00,0.00,1.00,0.000,0.000,755.9,99.6,1,2,5.50,1.00,1.00,0.0119,509.02
110000,8,600,9.60,0.01,0.03,0.03,9.54,0.00,1.00,0.000,0.079,321342.5,6788.9,3,1,2.52,1.00,1.00,0.6738,19.41
110000,4,296,8.60,0.00,0.00,0.00,8.60,0.00,1.00,0.000,0.141,153822.0,4438.9,2,1,2.40,1.00,1.00,0.4409,7.20
110000,0,2,8.50,0.00,0.00,0.00,8.50,0.00,1.00,0.000,0.000,957.3,198.5,2,2,3.00,1.00,1.00,0.0139,384.38
120000,8,606,9.95,0.00,0.04,0.00,9.91,0.00,1.00,0.000,0.079,322557.5,7127.3,3,0,2.60,1.01,1.01,0.7089,19.40
120000,4,278,8.64,0.00,0.00,0.00,8.64,0.00,1.00,0.000,0.154,149846.1,4422.2,2,2,2.26,1.00,1.00,0.4406,5.67
120000,0,2,6.50,0.00,0.00,0.00,6.50,0.00,1.00,0.000,0.000,922.5,135.5,2,2,3.00,1.00,1.00,0.0135,331.46
130000,8,604,9.88,0.00,0.07,0.08,9.74,0.00,1.00,0.000,0.078,321992.4,7154.8,3,0,2.60,1.00,1.00,0.7136,16.51
130000,4,261,8.77,0.00,0.01,0.00,8.76,0.00,1.00,0.000,0.159,124409.6,4026.3,1,0,2.33,1.00,1.00,0.4019,6.36
130000,0,2,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,793.1,106.6,1,2,3.50,1.00,1.00,0.0098,300.57
140000,8,612,9.56,0.00,0.04,0.01,9.51,0.00,1.00,0.000,0.076,322855.4,7082.8,3,0,2.55,1.00,1.00,0.7072,15.93
140000,4,303,8.91,0.00,0.04,0.00,8.87,0.00,1.00,0.000,0.149,142065.2,4345.2,2,0,2.19,1.00,1.00,0.4331,6.52
140000,0,3,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.000,974.4,114.8,1,3,3.33,1.00,1.00,0.0112,274.15
150000,8,608,9.48,0.00,0.02,0.04,9.42,0.00,1.00,0.000,0.075,323258.9,7137.4,3,0,2.54,1.00,1.00,0.7128,16.44
150000,4,321,9.07,0.00,0.02,0.00,9.05,0.00,1.00,0.000,0.145,162272.0,5231.0,1,0,2.20,1.00,1.00,0.5229,11.79
150000,0,2,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,1114.9,123.7,1,2,2.00,1.00,1.00,0.0136,272.35
160000,8,602,9.81,0.01,0.10,0.04,9.65,0.00,1.00,0.000,0.081,320451.0,7369.0,5,11,2.58,1.00,1.00,0.7361,14.18
160000,4,313,8.68,0.00,0.03,0.00,8.65,0.00,1.00,0.000,0.148,162553.3,5055.9,5,1,2.18,1.00,1.00,0.5050,8.47
160000,0,6,6.33,0.00,0.00,0.00,6.33,0.00,1.00,0.000,0.000,1021.0,114.5,1,6,2.33,1.00,1.00,0.0119,271.11
170000,8,639,9.22,0.01,0.09,0.04,9.08,0.00,1.00,0.000,0.080,320413.4,7507.2,4,4,2.33,1.00,1.01,0.7503,18.22
170000,4,342,7.99,0.00,0.01,0.00,7.97,0.00,1.00,0.000,0.141,164174.9,4844.6,2,3,2.14,1.00,1.00,0.4834,8.54
170000,0,3,10.33,0.00,0.00,0.00,10.33,0.00,1.00,0.000,0.000,974.9,101.6,1,3,3.00,1.00,1.00,0.0122,274.08
180000,8,606,9.35,0.00,0.04,0.01,9.30,0.00,1.00,0.000,0.075,326735.7,7425.6,3,3,2.53,1.00,1.00,0.7411,13.96
180000,4,322,8.55,0.00,0.00,0.00,8.55,0.00,1.00,0.000,0.140,166333.0,5021.8,2,3,2.24,1.00,1.00,0.5014,6.28
180000,0,3,11.67,0.00,0.00,2.33,9.33,0.00,1.00,0.000,0.000,1057.6,125.7,2,3,3.67,1.00,1.00,0.0144,278.28
190000,8,629,8.91,0.01,0.09,0.01,8.80,0.00,1.00,0.000,0.075,328000.4,7681.5,4,2,2.38,1.00,1.00,0.7670,16.13
190000,4,337,7.95,0.00,0.02,0.01,7.92,0.00,1.00,0.000,0.141,165349.8,4912.4,3,9,2.01,1.00,1.00,0.4904,6.23
190000,0,1,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,1196.2,145.8,1,1,3.00,1.00,1.00,0.0128,238.94
200000,8,612,9.20,0.00,0.03,0.05,9.12,0.00,1.00,0.000,0.073,327321.7,7387.3,3,0,2.44,1.00,1.00,0.7372,17.58
200000,4,337,8.28,0.00,0.01,0.00,8.27,0.00,1.00,0.000,0.140,166567.0,4728.5,3,2,1.96,1.00,1.00,0.4723,5.84
200000,0,8,8.25,0.00,0.12,0.00,8.12,0.00,1.00,0.000,0.000,1112.6,104.9,2,7,2.50,1.00,1.00,0.0128,241.04
210000,8,640,9.15,0.00,0.08,0.01,9.06,0.00,1.00,0.000,0.081,330086.5,7712.6,6,6,2.37,1.00,1.00,0.7704,17.38
210000,4,343,8.03,0.00,0.00,0.00,8.03,0.00,1.00,0.000,0.148,165721.2,4736.9,4,2,1.94,1.00,1.00,0.4724,7.56
210000,0,3,9.67,0.00,0.00,0.00,9.67,0.00,1.00,0.000,0.000,1068.1,102.4,2,3,3.00,1.00,1.00,0.0124,243.69
220000,8,679,8.77,0.00,0.17,0.03,8.57,0.00,1.00,0.000,0.082,322195.1,7722.5,6,13,2.17,1.00,1.00,0.7708,16.68
220000,4,343,8.20,0.00,0.01,0.01,8.17,0.00,1.00,0.000,0.156,160505.3,4652.3,6,3,1.96,1.00,1.00,0.4649,8.35
220000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,892.2,87.5,0,0,-0.00,-0.00,-0.00,0.0102,242.55
230000,8,675,8.62,0.00,0.02,0.03,8.57,0.00,1.00,0.000,0.076,337302.4,7713.8,5,0,2.25,1.00,1.00,0.7704,15.81
230000,4,341,8.16,0.00,0.00,0.00,8.16,0.00,1.00,0.000,0.143,171236.8,5705.4,5,0,1.94,1.00,1.00,0.5695,10.52
