step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,530,11.02,0.05,0.02,0.02,10.94,0.00,1.02,0.000,0.081,329307.6,41435.6,3,6,3.01,1.01,1.02,4.1027,70.08
10000,4,269,10.43,0.34,0.04,0.01,10.03,0.00,1.13,0.000,0.157,150828.2,19862.1,3,9,2.72,1.11,1.18,1.9999,10.04
10000,0,11,12.27,0.09,0.00,0.00,12.18,0.00,1.02,0.000,0.001,84178.8,58656.8,3,6,2.73,1.00,1.02,6.2139,2995.93
20000,8,567,10.61,0.08,0.00,0.00,10.53,0.00,1.03,0.000,0.082,314373.5,6095.7,2,3,2.81,1.04,1.03,0.6009,14.52
20000,4,269,9.84,0.03,0.00,0.00,9.80,0.00,1.02,0.000,0.142,148318.1,5380.7,3,3,2.70,1.02,1.02,0.5110,6.34
20000,0,2,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,1272.3,902.6,1,2,2.00,1.00,1.00,0.0259,2056.84
30000,8,561,10.91,0.09,0.01,0.00,10.81,0.00,1.04,0.000,0.080,317661.0,6559.4,2,1,2.73,1.04,1.03,0.6411,15.86
30000,4,236,9.62,0.04,0.02,0.00,9.57,0.00,1.01,0.000,0.162,146008.9,4029.6,2,0,2.46,1.01,1.01,0.4011,5.48
30000,0,4,12.25,0.00,0.00,0.00,12.25,0.00,1.00,0.000,0.000,1074.7,406.1,2,4,2.75,1.00,1.00,0.0189,1672.97
40000,8,586,10.80,0.02,0.04,0.00,10.74,0.00,1.01,0.000,0.090,318982.6,6226.7,2,5,2.79,1.01,1.01,0.6124,21.50
40000,4,295,9.58,0.00,0.04,0.00,9.53,0.00,1.00,0.000,0.145,145365.0,3821.0,2,0,2.63,1.00,1.00,0.3723,4.26
40000,0,10,9.10,0.00,0.00,0.00,9.10,0.00,1.00,0.000,0.001,1025.7,484.6,1,9,2.70,1.00,1.00,0.0185,1169.67
50000,8,487,11.49,0.01,0.00,0.02,11.46,0.00,1.00,0.000,0.087,300186.2,6119.7,4,20,2.91,1.00,1.00,0.6074,9.39
50000,4,272,9.76,0.03,0.01,0.00,9.72,0.00,1.02,0.000,0.184,145437.5,3920.2,3,30,2.61,1.02,1.02,0.3896,1.91
50000,0,2,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,884.2,360.6,2,2,2.00,1.00,1.00,0.0150,904.81
60000,8,516,11.03,0.05,0.00,0.01,10.97,0.00,1.02,0.000,0.083,285475.6,5958.4,2,16,2.87,1.02,1.02,0.5939,11.95
60000,4,263,10.45,0.07,0.05,0.00,10.33,0.00,1.02,0.000,0.186,139080.7,3959.6,1,37,2.60,1.03,1.02,0.3942,3.38
60000,0,2,9.50,0.00,0.00,0.00,9.50,0.00,1.00,0.000,0.000,550.1,134.7,1,2,4.00,1.00,1.00,0.0094,824.73
70000,8,534,10.24,0.01,0.02,0.00,10.21,0.00,1.01,0.000,0.084,302136.2,5938.8,3,12,2.74,1.01,1.01,0.5930,42.16
70000,4,264,9.99,0.01,0.00,0.00,9.98,0.00,1.00,0.000,0.175,146187.3,4056.0,2,31,2.60,1.00,1.01,0.4049,1.94
70000,0,3,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,525.5,103.1,2,3,2.67,1.00,1.00,0.0105,782.99
80000,8,574,9.46,0.00,0.01,0.00,9.45,0.00,1.00,0.000,0.079,307208.7,6422.6,9,16,2.51,1.00,1.00,0.6356,12.99
80000,4,269,9.89,0.09,0.00,0.00,9.80,0.00,1.03,0.000,0.157,146843.9,4156.1,4,10,2.67,1.03,1.03,0.4111,3.79
