step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,607,1.531,0.353,7.90,37320,36800,7,0,1389,1734,461234.2,109017.0,0.072,0.367,0.365,0.196,1335,11.45,5.23,0.24,1.84,0.04,0.44,0.10,0.73,11.07,4.01,0.00,0.00,0.001,0.015,90,0.196,0.231,0.753,0.003,0.013,53523,47057,3,0.506,0.000,0.030,304247,0.167,2.124,0.024,33.26,22586,0,62.870,0.000,0.015,1000542,1.04,16.04,0.002,0.003,0.000,8,10,13,64,6952,0.027,8.00,0.0069,0.008,9,0.364,0.000,0.396,0.431,2.93,3.43,4.60,0.00,0.003,1.03,1.05,1.05,0.364,0.00323,122.18,11.2535,3455.02
20000,612,1.468,0.430,8.20,24817,24129,16,0,667,7,327693.4,8895.7,0.026,0.247,0.440,0.287,1941,10.06,2.57,0.03,0.55,0.03,0.65,0.01,0.16,9.99,2.58,0.00,0.00,0.002,0.041,59,0.216,0.258,0.737,0.000,0.005,13116,10465,2,0.502,0.000,0.002,30722,0.127,2.139,0.036,32.88,8524,0,1270.809,0.000,0.002,220845,1.01,17.14,0.000,0.002,0.000,8,10,12,33,6157,0.023,34.99,0.0054,0.005,0,0.143,0.000,0.301,0.028,2.74,3.42,4.09,0.00,0.000,1.01,1.01,1.01,0.143,0.00211,95.57,0.8358,2917.96
30000,605,1.495,0.231,8.50,27026,26170,26,0,837,12,336361.6,12399.0,0.012,0.227,0.458,0.303,1835,11.27,4.71,0.03,0.53,0.02,0.30,0.02,0.37,11.20,4.59,0.00,0.00,0.001,0.010,84,0.322,0.202,0.788,0.002,0.008,16608,14120,5,0.474,0.000,0.005,20003,0.155,1.672,0.014,33.28,10434,0,1033.251,0.000,0.007,259218,1.01,16.36,0.000,0.000,0.000,7,10,14,40,6819,0.026,15.23,0.0050,0.000,9,0.168,0.000,0.303,0.076,2.95,3.57,4.27,0.00,0.000,1.00,1.02,1.01,0.168,0.00185,114.93,1.1735,2249.15
40000,639,1.500,0.194,8.35,24495,23535,45,0,881,6,337380.4,10200.4,0.008,0.219,0.497,0.276,1883,10.59,3.48,0.10,0.95,0.01,0.12,0.02,0.32,10.47,3.29,0.00,0.00,0.000,0.007,82,0.332,0.228,0.756,0.005,0.011,14914,12532,5,0.441,0.053,0.005,22603,0.156,1.560,0.011,33.65,8779,0,1700.070,0.000,0.009,169624,1.04,16.75,0.000,0.000,0.000,7,10,15,36,6767,0.026,2.89,0.0050,0.000,18,0.119,0.000,0.289,0.049,2.69,3.68,3.96,0.00,0.000,1.04,1.05,1.04,0.119,0.00173,126.90,0.9813,1859.10
50000,622,1.499,0.141,8.30,24570,23593,84,0,910,5,338529.9,9573.4,0.003,0.247,0.513,0.237,1845,10.23,3.01,0.00,0.06,0.02,0.38,0.00,0.00,10.21,2.83,0.00,0.00,0.001,0.009,56,0.354,0.220,0.772,0.000,0.008,15735,13540,4,0.547,0.000,0.000,9787,0.173,1.215,0.008,33.71,9236,0,1914.675,0.000,0.002,266407,1.00,17.28,0.000,0.000,0.000,8,10,15,42,6365,0.024,2.30,0.0053,0.039,0,0.160,0.000,0.295,0.045,2.64,3.61,3.75,0.00,0.000,1.00,1.00,1.00,0.160,0.00193,127.44,0.8972,1256.25
60000,607,1.581,0.130,9.31,23259,22487,60,0,727,2,336777.7,7908.5,0.003,0.252,0.519,0.226,1881,10.25,2.71,0.08,0.98,0.00,0.00,0.00,0.12,10.17,2.61,0.00,0.00,0.000,0.000,71,0.270,0.213,0.786,0.000,0.002,14461,11400,5,0.458,0.044,0.002,8462,0.190,1.130,0.007,33.59,8979,0,3954.226,0.000,0.002,240268,1.03,16.55,0.000,0.000,0.000,7,10,12,33,6223,0.024,0.78,0.0055,0.026,5,0.147,0.000,0.288,0.032,2.62,3.82,3.93,0.00,0.000,1.02,1.04,1.03,0.147,0.00214,129.06,0.7729,1077.36
70000,634,1.467,0.115,9.74,22601,21686,75,0,813,1,340216.7,7992.9,0.007,0.261,0.513,0.218,1826,10.57,3.13,0.06,0.96,0.00,0.00,0.01,0.20,10.50,2.90,0.00,0.00,0.000,0.000,62,0.382,0.284,0.711,0.000,0.005,14481,12040,3,0.552,0.000,0.002,13815,0.164,1.055,0.006,33.92,9243,0,7992.932,0.000,0.002,219132,1.02,16.34,0.000,0.000,0.000,7,10,12,38,6700,0.026,0.95,0.0051,0.041,2,0.130,0.000,0.289,0.036,2.70,3.89,3.95,0.00,0.000,1.02,1.02,1.02,0.130,0.00221,128.56,0.7889,974.47
80000,627,1.485,0.098,9.60,23162,22273,76,0,820,0,344054.4,8200.7,0.004,0.283,0.495,0.219,1853,10.69,3.03,0.03,0.37,0.00,0.00,0.03,0.72,10.63,2.75,0.00,0.00,0.000,0.000,72,0.303,0.239,0.754,0.000,0.006,14649,12373,3,0.475,0.065,0.002,16687,0.178,0.890,0.005,34.31,9732,0,8200.689,0.000,0.006,236202,1.01,16.38,0.000,0.000,0.000,7,10,12,41,6700,0.026,0.79,0.0052,0.026,2,0.127,0.000,0.286,0.034,2.72,3.92,3.90,0.00,0.000,1.00,1.01,1.00,0.127,0.00244,128.33,0.7982,756.19
90000,599,1.471,0.080,9.50,23413,22529,73,0,839,1,345838.6,8491.4,0.003,0.277,0.501,0.219,1833,10.60,2.54,0.05,1.01,0.00,0.00,0.00,0.00,10.54,2.47,0.00,0.00,0.000,0.000,50,0.386,0.232,0.761,0.000,0.007,14848,11977,3,0.487,0.050,0.000,17949,0.151,0.782,0.003,34.47,9817,0,8491.447,0.000,0.002,238936,1.03,16.37,0.000,0.000,0.000,7,10,12,27,6347,0.024,1.04,0.0055,0.012,5,0.130,0.000,0.280,0.040,2.70,3.86,3.95,0.00,0.000,1.02,1.03,1.03,0.130,0.00250,127.93,0.8334,599.52
100000,596,1.530,0.083,9.38,22563,21762,61,0,743,6,344895.4,8080.1,0.005,0.285,0.503,0.207,1825,11.10,3.72,0.04,0.46,0.00,0.00,0.01,0.33,11.05,3.60,0.00,0.00,0.000,0.000,75,0.228,0.227,0.768,0.000,0.005,14330,11163,3,0.522,0.023,0.002,15133,0.159,0.789,0.003,34.41,9297,0,1346.676,0.000,0.002,221392,1.01,16.52,0.000,0.000,0.000,6,10,15,45,6616,0.025,1.14,0.0052,0.000,6,0.121,0.000,0.278,0.039,2.82,3.81,3.93,0.00,0.000,1.01,1.02,1.01,0.121,0.00261,127.90,0.8083,604.39
110000,616,1.479,0.079,9.50,22543,21731,63,0,729,14,345614.0,8105.9,0.015,0.271,0.513,0.202,1869,11.04,3.79,0.04,0.69,0.01,0.24,0.01,0.21,10.98,3.73,0.00,0.00,0.000,0.006,69,0.229,0.252,0.744,0.000,0.005,14145,11961,7,0.386,0.000,0.003,16053,0.176,0.740,0.003,34.46,8911,0,578.994,0.000,0.000,189548,1.02,16.98,0.000,0.000,0.000,6,10,15,38,6799,0.026,1.25,0.0051,0.003,6,0.108,0.000,0.276,0.040,2.73,3.78,3.74,0.00,0.000,1.01,1.02,1.02,0.108,0.00243,127.73,0.8060,560.24
120000,603,1.552,0.077,9.40,22788,21955,59,0,787,26,346353.6,8226.8,0.014,0.258,0.518,0.210,1865,11.70,3.62,0.03,0.37,0.03,0.51,0.01,0.28,11.63,3.49,0.00,0.00,0.002,0.024,75,0.176,0.259,0.728,0.002,0.012,13911,10738,7,0.353,0.211,0.002,17622,0.167,0.689,0.003,34.53,9371,0,316.416,0.000,0.005,181516,1.01,16.23,0.000,0.000,0.000,8,11,16,39,7058,0.027,1.01,0.0049,0.000,11,0.109,0.000,0.269,0.036,2.81,3.97,3.92,0.00,0.000,1.01,1.02,1.01,0.109,0.00241,127.89,0.8168,505.41
130000,588,1.570,0.066,9.57,23322,22553,77,0,707,5,345390.7,9613.3,0.009,0.260,0.512,0.219,1831,11.11,3.37,0.04,0.72,0.00,0.00,0.01,0.15,11.06,3.38,0.00,0.00,0.000,0.000,81,0.180,0.224,0.755,0.005,0.015,14938,12086,6,0.355,0.046,0.003,20115,0.140,0.631,0.003,34.44,9646,0,1922.662,0.000,0.005,217555,1.02,16.95,0.000,0.000,0.000,7,11,16,34,6535,0.025,3.40,0.0053,0.000,3,0.125,0.000,0.267,0.055,2.72,3.74,3.80,0.00,0.000,1.01,1.02,1.03,0.125,0.00238,125.60,0.9505,396.26
140000,602,1.567,0.061,9.14,23872,22897,84,0,877,12,341751.8,9910.7,0.013,0.242,0.516,0.229,1849,11.86,4.04,0.11,0.74,0.00,0.00,0.00,0.00,11.75,3.99,0.00,0.00,0.000,0.000,81,0.208,0.201,0.792,0.002,0.005,15370,11811,3,0.850,0.000,0.000,17209,0.133,0.603,0.002,34.11,9849,0,825.891,0.000,0.003,270580,1.04,17.25,0.000,0.000,0.000,6,12,16,26,7138,0.027,3.68,0.0048,0.020,6,0.168,0.000,0.249,0.054,2.70,3.56,3.83,0.00,0.000,1.01,1.06,1.04,0.168,0.00210,125.65,0.9903,387.09
