step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,659,1.368,0.445,10.44,69219,66103,3,0,3891,1288,455992.8,208594.0,0.090,0.458,0.282,0.169,1094,7.90,3.68,0.01,0.16,0.01,0.24,0.05,0.65,7.83,3.55,0.00,0.00,0.001,0.018,84,0.141,0.165,0.825,0.000,0.009,91744,71444,4,0.601,0.015,0.009,421452,0.144,1.790,0.031,32.81,38748,0,161.952,0.000,0.003,1690404,1.01,18.68,0.000,0.000,0.000,5,8,10,49,5204,0.020,41.12,0.0088,0.020,3,0.396,0.000,0.541,0.368,2.28,3.64,3.02,0.00,0.000,1.01,1.01,1.01,0.396,0.00354,89.51,21.2616,3702.30
20000,670,1.381,0.185,11.37,30066,28501,16,0,1538,2,358878.2,33143.6,0.002,0.284,0.360,0.354,1604,8.34,2.70,0.00,0.00,0.05,0.45,0.00,0.00,8.29,2.57,0.00,0.00,0.005,0.048,60,0.324,0.166,0.824,0.001,0.009,20683,14523,4,0.848,0.013,0.000,42793,0.109,1.058,0.007,35.57,14146,0,16571.799,0.000,0.009,324000,1.00,17.70,0.000,0.000,0.000,6,8,11,30,5586,0.021,3.58,0.0065,0.000,10,0.148,0.000,0.270,0.038,2.32,3.91,3.26,0.00,0.000,1.00,1.00,1.00,0.148,0.00214,124.29,3.1676,2218.57
30000,642,1.371,0.125,10.95,28943,27554,12,0,1405,9,349688.8,31126.0,0.003,0.265,0.366,0.367,1625,8.57,2.81,0.01,0.17,0.06,0.68,0.04,0.47,8.47,2.69,0.00,0.00,0.005,0.054,74,0.210,0.134,0.852,0.000,0.014,19271,14671,3,0.919,0.023,0.008,16019,0.103,0.780,0.004,34.89,13951,0,3458.443,0.000,0.022,276802,1.01,17.35,0.000,0.000,0.000,6,8,12,24,5505,0.021,2.51,0.0064,0.000,17,0.139,0.000,0.259,0.028,2.38,3.94,3.41,0.00,0.000,1.01,1.01,1.01,0.139,0.00206,126.04,3.0382,1462.95
40000,695,1.328,0.103,10.71,26876,25484,12,0,1327,56,314471.6,29586.2,0.007,0.246,0.367,0.380,1857,8.21,2.64,0.02,0.49,0.04,0.43,0.00,0.00,8.15,2.62,0.00,0.00,0.003,0.036,64,0.286,0.184,0.793,0.006,0.017,20154,16691,2,0.917,0.035,0.000,48251,0.111,0.604,0.002,31.39,12578,0,528.325,0.000,0.024,281113,1.01,17.74,0.000,0.000,0.000,6,8,11,21,5703,0.022,5.40,0.0056,0.000,17,0.170,0.000,0.292,0.037,2.24,3.93,3.22,0.00,0.000,1.02,1.02,1.01,0.170,0.00153,126.65,2.9309,1180.93
50000,710,1.350,0.096,10.74,27692,26397,22,0,1258,14,336133.5,29801.2,0.004,0.223,0.359,0.413,1678,8.03,3.80,0.03,0.44,0.13,1.73,0.07,0.97,7.79,2.73,0.01,0.19,0.005,0.048,69,0.380,0.175,0.813,0.001,0.011,19926,15911,2,0.927,0.038,0.013,44808,0.122,0.548,0.002,33.59,12837,0,2128.660,0.000,0.013,259892,1.01,17.82,0.000,0.000,0.001,6,7,10,63,5699,0.022,3.31,0.0061,0.000,7,0.159,0.000,0.269,0.030,2.28,3.92,3.18,0.01,0.001,1.01,1.01,1.01,0.160,0.00147,126.54,2.9687,1054.07
60000,667,1.423,0.100,10.76,27688,26363,37,0,1331,33,345955.1,30885.9,0.005,0.218,0.350,0.427,1606,8.12,3.11,0.00,0.04,0.03,0.36,0.02,0.40,8.08,2.97,0.00,0.00,0.002,0.019,60,0.415,0.160,0.825,0.001,0.013,19786,15118,3,0.940,0.013,0.004,61744,0.094,0.573,0.003,34.59,12039,0,935.937,0.000,0.015,260888,1.00,17.60,0.000,0.000,0.000,6,7,11,32,5418,0.021,3.84,0.0064,0.000,12,0.158,0.000,0.241,0.041,2.23,4.04,3.19,0.00,0.000,1.00,1.00,1.00,0.158,0.00158,125.00,3.0903,1062.22
70000,644,1.332,0.248,10.95,24388,23141,39,0,1231,26,319417.9,25205.7,0.003,0.202,0.368,0.427,1814,8.15,3.14,0.02,0.28,0.06,0.59,0.02,0.26,8.06,2.96,0.00,0.00,0.004,0.037,64,0.371,0.163,0.829,0.000,0.008,17071,11712,2,0.970,0.000,0.005,16823,0.137,1.202,0.021,32.17,10610,0,969.450,0.000,0.009,173451,1.01,17.59,0.000,0.000,0.000,6,7,11,31,5251,0.020,40.77,0.0062,0.000,6,0.123,0.000,0.247,0.027,2.30,3.97,3.24,0.00,0.000,1.02,1.02,1.02,0.123,0.00145,90.50,2.5264,1112.56
80000,685,1.285,0.330,11.12,24535,23260,24,0,1210,17,332343.8,25514.0,0.002,0.204,0.346,0.447,1721,7.86,2.59,0.02,0.37,0.05,0.39,0.01,0.17,7.79,2.35,0.00,0.00,0.003,0.029,63,0.371,0.181,0.809,0.001,0.009,16445,10846,1,1.000,0.000,0.003,9178,0.112,1.407,0.032,33.37,11058,0,1500.825,0.000,0.010,164115,1.01,17.89,0.000,0.000,0.000,6,7,10,33,5387,0.021,41.97,0.0062,0.000,3,0.112,0.000,0.228,0.023,2.23,3.92,3.15,0.00,0.003,1.01,1.01,1.01,0.112,0.00147,88.10,2.5360,952.80
90000,700,1.332,0.077,11.18,27374,25868,41,0,1450,24,353252.7,30434.5,0.003,0.217,0.330,0.450,1534,8.05,2.56,0.00,0.00,0.11,1.00,0.00,0.00,7.93,2.31,0.00,0.00,0.008,0.062,53,0.429,0.180,0.811,0.000,0.009,20046,15212,2,0.964,0.003,0.000,13424,0.111,0.292,0.001,34.93,13443,0,1268.105,0.000,0.003,271606,1.00,17.68,0.000,0.000,0.000,7,7,10,31,5634,0.021,9.78,0.0064,0.001,8,0.159,0.000,0.236,0.057,2.30,4.04,3.13,0.00,0.000,1.00,1.00,1.00,0.159,0.00152,118.73,3.0319,827.47
100000,727,1.331,0.074,11.31,26582,25260,40,0,1255,6,352208.2,26796.5,0.002,0.211,0.353,0.433,1607,7.93,2.72,0.03,0.55,0.06,0.80,0.00,0.05,7.83,2.58,0.00,0.00,0.004,0.040,74,0.527,0.183,0.807,0.001,0.008,18434,14894,2,0.964,0.017,0.003,19001,0.114,0.270,0.000,35.24,12476,0,4466.090,0.000,0.011,213347,1.02,17.63,0.000,0.000,0.000,6,7,11,30,5764,0.022,1.40,0.0062,0.000,14,0.132,0.000,0.231,0.027,2.34,4.07,3.13,0.00,0.000,1.02,1.03,1.01,0.132,0.00145,126.80,2.6768,787.84
