step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,547,1.674,0.468,10.55,42278,41761,1,2,1404,1650,483734.9,130347.8,0.086,0.495,0.358,0.061,1141,14.20,6.53,0.03,0.49,0.13,1.00,0.22,1.71,13.82,6.08,0.00,0.00,0.006,0.043,175,0.055,0.194,0.797,0.000,0.009,67348,58246,1,0.389,0.611,0.049,579610,0.155,2.298,0.034,35.53,29283,62,78.999,0.500,0.011,1721310,1.01,11.65,0.000,0.000,0.000,7,13,22,48,7768,0.030,4.55,0.0064,0.033,5,0.522,0.000,0.510,0.456,3.82,3.68,6.89,0.00,0.000,1.00,1.01,1.01,0.522,0.00527,123.24,13.4571,4114.11
20000,509,1.815,0.357,9.52,29911,28770,5,0,1174,17,357357.4,22172.1,0.020,0.440,0.503,0.037,1585,15.50,7.09,0.02,0.49,0.05,0.48,0.11,0.85,15.32,6.82,0.00,0.00,0.003,0.025,148,0.096,0.185,0.807,0.000,0.008,26179,20808,4,0.473,0.000,0.029,231551,0.113,1.977,0.025,35.62,15093,0,1304.244,0.000,0.008,1090740,1.00,10.93,0.004,0.000,0.000,6,16,23,64,7890,0.030,3.28,0.0046,0.000,4,0.410,0.000,0.388,0.149,3.84,3.75,7.15,0.00,0.000,1.00,1.01,1.00,0.410,0.00401,124.42,2.1222,3142.25
30000,516,1.675,0.271,10.00,28649,27649,3,0,990,20,362897.9,18917.0,0.021,0.405,0.469,0.106,1651,14.44,6.52,0.05,1.10,0.25,2.35,0.06,0.53,14.08,5.77,0.00,0.00,0.008,0.061,125,0.128,0.190,0.795,0.002,0.014,24423,19063,7,0.285,0.134,0.021,202219,0.109,1.723,0.018,36.19,12936,0,945.850,0.000,0.012,884942,1.01,12.93,0.000,0.000,0.000,8,12,22,62,7453,0.028,1.72,0.0050,0.000,3,0.363,0.000,0.367,0.128,3.43,3.71,5.99,0.00,0.000,1.01,1.01,1.01,0.363,0.00400,125.41,1.8332,2543.13
40000,646,1.506,0.242,10.21,27637,26366,28,0,1113,23,334071.6,16464.6,0.032,0.257,0.463,0.249,1767,10.80,4.71,0.04,0.62,0.02,0.30,0.00,0.04,10.74,4.51,0.00,0.00,0.002,0.036,106,0.289,0.172,0.820,0.000,0.008,22927,17847,5,0.776,0.000,0.002,129795,0.126,1.580,0.016,33.33,13369,0,715.854,0.000,0.006,536392,1.01,17.07,0.000,0.002,0.000,7,11,13,59,6978,0.027,1.82,0.0048,0.000,10,0.335,0.000,0.393,0.118,2.89,3.15,4.49,0.01,0.003,1.00,1.02,1.01,0.335,0.00181,128.16,1.6116,2185.10
50000,664,1.494,0.199,10.27,29476,28142,81,0,1235,39,357009.8,14965.5,0.029,0.241,0.411,0.320,1580,10.48,3.39,0.07,0.92,0.05,0.60,0.00,0.00,10.36,3.15,0.00,0.00,0.005,0.053,99,0.389,0.163,0.827,0.000,0.011,21856,17658,5,0.697,0.056,0.000,41773,0.120,1.419,0.013,35.59,14209,0,383.732,0.000,0.008,506855,1.02,17.21,0.000,0.000,0.000,7,11,13,32,6957,0.027,1.45,0.0052,0.000,4,0.295,0.000,0.348,0.091,2.82,3.07,4.54,0.00,0.000,1.02,1.03,1.02,0.295,0.00165,126.28,1.4557,1773.09
60000,636,1.547,0.177,10.46,29772,28486,62,0,1252,23,370821.4,13555.9,0.023,0.246,0.437,0.293,1542,11.44,4.35,0.06,0.57,0.04,0.50,0.13,1.55,11.21,3.84,0.00,0.07,0.001,0.016,109,0.269,0.189,0.803,0.000,0.008,21335,16401,4,0.675,0.031,0.016,35740,0.127,1.331,0.010,36.97,13672,0,589.385,0.000,0.000,479525,1.02,16.14,0.000,0.000,0.005,7,11,15,56,7279,0.028,1.37,0.0052,0.000,7,0.269,0.000,0.337,0.073,2.97,3.32,4.85,0.00,0.005,1.01,1.02,1.02,0.269,0.00192,124.98,1.3349,1558.87
70000,656,1.518,0.164,11.12,27668,26556,66,0,1026,24,359290.0,12743.3,0.019,0.240,0.429,0.312,1574,11.84,4.74,0.01,0.19,0.03,0.45,0.09,1.40,11.71,4.45,0.00,0.00,0.003,0.039,114,0.184,0.183,0.803,0.000,0.014,20524,14508,3,0.630,0.133,0.012,42424,0.133,1.297,0.009,35.82,13647,0,530.973,0.000,0.006,427064,1.01,16.08,0.000,0.000,0.000,7,11,15,58,7769,0.030,0.89,0.0047,0.000,7,0.261,0.000,0.346,0.077,2.89,3.36,4.96,0.00,0.000,1.01,1.01,1.01,0.261,0.00181,126.61,1.2693,1505.08
80000,655,1.540,0.142,11.09,27962,26995,41,0,927,25,379603.9,12027.6,0.025,0.249,0.455,0.271,1570,11.96,4.02,0.06,0.84,0.03,0.37,0.00,0.00,11.86,3.88,0.00,0.00,0.002,0.026,108,0.243,0.195,0.791,0.000,0.014,20379,14819,4,0.638,0.118,0.000,64971,0.116,1.106,0.008,37.83,13069,0,481.103,0.000,0.000,401417,1.02,15.74,0.000,0.003,0.000,7,12,15,45,7834,0.030,0.71,0.0049,0.000,3,0.229,0.000,0.323,0.061,2.88,3.54,4.92,0.00,0.000,1.02,1.03,1.03,0.229,0.00206,124.77,1.1715,1187.79
90000,666,1.559,0.103,11.38,28805,27693,47,0,1054,38,389254.9,13497.0,0.022,0.272,0.440,0.266,1489,11.71,3.22,0.02,0.21,0.11,0.98,0.06,0.86,11.52,3.26,0.01,0.16,0.008,0.071,124,0.176,0.188,0.803,0.003,0.006,21907,16205,5,0.326,0.320,0.014,49319,0.124,0.855,0.005,38.78,13858,0,355.185,0.000,0.009,468474,1.01,15.55,0.000,0.005,0.003,8,11,15,41,7800,0.030,0.62,0.0051,0.005,6,0.238,0.000,0.323,0.077,2.77,3.67,4.80,0.01,0.003,1.01,1.01,1.01,0.238,0.00228,123.92,1.3144,829.98
100000,671,1.522,0.100,11.60,28154,27122,68,0,959,36,384270.8,12333.2,0.028,0.260,0.440,0.272,1517,11.56,3.55,0.07,0.70,0.09,1.24,0.05,0.40,11.35,3.10,0.00,0.00,0.004,0.050,90,0.201,0.162,0.823,0.000,0.015,21072,15957,7,0.292,0.112,0.033,160224,0.088,0.835,0.005,38.37,13842,0,342.588,0.000,0.000,416323,1.03,15.62,0.000,0.000,0.000,8,11,14,59,7755,0.030,0.58,0.0050,0.000,7,0.224,0.000,0.313,0.069,2.73,3.59,4.75,0.00,0.000,1.02,1.03,1.03,0.224,0.00223,124.37,1.2304,800.76
110000,689,1.434,0.087,11.46,29562,28364,69,0,1111,17,389391.0,12199.1,0.031,0.255,0.445,0.268,1464,11.32,3.22,0.03,0.84,0.15,1.31,0.02,0.22,11.12,3.12,0.00,0.00,0.013,0.098,99,0.149,0.206,0.779,0.000,0.015,21298,15739,6,0.269,0.022,0.009,111904,0.093,0.763,0.004,38.89,14737,0,717.591,0.000,0.000,348141,1.01,15.56,0.000,0.003,0.000,8,11,14,43,7801,0.030,0.37,0.0051,0.000,6,0.189,0.000,0.320,0.057,2.72,3.58,4.92,0.00,0.000,1.00,1.01,1.01,0.189,0.00217,124.06,1.2057,655.96
