step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
60000,0,6,13.00,0.00,0.00,0.00,13.00,0.00,1.00,0.000,0.001,954.2,287.8,2,6,1.83,1.00,1.00,0.0193,3208.37
70000,8,616,9.86,0.04,0.00,0.00,9.81,0.00,1.01,0.000,0.082,332951.3,7857.8,2,2,2.33,1.01,1.02,0.7603,14.47
70000,2,129,11.55,0.09,0.02,0.19,11.24,0.00,1.03,0.000,0.284,64060.6,5273.8,3,0,2.68,1.00,1.11,0.5220,8.72
70000,0,8,6.38,0.00,0.00,0.00,6.38,0.00,1.00,0.000,0.001,1035.7,433.1,2,8,2.00,1.00,1.00,0.0206,2711.13
80000,8,636,9.70,0.04,0.00,0.01,9.65,0.00,1.02,0.000,0.080,334962.4,7723.0,3,0,2.30,1.02,1.02,0.7634,15.91
80000,2,129,10.19,0.00,0.01,0.01,10.17,0.00,1.00,0.000,0.240,63338.9,5642.3,3,1,2.73,1.00,1.00,0.5595,4.25
80000,0,3,10.33,0.00,0.00,0.00,10.33,0.00,1.00,0.000,0.000,1173.0,427.1,0,3,3.67,1.00,1.00,0.0283,2435.16
90000,8,626,9.34,0.01,0.02,0.01,9.30,0.00,1.00,0.000,0.076,336777.9,7850.2,3,0,2.36,1.00,1.00,0.7815,187.35
90000,2,123,9.50,0.15,0.30,0.08,8.97,0.00,1.06,0.000,0.217,62921.2,3639.3,2,0,2.89,1.04,1.08,0.3642,8.10
90000,0,7,10.14,0.71,0.00,0.00,9.43,0.00,1.22,0.000,0.000,1128.9,289.8,2,6,3.57,1.27,1.27,0.0264,2202.87
100000,8,659,9.44,0.11,0.00,0.00,9.32,0.00,1.04,0.000,0.081,336001.8,8406.7,2,0,2.27,1.04,1.05,0.7602,32.20
100000,2,127,11.00,0.00,0.10,0.67,10.23,0.00,1.00,0.000,0.257,63129.7,4187.8,2,0,2.69,1.00,1.00,0.4159,14.33
100000,0,3,11.00,0.00,0.00,0.00,11.00,0.00,1.00,0.000,0.000,1203.2,447.9,2,3,3.67,1.00,1.00,0.0297,1369.38
110000,8,633,9.41,0.08,0.02,0.03,9.28,0.00,1.03,0.000,0.079,336274.0,7906.1,2,3,2.35,1.03,1.04,0.7676,15.70
