step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
110000,737,1.284,0.144,6.45,30638,28037,10,0,2659,1,349219.8,36780.4,0.009,0.278,0.474,0.239,891,7.74,4.49,0.08,1.13,0.02,0.55,0.00,0.00,7.64,3.99,0.00,0.00,0.001,0.035,79,0.474,0.138,0.855,0.001,0.005,19523,17252,1,0.802,0.198,0.000,24233,0.167,0.968,0.005,34.99,8637,0,36780.359,0.000,0.016,395504,1.03,18.61,0.000,0.001,0.000,6,7,11,60,5704,0.022,25.24,0.0062,0.007,12,0.182,0.000,0.289,0.052,2.45,2.74,3.99,0.00,0.000,1.01,1.03,1.03,0.182,0.00171,103.22,3.6301,1494.33
120000,691,1.399,0.119,6.45,30880,28289,7,0,2630,0,352213.0,37787.3,0.006,0.280,0.457,0.257,874,9.06,4.72,0.02,0.19,0.00,0.00,0.01,0.15,9.04,4.67,0.00,0.00,0.000,0.000,76,0.323,0.165,0.832,0.001,0.001,19679,17075,1,0.948,0.052,0.001,18643,0.165,0.840,0.003,35.27,8775,0,37787.277,0.000,0.036,466745,1.01,17.90,0.000,0.000,0.000,6,7,13,56,6262,0.024,7.67,0.0056,0.022,9,0.213,0.000,0.273,0.044,2.48,2.84,4.25,0.00,0.000,1.00,1.01,1.01,0.213,0.00187,120.50,3.7530,1215.96
130000,671,1.412,0.112,6.32,29453,26925,7,0,2541,4,344119.5,37750.7,0.004,0.275,0.441,0.280,888,8.99,4.66,0.06,0.69,0.02,0.39,0.01,0.31,8.90,4.38,0.00,0.00,0.003,0.045,87,0.297,0.127,0.864,0.000,0.009,18727,16810,1,0.814,0.186,0.001,17746,0.147,0.749,0.003,34.48,8487,0,9437.684,0.000,0.006,454649,1.02,18.09,0.000,0.000,0.000,6,7,12,58,6031,0.023,4.54,0.0058,0.015,7,0.225,0.000,0.257,0.048,2.49,2.93,4.07,0.00,0.000,1.01,1.02,1.02,0.225,0.00191,124.41,3.7613,1056.08
140000,612,1.493,0.112,6.54,29442,26921,6,0,2574,12,345412.9,38503.2,0.003,0.260,0.439,0.298,877,10.24,4.00,0.02,0.27,0.00,0.00,0.00,0.08,10.22,3.95,0.00,0.00,0.000,0.000,74,0.247,0.124,0.871,0.000,0.005,18339,16763,2,0.972,0.000,0.002,15894,0.183,0.743,0.003,34.56,8310,0,3208.599,0.000,0.011,388120,1.00,16.94,0.000,0.000,0.000,6,11,11,39,6266,0.024,3.99,0.0055,0.026,5,0.208,0.000,0.258,0.044,2.74,2.84,4.73,0.00,0.000,1.00,1.01,1.01,0.208,0.00207,124.90,3.8554,1089.19
150000,702,1.400,0.113,6.61,30081,27345,2,0,2644,3,347305.8,41436.0,0.004,0.231,0.422,0.343,864,9.51,3.87,0.03,0.48,0.00,0.08,0.00,0.00,9.47,3.89,0.00,0.00,0.000,0.011,97,0.308,0.154,0.836,0.000,0.010,19095,17907,3,0.922,0.000,0.000,14969,0.182,0.737,0.002,34.76,8432,0,13811.999,0.000,0.014,334243,1.02,18.12,0.000,0.000,0.000,6,8,13,42,6677,0.025,4.11,0.0052,0.024,11,0.206,0.000,0.251,0.053,2.44,3.06,3.93,0.00,0.000,1.03,1.03,1.01,0.206,0.00172,124.58,4.1466,1092.82
160000,701,1.391,0.111,7.15,30460,27893,4,0,2564,5,354985.5,39760.5,0.010,0.231,0.432,0.327,877,10.21,5.46,0.06,0.84,0.10,1.41,0.00,0.08,10.05,5.19,0.00,0.00,0.006,0.072,103,0.284,0.154,0.832,0.001,0.013,19600,18206,2,0.730,0.234,0.001,13960,0.203,0.744,0.003,35.51,8750,0,7952.102,0.000,0.016,337689,1.02,17.67,0.000,0.000,0.000,6,8,15,45,7157,0.027,3.45,0.0050,0.013,7,0.201,0.000,0.266,0.042,2.43,3.07,4.12,0.00,0.000,1.01,1.03,1.02,0.201,0.00173,124.47,3.9782,1093.08
170000,678,1.454,0.109,7.14,31630,28921,5,0,2727,5,361997.0,44818.5,0.008,0.233,0.454,0.306,854,9.97,4.97,0.05,0.43,0.00,0.00,0.01,0.19,9.91,4.96,0.00,0.00,0.000,0.000,112,0.294,0.150,0.847,0.001,0.001,21190,19826,1,0.990,0.010,0.001,14157,0.166,0.747,0.003,36.21,9100,0,8963.699,0.000,0.022,334805,1.02,17.53,0.000,0.000,0.000,6,8,14,41,6761,0.026,10.46,0.0054,0.000,10,0.195,0.000,0.271,0.057,2.41,3.05,4.27,0.00,0.000,1.00,1.03,1.03,0.195,0.00188,116.77,4.4806,1056.15
180000,715,1.451,0.107,7.03,31532,28538,6,0,2951,5,362537.2,40402.9,0.005,0.251,0.444,0.300,842,9.19,4.21,0.03,0.33,0.02,0.52,0.02,0.42,9.11,4.08,0.00,0.00,0.000,0.011,97,0.347,0.129,0.859,0.003,0.010,21274,19676,2,0.766,0.077,0.003,9688,0.189,0.738,0.002,36.29,9314,0,8080.579,0.000,0.006,448829,1.02,17.97,0.000,0.000,0.000,6,8,14,48,6569,0.025,6.17,0.0056,0.020,7,0.233,0.000,0.271,0.044,2.32,3.15,3.95,0.00,0.000,1.01,1.02,1.02,0.233,0.00176,120.98,4.0436,1062.56
190000,701,1.435,0.108,7.16,31027,28218,6,0,2817,6,363365.9,39923.6,0.005,0.243,0.438,0.314,838,9.04,3.71,0.02,0.19,0.03,0.75,0.00,0.00,9.00,3.70,0.00,0.00,0.001,0.036,84,0.345,0.143,0.853,0.000,0.004,20958,19354,2,0.719,0.120,0.000,9213,0.147,0.751,0.003,36.38,8953,0,6653.940,0.000,0.014,401589,1.01,18.07,0.000,0.000,0.000,6,8,11,33,6338,0.024,6.05,0.0058,0.017,3,0.211,0.000,0.258,0.047,2.39,3.13,3.88,0.00,0.000,1.00,1.01,1.01,0.211,0.00177,121.01,3.9930,1048.83
200000,708,1.402,0.103,6.93,30312,27652,4,0,2649,5,362895.6,36726.6,0.004,0.250,0.430,0.316,871,9.15,3.16,0.07,0.71,0.00,0.08,0.00,0.00,9.08,3.03,0.00,0.00,0.000,0.003,79,0.278,0.165,0.826,0.000,0.008,20316,18890,2,0.838,0.112,0.000,10392,0.163,0.723,0.002,36.32,7848,0,7345.323,0.000,0.010,446913,1.02,18.26,0.000,0.000,0.000,6,9,10,38,6480,0.025,2.71,0.0056,0.048,1,0.233,0.000,0.243,0.042,2.27,3.32,3.62,0.00,0.001,1.01,1.03,1.04,0.233,0.00174,124.41,3.6721,1027.90
