step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,605,1.637,0.391,8.67,37313,36983,1,1,1206,2016,497971.7,119598.6,0.075,0.412,0.302,0.211,1275,13.53,9.61,0.08,0.86,0.02,0.41,0.02,0.27,13.41,9.49,0.00,0.00,0.000,0.012,94,0.134,0.197,0.800,0.000,0.003,57801,51332,3,0.924,0.000,0.007,447920,0.172,2.288,0.025,36.92,23837,33,59.325,1.000,0.005,1254411,1.02,14.94,0.030,0.000,0.000,8,12,15,64,8187,0.031,4.09,0.0061,0.017,9,0.452,0.000,0.423,0.452,3.35,3.33,5.21,0.00,0.002,1.00,1.03,1.03,0.452,0.00508,122.30,12.3466,3798.17
20000,633,1.572,0.304,9.62,26042,25318,9,0,687,7,372647.3,19855.5,0.012,0.270,0.448,0.270,1677,12.88,8.80,0.30,2.48,0.00,0.08,0.01,0.14,12.57,8.06,0.00,0.00,0.000,0.004,121,0.115,0.240,0.752,0.000,0.008,18162,15089,4,0.412,0.063,0.003,26943,0.130,1.985,0.019,37.16,10641,0,2836.503,0.000,0.008,447417,1.07,16.21,0.003,0.000,0.000,7,11,15,64,8152,0.031,0.93,0.0047,0.011,5,0.257,0.000,0.284,0.104,3.03,3.61,4.29,0.00,0.000,1.04,1.08,1.08,0.257,0.00269,125.23,1.8994,2927.06
30000,667,1.553,0.272,9.98,27975,27073,64,0,804,51,373829.9,15971.7,0.016,0.238,0.468,0.279,1596,11.24,4.55,0.06,0.61,0.01,0.31,0.04,0.46,11.13,4.29,0.00,0.00,0.000,0.007,100,0.114,0.220,0.774,0.000,0.006,20671,17121,4,0.385,0.000,0.010,34471,0.161,1.883,0.016,37.29,11900,0,313.171,0.000,0.003,486844,1.02,16.68,0.000,0.000,0.000,8,11,15,62,7495,0.029,1.61,0.0050,0.000,4,0.282,0.000,0.268,0.110,2.79,3.35,4.31,0.01,0.001,1.00,1.02,1.02,0.282,0.00191,124.42,1.5645,2595.58
40000,717,1.435,0.210,10.28,29283,28253,118,0,862,1,375360.9,12263.1,0.014,0.207,0.505,0.274,1567,9.97,3.17,0.13,1.41,0.00,0.00,0.01,0.09,9.83,2.84,0.00,0.00,0.000,0.000,85,0.190,0.223,0.762,0.000,0.015,19357,16514,4,0.424,0.000,0.004,52194,0.151,1.589,0.012,37.42,12151,0,12263.107,0.000,0.004,427186,1.04,17.92,0.000,0.000,0.000,7,9,12,47,7146,0.027,0.55,0.0053,0.003,6,0.273,0.000,0.272,0.060,2.75,3.07,3.98,0.00,0.000,1.03,1.06,1.05,0.273,0.00151,125.34,1.1591,1919.06
50000,666,1.407,0.174,11.00,29336,28277,129,0,981,4,367614.5,12172.9,0.016,0.193,0.511,0.280,1536,9.66,3.03,0.06,0.69,0.00,0.08,0.01,0.23,9.59,2.91,0.00,0.00,0.000,0.008,92,0.290,0.179,0.814,0.000,0.008,19386,16951,4,0.550,0.000,0.002,34025,0.163,1.330,0.010,36.67,12380,0,3043.227,0.000,0.003,393205,1.02,18.06,0.000,0.000,0.000,7,9,13,26,6436,0.025,0.75,0.0058,0.051,0,0.273,0.000,0.265,0.061,2.75,3.15,3.83,0.00,0.000,1.01,1.03,1.03,0.273,0.00147,125.90,1.1701,1441.23
60000,689,1.421,0.164,11.32,30090,28871,149,0,1047,2,362215.0,10880.1,0.023,0.179,0.497,0.301,1508,9.56,2.77,0.12,0.99,0.00,0.00,0.00,0.07,9.44,2.50,0.00,0.00,0.000,0.000,85,0.235,0.193,0.801,0.000,0.006,19803,15841,5,0.504,0.029,0.004,17910,0.172,1.255,0.009,36.13,13317,0,5440.060,0.000,0.003,354050,1.05,18.35,0.000,0.000,0.000,7,9,13,33,6589,0.025,1.19,0.0056,0.052,1,0.262,0.000,0.265,0.050,2.65,3.18,3.65,0.00,0.000,1.03,1.06,1.05,0.262,0.00126,126.00,1.0748,1304.79
70000,711,1.456,0.153,10.80,30923,29647,202,0,1052,7,370156.9,11646.5,0.023,0.166,0.513,0.298,1504,9.37,2.68,0.05,0.42,0.00,0.04,0.00,0.00,9.32,2.61,0.00,0.00,0.000,0.001,82,0.259,0.218,0.769,0.001,0.011,20749,15678,5,0.561,0.038,0.000,22729,0.170,1.214,0.008,36.95,13296,0,1663.784,0.000,0.001,337159,1.02,18.42,0.000,0.000,0.000,7,9,13,41,6659,0.025,1.11,0.0056,0.049,1,0.262,0.000,0.261,0.056,2.63,3.12,3.68,0.00,0.000,1.01,1.03,1.02,0.262,0.00118,125.26,1.1574,1226.80
80000,685,1.396,0.137,10.52,31331,30099,157,0,1101,5,371991.9,12343.3,0.027,0.164,0.504,0.304,1545,10.18,3.87,0.12,0.80,0.04,0.57,0.01,0.11,10.02,3.69,0.00,0.00,0.002,0.023,88,0.159,0.194,0.797,0.001,0.007,20600,16282,3,0.453,0.072,0.003,27586,0.155,1.108,0.007,37.13,13020,0,2468.652,0.000,0.006,331792,1.05,18.27,0.000,0.001,0.000,7,9,15,38,6970,0.027,1.16,0.0054,0.022,2,0.261,0.000,0.255,0.059,2.74,3.23,3.64,0.00,0.000,1.02,1.06,1.06,0.261,0.00123,125.02,1.2163,1040.23
90000,723,1.394,0.123,9.44,29958,28715,184,0,1021,1,377957.1,11553.4,0.020,0.181,0.525,0.274,1535,9.54,2.35,0.09,0.65,0.00,0.00,0.00,0.07,9.44,2.29,0.00,0.00,0.000,0.000,79,0.325,0.214,0.772,0.003,0.011,19647,15329,5,0.451,0.076,0.001,12633,0.171,1.027,0.006,37.74,11945,0,11553.432,0.000,0.003,310069,1.03,18.65,0.000,0.000,0.000,7,9,11,24,6897,0.026,0.82,0.0055,0.010,2,0.222,0.000,0.265,0.053,2.58,3.10,3.58,0.00,0.000,1.03,1.04,1.04,0.222,0.00140,124.75,1.1424,906.52
100000,727,1.437,0.123,9.16,29322,28094,172,0,1052,4,381351.0,10732.6,0.010,0.191,0.533,0.266,1636,10.09,2.81,0.13,1.00,0.00,0.00,0.03,0.89,9.92,2.60,0.00,0.00,0.000,0.000,66,0.420,0.239,0.748,0.000,0.012,19325,16414,4,0.488,0.017,0.003,21495,0.144,1.011,0.006,38.08,10574,0,2683.155,0.000,0.001,318216,1.05,18.56,0.000,0.000,0.000,8,11,12,25,7333,0.028,0.64,0.0053,0.000,8,0.215,0.000,0.264,0.048,2.66,3.08,3.64,0.00,0.000,1.04,1.06,1.05,0.215,0.00150,124.59,1.0710,881.79
