step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,602,9.01,0.09,0.04,0.04,8.84,0.00,1.03,0.000,0.071,343439.8,99823.4,2,2,2.76,1.02,1.03,9.9515,119.86
10000,1,48,8.69,0.25,0.00,0.00,8.44,0.00,1.10,0.000,0.257,21712.9,6314.9,1,5,3.02,1.22,1.23,0.6474,18.42
10000,0,16,11.88,0.31,0.00,0.00,11.56,0.00,1.05,0.000,0.001,93305.6,118337.2,1,7,3.12,1.00,1.10,12.1731,3348.21
20000,8,620,8.03,0.03,0.00,0.03,7.97,0.00,1.01,0.000,0.065,310516.2,28517.3,3,2,2.57,1.01,1.01,2.8403,56.59
20000,1,40,10.98,0.00,0.62,0.00,10.35,0.00,1.00,0.000,0.262,23001.0,5515.8,2,0,3.30,1.00,1.00,0.5482,14.35
20000,0,12,10.08,0.00,0.17,0.00,9.92,0.00,1.00,0.000,0.001,1796.7,3075.4,3,4,3.58,1.00,1.00,0.2430,2604.87
30000,8,642,7.90,0.07,0.01,0.03,7.80,0.00,1.02,0.000,0.066,314799.1,26760.7,3,0,2.56,1.01,1.03,2.6671,76.22
30000,1,38,11.00,0.79,0.00,0.05,10.16,0.00,1.26,0.000,0.265,23482.0,5670.6,1,0,2.79,1.07,1.40,0.5635,13.07
30000,0,10,13.50,0.10,0.00,0.00,13.40,0.00,1.01,0.000,0.001,1403.2,2238.5,2,8,3.40,1.00,1.03,0.2204,2412.57
40000,8,611,8.48,0.16,0.00,0.04,8.27,0.00,1.04,0.002,0.072,313862.3,26595.1,4,0,2.67,1.03,1.05,2.6449,57.89
40000,1,41,7.39,0.39,0.00,0.32,6.68,0.00,1.07,0.000,0.188,22094.9,6502.2,2,0,2.61,1.13,1.01,0.6595,11.84
40000,0,5,13.00,1.80,0.00,0.00,11.20,0.00,1.60,0.000,0.000,2034.0,3212.1,2,4,2.80,1.00,1.88,0.2951,2104.54
50000,8,638,7.55,0.02,0.00,0.00,7.53,0.00,1.01,0.000,0.065,311516.9,25736.6,3,6,2.59,1.00,1.01,2.5604,51.68
50000,1,41,8.76,0.17,0.00,0.07,8.51,0.00,1.09,0.000,0.282,21560.8,4556.3,3,15,2.68,1.05,1.08,0.4575,5.20
50000,0,4,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,1494.9,1732.9,2,4,2.00,1.00,1.00,0.1549,1804.30
60000,8,646,7.42,0.02,0.03,0.04,7.33,0.00,1.01,0.000,0.063,310186.1,23884.5,2,1,2.51,1.00,1.01,2.3798,45.90
60000,1,40,7.32,0.03,0.00,0.00,7.30,0.00,1.01,0.000,0.225,21368.9,3728.9,2,12,2.40,1.00,1.01,0.3757,5.77
60000,0,1,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,732.6,870.6,1,1,4.00,1.00,1.00,0.0805,1673.47
70000,8,637,7.41,0.02,0.01,0.02,7.36,0.00,1.01,0.000,0.063,312579.5,23630.3,1,5,2.51,1.01,1.01,2.3590,72.32
70000,1,57,7.33,0.05,0.00,0.04,7.25,0.00,1.02,0.000,0.288,24466.5,4058.4,1,19,2.35,1.01,1.02,0.4089,3.46
70000,0,9,6.00,0.00,0.00,0.00,6.00,0.00,1.00,0.000,0.000,946.8,1096.2,1,9,2.89,1.00,1.00,0.1105,1634.58
80000,8,679,7.15,0.06,0.00,0.02,7.07,0.00,1.02,0.000,0.064,314895.2,23933.3,2,15,2.48,1.02,1.03,2.3811,66.36
80000,1,45,7.56,0.00,0.00,0.00,7.56,0.00,1.00,0.000,0.240,25544.6,4458.4,1,13,2.47,1.00,1.00,0.4475,6.15
80000,0,5,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,1015.1,1394.5,1,5,2.60,1.00,1.00,0.1352,1474.26
90000,8,671,6.95,0.05,0.00,0.04,6.86,0.00,1.02,0.000,0.061,317091.5,23567.5,1,2,2.45,1.01,1.03,2.3336,52.95
90000,1,35,12.37,0.26,0.00,0.17,11.94,0.00,1.08,0.000,0.280,24963.7,5559.4,2,4,3.26,1.07,1.10,0.5637,11.59
90000,0,3,16.67,0.00,0.00,1.33,15.33,0.00,1.00,0.000,0.000,1083.8,1762.1,2,2,3.67,1.00,1.00,0.1699,1252.34
100000,8,710,6.84,0.02,0.00,0.03,6.78,0.00,1.01,0.000,0.063,318174.3,22601.8,1,0,2.37,1.01,1.01,2.2503,80.81
100000,1,26,15.38,0.19,0.54,0.58,14.08,0.00,1.04,0.000,0.287,22971.7,5865.4,1,0,3.58,1.00,1.06,0.5968,17.24
100000,0,14,17.07,0.00,0.00,1.36,15.71,0.00,1.00,0.000,0.001,1499.3,2016.8,1,9,3.79,1.00,1.00,0.2038,1230.54
110000,8,676,6.89,0.02,0.00,0.02,6.84,0.00,1.01,0.000,0.061,319043.4,22047.1,2,3,2.42,1.00,1.01,2.1932,60.29
110000,1,29,11.83,1.45,0.00,0.62,9.76,0.00,1.33,0.000,0.217,23916.2,6147.1,2,0,2.97,1.00,1.51,0.6285,40.53
110000,0,3,7.67,0.00,0.00,0.00,7.67,0.00,1.00,0.000,0.000,1748.1,2650.5,2,3,2.33,1.00,1.00,0.2563,1153.94
120000,8,687,7.20,0.06,0.02,0.01,7.11,0.00,1.02,0.000,0.065,320273.7,23303.9,2,1,2.40,1.02,1.03,2.3257,51.74
120000,1,50,8.04,0.00,0.00,0.00,8.04,0.00,1.00,0.000,0.261,19893.6,4794.3,2,1,2.56,1.00,1.00,0.4864,19.00
120000,0,15,9.80,0.00,0.13,0.13,9.53,0.00,1.00,0.000,0.001,2405.1,2691.7,2,11,2.93,1.00,1.00,0.2615,1115.37
130000,8,678,6.91,0.04,0.00,0.03,6.84,0.00,1.01,0.000,0.068,320678.3,24414.2,1,0,2.41,1.01,1.02,2.4320,49.99
130000,1,38,12.79,0.29,0.97,0.79,10.74,0.00,1.05,0.000,0.299,25443.2,5972.2,1,0,3.03,1.07,1.05,0.6056,37.66
130000,0,3,13.00,0.00,0.00,0.67,12.33,0.00,1.00,0.000,0.000,1523.0,2472.2,1,2,3.33,1.00,1.00,0.2417,1018.20
140000,8,643,7.39,0.03,0.01,0.05,7.30,0.00,1.01,0.000,0.071,310113.2,24025.6,1,4,2.47,1.01,1.01,2.3979,51.68
140000,1,36,10.11,0.75,0.03,0.00,9.33,0.00,1.23,0.000,0.270,23978.9,5997.7,2,3,2.89,1.32,1.32,0.6046,17.47
140000,0,10,14.40,0.10,1.80,1.40,11.10,0.00,1.02,0.000,0.001,1529.1,2071.0,2,7,3.30,1.00,1.03,0.2090,1050.07
150000,8,687,7.07,0.02,0.01,0.02,7.02,0.00,1.01,0.000,0.069,312593.3,23803.0,2,3,2.43,1.00,1.01,2.3728,39.32
150000,1,20,10.15,0.00,0.00,0.00,10.15,0.00,1.00,0.000,0.127,17505.7,4136.3,2,1,2.65,1.00,1.00,0.4333,6.84
150000,0,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,956.9,1544.7,1,2,2.00,1.00,1.00,0.1612,1246.94
160000,8,675,7.22,0.01,0.00,0.01,7.21,0.00,1.00,0.000,0.068,319356.7,22837.2,2,0,2.45,1.00,1.00,2.2776,42.07
160000,1,20,7.05,0.00,0.00,0.15,6.90,0.00,1.00,0.000,0.089,15500.9,2774.8,1,0,2.15,1.00,1.00,0.2873,87.10
160000,0,6,8.00,0.17,0.50,0.00,7.33,0.00,1.10,0.000,0.000,3297.6,3510.7,2,4,3.17,1.00,1.11,0.3374,1053.72
170000,8,638,7.03,0.04,0.01,0.03,6.95,0.00,1.02,0.000,0.073,315766.1,22682.0,2,0,2.35,1.02,1.02,2.2661,43.71
170000,1,32,12.69,0.03,0.00,0.00,12.66,0.00,1.01,0.000,0.247,19788.7,5659.0,2,0,3.53,1.00,1.01,0.5661,12.00
