step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,534,11.92,0.08,0.02,0.02,11.81,0.00,1.02,0.000,0.085,347882.4,44462.6,2,3,3.27,1.00,1.03,4.3879,114.15
10000,2,62,25.84,0.10,0.00,0.05,25.69,0.00,1.04,0.000,0.325,63146.5,13940.2,3,7,3.98,1.04,1.04,1.3961,26.46
10000,0,9,24.33,0.00,0.00,0.00,24.33,0.00,1.00,0.000,0.001,89227.3,61184.7,2,8,3.89,1.00,1.00,6.5626,3657.55
20000,8,559,11.42,0.17,0.00,0.01,11.25,0.00,1.06,0.000,0.085,307000.2,6875.1,3,6,2.94,1.03,1.08,0.6752,36.89
20000,2,69,22.10,1.35,0.03,0.03,20.70,0.00,1.15,0.000,0.283,65208.5,11545.7,2,1,3.62,1.15,1.12,1.1464,40.18
20000,0,5,48.80,0.00,0.00,0.00,48.80,0.00,1.00,0.000,0.001,1573.0,1444.4,2,3,5.60,1.00,1.00,0.0779,2849.98
30000,8,569,10.67,0.05,0.01,0.00,10.60,0.00,1.01,0.000,0.079,311630.8,6099.3,3,0,2.74,1.00,1.02,0.5979,33.47
30000,2,94,14.66,0.10,0.00,0.27,14.30,0.00,1.02,0.000,0.296,61787.0,9245.3,1,0,3.14,1.00,1.04,0.9185,13.43
30000,0,4,12.00,0.00,0.00,0.00,12.00,0.00,1.00,0.000,0.000,1273.4,635.8,2,3,3.00,1.00,1.00,0.0481,2548.68
40000,8,608,9.51,0.11,0.00,0.01,9.39,0.00,1.04,0.000,0.080,311441.4,6153.0,4,1,2.70,1.03,1.05,0.5907,49.84
40000,2,103,12.61,0.24,0.00,0.00,12.37,0.00,1.08,0.000,0.240,63359.8,5455.4,2,1,3.03,1.01,1.12,0.5336,7.97
40000,0,6,10.83,0.33,0.00,0.00,10.50,0.00,1.12,0.000,0.000,1159.5,661.2,3,6,2.83,1.10,1.10,0.0349,1861.25
50000,8,573,9.33,0.06,0.00,0.00,9.27,0.00,1.02,0.000,0.074,306174.2,6184.3,4,13,2.69,1.01,1.03,0.6018,13.61
50000,2,93,11.73,0.06,0.00,0.06,11.60,0.00,1.02,0.000,0.253,61183.9,5417.6,2,21,3.15,1.02,1.02,0.5413,7.25
50000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,916.8,578.6,0,0,-0.00,-0.00,-0.00,0.0270,1420.37
60000,8,592,9.29,0.10,0.00,0.00,9.19,0.00,1.04,0.000,0.074,303496.2,6092.2,5,17,2.61,1.03,1.05,0.6036,21.15
60000,2,96,11.32,0.25,0.00,0.03,11.04,0.00,1.09,0.000,0.247,58605.0,4576.3,1,19,2.86,1.04,1.12,0.4572,7.09
60000,0,1,5.00,0.00,0.00,0.00,5.00,0.00,1.00,0.000,0.000,622.2,217.1,1,1,4.00,1.00,1.00,0.0141,1276.56
70000,8,600,9.22,0.05,0.00,0.00,9.17,0.00,1.02,0.000,0.076,308009.2,6102.1,5,17,2.60,1.00,1.03,0.6050,47.41
70000,2,110,10.15,0.05,0.01,0.00,10.08,0.00,1.04,0.000,0.250,62195.9,5325.5,1,18,2.81,1.03,1.05,0.5312,8.82
70000,0,1,13.00,0.00,0.00,0.00,13.00,0.00,1.00,0.000,0.000,703.2,226.2,1,1,2.00,1.00,1.00,0.0213,1170.57
80000,8,598,9.64,0.08,0.00,0.01,9.55,0.00,1.03,0.000,0.078,309740.8,6281.7,3,10,2.67,1.01,1.04,0.6201,43.24
80000,2,85,13.96,0.35,0.31,0.00,13.31,0.00,1.19,0.000,0.246,62189.8,5741.6,1,5,3.25,1.12,1.18,0.5724,5.67
80000,0,2,8.50,0.00,0.00,0.00,8.50,0.00,1.00,0.000,0.000,815.8,328.1,2,1,1.50,1.00,1.00,0.0238,991.32
90000,8,615,9.34,0.06,0.00,0.00,9.27,0.00,1.02,0.000,0.077,315082.0,6061.5,4,4,2.56,1.02,1.03,0.5930,22.63
90000,2,106,10.72,0.27,0.00,0.02,10.42,0.00,1.11,0.000,0.213,63148.5,5265.1,2,3,2.68,1.08,1.12,0.5249,4.32
90000,0,2,9.50,0.00,0.00,0.00,9.50,0.00,1.00,0.000,0.000,827.5,231.8,2,2,3.00,1.00,1.00,0.0244,879.56
100000,8,608,9.66,0.11,0.00,0.04,9.52,0.00,1.04,0.000,0.077,317439.9,5874.9,3,0,2.62,1.03,1.05,0.5860,47.33
100000,2,111,12.08,0.25,0.00,0.00,11.83,0.00,1.10,0.000,0.245,63922.4,4646.6,2,0,2.83,1.07,1.14,0.4631,3.89
100000,0,8,14.50,0.00,0.00,0.00,14.50,0.00,1.00,0.000,0.001,808.2,215.5,3,8,2.75,1.00,1.00,0.0220,830.58
110000,8,599,9.89,0.05,0.00,0.01,9.82,0.00,1.02,0.000,0.078,321385.8,5965.7,3,0,2.51,1.01,1.02,0.5929,17.30
110000,2,99,12.37,0.00,0.00,0.10,12.27,0.00,1.00,0.000,0.224,62459.7,4700.3,2,1,2.82,1.00,1.00,0.4665,5.52
110000,0,2,8.50,0.00,0.00,0.00,8.50,0.00,1.00,0.000,0.000,875.7,216.7,2,2,1.50,1.00,1.00,0.0247,818.84
120000,8,591,9.73,0.07,0.00,0.00,9.66,0.00,1.04,0.000,0.076,322274.0,6190.3,2,0,2.52,1.04,1.04,0.6181,22.23
