step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,481,14.60,0.20,0.20,0.20,14.01,0.00,1.07,0.000,0.092,339398.2,163266.0,1,0,3.73,1.06,1.06,16.4025,347.83
10000,1,13,17.00,1.77,0.00,0.00,15.23,0.00,1.52,0.000,0.137,14613.2,6284.7,1,3,4.62,1.59,1.31,0.6590,27.30
10000,0,9,16.78,0.00,0.00,0.00,16.78,0.00,1.00,0.000,0.001,93565.3,134536.5,1,9,4.00,1.00,1.00,13.8581,4452.14
20000,8,522,11.88,0.22,0.02,0.02,11.62,0.00,1.09,0.000,0.081,298282.4,61025.7,1,0,3.36,1.09,1.08,6.0865,209.95
20000,1,19,20.89,0.00,1.37,0.58,18.95,0.00,1.00,0.000,0.238,11412.6,3911.5,1,0,3.79,1.00,1.00,0.3956,36.34
20000,0,4,16.25,0.00,0.00,0.25,16.00,0.00,1.00,0.000,0.000,1311.3,2135.8,1,4,4.50,1.00,1.00,0.1946,4148.55
30000,8,554,11.23,0.14,0.23,0.03,10.82,0.00,1.04,0.000,0.081,305830.7,49953.5,1,0,3.05,1.03,1.04,4.9803,144.42
30000,1,17,14.59,0.00,0.00,0.00,14.59,0.00,1.00,0.000,0.151,13036.4,4240.5,1,0,3.59,1.00,1.00,0.4328,67.87
30000,0,10,11.80,0.00,0.00,0.00,11.80,0.00,1.00,0.000,0.001,4667.6,4888.0,1,6,3.10,1.00,1.00,0.4380,3535.61
40000,8,579,10.42,0.07,0.09,0.03,10.23,0.00,1.02,0.000,0.078,316366.2,37752.4,1,0,2.74,1.01,1.02,3.7488,144.93
40000,1,19,12.53,0.00,0.00,0.00,12.53,0.00,1.00,0.000,0.156,11810.0,3697.9,0,0,3.63,1.00,1.00,0.3791,31.23
40000,0,2,23.00,0.00,0.00,0.00,23.00,0.00,1.00,0.000,0.000,1524.4,2116.7,1,1,5.00,1.00,1.00,0.2004,3268.68
50000,8,640,8.51,0.06,0.00,0.00,8.45,0.00,1.02,0.000,0.071,324003.0,27655.0,2,0,2.57,1.02,1.02,2.7359,60.42
50000,1,27,7.81,0.00,0.00,0.00,7.81,0.00,1.00,0.000,0.131,12467.2,2693.9,1,0,2.48,1.00,1.00,0.2692,11.45
50000,0,8,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,1296.9,1533.9,1,8,2.50,1.00,1.00,0.1366,2904.90
60000,8,596,9.54,0.03,0.00,0.02,9.49,0.00,1.01,0.000,0.074,325331.1,23844.5,1,0,2.58,1.00,1.01,2.3695,73.81
60000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,12359.1,2614.2,0,0,-0.00,-0.00,-0.00,0.2761,87.90
60000,0,3,7.33,0.00,0.00,0.00,7.33,0.00,1.00,0.000,0.000,1264.0,1572.7,1,3,2.67,1.00,1.00,0.1382,2615.13
