step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,590,10.23,0.06,0.07,0.11,9.99,0.00,1.01,0.000,0.082,357883.6,47919.8,2,7,3.00,1.00,1.02,4.7684,152.66
10000,4,249,10.90,0.18,0.55,0.00,10.16,0.03,1.05,0.008,0.146,161387.4,21973.5,4,9,2.82,1.08,1.02,2.2016,9.55
10000,0,9,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.000,83411.0,58081.6,3,9,2.67,1.00,1.00,6.1552,2952.07
20000,8,524,12.05,0.06,0.07,0.08,11.84,0.00,1.02,0.000,0.084,310204.7,12542.6,2,2,3.33,1.00,1.02,1.2358,46.49
20000,4,279,10.59,0.03,0.03,0.01,10.52,0.00,1.01,0.000,0.154,156752.5,7943.0,4,4,2.70,1.00,1.01,0.7921,12.89
20000,0,7,8.86,0.00,0.00,0.00,8.86,0.00,1.00,0.000,0.000,1116.5,764.2,3,6,3.00,1.00,1.00,0.0384,2481.09
30000,8,478,12.80,0.13,0.19,0.22,12.26,0.01,1.03,0.002,0.079,301468.8,11000.4,3,0,3.62,1.01,1.04,1.0923,43.34
30000,4,289,9.56,0.07,0.06,0.04,9.40,0.00,1.03,0.000,0.137,153047.6,8014.8,3,0,2.55,1.02,1.03,0.7835,6.81
30000,0,8,10.12,0.00,0.00,0.00,10.12,0.00,1.00,0.000,0.001,1123.5,444.7,3,8,4.12,1.00,1.00,0.0204,1999.75
40000,8,513,12.55,0.03,0.03,0.10,12.40,0.00,1.01,0.000,0.084,305548.5,9030.4,3,0,3.28,1.01,1.01,0.8495,34.19
40000,4,283,11.10,0.24,0.09,0.12,10.65,0.02,1.06,0.004,0.157,164937.4,8670.0,4,0,2.37,1.06,1.06,0.8559,9.68
40000,0,3,8.67,0.00,0.67,0.00,8.00,0.00,1.00,0.000,0.000,1313.5,568.7,1,3,4.00,1.00,1.00,0.0234,1055.25
50000,8,497,12.81,0.03,0.17,0.15,12.46,0.00,1.01,0.000,0.083,303426.3,8292.4,3,0,3.26,1.00,1.01,0.8074,55.02
50000,4,307,11.03,0.13,0.13,0.04,10.74,0.00,1.04,0.000,0.170,170305.5,9247.5,5,0,2.34,1.06,1.03,0.9208,11.51
50000,0,5,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,987.2,309.4,4,5,3.40,1.00,1.00,0.0210,680.23
60000,8,509,12.31,0.08,0.22,0.05,11.96,0.00,1.02,0.000,0.082,303012.9,8460.5,3,0,3.24,1.01,1.03,0.8388,23.47
60000,4,300,10.25,0.13,0.07,0.06,9.99,0.00,1.05,0.000,0.154,171939.6,7983.0,4,0,2.20,1.03,1.10,0.7900,9.99
60000,0,4,11.75,0.00,0.00,0.00,11.75,0.00,1.00,0.000,0.000,1237.3,413.7,2,4,4.00,1.00,1.00,0.0262,413.39
70000,8,509,12.06,0.03,0.17,0.02,11.85,0.00,1.01,0.000,0.080,304019.0,8335.8,3,0,3.17,1.00,1.01,0.8312,23.97
70000,4,309,11.19,0.08,0.13,0.15,10.83,0.00,1.02,0.000,0.173,173100.8,8466.2,4,0,2.24,1.03,1.02,0.8437,14.58
70000,0,2,13.50,0.00,0.00,0.00,13.50,0.00,1.00,0.000,0.000,1040.9,225.9,2,1,4.50,1.00,1.00,0.0224,357.60
