step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,503,1.664,0.490,3.23,83200,80917,0,0,3276,1824,446020.6,303718.8,0.086,0.581,0.178,0.156,604,14.70,7.17,0.23,2.31,0.19,1.82,0.19,1.68,14.09,6.68,0.00,0.00,0.009,0.073,85,0.312,0.093,0.893,0.000,0.014,107569,92735,1,1.000,0.000,0.014,370047,0.147,2.076,0.029,31.80,31958,0,166.512,0.000,0.056,3088872,1.08,10.27,0.006,0.002,0.000,9,14,16,64,7395,0.028,42.26,0.0063,0.006,9,0.663,0.000,0.560,0.351,3.75,3.69,7.17,0.00,0.000,1.07,1.06,1.11,0.663,0.00460,89.38,30.9197,4827.28
20000,545,1.588,0.482,4.00,37580,36456,1,0,1081,47,309822.8,67124.6,0.024,0.398,0.310,0.268,947,12.22,7.29,0.21,2.94,0.06,1.13,0.04,0.34,11.91,6.78,0.00,0.00,0.002,0.031,83,0.163,0.110,0.879,0.000,0.011,27015,25034,1,1.000,0.000,0.026,50551,0.214,2.040,0.031,31.03,8364,0,1428.184,0.000,0.033,1123227,1.08,12.90,0.004,0.000,0.000,7,12,16,64,6661,0.025,43.55,0.0048,0.000,4,0.500,0.000,0.418,0.083,3.38,3.54,6.03,0.00,0.000,1.09,1.08,1.09,0.500,0.00270,88.87,6.6768,4394.84
30000,581,1.524,0.349,4.80,35017,33914,3,0,1064,41,321990.4,59101.0,0.020,0.376,0.400,0.205,929,11.34,6.13,0.14,1.97,0.22,1.80,0.03,0.40,10.94,5.36,0.00,0.00,0.011,0.086,67,0.246,0.108,0.876,0.002,0.014,25245,23092,1,1.000,0.000,0.009,32561,0.214,1.714,0.018,32.05,8544,0,1441.489,0.000,0.036,1012213,1.03,14.22,0.002,0.002,0.000,7,9,16,64,6586,0.025,40.46,0.0051,0.000,10,0.434,0.000,0.398,0.084,3.07,3.28,5.62,0.01,0.002,1.02,1.04,1.04,0.434,0.00253,90.93,5.8511,3747.90
40000,600,1.537,0.439,5.88,30059,29103,13,0,924,8,328421.5,43563.5,0.028,0.316,0.419,0.237,936,10.52,5.31,0.06,1.55,0.09,0.83,0.03,0.62,10.34,4.95,0.00,0.00,0.008,0.064,83,0.255,0.123,0.870,0.000,0.007,18060,15772,1,0.967,0.033,0.003,40799,0.233,1.881,0.031,32.98,8412,0,5445.432,0.000,0.017,575322,1.02,16.65,0.002,0.002,0.000,7,9,13,64,6315,0.024,42.77,0.0053,0.000,2,0.284,0.000,0.335,0.042,2.78,3.12,4.56,0.00,0.000,1.01,1.02,1.02,0.284,0.00247,87.69,4.3283,3444.84
50000,675,1.400,0.462,6.27,25771,24921,3,1,771,32,335756.6,31881.2,0.019,0.348,0.417,0.216,958,8.47,3.27,0.05,0.75,0.00,0.00,0.00,0.04,8.41,3.11,0.00,0.00,0.000,0.000,48,0.169,0.144,0.853,0.000,0.003,14705,11994,2,0.963,0.000,0.001,26264,0.228,1.947,0.039,33.61,7859,321,996.287,0.000,0.004,475274,1.02,18.15,0.000,0.000,0.000,7,7,10,55,5716,0.022,43.10,0.0059,0.000,8,0.201,0.000,0.319,0.023,2.56,2.91,4.02,0.00,0.000,1.02,1.02,1.02,0.201,0.00246,86.73,3.1417,2976.78
60000,599,1.489,0.545,6.16,22710,22119,14,0,653,18,337040.8,28031.9,0.006,0.360,0.458,0.176,961,9.53,4.20,0.03,0.61,0.00,0.08,0.02,0.42,9.48,4.16,0.00,0.00,0.000,0.005,59,0.295,0.159,0.838,0.000,0.003,14025,11047,1,1.000,0.000,0.003,17539,0.179,2.030,0.050,33.81,6773,0,1557.326,0.000,0.005,490097,1.01,17.48,0.000,0.000,0.000,7,9,12,59,5707,0.022,44.64,0.0059,0.000,3,0.199,0.000,0.314,0.033,2.58,2.96,4.31,0.00,0.000,1.00,1.01,1.01,0.199,0.00282,84.99,2.7838,2776.84
70000,607,1.412,0.691,6.30,20301,19728,11,0,554,0,325833.5,25386.3,0.005,0.353,0.472,0.170,1025,9.27,3.61,0.06,1.30,0.03,0.38,0.06,0.82,9.12,3.39,0.00,0.00,0.004,0.057,61,0.250,0.168,0.825,0.000,0.007,11207,6831,2,0.946,0.000,0.007,15553,0.203,2.249,0.069,32.80,6112,0,25386.303,0.000,0.010,368142,1.01,17.66,0.000,0.000,0.000,7,9,12,46,5625,0.021,81.61,0.0059,0.000,1,0.164,0.000,0.308,0.024,2.58,2.95,4.23,0.01,0.003,1.00,1.02,1.02,0.164,0.00282,49.03,2.5221,2604.44
80000,614,1.437,0.809,6.21,19984,19339,8,0,630,1,325713.5,24119.7,0.005,0.361,0.464,0.170,1020,9.09,3.40,0.10,1.36,0.00,0.00,0.01,0.28,8.98,2.86,0.00,0.00,0.000,0.000,57,0.308,0.147,0.849,0.000,0.005,10913,6786,2,0.961,0.010,0.002,13657,0.215,2.397,0.085,32.75,5901,0,24119.719,0.000,0.007,393409,1.03,17.93,0.000,0.000,0.000,7,9,11,43,5582,0.021,81.65,0.0059,0.000,4,0.169,0.000,0.296,0.019,2.57,2.82,4.22,0.00,0.000,1.01,1.03,1.04,0.169,0.00275,49.04,2.3898,2376.23
90000,622,1.413,0.962,6.20,19848,19237,9,0,594,5,325104.3,24148.7,0.006,0.373,0.456,0.165,1043,9.23,3.37,0.01,0.17,0.01,0.26,0.00,0.04,9.20,3.30,0.00,0.00,0.001,0.018,60,0.249,0.167,0.828,0.000,0.005,10709,8071,1,0.748,0.252,0.002,10640,0.207,2.588,0.105,32.72,5701,0,4829.741,0.000,0.008,390459,1.00,17.93,0.000,0.000,0.000,7,9,11,51,5740,0.022,81.62,0.0057,0.000,2,0.164,0.000,0.288,0.020,2.54,2.82,4.22,0.00,0.000,1.00,1.00,1.00,0.164,0.00285,49.10,2.4149,2369.98
100000,604,1.439,1.100,6.14,19940,19404,4,0,550,15,324608.7,25113.8,0.006,0.373,0.452,0.169,1013,9.26,3.07,0.01,0.33,0.01,0.20,0.01,0.16,9.23,3.00,0.00,0.00,0.002,0.041,55,0.293,0.146,0.849,0.000,0.005,10724,7958,1,1.000,0.000,0.002,11119,0.198,2.741,0.122,32.64,5930,0,1674.252,0.000,0.008,383651,1.00,17.61,0.000,0.000,0.000,7,9,10,45,5593,0.021,81.65,0.0058,0.000,0,0.163,0.000,0.285,0.020,2.64,2.87,4.33,0.00,0.000,1.01,1.01,1.00,0.163,0.00298,49.15,2.5078,2331.10
110000,611,1.498,1.113,6.16,20154,19526,6,0,615,6,325208.7,24647.0,0.006,0.379,0.445,0.170,1021,9.50,4.36,0.19,2.04,0.00,0.09,0.01,0.28,9.29,3.77,0.00,0.00,0.002,0.040,63,0.282,0.110,0.881,0.000,0.010,10885,8305,1,0.957,0.043,0.002,9205,0.208,2.751,0.124,32.50,5853,0,4107.836,0.000,0.011,397275,1.06,17.43,0.000,0.000,0.000,6,9,10,59,5803,0.022,81.84,0.0057,0.000,2,0.165,0.000,0.283,0.018,2.72,2.92,4.39,0.00,0.000,1.04,1.07,1.06,0.165,0.00295,49.10,2.4552,2229.45
120000,616,1.504,1.300,6.09,19837,19216,11,0,605,2,324289.2,24794.9,0.006,0.369,0.450,0.176,1015,9.24,2.19,0.00,0.00,0.01,0.21,0.01,0.16,9.22,2.19,0.00,0.00,0.002,0.040,48,0.333,0.156,0.841,0.000,0.003,10710,8496,2,0.977,0.013,0.002,11878,0.181,2.930,0.148,32.68,5605,0,12397.466,0.000,0.000,391557,1.00,17.72,0.000,0.000,0.000,7,9,10,30,5689,0.022,81.56,0.0057,0.000,4,0.169,0.000,0.277,0.022,2.62,2.99,4.15,0.00,0.000,1.00,1.00,1.00,0.169,0.00289,49.20,2.4695,2122.77
130000,630,1.483,0.231,6.03,27202,26363,6,0,819,37,359791.0,46187.7,0.011,0.367,0.433,0.189,891,9.41,3.22,0.18,2.19,0.00,0.04,0.02,0.35,9.20,2.78,0.00,0.00,0.000,0.004,61,0.337,0.148,0.841,0.000,0.011,22499,20252,1,1.000,0.000,0.005,16935,0.181,1.130,0.015,34.25,9132,0,1248.316,0.000,0.005,698435,1.07,17.73,0.000,0.000,0.000,7,9,10,42,5927,0.023,29.35,0.0062,0.003,1,0.255,0.000,0.316,0.161,2.70,3.02,4.13,0.00,0.000,1.07,1.08,1.06,0.255,0.00285,99.84,4.5398,1302.57
140000,631,1.510,0.275,6.07,22637,22020,7,0,609,0,335383.1,28449.3,0.007,0.332,0.467,0.195,965,9.42,4.38,0.10,1.59,0.01,0.16,0.00,0.00,9.31,4.07,0.00,0.00,0.001,0.027,64,0.312,0.154,0.837,0.000,0.010,13666,11046,1,1.000,0.000,0.000,12452,0.191,1.268,0.022,33.58,6876,0,28449.291,0.000,0.011,424107,1.04,17.60,0.000,0.000,0.000,7,9,11,53,5941,0.023,41.57,0.0057,0.000,7,0.192,0.000,0.310,0.030,2.69,3.02,4.20,0.00,0.002,1.04,1.06,1.03,0.192,0.00257,88.29,2.8374,1214.83
150000,678,1.453,0.109,6.20,26477,25652,2,0,776,3,342354.9,35391.9,0.006,0.290,0.476,0.229,910,9.06,4.06,0.02,0.32,0.02,0.37,0.00,0.00,9.02,3.92,0.00,0.00,0.002,0.040,72,0.280,0.136,0.855,0.001,0.007,17673,14048,1,0.823,0.177,0.000,20977,0.179,0.646,0.002,33.93,8502,0,11797.307,0.000,0.010,429994,1.00,17.73,0.000,0.000,0.000,6,9,10,53,6144,0.023,31.37,0.0056,0.000,14,0.210,0.000,0.322,0.070,2.61,2.96,4.17,0.00,0.000,1.00,1.01,1.00,0.210,0.00209,98.13,3.5172,978.19
