step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
10000,8,348,16.72,0.27,0.17,0.00,16.28,0.00,1.08,0.000,0.112,321579.9,52344.2,1,0,3.59,1.04,1.09,5.2228,25.54
10000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,12657.0,3448.7,0,0,-0.00,-0.00,-0.00,0.3476,34.64
10000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,91234.9,63340.6,0,0,-0.00,-0.00,-0.00,6.9014,5418.46
20000,8,414,16.75,0.03,0.00,0.00,16.72,0.00,1.02,0.000,0.097,273521.1,13038.6,1,0,3.94,1.01,1.02,1.2961,93.11
20000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,36.48
20000,0,3,12.67,0.00,0.00,0.00,12.67,0.00,1.00,0.000,0.000,276.6,123.8,1,3,4.00,1.00,1.00,0.0081,5224.81
30000,8,446,14.58,0.00,0.00,0.00,14.58,0.00,1.00,0.000,0.084,304886.8,12221.7,1,0,3.74,1.00,1.00,1.1554,138.51
30000,1,17,13.12,1.76,0.00,0.00,11.35,0.00,2.18,0.000,0.144,1337.8,820.4,1,0,3.82,1.88,2.37,0.0744,23.42
30000,0,3,17.67,6.00,0.00,0.00,11.67,0.00,2.44,0.000,0.000,5106.1,4456.3,1,2,3.33,1.00,3.08,0.3833,3822.77
40000,8,473,12.67,0.15,0.12,0.01,12.39,0.00,1.04,0.002,0.093,300758.6,10981.3,1,0,3.42,1.04,1.04,1.0711,32.85
40000,1,23,17.22,0.00,0.00,0.00,17.22,0.00,1.00,0.000,0.261,23517.8,3943.2,1,0,3.74,1.00,1.00,0.3970,4.59
40000,0,6,17.83,0.00,0.00,0.00,17.83,0.00,1.00,0.000,0.000,4364.8,3582.9,1,4,4.17,1.00,1.00,0.2953,3072.44
50000,8,459,11.61,0.00,0.03,0.00,11.58,0.00,1.00,0.000,0.094,282845.3,8484.7,1,0,3.22,1.00,1.00,0.8390,114.06
50000,1,24,21.21,0.00,0.00,0.00,21.21,0.00,1.00,0.000,0.330,23457.4,2887.5,1,0,4.38,1.00,1.00,0.2873,4.11
50000,0,12,13.17,0.00,0.00,0.00,13.17,0.00,1.00,0.000,0.001,1575.8,1245.3,1,11,3.17,1.00,1.00,0.1022,2660.11
60000,8,487,12.71,0.15,0.08,0.00,12.48,0.00,1.04,0.000,0.092,286448.0,8587.8,2,0,3.39,1.01,1.05,0.8508,16.42
60000,1,57,7.63,0.00,0.00,0.00,7.63,0.00,1.00,0.000,0.270,25404.2,2481.7,2,0,2.54,1.00,1.00,0.2490,2.49
60000,0,13,9.85,0.23,0.00,0.00,9.62,0.00,1.12,0.000,0.001,1617.9,1127.3,3,9,3.08,1.00,1.18,0.0894,2455.27
70000,8,480,11.87,0.00,0.00,0.03,11.84,0.00,1.00,0.000,0.088,302354.1,8748.6,2,0,3.28,1.00,1.00,0.8705,33.86
70000,1,38,11.24,0.95,0.00,0.00,10.29,0.00,1.30,0.000,0.277,24653.0,2669.3,2,0,3.18,1.05,1.42,0.2690,7.02
70000,0,13,15.38,0.00,0.00,0.00,15.38,0.00,1.00,0.000,0.001,1586.4,1321.8,3,12,3.38,1.00,1.00,0.0993,2082.47
80000,8,521,12.04,0.00,0.00,0.02,12.02,0.00,1.00,0.000,0.086,303994.4,8921.3,1,1,3.17,1.00,1.00,0.8847,18.34
80000,1,44,11.89,0.00,0.00,0.00,11.89,0.00,1.00,0.000,0.346,23387.7,2909.2,1,3,2.95,1.00,1.00,0.2934,8.98
80000,0,10,15.70,0.00,0.00,0.00,15.70,0.00,1.00,0.000,0.001,1592.8,1090.5,1,8,3.40,1.00,1.00,0.1024,1982.07
90000,8,534,11.46,0.10,0.00,0.01,11.35,0.00,1.03,0.000,0.090,311460.8,9168.9,1,0,3.04,1.00,1.04,0.9123,13.50
90000,1,29,9.59,0.00,0.00,0.03,9.55,0.00,1.00,0.000,0.169,24565.8,2648.7,1,0,2.83,1.00,1.00,0.2661,5.51
90000,0,6,12.00,0.00,0.00,0.00,12.00,0.00,1.00,0.000,0.000,1543.0,946.5,1,6,3.33,1.00,1.00,0.0780,1791.11
100000,8,565,10.57,0.00,0.00,0.06,10.51,0.00,1.00,0.000,0.078,313214.1,9048.8,1,0,2.92,1.00,1.00,0.8993,21.58
100000,1,31,18.45,1.23,0.13,0.00,17.10,0.00,1.28,0.000,0.369,24381.9,3363.2,1,0,3.35,1.00,1.43,0.3384,12.14
100000,0,7,17.86,4.00,0.00,0.00,13.86,0.00,1.96,0.000,0.001,2049.5,1560.4,2,5,3.29,1.82,2.36,0.0800,981.50
