step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,848,1.548,0.343,7.35,59636,58343,0,6,1935,1970,599789.1,128007.5,0.062,0.563,0.131,0.244,487,10.40,5.40,0.09,0.98,0.21,1.78,0.08,1.20,10.02,4.67,0.01,0.24,0.010,0.070,155,0.164,0.182,0.802,0.000,0.017,73084,59870,4,0.514,0.013,0.007,448878,0.182,2.012,0.021,46.92,31115,170,64.978,0.500,0.005,2509015,1.02,16.18,0.000,0.005,0.002,7,9,15,54,8823,0.034,1.18,0.0071,0.019,9,0.470,0.000,0.551,0.341,2.94,2.99,4.98,0.01,0.004,1.02,1.02,1.02,0.470,0.00373,115.10,13.1251,3114.29
20000,810,1.581,0.279,8.04,48771,47503,0,2,1304,266,465826.4,21224.4,0.016,0.495,0.203,0.286,627,11.52,4.85,0.05,0.88,0.06,1.21,0.05,0.98,11.36,4.47,0.00,0.00,0.003,0.051,149,0.088,0.223,0.765,0.001,0.010,34792,25075,4,0.401,0.056,0.005,66953,0.158,1.797,0.017,46.46,17413,87,79.791,0.000,0.005,1751220,1.01,14.22,0.000,0.000,0.000,7,11,18,46,9329,0.036,0.27,0.0051,0.007,7,0.404,0.000,0.512,0.068,3.11,2.93,6.03,0.00,0.000,1.00,1.02,1.02,0.405,0.00315,116.47,2.0664,2540.47
30000,775,1.556,0.228,9.50,43718,42668,0,1,1084,158,454299.2,19440.5,0.016,0.457,0.374,0.153,615,11.57,4.98,0.10,0.83,0.14,1.97,0.15,1.56,11.17,4.25,0.01,0.14,0.004,0.043,158,0.103,0.183,0.804,0.000,0.013,32115,21764,5,0.325,0.121,0.013,82638,0.183,1.611,0.013,45.28,16926,178,123.041,0.000,0.006,1581799,1.03,13.53,0.001,0.000,0.001,7,10,17,64,8964,0.034,0.13,0.0052,0.000,8,0.414,0.000,0.487,0.070,3.23,3.37,5.92,0.01,0.001,1.01,1.03,1.03,0.414,0.00315,117.79,1.8962,2049.90
40000,799,1.493,0.141,9.61,39896,39066,1,1,804,286,470844.7,18257.6,0.011,0.355,0.435,0.199,590,12.03,4.38,0.10,1.20,0.05,0.61,0.11,1.00,11.76,4.01,0.01,0.18,0.003,0.026,126,0.113,0.215,0.768,0.000,0.016,31209,24228,6,0.267,0.006,0.016,107261,0.170,1.074,0.007,46.94,16199,574,63.838,0.000,0.004,974850,1.03,13.95,0.000,0.000,0.001,8,11,19,48,9608,0.037,0.05,0.0050,0.000,3,0.324,0.000,0.416,0.076,2.96,3.55,5.51,0.01,0.001,1.03,1.03,1.03,0.324,0.00286,116.21,1.7288,1099.12
50000,809,1.568,0.105,9.48,38885,38007,5,2,861,91,473583.2,17838.2,0.005,0.304,0.455,0.236,582,12.12,4.57,0.07,0.96,0.15,1.88,0.11,1.55,11.79,3.45,0.00,0.00,0.005,0.048,130,0.153,0.200,0.787,0.000,0.012,30621,24306,8,0.255,0.042,0.014,118216,0.162,0.865,0.004,47.28,16399,138,196.024,0.000,0.002,747238,1.02,14.21,0.000,0.000,0.000,8,11,16,62,9805,0.037,0.03,0.0050,0.000,5,0.284,0.000,0.380,0.084,2.91,3.63,5.38,0.00,0.001,1.02,1.02,1.02,0.284,0.00253,115.89,1.7493,746.75
60000,813,1.489,0.081,9.54,38956,38130,8,0,814,68,474503.4,16845.9,0.005,0.283,0.460,0.252,584,11.55,4.02,0.09,1.26,0.17,1.88,0.06,0.74,11.23,3.41,0.00,0.00,0.008,0.074,111,0.165,0.200,0.780,0.001,0.018,30237,25064,7,0.267,0.111,0.011,110314,0.179,0.591,0.002,47.40,16237,0,247.734,0.000,0.001,686078,1.03,14.57,0.000,0.000,0.000,8,11,15,43,9387,0.036,0.02,0.0052,0.000,4,0.275,0.000,0.376,0.076,2.86,3.58,5.22,0.00,0.000,1.02,1.05,1.03,0.275,0.00237,115.78,1.6550,446.85
70000,820,1.584,0.067,10.09,38940,37949,10,0,974,18,476744.6,17016.5,0.006,0.275,0.468,0.252,580,11.74,4.81,0.05,0.56,0.15,1.94,0.06,1.13,11.47,3.84,0.00,0.00,0.005,0.045,142,0.113,0.196,0.790,0.000,0.013,30409,24538,7,0.278,0.072,0.012,141202,0.147,0.561,0.002,47.58,16366,0,945.359,0.000,0.002,651993,1.01,14.60,0.002,0.000,0.000,8,11,16,64,9625,0.037,0.02,0.0051,0.000,2,0.270,0.000,0.374,0.078,2.82,3.48,5.26,0.00,0.001,1.01,1.01,1.01,0.270,0.00228,115.60,1.6973,396.16
80000,858,1.495,0.066,10.32,39402,38370,11,0,983,31,479277.7,17345.7,0.007,0.297,0.451,0.245,573,11.08,3.91,0.08,0.71,0.12,1.64,0.11,1.10,10.78,3.34,0.00,0.00,0.005,0.046,141,0.104,0.216,0.772,0.000,0.013,30744,24618,7,0.256,0.019,0.027,156764,0.157,0.469,0.001,47.84,17532,0,559.540,0.000,0.003,699613,1.03,14.99,0.000,0.000,0.000,7,10,15,53,9509,0.036,0.02,0.0052,0.000,11,0.264,0.000,0.382,0.081,2.73,3.47,5.10,0.00,0.000,1.01,1.04,1.03,0.264,0.00236,115.34,1.7274,317.43
90000,848,1.519,0.065,10.12,38727,37697,10,0,1030,26,482055.0,16875.1,0.005,0.275,0.473,0.247,575,11.35,4.63,0.04,0.40,0.05,0.52,0.10,1.49,11.17,4.14,0.00,0.00,0.004,0.046,127,0.121,0.196,0.787,0.001,0.017,30218,23496,6,0.193,0.213,0.009,120954,0.175,0.457,0.001,48.10,16776,0,649.041,0.000,0.002,579716,1.01,15.02,0.000,0.000,0.000,8,10,18,56,9627,0.037,0.01,0.0051,0.000,0,0.237,0.000,0.384,0.078,2.77,3.51,5.07,0.00,0.000,1.01,1.02,1.01,0.237,0.00231,115.09,1.6862,298.21
100000,842,1.534,0.063,10.06,38416,37443,18,0,961,40,483380.1,16762.6,0.005,0.274,0.474,0.248,570,11.33,4.26,0.07,0.69,0.08,0.91,0.08,0.80,11.10,3.86,0.00,0.03,0.004,0.033,137,0.232,0.229,0.759,0.001,0.011,30094,23138,7,0.296,0.179,0.021,131846,0.183,0.457,0.001,48.16,16461,0,419.065,0.000,0.005,577507,1.02,15.04,0.000,0.000,0.001,8,9,16,51,9539,0.036,0.02,0.0052,0.000,6,0.237,0.000,0.379,0.078,2.73,3.48,5.06,0.00,0.002,1.01,1.03,1.03,0.237,0.00238,115.02,1.6754,285.42
