step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,514,1.406,0.471,7.99,71555,68827,2,6,3626,2532,431860.5,248385.4,0.125,0.395,0.227,0.253,1389,9.33,5.17,0.06,0.61,0.03,0.46,0.03,0.31,9.21,4.91,0.00,0.00,0.001,0.012,73,0.350,0.160,0.827,0.002,0.012,90572,71344,2,0.961,0.000,0.010,274878,0.158,1.894,0.033,30.44,38406,34,98.099,0.833,0.012,1185398,1.02,18.14,0.000,0.000,0.000,7,8,13,52,4795,0.018,35.79,0.0091,0.000,8,0.357,0.000,0.497,0.349,2.60,3.35,3.62,0.00,0.000,1.00,1.03,1.03,0.357,0.00441,97.21,25.3241,4780.82
20000,649,1.385,0.568,8.09,27542,26085,0,0,1322,18,300914.6,31428.4,0.016,0.332,0.319,0.333,2196,8.41,2.99,0.01,0.16,0.01,0.20,0.06,0.79,8.33,2.79,0.00,0.00,0.000,0.009,55,0.492,0.166,0.821,0.002,0.011,15489,9771,1,1.000,0.000,0.011,60480,0.146,2.052,0.048,30.31,10215,0,1746.021,0.000,0.022,292431,1.00,19.16,0.000,0.000,0.000,6,8,10,34,5457,0.021,57.39,0.0056,0.000,6,0.142,0.000,0.303,0.021,2.43,3.18,3.24,0.00,0.000,1.00,1.00,1.00,0.142,0.00230,75.74,3.0962,4306.02
30000,701,1.375,0.443,8.12,29561,28062,3,0,1444,4,336584.3,33779.8,0.010,0.314,0.308,0.368,1892,7.94,3.48,0.04,0.98,0.00,0.00,0.10,1.38,7.80,3.22,0.00,0.00,0.000,0.000,59,0.575,0.157,0.830,0.001,0.011,15415,9260,1,0.950,0.050,0.014,92093,0.156,1.825,0.035,33.59,10781,0,8444.940,0.000,0.017,276532,1.02,19.24,0.000,0.000,0.000,7,7,10,47,5568,0.021,55.96,0.0062,0.000,10,0.126,0.000,0.276,0.025,2.41,3.12,3.27,0.00,0.000,1.01,1.01,1.02,0.126,0.00226,73.90,3.2835,3348.82
40000,689,1.365,0.188,7.33,28636,27217,21,0,1410,7,344631.7,33243.4,0.010,0.246,0.282,0.462,1837,7.76,3.60,0.02,0.24,0.00,0.00,0.06,1.08,7.69,3.40,0.00,0.00,0.000,0.000,45,0.749,0.152,0.839,0.003,0.006,18313,14728,1,1.000,0.000,0.003,39554,0.138,1.139,0.008,34.13,9968,0,4749.057,0.000,0.016,336685,1.01,19.43,0.000,0.000,0.000,7,7,10,62,5346,0.020,6.92,0.0065,0.000,12,0.182,0.000,0.289,0.050,2.40,3.06,3.24,0.00,0.000,1.01,1.01,1.01,0.182,0.00172,122.39,3.2302,2391.72
50000,619,1.367,0.269,7.16,25161,24137,10,0,1084,10,311746.5,27272.6,0.005,0.203,0.290,0.502,2063,7.82,3.91,0.17,1.77,0.00,0.08,0.02,0.31,7.62,3.09,0.00,0.00,0.000,0.003,39,0.695,0.134,0.858,0.000,0.008,16314,14385,1,0.960,0.040,0.008,25293,0.162,1.375,0.018,31.28,8114,0,2727.260,0.000,0.008,255423,1.05,19.42,0.000,0.000,0.000,7,7,9,46,4838,0.018,20.12,0.0066,0.000,4,0.186,0.000,0.301,0.036,2.46,3.11,3.19,0.00,0.002,1.03,1.08,1.06,0.186,0.00143,112.03,2.7381,2489.79
60000,691,1.401,0.179,7.03,25342,24105,11,0,1154,15,318586.6,28016.8,0.002,0.198,0.284,0.516,1995,8.15,3.36,0.03,0.51,0.02,0.32,0.02,0.39,8.09,3.27,0.00,0.00,0.001,0.019,46,0.456,0.184,0.802,0.001,0.013,16545,14817,2,0.968,0.000,0.003,12347,0.144,1.100,0.007,31.73,8470,0,1867.784,0.000,0.013,272385,1.01,19.16,0.000,0.000,0.000,7,8,10,50,5631,0.021,28.28,0.0057,0.000,6,0.198,0.000,0.290,0.043,2.47,3.14,3.30,0.00,0.000,1.01,1.01,1.02,0.198,0.00129,103.43,2.7818,2283.33
70000,683,1.347,0.177,7.14,27576,26336,9,0,1239,13,340316.4,31077.0,0.003,0.201,0.276,0.520,1845,8.07,3.98,0.12,1.38,0.01,0.23,0.01,0.28,7.93,3.34,0.00,0.00,0.000,0.007,44,0.504,0.152,0.830,0.003,0.015,17657,16124,2,0.969,0.000,0.003,34823,0.124,1.070,0.008,34.07,9055,0,2390.536,0.000,0.010,292713,1.03,19.31,0.001,0.000,0.000,7,7,9,64,5511,0.021,5.21,0.0063,0.000,16,0.194,0.000,0.280,0.041,2.46,3.05,3.30,0.00,0.000,1.01,1.05,1.05,0.194,0.00143,124.16,3.0940,2131.98
80000,723,1.339,0.163,6.99,27416,26170,15,0,1191,48,340313.4,33179.6,0.006,0.200,0.264,0.530,1860,8.03,2.76,0.05,0.57,0.00,0.08,0.01,0.30,7.97,2.53,0.00,0.00,0.000,0.003,37,0.481,0.166,0.819,0.006,0.010,17481,16337,1,1.000,0.000,0.003,20923,0.132,0.998,0.006,34.04,9063,0,691.242,0.000,0.022,258106,1.02,19.52,0.000,0.000,0.000,7,8,9,35,5808,0.022,9.95,0.0059,0.007,18,0.173,0.000,0.277,0.049,2.46,3.08,3.17,0.00,0.001,1.02,1.03,1.02,0.173,0.00137,119.45,3.3040,1988.71
90000,683,1.374,0.152,7.11,27203,26034,18,0,1191,19,345159.4,31151.8,0.002,0.205,0.265,0.527,1822,8.29,3.57,0.02,0.61,0.02,0.34,0.01,0.27,8.23,3.13,0.00,0.00,0.001,0.016,44,0.389,0.157,0.835,0.000,0.009,16752,15382,1,1.000,0.000,0.001,14275,0.153,0.953,0.006,34.53,8928,0,1639.567,0.000,0.010,261075,1.00,19.17,0.000,0.000,0.000,7,8,10,62,5662,0.022,1.58,0.0061,0.000,5,0.172,0.000,0.276,0.035,2.55,3.11,3.31,0.00,0.000,1.00,1.00,1.00,0.172,0.00152,127.34,3.1010,1836.17
100000,703,1.447,0.130,7.30,27603,26338,11,0,1234,11,345415.7,32077.2,0.002,0.215,0.268,0.515,1787,8.75,5.23,0.19,1.66,0.03,0.36,0.09,1.25,8.44,4.39,0.00,0.00,0.001,0.020,61,0.384,0.171,0.818,0.001,0.010,17079,15219,2,0.932,0.024,0.007,13805,0.137,0.756,0.005,34.57,9668,0,2916.111,0.000,0.020,282717,1.05,18.83,0.000,0.000,0.000,7,8,10,55,6148,0.023,2.03,0.0058,0.000,15,0.177,0.000,0.272,0.036,2.60,3.22,3.37,0.00,0.001,1.08,1.05,1.05,0.177,0.00154,126.84,3.1613,1358.92
