step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep
10000,1958,1.524,0.039,6.08,62221,58841,177,0,2682,1839,1157512.4,73029.2,0.016,0.447,0.029,0.508,369,9.86,2.17,0.00,0.00,0.00,0.00,0.08,1.47,9.78,1.45,0.00,0.00,0.000,0.000,49,0.803,0.258,0.741,0.000,0.001,44185,38100,1,1.000,0.000,0.006,591937,0.143,0.071,0.000,106.51,23999,0,39.711,0.000,0.000,1160737,1.00,14.16,0.001,0.000,0.000,8,10,10,64,19306,0.074,0.46,0.0060,0.018,655,0.131,0.000,0.156,0.278,3.09,2.84,6.10,0.00,0.000,1.00,1.00,1.00,0.131,0.00467,56.87,10.8399,9.46,135703.9,139712.7,0.001,3.5359,116.544,166.846,1.000,1.000
20000,1929,1.521,0.043,6.08,42425,40178,434,0,1842,0,1056262.8,12028.2,0.000,0.341,0.001,0.658,369,10.00,2.46,0.00,0.00,0.01,0.36,0.08,1.20,9.92,1.99,0.00,0.00,0.000,0.017,60,0.719,0.257,0.741,0.000,0.002,4567,4123,1,1.000,0.000,0.006,110840,0.155,0.086,0.000,106.29,9354,0,12028.240,0.000,0.001,212284,1.00,13.80,0.001,0.000,0.000,8,10,11,64,19292,0.074,0.00,0.0055,0.023,650,0.032,0.000,0.108,0.000,3.12,2.78,6.34,0.00,0.000,1.00,1.00,1.00,0.032,0.00330,57.55,1.3541,16.84,135667.9,139690.2,0.000,0.1503,106.137,126.878,1.000,1.000
30000,1957,1.515,0.045,6.42,44958,42350,422,0,2158,0,1057306.6,12608.3,0.000,0.365,0.001,0.634,365,9.31,2.26,0.00,0.00,0.00,0.07,0.03,0.69,9.27,2.06,0.00,0.00,0.000,0.003,62,0.400,0.239,0.756,0.000,0.006,5328,3879,1,1.000,0.000,0.005,134026,0.135,0.091,0.000,106.15,10820,0,12608.314,0.000,0.001,339769,1.00,13.92,0.001,0.000,0.000,7,10,11,64,18216,0.069,0.00,0.0058,0.026,662,0.048,0.000,0.123,0.000,3.09,2.16,7.02,0.00,0.000,1.00,1.00,1.00,0.048,0.00335,57.69,1.4157,14.89,135606.2,139667.9,0.000,0.1548,105.991,126.527,1.000,1.000
40000,2083,1.428,0.050,6.93,56693,53291,250,0,3026,0,1052365.4,14399.8,0.000,0.429,0.001,0.570,396,7.79,2.23,0.00,0.08,0.00,0.08,0.08,0.86,7.71,2.01,0.00,0.00,0.001,0.022,65,0.569,0.265,0.729,0.000,0.006,9367,6964,1,1.000,0.000,0.016,227831,0.105,0.104,0.000,106.28,12683,0,14399.840,0.000,0.000,812716,1.00,15.13,0.000,0.000,0.000,7,7,10,54,16228,0.062,0.00,0.0066,0.022,706,0.092,0.000,0.178,0.000,2.96,1.26,7.82,0.00,0.000,1.00,1.00,1.00,0.092,0.00322,57.56,1.6080,17.58,135526.5,139646.4,0.000,0.1674,106.102,125.239,1.000,1.000
50000,2131,1.393,0.050,7.00,64961,61691,118,0,3104,0,1037709.6,14890.9,0.000,0.472,0.001,0.528,399,7.24,1.75,0.00,0.19,0.00,0.00,0.06,0.74,7.18,1.49,0.00,0.00,0.000,0.000,53,0.879,0.246,0.746,0.000,0.008,12819,12127,1,0.995,0.005,0.014,338825,0.104,0.101,0.000,105.96,13298,0,14890.858,0.000,0.000,1265454,1.00,15.79,0.000,0.000,0.000,7,7,8,55,15435,0.059,0.00,0.0068,0.027,724,0.124,0.000,0.211,0.000,2.92,1.08,7.92,0.00,0.000,1.00,1.00,1.00,0.124,0.00308,57.88,1.6518,15.79,135525.0,139622.1,0.000,0.1626,105.802,123.879,1.000,1.000
60000,2118,1.374,0.052,7.00,65721,62583,96,0,3055,0,1035197.3,14881.0,0.000,0.475,0.001,0.524,404,7.25,1.93,0.00,0.00,0.00,0.15,0.08,0.94,7.17,1.55,0.00,0.00,0.000,0.019,54,0.875,0.238,0.758,0.000,0.004,13381,13150,1,1.000,0.000,0.015,385442,0.103,0.094,0.000,105.83,13676,0,14880.960,0.000,0.000,1323114,1.00,15.78,0.000,0.000,0.000,7,7,8,55,15358,0.059,0.00,0.0068,0.028,706,0.128,0.000,0.213,0.000,2.91,1.09,7.94,0.00,0.000,1.00,1.00,1.00,0.128,0.00307,58.01,1.6483,19.08,135526.0,139596.8,0.000,0.1596,105.677,123.703,1.000,1.000
70000,2129,1.389,0.051,7.01,65628,62499,106,0,3012,0,1035425.1,14891.3,0.000,0.475,0.001,0.524,404,7.30,2.12,0.00,0.00,0.00,0.00,0.08,1.12,7.22,1.61,0.00,0.00,0.000,0.000,53,0.882,0.237,0.756,0.000,0.007,13217,12830,1,1.000,0.000,0.014,358556,0.106,0.105,0.000,105.84,14296,0,14891.330,0.000,0.001,1322931,1.00,15.73,0.000,0.000,0.000,7,7,7,64,15545,0.059,0.00,0.0067,0.025,709,0.128,0.000,0.213,0.000,2.92,1.10,7.95,0.00,0.000,1.00,1.00,1.00,0.128,0.00305,58.00,1.6484,10.15,135467.2,139571.6,0.000,0.1599,105.676,123.700,1.000,1.000
80000,2108,1.397,0.053,7.01,65774,62754,111,0,2930,0,1035210.6,14773.3,0.000,0.474,0.001,0.525,401,7.39,2.58,0.00,0.13,0.00,0.00,0.10,1.21,7.28,2.18,0.00,0.00,0.000,0.000,66,0.854,0.247,0.747,0.000,0.005,13212,12837,1,1.000,0.000,0.020,374095,0.105,0.095,0.000,105.80,15025,0,14773.295,0.000,0.002,1315807,1.00,15.69,0.000,0.000,0.000,7,7,8,55,15576,0.059,0.00,0.0067,0.023,693,0.127,0.000,0.214,0.000,2.92,1.12,7.94,0.00,0.000,1.00,1.00,1.00,0.127,0.00308,58.04,1.6353,13.75,135423.3,139546.3,0.000,0.1573,105.644,123.641,1.000,1.000
90000,2128,1.388,0.050,7.01,66158,63041,110,0,2987,0,1034679.4,14917.7,0.000,0.475,0.001,0.525,404,7.32,2.58,0.00,0.07,0.00,0.00,0.12,1.90,7.20,1.56,0.00,0.00,0.000,0.000,53,0.882,0.252,0.744,0.000,0.004,13415,12950,1,1.000,0.000,0.014,379138,0.104,0.101,0.000,105.80,16295,0,14917.707,0.000,0.000,1331227,1.00,15.77,0.001,0.000,0.000,7,7,7,64,15583,0.059,0.00,0.0068,0.026,712,0.129,0.000,0.212,0.000,2.91,1.10,7.93,0.00,0.000,1.00,1.00,1.00,0.129,0.00305,58.04,1.6507,15.85,135430.0,139521.0,0.000,0.1584,105.642,123.624,1.000,1.000
100000,2110,1.383,0.053,7.00,66029,62807,117,0,3123,0,1034859.1,15013.9,0.000,0.476,0.001,0.524,397,7.27,1.84,0.00,0.00,0.00,0.00,0.09,1.17,7.18,1.34,0.00,0.00,0.000,0.000,59,0.886,0.240,0.755,0.000,0.005,13689,13187,1,1.000,0.000,0.015,382058,0.104,0.106,0.000,105.83,16389,0,15013.946,0.000,0.000,1347785,1.00,15.75,0.000,0.000,0.000,7,7,7,64,15338,0.059,0.00,0.0068,0.028,720,0.130,0.000,0.212,0.000,2.92,1.10,7.95,0.00,0.000,1.00,1.00,1.00,0.130,0.00307,58.01,1.6647,20.37,135395.8,139495.5,0.000,0.1625,105.664,123.685,1.000,1.000
