step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep
10000,180,1.567,0.355,6.81,17991,18714,3,0,531,1678,304623.3,62789.9,0.113,0.498,0.315,0.074,746,15.80,5.89,0.00,0.00,0.23,1.89,0.12,0.85,15.44,5.62,0.00,0.00,0.008,0.066,45,0.217,0.256,0.739,0.000,0.006,37871,35031,1,0.889,0.111,0.067,520096,0.145,1.360,0.039,17.94,13994,0,37.419,0.000,0.000,613572,1.00,11.18,0.000,0.000,0.000,8,16,23,40,2844,0.011,7.85,0.0110,0.000,0,0.420,0.000,0.395,0.581,3.83,3.15,7.26,0.00,0.000,1.00,1.00,1.00,0.420,0.01323,33.95,9.8531,9.43,133582.1,139736.4,103.694,3.5770,27.723,308.158,0.655,0.429
20000,191,1.755,0.332,6.12,11312,10924,9,0,368,2,144310.4,4281.7,0.011,0.533,0.404,0.053,878,12.77,5.82,0.00,0.00,0.06,0.62,0.15,1.42,12.57,5.66,0.00,0.00,0.002,0.021,36,0.209,0.325,0.670,0.000,0.005,7268,6446,1,0.398,0.602,0.026,46415,0.135,1.355,0.037,14.42,3862,0,2140.833,0.000,0.000,332575,1.00,13.88,0.000,0.000,0.000,7,12,23,32,2440,0.009,9.41,0.0060,0.000,4,0.261,0.000,0.327,0.054,3.31,2.91,6.19,0.00,0.000,1.00,1.00,1.00,0.261,0.00626,50.25,0.5225,4.97,133908.8,139735.9,89.358,0.0948,14.355,35.813,0.652,0.427
30000,58,1.447,0.425,7.29,8429,8289,3,0,270,0,94994.9,2708.1,0.017,0.448,0.458,0.077,897,8.74,2.27,0.00,0.00,0.00,0.00,0.02,0.13,8.72,2.29,0.00,0.00,0.000,0.000,12,0.345,0.103,0.897,0.000,0.000,5374,4683,3,0.397,0.034,0.017,39173,0.152,1.588,0.049,9.66,2895,0,2708.145,0.000,0.034,194802,1.00,17.14,0.000,0.000,0.000,7,8,11,16,507,0.002,41.98,0.0188,0.000,4,0.237,0.000,0.364,0.055,2.60,3.34,4.16,0.00,0.000,1.00,1.00,1.00,0.237,0.01024,48.32,0.3322,4.95,132670.7,139735.7,63.482,0.0614,9.473,28.720,0.648,0.424
40000,174,1.304,0.512,7.44,5450,5125,8,0,201,1,55624.9,1399.9,0.087,0.363,0.448,0.103,1090,7.60,2.68,0.01,0.11,0.00,0.00,0.18,1.23,7.40,2.22,0.00,0.00,0.000,0.000,21,0.730,0.195,0.793,0.006,0.006,3496,3445,2,0.885,0.000,0.034,15944,0.151,1.742,0.058,5.71,1913,0,1399.939,0.000,0.006,70063,1.00,17.93,0.000,0.000,0.000,7,7,8,28,1322,0.005,41.66,0.0043,0.000,5,0.164,0.000,0.365,0.046,2.67,3.09,3.97,0.00,0.000,1.01,1.01,1.00,0.164,0.00146,43.98,0.1801,7.00,131094.6,139735.5,72.092,0.0399,5.517,19.553,0.645,0.420
50000,300,1.559,0.507,8.10,10107,9608,8,0,365,0,118379.2,4376.5,0.026,0.369,0.454,0.151,925,10.84,4.72,0.01,0.17,0.01,0.17,0.05,0.51,10.77,4.78,0.00,0.00,0.003,0.058,47,0.297,0.207,0.780,0.003,0.010,7208,6697,1,0.927,0.073,0.023,43352,0.143,1.769,0.058,11.83,3825,0,4376.520,0.000,0.007,169775,1.00,15.05,0.000,0.000,0.000,7,10,14,39,3253,0.012,43.04,0.0037,0.000,4,0.203,0.000,0.413,0.101,2.96,3.34,5.17,0.00,0.000,1.00,1.00,1.00,0.203,0.00199,54.20,0.5388,21.40,130893.1,139735.3,54.367,0.0997,11.707,31.442,0.647,0.419
60000,318,1.402,0.679,8.14,10892,10507,2,0,365,5,149904.2,3287.8,0.004,0.335,0.495,0.166,877,10.47,5.12,0.01,0.17,0.16,1.86,0.07,0.74,10.23,3.98,0.00,0.00,0.009,0.085,45,0.399,0.226,0.758,0.000,0.016,5676,5345,1,1.000,0.000,0.019,46093,0.151,2.051,0.078,15.27,3674,0,657.561,0.000,0.000,148364,1.00,15.99,0.000,0.000,0.000,8,10,11,59,3330,0.013,75.09,0.0046,0.000,0,0.160,0.000,0.380,0.029,2.86,3.10,4.92,0.00,0.000,1.00,1.00,1.00,0.160,0.00248,30.32,0.3982,2.99,128093.1,139735.1,42.758,0.0713,14.920,37.030,0.638,0.411
70000,373,1.477,0.378,8.96,13162,12592,13,0,502,13,164671.5,7371.6,0.009,0.289,0.382,0.320,859,9.66,2.82,0.00,0.00,0.00,0.00,0.21,1.62,9.45,2.61,0.00,0.00,0.000,0.000,39,0.362,0.198,0.791,0.000,0.011,9878,9315,2,0.938,0.000,0.048,156219,0.154,1.508,0.042,15.97,5161,0,567.045,0.000,0.000,186902,1.00,16.82,0.000,0.000,0.000,8,9,10,41,3602,0.014,46.20,0.0047,0.000,6,0.204,0.000,0.363,0.142,2.69,3.14,4.46,0.00,0.000,1.00,1.00,1.00,0.204,0.00184,59.83,0.9366,10.06,132922.3,139734.9,41.440,0.1988,16.249,49.476,0.650,0.425
80000,520,1.524,0.456,9.05,16046,15347,25,0,527,0,221688.7,4723.7,0.006,0.272,0.368,0.354,725,9.88,3.51,0.00,0.00,0.06,0.84,0.40,2.56,9.43,2.43,0.00,0.00,0.004,0.060,49,0.419,0.227,0.760,0.000,0.013,9163,8302,1,1.000,0.000,0.079,200668,0.159,1.679,0.051,22.29,5749,0,4723.689,0.000,0.000,179983,1.00,16.79,0.000,0.000,0.000,9,9,12,44,5140,0.020,41.56,0.0045,0.000,3,0.154,0.000,0.312,0.032,2.74,3.13,4.48,0.00,0.000,1.00,1.00,1.00,0.154,0.00181,73.19,0.5565,7.59,131361.2,139734.2,26.394,0.0844,22.050,37.507,0.648,0.421
90000,490,1.490,0.162,9.24,19765,19057,52,0,686,33,265243.4,8514.8,0.009,0.286,0.326,0.379,677,9.69,3.80,0.03,0.53,0.01,0.15,0.34,3.08,9.31,2.25,0.00,0.00,0.001,0.010,50,0.539,0.212,0.767,0.000,0.020,13721,11992,2,0.902,0.078,0.041,179601,0.171,0.832,0.014,26.04,7934,0,258.024,0.000,0.000,223334,1.01,16.92,0.002,0.000,0.000,8,9,11,64,4750,0.018,7.86,0.0058,0.008,9,0.152,0.000,0.314,0.100,2.61,3.27,4.29,0.00,0.000,1.01,1.01,1.01,0.152,0.00235,109.93,1.0628,13.00,136257.2,139733.1,19.613,0.2107,26.314,55.270,0.659,0.434
100000,459,1.432,0.138,8.83,17945,17384,44,0,548,12,239528.8,6468.7,0.008,0.297,0.321,0.373,719,10.06,4.15,0.01,0.28,0.01,0.28,0.28,2.18,9.76,3.46,0.00,0.00,0.000,0.010,40,0.630,0.209,0.784,0.002,0.004,11447,9179,3,0.924,0.000,0.035,157999,0.173,0.755,0.012,23.91,7046,0,539.057,0.000,0.004,230967,1.00,16.76,0.000,0.000,0.000,9,9,11,60,4619,0.018,4.81,0.0053,0.000,12,0.165,0.000,0.298,0.073,2.85,3.33,4.32,0.00,0.000,1.00,1.00,1.00,0.165,0.00233,107.61,0.7860,15.73,136725.1,139732.0,27.105,0.1389,23.821,39.579,0.659,0.435
