step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep
10000,1346,1.349,0.044,8.37,52066,50215,208,6,1774,2128,890864.1,64496.1,0.026,0.423,0.443,0.108,486,7.52,2.05,0.00,0.00,0.02,0.62,0.00,0.10,7.49,1.85,0.00,0.00,0.001,0.018,68,0.296,0.205,0.794,0.000,0.001,41424,34619,3,0.597,0.000,0.001,270846,0.165,0.066,0.000,76.67,25477,88,30.308,0.500,0.000,982013,1.00,17.78,0.000,0.000,0.000,6,7,10,37,10122,0.039,0.43,0.0088,0.093,4,0.143,0.000,0.178,0.306,2.59,2.14,5.02,0.00,0.000,1.00,1.00,1.00,0.143,0.00388,40.22,10.0151,11.94,137320.2,140063.9,46.521,3.5702,86.832,397.482,0.615,0.409
20000,1372,1.342,0.042,9.51,33405,31417,422,0,1540,2,679224.8,7331.4,0.002,0.313,0.640,0.045,547,7.16,1.44,0.01,0.22,0.00,0.08,0.00,0.09,7.15,1.37,0.00,0.00,0.000,0.008,75,0.244,0.216,0.781,0.000,0.002,4302,1862,2,0.916,0.013,0.001,19619,0.118,0.061,0.000,67.51,12762,0,3665.681,0.000,0.000,158440,1.00,18.11,0.000,0.000,0.000,6,7,8,24,9825,0.037,0.00,0.0069,0.113,3,0.036,0.000,0.128,0.000,2.54,2.22,4.76,0.00,0.000,1.00,1.00,1.00,0.036,0.00223,33.61,0.8376,11.69,137338.1,140057.5,62.726,0.1044,67.406,77.663,0.611,0.403
30000,1377,1.362,0.039,9.73,33154,30985,485,0,1679,0,677868.1,7494.5,0.002,0.295,0.654,0.050,496,7.33,1.56,0.01,0.39,0.01,0.12,0.01,0.18,7.30,1.37,0.00,0.00,0.000,0.009,68,0.319,0.227,0.771,0.000,0.002,4077,1572,3,0.798,0.154,0.001,12520,0.119,0.058,0.000,67.24,13413,0,7494.478,0.000,0.000,146002,1.00,17.92,0.000,0.000,0.000,6,7,9,32,10091,0.038,0.00,0.0067,0.090,4,0.036,0.000,0.107,0.000,2.52,2.14,4.95,0.00,0.000,1.00,1.00,1.00,0.036,0.00210,33.57,0.8577,9.33,137326.5,140051.1,63.028,0.1084,67.132,73.516,0.613,0.402
40000,1401,1.335,0.038,9.63,33177,30865,495,0,1793,0,676315.1,7635.6,0.001,0.279,0.659,0.061,514,7.37,1.33,0.00,0.03,0.00,0.07,0.00,0.03,7.37,1.33,0.00,0.00,0.000,0.010,75,0.496,0.221,0.775,0.000,0.004,4110,1792,5,0.846,0.037,0.001,10278,0.130,0.055,0.000,67.15,13336,0,7635.605,0.000,0.001,126306,1.00,17.90,0.000,0.000,0.000,6,7,9,27,10327,0.039,0.00,0.0066,0.084,3,0.033,0.000,0.098,0.000,2.54,2.13,4.94,0.00,0.000,1.00,1.00,1.00,0.033,0.00196,33.55,0.8744,8.10,137341.6,140044.0,63.143,0.1109,67.038,72.140,0.613,0.403
50000,1382,1.370,0.038,9.81,32750,30561,521,0,1687,0,675890.6,7624.5,0.001,0.278,0.657,0.064,548,7.54,1.59,0.00,0.03,0.02,0.32,0.00,0.00,7.52,1.47,0.00,0.00,0.001,0.020,71,0.422,0.222,0.774,0.000,0.004,3805,1697,6,0.910,0.007,0.000,9978,0.098,0.057,0.000,67.11,13151,0,7624.496,0.000,0.001,118253,1.00,17.80,0.000,0.000,0.000,6,7,9,32,10424,0.040,0.00,0.0065,0.096,1,0.031,0.000,0.092,0.000,2.57,2.09,5.03,0.00,0.000,1.00,1.00,1.00,0.031,0.00201,33.57,0.8700,8.86,137312.8,140036.7,63.164,0.1074,66.997,71.608,0.611,0.402
60000,1365,1.335,0.037,10.04,32178,30016,532,0,1647,0,677751.0,7628.9,0.001,0.285,0.654,0.059,531,7.63,1.39,0.01,0.24,0.01,0.18,0.00,0.00,7.61,1.33,0.00,0.00,0.001,0.014,63,0.389,0.230,0.763,0.000,0.007,3752,1748,4,0.866,0.015,0.000,7067,0.123,0.055,0.000,67.28,13040,0,7628.910,0.000,0.000,113993,1.00,17.92,0.000,0.000,0.000,7,8,9,24,10411,0.040,0.00,0.0065,0.092,1,0.029,0.000,0.084,0.000,2.58,2.11,4.94,0.00,0.000,1.00,1.00,1.01,0.029,0.00211,33.46,0.8700,12.51,137395.9,140030.0,63.106,0.1067,67.177,71.389,0.612,0.402
70000,1343,1.369,0.036,10.05,31370,29280,604,0,1508,0,677805.6,7505.8,0.001,0.279,0.666,0.055,529,7.84,1.45,0.01,0.13,0.01,0.15,0.00,0.00,7.82,1.40,0.00,0.00,0.001,0.014,56,0.541,0.207,0.792,0.000,0.001,3487,2259,2,0.999,0.000,0.000,7248,0.110,0.054,0.000,67.20,12623,0,7505.767,0.000,0.000,98891,1.00,17.73,0.000,0.000,0.000,7,8,9,31,10528,0.040,0.00,0.0065,0.085,1,0.026,0.000,0.077,0.000,2.60,2.09,5.06,0.00,0.001,1.00,1.00,1.00,0.026,0.00212,33.44,0.8544,12.78,137386.9,140023.8,63.201,0.1037,67.098,70.833,0.611,0.403
80000,1364,1.367,0.035,10.05,31223,29166,578,0,1458,0,679016.6,7502.6,0.000,0.274,0.672,0.054,544,7.88,1.68,0.02,0.44,0.02,0.33,0.00,0.14,7.84,1.38,0.00,0.00,0.001,0.024,56,0.579,0.228,0.767,0.000,0.005,3387,2251,1,1.000,0.000,0.001,6550,0.089,0.054,0.000,67.31,12535,0,7502.616,0.000,0.000,92435,1.01,17.77,0.000,0.000,0.000,7,8,8,35,10751,0.041,0.00,0.0064,0.092,3,0.025,0.000,0.074,0.000,2.60,2.06,5.06,0.00,0.001,1.00,1.01,1.01,0.025,0.00207,33.46,0.8538,7.55,137357.1,140018.0,63.072,0.1040,67.202,70.654,0.611,0.403
90000,1333,1.386,0.038,9.99,31031,28998,608,0,1456,0,678452.6,7524.5,0.000,0.270,0.676,0.054,539,7.93,1.42,0.01,0.15,0.01,0.14,0.00,0.00,7.91,1.39,0.00,0.00,0.001,0.010,65,0.615,0.224,0.771,0.000,0.005,3283,2071,1,1.000,0.000,0.000,6900,0.100,0.056,0.000,67.23,12771,0,7524.521,0.000,0.000,87535,1.00,17.80,0.000,0.000,0.000,7,8,9,21,10566,0.040,0.00,0.0064,0.076,3,0.024,0.000,0.073,0.000,2.56,2.12,4.99,0.00,0.001,1.00,1.00,1.00,0.024,0.00211,33.49,0.8580,11.85,137337.7,140012.6,63.119,0.1050,67.127,70.578,0.613,0.402
100000,1352,1.347,0.036,10.01,31329,29199,591,0,1520,0,679402.6,7604.0,0.000,0.268,0.677,0.054,534,7.91,1.44,0.01,0.11,0.01,0.29,0.00,0.00,7.89,1.36,0.00,0.00,0.001,0.021,58,0.627,0.205,0.792,0.000,0.003,3291,1833,1,1.000,0.000,0.000,7688,0.076,0.056,0.000,67.27,13004,0,7604.022,0.000,0.000,89517,1.00,17.80,0.000,0.000,0.000,7,8,9,27,10696,0.041,0.00,0.0064,0.084,2,0.025,0.000,0.072,0.000,2.59,2.10,5.00,0.00,0.001,1.00,1.00,1.00,0.025,0.00208,33.49,0.8687,11.73,137378.5,140007.2,63.080,0.1082,67.165,70.605,0.613,0.402
110000,1350,1.373,0.036,10.01,31143,29081,602,0,1462,0,680127.4,7572.2,0.000,0.268,0.677,0.055,541,7.94,1.23,0.01,0.14,0.01,0.19,0.00,0.00,7.92,1.21,0.00,0.00,0.002,0.023,65,0.658,0.204,0.794,0.000,0.002,3284,1790,1,0.990,0.010,0.000,5583,0.097,0.054,0.000,67.35,12926,0,7572.216,0.000,0.000,85366,1.00,17.79,0.000,0.000,0.000,7,8,9,22,10713,0.041,0.00,0.0064,0.084,3,0.024,0.000,0.071,0.000,2.61,2.09,5.03,0.00,0.001,1.00,1.00,1.00,0.024,0.00208,33.42,0.8630,10.50,137337.3,140001.8,63.068,0.1058,67.238,70.590,0.613,0.403
120000,1341,1.395,0.036,10.02,30985,28934,643,0,1417,0,679150.8,7522.4,0.000,0.267,0.679,0.053,533,7.96,1.73,0.00,0.00,0.03,0.49,0.00,0.03,7.93,1.63,0.00,0.00,0.002,0.031,59,0.635,0.222,0.778,0.000,0.000,3293,1773,1,0.993,0.007,0.001,7108,0.097,0.055,0.000,67.25,12950,0,7522.370,0.000,0.000,88765,1.00,17.81,0.000,0.000,0.000,7,8,9,41,10677,0.041,0.00,0.0064,0.084,2,0.025,0.000,0.071,0.000,2.57,2.08,5.02,0.00,0.000,1.00,1.00,1.00,0.025,0.00208,33.39,0.8568,8.58,137320.3,139996.5,63.202,0.1047,67.139,70.506,0.610,0.402
130000,1338,1.379,0.037,10.03,30990,29072,568,0,1353,0,680278.9,7357.1,0.000,0.268,0.678,0.053,531,8.04,1.65,0.01,0.40,0.01,0.26,0.00,0.11,8.01,1.43,0.00,0.00,0.001,0.016,66,0.687,0.226,0.771,0.000,0.003,3239,1608,1,0.994,0.006,0.001,6335,0.095,0.054,0.000,67.38,12802,0,7357.083,0.000,0.000,85572,1.00,17.75,0.000,0.000,0.000,7,8,9,35,10759,0.041,0.00,0.0063,0.096,3,0.024,0.000,0.071,0.000,2.65,2.10,5.03,0.00,0.000,1.00,1.01,1.00,0.024,0.00211,33.44,0.8375,7.81,137319.7,139991.3,63.021,0.1018,67.276,70.619,0.612,0.402
140000,1330,1.384,0.037,10.02,30853,28963,606,0,1292,0,679451.1,7408.3,0.000,0.269,0.676,0.055,527,7.91,1.15,0.00,0.08,0.02,0.27,0.00,0.00,7.89,1.11,0.00,0.00,0.001,0.021,56,0.644,0.229,0.768,0.000,0.002,3328,1720,2,0.983,0.000,0.000,7266,0.114,0.053,0.000,67.27,12837,0,7408.259,0.000,0.000,85709,1.00,17.82,0.000,0.000,0.000,7,8,9,17,10516,0.040,0.00,0.0065,0.082,3,0.024,0.000,0.070,0.000,2.58,2.08,5.01,0.00,0.001,1.00,1.00,1.00,0.024,0.00212,33.38,0.8432,11.69,137329.9,139985.8,63.195,0.1019,67.167,70.609,0.611,0.402
