step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep
10000,2111,1.444,0.076,2.16,90060,85238,12,2,4193,1329,1164577.1,77120.0,0.018,0.362,0.084,0.535,385,8.11,3.72,0.01,0.25,0.01,0.51,0.08,1.88,8.01,3.17,0.00,0.00,0.001,0.021,39,0.452,0.223,0.773,0.000,0.004,50202,46827,1,1.000,0.000,0.003,341107,0.187,0.099,0.000,106.92,20019,18,58.029,1.000,0.000,1703410,1.00,15.82,0.002,0.000,0.000,6,8,8,64,17127,0.065,0.39,0.0069,0.018,701,0.225,0.000,0.238,0.194,3.00,1.61,7.18,0.00,0.000,1.00,1.00,1.00,0.225,0.00301,56.53,11.5471,40.35,135560.9,140204.9,0.001,3.8207,116.659,167.629,1.000,1.000
20000,2038,1.419,0.073,2.02,84765,80888,12,0,3938,1,1039002.5,22074.5,0.002,0.332,0.079,0.587,378,8.23,2.91,0.00,0.00,0.01,0.31,0.06,1.57,8.16,2.21,0.00,0.00,0.001,0.017,29,0.881,0.241,0.753,0.000,0.006,22908,22908,1,1.000,0.000,0.002,40049,0.341,0.095,0.000,103.82,9837,0,22074.506,0.000,0.001,1556357,1.00,15.85,0.002,0.000,0.000,8,8,8,64,16774,0.064,0.00,0.0062,0.019,679,0.220,0.000,0.207,0.001,3.35,2.00,7.84,0.00,0.000,1.00,1.00,1.00,0.220,0.00214,60.02,2.5213,31.20,135760.2,140188.5,0.000,0.3133,103.527,136.354,1.000,1.000
30000,1980,1.445,0.077,2.02,78221,75395,16,0,2868,8,1019442.2,19892.1,0.001,0.341,0.083,0.575,379,8.38,3.90,0.04,1.27,0.02,0.54,0.13,2.45,8.19,2.96,0.00,0.00,0.001,0.025,30,0.946,0.213,0.774,0.000,0.013,22076,22076,1,1.000,0.000,0.005,35175,0.337,0.094,0.000,101.66,8297,0,2486.510,0.000,0.000,1580979,1.01,15.82,0.004,0.000,0.000,8,8,8,64,16591,0.063,0.00,0.0063,0.023,658,0.224,0.000,0.185,0.001,3.46,2.06,7.92,0.00,0.000,1.01,1.01,1.02,0.224,0.00222,62.18,2.2632,24.33,135725.7,140173.7,0.000,0.2736,101.387,134.849,1.000,1.000
40000,1991,1.453,0.075,2.07,76995,74253,10,0,2721,7,1020454.4,19504.9,0.001,0.354,0.081,0.563,392,8.27,3.17,0.05,1.71,0.02,0.43,0.03,0.84,8.17,2.28,0.00,0.00,0.000,0.011,23,0.964,0.226,0.766,0.000,0.008,22494,22494,1,1.000,0.000,0.002,35326,0.336,0.096,0.000,101.67,8392,0,2786.408,0.000,0.000,1665571,1.01,15.84,0.002,0.001,0.000,8,8,8,64,16471,0.063,0.00,0.0063,0.023,681,0.227,0.000,0.183,0.001,3.40,2.06,7.96,0.00,0.001,1.00,1.02,1.02,0.227,0.00228,62.17,2.2170,35.98,135706.6,140158.9,0.000,0.2645,101.406,135.512,1.000,1.000
50000,2005,1.444,0.075,2.15,76509,73799,3,0,2693,2,1026603.3,19468.2,0.001,0.391,0.075,0.532,391,8.28,3.04,0.03,1.17,0.00,0.00,0.03,0.87,8.22,2.68,0.00,0.00,0.000,0.000,22,0.957,0.222,0.772,0.000,0.006,24014,24014,1,1.000,0.000,0.001,35383,0.327,0.094,0.000,102.15,8789,0,9734.122,0.000,0.000,1926026,1.01,15.83,0.002,0.000,0.000,8,8,8,64,16600,0.063,0.00,0.0062,0.026,666,0.237,0.000,0.190,0.001,3.46,2.04,7.96,0.00,0.000,1.01,1.01,1.01,0.237,0.00248,61.69,2.2124,27.24,135695.8,140144.2,0.000,0.2656,101.882,137.981,1.000,1.000
60000,1989,1.450,0.078,2.19,75402,72801,8,0,2609,4,1032390.8,19232.2,0.001,0.437,0.067,0.495,406,8.27,2.96,0.00,0.11,0.01,0.34,0.08,1.90,8.17,2.33,0.00,0.00,0.000,0.020,22,0.951,0.225,0.767,0.000,0.008,25795,25794,1,1.000,0.000,0.003,33326,0.312,0.095,0.000,102.57,8944,0,4808.041,0.000,0.000,2264534,1.00,15.82,0.002,0.000,0.000,8,8,8,64,16448,0.063,0.00,0.0063,0.024,656,0.249,0.000,0.193,0.001,3.37,2.03,7.96,0.00,0.000,1.00,1.00,1.00,0.249,0.00274,61.27,2.1827,25.59,135637.1,140129.6,0.000,0.2588,102.302,140.844,1.000,1.000
70000,1961,1.491,0.074,2.22,74638,72210,9,0,2447,2,1034412.1,18901.1,0.001,0.448,0.065,0.486,395,8.34,3.46,0.03,0.63,0.03,0.69,0.08,1.92,8.20,2.76,0.00,0.00,0.001,0.029,25,0.957,0.225,0.770,0.000,0.005,25989,25989,1,1.000,0.000,0.002,31943,0.304,0.089,0.000,102.71,8796,0,9450.535,0.000,0.000,2339434,1.01,15.82,0.003,0.000,0.000,8,8,8,64,16349,0.062,0.00,0.0064,0.029,661,0.250,0.000,0.194,0.002,3.40,2.04,7.96,0.00,0.001,1.01,1.01,1.02,0.250,0.00284,61.13,2.1429,18.91,135647.6,140115.0,0.000,0.2528,102.463,141.451,1.000,1.000
80000,1971,1.466,0.078,2.23,74418,71924,8,0,2476,0,1034261.1,18852.8,0.001,0.452,0.064,0.483,394,8.26,3.04,0.03,0.95,0.00,0.00,0.12,2.40,8.12,2.15,0.00,0.00,0.000,0.000,21,0.961,0.227,0.767,0.000,0.006,26450,26450,1,1.000,0.000,0.003,31968,0.297,0.095,0.000,102.74,8886,0,18852.797,0.000,0.001,2355347,1.01,15.87,0.001,0.000,0.000,8,8,8,64,16288,0.062,0.00,0.0065,0.022,643,0.250,0.000,0.194,0.002,3.40,2.04,7.96,0.00,0.000,1.01,1.01,1.01,0.250,0.00286,61.10,2.1374,23.34,135605.0,140100.4,0.000,0.2510,102.490,141.635,1.000,1.000
90000,2020,1.431,0.075,2.18,74419,72007,18,0,2345,1,1035565.9,18738.7,0.001,0.461,0.062,0.475,398,8.27,2.83,0.03,1.19,0.00,0.00,0.03,0.91,8.20,2.55,0.00,0.00,0.000,0.000,24,0.953,0.227,0.767,0.000,0.006,26569,26568,1,1.000,0.000,0.001,32566,0.303,0.095,0.000,102.84,9014,0,18738.746,0.000,0.000,2453915,1.01,15.84,0.001,0.000,0.000,8,8,8,64,16701,0.064,0.00,0.0062,0.022,660,0.254,0.000,0.196,0.002,3.47,2.02,7.97,0.00,0.000,1.01,1.01,1.01,0.254,0.00282,61.00,2.1237,25.99,135631.1,140085.9,0.000,0.2489,102.594,142.296,1.000,1.000
100000,1992,1.459,0.075,2.21,74279,71965,8,0,2334,7,1030276.1,18511.3,0.001,0.423,0.069,0.506,393,8.29,3.09,0.02,0.71,0.00,0.00,0.04,1.19,8.23,2.72,0.00,0.00,0.000,0.000,16,0.963,0.241,0.753,0.000,0.007,24994,24993,1,1.000,0.000,0.001,33004,0.311,0.093,0.000,102.40,8550,0,2644.473,0.000,0.000,2165360,1.01,15.84,0.003,0.000,0.000,8,8,8,64,16508,0.063,0.00,0.0063,0.021,653,0.245,0.000,0.190,0.002,3.42,2.03,7.98,0.00,0.000,1.01,1.00,1.02,0.245,0.00266,61.44,2.0971,27.52,135611.1,140071.2,0.000,0.2451,102.157,139.752,1.000,1.000
